# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	9182.4727	0.3535	2001	0.4000
476	9320.4375	0.1505	2001	0.4000
477	8815.0137	0.0672	2001	0.4000
478	7290.4648	-0.2501	2001	0.4000
479	10312.3496	0.4062	2001	0.4000
480	9862.9717	0.1820	2001	0.4000
481	7239.4180	0.0362	2001	0.4000
482	9310.7930	0.1083	2001	0.4000
483	10310.6348	0.3881	2001	0.4000
484	10486.9414	0.3295	2001	0.4000
485	7572.1245	-0.0857	2001	0.4000
486	7836.5811	0.0506	2001	0.4000
487	8719.8096	0.1805	2001	0.4000
488	9603.7676	0.3488	2001	0.4000
489	7101.7920	-0.2702	2001	0.4000
490	9091.3789	0.3627	2001	0.4000
491	9837.3945	0.3531	2001	0.4000
492	9108.2656	0.4483	2001	0.4000
493	7397.1357	0.1472	2001	0.4000
494	6901.4658	-0.0788	2001	0.4000
658	8744.0381	0.1627	1950	0.4000
699	6533.1377	-0.1374	1900	0.4000
719	5184.5918	-0.2379	1850	0.4000
738	9262.8516	0.4453	1800	0.4000
765	5905.5073	0.1304	1750	0.4000
789	6907.8857	0.2903	1700	0.4000
819	6494.7871	0.1452	1650	0.4000
841	5662.8853	0.0435	1600	0.4000
870	5575.2754	0.2187	1550	0.4000
896	6414.0391	0.3990	1500	0.4000
921	5100.6680	0.1386	1450	0.4000
954	7217.3311	0.4982	1400	0.4000
985	6052.0503	0.3623	1350	0.4000
1018	4040.6270	0.0939	1300	0.4000
1050	4881.9053	0.2954	1250	0.4000
1087	2404.8645	-0.0748	1200	0.4000
1114	3156.8745	0.1448	1150	0.4000
1148	3823.2407	0.2965	1100	0.4000
1184	2831.3557	-0.0927	1050	0.4000
1219	3073.0806	-0.0178	1000	0.4000
1255	2508.8462	-0.2533	950	0.4000
1288	2040.0890	-0.0451	900	0.4000
1328	1888.7965	0.0659	850	0.4000
1373	2833.5674	0.4288	800	0.4000
1405	2419.4817	0.2095	750	0.4000
1454	2973.5444	0.4615	700	0.4000
1502	1403.3097	0.0212	650	0.4000
1550	1238.3154	-0.2005	600	0.4000
1592	1252.1226	-0.0345	550	0.4000
1641	1283.5425	0.1195	500	0.4000
1691	463.4185	-0.2580	450	0.4000
1748	1254.2999	0.4186	400	0.4000
1797	588.3268	0.2156	350	0.4000
1837	270.6451	-0.1455	300	0.4000
1886	499.8510	0.1014	250	0.4000
1935	331.9585	-0.0609	200	0.4000
1995	420.0538	0.2927	150	0.4000
2048	361.7932	-0.0721	100	0.4000
2105	201.0071	0.1035	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
495	476	493	0.6809	2000	1932
496	479	482	0.6272	2000	1920
497	481	483	0.9881	2000	1994
498	482	493	0.0843	2000	1967
499	484	494	0.4955	2000	1778
500	475	485	-0.1797	2000	1988
501	483	486	0.6280	2000	1988
502	481	489	0.5676	2000	1838
503	479	494	0.0223	2000	1907
504	477	488	0.9569	1999	1978
505	478	482	0.2049	1999	1761
506	479	489	0.5330	1999	1892
507	480	481	0.0842	1999	1873
508	478	481	0.8670	1999	1948
509	482	483	0.9550	1999	1977
510	485	490	0.3252	1999	1921
511	489	494	0.0389	1999	1981
512	481	491	0.9371	1999	1991
513	477	493	0.9286	1999	1963
514	475	483	0.5550	1998	1874
515	480	490	0.9743	1998	1987
516	482	492	0.9608	1998	1980
517	485	492	-0.1991	1998	1879
518	486	489	0.9646	1998	1982
519	483	487	0.1522	1998	1969
520	487	490	0.8755	1998	1997
521	488	491	0.9608	1998	1980
522	475	477	0.9342	1997	1966
523	477	483	0.9512	1997	1975
524	475	487	0.1080	1997	1878
525	484	489	0.9821	1997	1991
526	476	491	0.2938	1997	1822
527	476	492	0.9782	1997	1989
528	490	493	0.1844	1997	1940
529	482	494	0.9230	1997	1960
530	477	491	-0.0873	1996	1701
531	480	491	0.2596	1996	1744
532	482	488	0.9361	1996	1967
533	481	484	0.9361	1996	1967
534	482	486	0.5650	1996	1979
535	487	488	0.9960	1996	1998
536	479	490	0.7444	1996	1972
537	493	494	0.8833	1996	1938
538	475	479	0.9286	1995	1963
539	485	491	0.1222	1995	1787
540	484	486	-0.1274	1995	1905
541	479	488	0.1988	1995	1739
542	476	490	0.9763	1995	1988
543	476	485	0.5110	1994	1882
544	480	489	0.4369	1994	1968
545	476	481	0.3500	1994	1998
546	475	484	0.8245	1994	1907
547	489	490	0.9194	1994	1958
548	477	479	0.9900	1993	1995
549	479	485	0.9724	1993	1986
550	482	484	0.9398	1993	1969
551	483	489	-0.0100	1993	1976
552	486	491	0.9361	1993	1967
553	475	493	-0.0696	1993	1371
554	477	490	0.5395	1992	1962
555	479	480	0.9821	1992	1991
556	481	487	0.9398	1992	1969
557	488	489	0.5300	1992	1922
558	490	491	0.9323	1992	1965
559	481	494	-0.1134	1992	1847
560	475	492	0.4971	1991	1854
561	483	485	1.0000	1991	2000
562	484	485	-0.0150	1991	1935
563	485	494	-0.0617	1990	1861
564	479	491	0.9724	1989	1986
565	484	492	0.5617	1989	1890
566	482	485	0.9704	1989	1985
567	486	492	0.0671	1989	1901
568	486	487	0.8007	1989	1924
569	475	489	0.0996	1989	1966
570	475	490	0.8692	1989	1930
571	480	493	0.7096	1989	1874
