# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	43652.4727	0.3535	18001	0.4000
476	44340.4375	0.1505	18001	0.4000
477	40472.0156	0.0672	18001	0.4000
478	41160.4648	-0.2501	18001	0.4000
479	50145.3516	0.4062	18001	0.4000
480	43675.9727	0.1820	18001	0.4000
481	40679.4180	0.0362	18001	0.4000
482	42196.7930	0.1083	18001	0.4000
483	47905.6328	0.3881	18001	0.4000
484	50326.9414	0.3295	18001	0.4000
485	40791.1250	-0.0857	18001	0.4000
486	40902.5820	0.0506	18001	0.4000
487	43366.8086	0.1805	18001	0.4000
488	44391.7656	0.3488	18001	0.4000
489	40148.7930	-0.2702	18001	0.4000
490	44329.3789	0.3627	18001	0.4000
491	47145.3945	0.3531	18001	0.4000
492	46714.2656	0.4483	18001	0.4000
493	41401.1367	0.1472	18001	0.4000
494	39917.4648	-0.0788	18001	0.4000
658	41678.0391	0.1627	17950	0.4000
699	40728.1367	-0.1374	17900	0.4000
719	34929.5938	-0.2379	17850	0.4000
738	47598.8516	0.4453	17800	0.4000
765	39412.5078	0.1304	17750	0.4000
789	41867.8867	0.2903	17700	0.4000
819	41081.7891	0.1452	17650	0.4000
841	39046.8828	0.0435	17600	0.4000
870	39068.2734	0.2187	17550	0.4000
896	42558.0391	0.3990	17500	0.4000
921	38037.6680	0.1386	17450	0.4000
954	45230.3320	0.4982	17400	0.4000
985	42977.0508	0.3623	17350	0.4000
1018	35890.6250	0.0939	17300	0.4000
1050	39800.9062	0.2954	17250	0.4000
1087	34574.8633	-0.0748	17200	0.4000
1114	34257.8750	0.1448	17150	0.4000
1148	38611.2422	0.2965	17100	0.4000
1184	33569.3555	-0.0927	17050	0.4000
1219	34204.0781	-0.0178	17000	0.4000
1255	33801.8438	-0.2533	16950	0.4000
1288	34661.0898	-0.0451	16900	0.4000
1328	34062.7969	0.0659	16850	0.4000
1373	41945.5664	0.4288	16800	0.4000
1405	36683.4805	0.2095	16750	0.4000
1454	40045.5469	0.4615	16700	0.4000
1502	32710.3086	0.0212	16650	0.4000
1550	34418.3164	-0.2005	16600	0.4000
1592	33814.1250	-0.0345	16550	0.4000
1641	34669.5430	0.1195	16500	0.4000
1691	32603.4180	-0.2580	16450	0.4000
1748	38925.3008	0.4186	16400	0.4000
1797	33504.3281	0.2156	16350	0.4000
1837	30153.6445	-0.1455	16300	0.4000
1886	33337.8516	0.1014	16250	0.4000
1935	29150.9590	-0.0609	16200	0.4000
1995	34351.0547	0.2927	16150	0.4000
2048	30231.7930	-0.0721	16100	0.4000
2105	30564.0078	0.1035	16050	0.4000
2153	28459.0312	-0.1700	16000	0.4000
2208	29532.8613	-0.0250	15950	0.4000
2259	36625.9062	0.4014	15900	0.4000
2316	32360.0938	0.1602	15850	0.4000
2374	36087.3711	0.3722	15800	0.4000
2447	29313.6797	-0.2070	15750	0.4000
2511	29425.9492	0.0638	15700	0.4000
2573	28545.5742	0.1065	15650	0.4000
2643	33879.5664	0.3876	15600	0.4000
2717	27497.5098	-0.0808	15550	0.4000
2771	27907.7422	0.1914	15500	0.4000
2835	31523.3086	0.2481	15450	0.4000
2893	29587.8359	0.2216	15400	0.4000
2959	29568.0898	0.2028	15350	0.4000
3035	30504.1562	0.3129	15300	0.4000
3109	25805.1719	-0.0408	15250	0.4000
3185	26971.5430	-0.0335	15200	0.4000
3255	26186.8594	0.0313	15150	0.4000
3328	33609.0078	0.4541	15100	0.4000
3391	25869.5625	-0.2073	15050	0.4000
3467	28632.3770	0.0854	15000	0.4000
3530	31127.8203	0.2177	14950	0.4000
3623	27927.9297	0.2066	14900	0.4000
3716	30503.1641	0.1700	14850	0.4000
3794	26174.0039	-0.0713	14800	0.4000
3871	29826.8340	0.3400	14750	0.4000
3961	27488.0820	0.2644	14700	0.4000
4034	27367.9766	-0.2349	14650	0.4000
4111	27943.7617	0.2571	14600	0.4000
4197	25418.2090	0.1370	14550	0.4000
4273	31356.3594	0.4641	14500	0.4000
4364	27113.7930	0.2711	14450	0.4000
4446	26928.4082	0.1701	14400	0.4000
4530	26568.5762	0.0205	14350	0.4000
4626	25459.5352	-0.2398	14300	0.4000
4721	30022.2988	0.4036	14250	0.4000
4802	30452.9922	0.4308	14200	0.4000
4896	24059.9316	0.1711	14150	0.4000
4992	25568.8965	0.1983	14100	0.4000
5075	27901.7695	0.1698	14050	0.4000
5179	28048.1074	0.3545	14000	0.4000
5268	25181.4844	0.0187	13950	0.4000
5345	23675.8496	-0.1886	13900	0.4000
5460	23142.9766	-0.2815	13850	0.4000
4294972912	25460.6953	0.3279	13750	0.4000
5707	22040.9160	-0.0821	13700	0.4000
5790	23099.5000	-0.0525	13650	0.4000
5878	20882.4316	-0.0463	13600	0.4000
5964	21993.6797	-0.2112	13550	0.4000
6058	28019.3594	0.3547	13500	0.4000
6167	25627.9102	0.2648	13450	0.4000
6265	22629.1445	-0.2718	13400	0.4000
6364	20714.7578	0.0892	13350	0.4000
6466	20909.0703	0.1764	13300	0.4000
