# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	2451.4731	0.3535	2001	0.4000
476	1748.4375	0.1505	2001	0.4000
8589935179	624.2618	0.0015	1600	0.4000
492	3849.2661	0.4483	2001	0.4000
665	186.3830	0.2387	900	0.4000
4294967944	2458.1367	0.3961	1750	0.4000
490	1092.3795	0.3627	2001	0.4000
4294967775	975.0845	0.2420	1800	0.4000
483	1954.6348	0.3881	2001	0.4000
17179869691	26.8196	-0.0726	350	0.4000
491	2382.3945	0.3531	2001	0.4000
17179869668	332.4910	0.4748	800	0.4000
21474837065	1679.8750	0.4271	950	0.4000
488	429.7670	0.3488	2001	0.4000
21474837019	1125.6440	0.3805	1200	0.4000
30064771713	89.6022	0.2188	1350	0.4000
4294967942	476.6814	0.1935	1300	0.4000
21474837092	440.9319	0.2432	750	0.4000
4294967783	321.8302	0.4952	700	0.4000
8589935290	750.7516	0.4865	650	0.4000
17179869673	12.9269	-0.2932	150	0.4000
8589935297	75.3508	-0.1480	50	0.4000
774	146.0511	0.0726	200	0.4000
8589935345	106.8027	-0.1698	100	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935181	491	8589935179	-0.6988	1574	1821
768	492	17179869691	-0.3275	315	2000
17179869753	4294967944	8589935179	0.9881	1582	1994
4294967993	483	665	0.1316	817	1911
4294967819	475	4294967775	0.6926	1746	1994
4294967826	488	4294967944	-0.9436	1747	1971
767	8589935290	17179869691	-0.5280	315	1982
647	483	491	0.2398	1963	1988
8589935143	490	21474837092	-0.9420	716	1971
8589935232	4294967775	8589935179	0.9550	1585	1977
8589935205	476	4294967944	0.0106	1721	1977
4294967962	490	17179869668	-0.8850	783	1980
4294967979	4294967944	21474837092	-0.0059	749	1997
4294967968	17179869668	21474837019	-0.9861	785	1993
624	475	476	0.9920	1973	1996
4294967875	483	4294967944	-1.0000	1733	2000
21474837047	8589935179	21474837092	-0.9047	719	1950
8589935279	476	17179869668	-0.3682	759	1959
513	475	483	-0.9102	1998	1953
678	665	4294967942	0.9743	877	1987
17179869792	21474837019	21474837092	0.6325	720	1938
4294968024	483	774	-0.3618	159	1995
680	491	665	0.9419	874	1992
21474837096	488	21474837092	-0.9940	722	1997
25769804429	476	21474837092	-0.9960	722	1998
520	488	491	0.4221	1998	1923
8589935221	492	4294967944	0.9417	1749	1979
8589935114	492	8589935179	0.9379	1593	1968
12884902508	4294967775	4294967944	-0.9132	1695	1998
25769804410	21474837092	30064771713	0.9512	728	1975
645	490	492	0.8032	1965	1971
526	476	491	-0.9267	1997	1962
527	476	492	0.8762	1997	1999
21474836988	490	17179869691	0.0602	286	1977
4294968002	17179869691	21474837019	-0.3398	223	1997
8589935074	490	8589935179	-0.9821	1599	1991
17179869743	491	21474837092	0.9455	728	1972
12884902521	475	4294967944	0.7347	1742	1972
701	475	4294967783	-0.9493	567	1974
700	4294967775	8589935290	-0.7129	571	1951
12884902492	665	21474837092	0.8993	730	1947
4294967991	475	17179869668	-0.7683	788	1969
4294967792	488	4294967775	-0.9719	1753	1987
4294967890	491	4294967944	0.9704	1717	1985
8589935102	475	8589935179	0.7402	1596	1974
675	475	665	-0.8499	886	1991
38654706198	8589935297	17179869668	0.4065	32	2000
674	665	4294967775	-0.9646	891	1982
543	476	490	0.7833	1995	1954
12884902444	17179869668	21474837092	-1.0000	731	2000
649	483	490	-0.9960	1961	1998
655	476	488	0.4709	1955	2000
598	491	492	0.9763	1982	1988
4294967799	476	4294967775	0.8714	1770	1995
4294967782	483	17179869668	0.0472	772	1955
664	488	21474837065	0.9900	920	1995
673	665	4294967944	-0.9569	891	1978
4294967844	490	4294967944	0.4979	1712	1996
792	665	774	-0.6162	173	2000
791	774	21474837065	0.9569	173	1978
555	483	492	0.5422	1993	1951
4294967802	492	4294967775	0.8727	1774	1932
4294967866	490	4294967775	-0.9841	1796	1992
597	483	488	0.9704	1982	1985
588	488	490	-0.9474	1987	1973
4294967990	488	17179869668	0.5839	791	1988
8589935072	483	4294967775	-0.2153	1791	1849
679	665	21474837019	0.8993	875	1947
563	490	491	-0.9305	1992	1964
17179869748	483	21474837092	-0.8301	732	1907
565	475	492	0.8225	1991	1984
4294967872	490	21474837065	0.9646	948	1982
790	774	17179869691	-0.3034	174	1978
4294967989	4294967775	17179869668	0.6804	792	1975
584	488	492	0.9413	1988	1995
4294967988	491	17179869668	-0.9685	793	1984
4294967906	475	491	-0.0337	1945	1932
789	774	8589935290	-0.1722	176	1947
4294967933	475	488	-0.8838	1929	1944
4294967987	492	17179869668	-0.9531	793	1976
21474837132	492	21474837092	0.8182	740	1987
4294967986	8589935179	17179869668	0.9627	794	1981
577	475	490	-0.9646	1989	1982
4294967985	17179869668	21474837065	0.2769	794	1998
671	488	665	0.1697	895	1957
4294967838	491	4294967775	0.9474	1789	1973
581	476	483	0.9364	1988	1969
793	488	774	-0.0910	109	1993
8589935215	488	8589935179	0.8597	1597	2000
12884902424	483	8589935179	0.7093	1555	1973
8589935218	476	8589935179	0.4782	1537	1853
17179869699	8589935073	21474837019	0.0256	1195	805
25769804269	8589935179	21474837019	-0.9980	1195	1999
25769804381	488	21474837019	-0.8718	1196	1988
21474837107	4294967775	21474837019	0.9328	1196	1990
8589935207	4294967942	8589935179	-0.9646	1226	1982
30064771571	476	21474837019	-0.5850	1197	1976
8589935117	4294967942	21474837019	-0.0244	1198	1932
4294967903	488	4294967942	-0.9815	1231	2000
21474837072	21474837065	21474837092	-0.7764	743	1979
4294967812	490	4294967942	-0.9861	1266	1993
4294967817	4294967775	4294967942	-0.9608	1270	1980
4294968041	492	774	0.5271	116	1955
8589935137	492	4294967942	-0.8187	1260	1979
4294967796	475	4294967942	0.9782	1263	1989
4294967984	4294967944	17179869668	0.5165	794	1987
30064771730	492	30064771713	0.5583	1344	1977
4294967955	476	21474837065	-0.9474	927	1973
25769804432	475	30064771713	0.9503	1343	1978
12884902393	8589935290	30064771713	-0.2804	590	1918
17179869774	483	30064771713	0.4107	1341	1971
17179869779	4294967775	30064771713	-0.5361	1339	2000
17179869661	8589935179	30064771713	-0.9743	1338	1987
25769804404	491	30064771713	0.5495	1326	1998
25769804336	490	30064771713	0.9212	1322	1959
25769804430	4294967944	30064771713	-0.8554	1321	1927
681	665	21474837065	0.4638	873	1889
4294967966	4294967942	21474837092	0.9881	745	1994
4294967781	476	30064771713	-0.9678	1314	1984
4294967932	488	30064771713	-0.9704	1307	1985
8589935231	4294967942	17179869668	0.6559	745	1958
4294967871	4294967942	4294967944	0.7417	1298	1937
4294967869	491	4294967942	-0.1500	1298	1782
765	8589935179	17179869691	-0.7745	318	1990
8589935213	4294967942	30064771713	-0.9960	1289	1998
4294967836	483	4294967942	0.6468	1283	1917
8589935188	476	4294967942	-0.8023	1282	1977
