# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	2910.4731	0.3535	4001	0.4000
476	1386.4375	0.1505	4001	0.4000
8589935179	421.2618	0.0015	3600	0.4000
492	7082.2661	0.4483	4001	0.4000
55834575382	621.9989	0.3924	1600	0.4000
4294967944	2688.1367	0.3961	3750	0.4000
1023	208.3132	-0.0038	400	0.4000
932	188.4711	0.0538	1000	0.4000
483	923.6348	0.3881	4001	0.4000
4294968017	386.4626	0.2073	2000	0.4000
491	1203.3945	0.3531	4001	0.4000
21474837163	168.5219	-0.0653	150	0.4000
21474837065	2488.8750	0.4271	2950	0.4000
488	501.7670	0.3488	4001	0.4000
8589935562	111.6966	-0.0193	200	0.4000
8589935332	604.6368	0.3869	1900	0.4000
874	497.7775	0.4125	1100	0.4000
42949673546	827.7856	0.2201	1500	0.4000
4294967783	1204.8302	0.4952	2700	0.4000
8589935290	757.7516	0.4865	2650	0.4000
8589935438	178.5741	0.0253	800	0.4000
4294968214	364.6492	0.2759	600	0.4000
25769804498	48.7199	-0.1754	850	0.4000
997	532.7003	0.4333	650	0.4000
8589935092	182.5920	0.3176	500	0.4000
796	126.6736	0.1472	1250	0.4000
823	681.8386	0.4753	1200	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935181	491	8589935179	-0.6481	3574	3884
4294968042	4294967944	4294968017	-0.9120	1980	3957
17179869753	4294967944	8589935179	0.0778	3582	3870
21474837063	4294967783	55834575382	-0.9230	1584	3960
940	932	4294968017	-0.5093	994	3915
4294967826	488	4294967944	-0.8498	3747	3945
8589935396	4294967783	8589935562	0.0940	176	3987
647	483	491	-1.0000	3963	4000
17179869951	488	21474837163	-0.4994	108	3993
12884902751	492	4294968214	0.9512	587	3975
8589935205	476	4294967944	-0.7836	3721	3935
8589935620	1023	8589935562	-0.3663	176	3986
34359739002	997	8589935290	-0.7814	609	3959
17179869932	997	4294968017	-0.6878	612	3998
624	475	476	0.6576	3973	3933
4294967875	483	4294967944	-0.9763	3733	3988
8589935263	8589935332	42949673546	0.6043	1494	3914
51539608029	483	21474837163	0.9743	109	3987
513	475	483	-0.8692	3998	3930
8589935271	476	42949673546	-0.7165	1495	3847
25769804546	8589935290	42949673546	0.7762	1458	3998
8589935572	8589935179	21474837163	-0.1774	112	3996
38654706224	488	55834575382	0.3610	1589	3951
944	488	932	0.4599	989	3977
8589935267	4294967944	42949673546	0.9550	1497	3977
520	488	491	-0.9900	3998	3995
8589935221	492	4294967944	0.7698	3749	3997
8589935114	492	8589935179	0.9920	3593	3996
30064771789	8589935562	42949673546	-0.6635	178	3997
21474837084	475	42949673546	-0.8961	1497	3998
17179869802	488	8589935562	0.9841	178	3992
526	476	491	-0.8853	3997	3950
527	476	492	0.3377	3997	3995
25769804371	4294968017	42949673546	0.3985	1498	3976
8589935370	4294968214	8589935332	-0.7146	543	3955
17179869881	4294967944	8589935092	-0.1183	454	3972
17179869887	4294967783	42949673546	0.6119	1498	3985
12884902521	475	4294967944	-0.6720	3742	3915
701	475	4294967783	-0.7142	2567	3905
34359738958	8589935092	8589935562	-0.4494	179	3927
38654706318	483	55834575382	0.9474	1590	3973
17179869965	8589935332	21474837163	-0.1783	115	3984
8589935382	8589935438	8589935562	0.5080	184	3981
4294967890	491	4294967944	0.8169	3717	3899
8589935102	475	8589935179	0.9531	3596	3976
25769804485	475	55834575382	-0.7306	1592	3974
21474836969	475	4294968017	-0.1122	1971	3967
4294968350	8589935179	8589935562	0.2209	179	3957
1016	491	8589935092	0.1111	417	3930
17179869870	491	42949673546	-0.8168	1485	3927
1015	8589935092	8589935332	0.9588	418	3979
655	476	488	0.9537	3955	3997
598	491	492	0.2425	3982	3991
21474837161	21474837163	25769804498	-0.5041	116	3998
38654706280	1023	21474837163	-0.0722	117	3995
664	488	21474837065	0.9861	2920	3993
933	874	932	-0.2929	999	3979
1014	8589935092	25769804498	-0.6985	418	3913
34359738861	476	1023	-0.4149	284	3978
38654706273	8589935179	42949673546	-0.9747	1465	3990
555	483	492	0.9685	3993	3984
919	491	874	0.9920	1024	3996
12884902413	932	8589935092	-0.2779	453	3993
597	483	488	-0.4911	3982	3980
1012	8589935092	55834575382	0.2320	423	3912
17179869856	4294968214	21474837163	-0.0075	122	3999
4294968243	1023	8589935290	0.6750	259	3992
25769804529	483	42949673546	-0.5022	1476	3997
1027	1023	4294967944	0.1394	394	3975
12884902561	492	42949673546	-0.5573	1486	3818
565	475	492	0.9084	3991	3952
1024	1023	8589935179	-0.3363	399	3982
17179869790	483	4294968017	-0.8125	1985	3911
990	476	8589935438	-0.3836	706	3915
584	488	492	-0.3060	3988	3991
8589935542	492	8589935562	0.3418	126	3973
4294967906	475	491	-0.8428	3945	3973
47244640856	21474837065	42949673546	-0.7730	1480	3949
4294967933	475	488	-0.9417	3929	3970
8589935614	4294968017	8589935562	0.1129	161	4000
12884902594	823	8589935562	1.0000	185	4000
34359738995	21474837065	21474837163	0.3631	129	3992
8589935108	823	8589935092	-0.8683	496	3948
8589935408	4294967783	8589935092	0.7334	495	3993
1068	796	1023	0.2784	334	4000
948	932	8589935332	-0.9587	986	3999
581	476	483	0.0764	3988	3989
30064771579	4294967944	55834575382	-0.8853	1576	3964
8589935215	488	8589935179	0.8015	3597	3986
12884902424	483	8589935179	-0.7885	3555	3980
8589935218	476	8589935179	0.8015	3537	3989
8589935360	8589935562	21474837065	-0.2038	186	3963
8589935450	796	25769804498	-0.7927	823	3965
8589935357	997	8589935332	0.7928	620	3884
8589935379	483	997	0.1435	621	3950
38654706272	491	1023	0.2045	133	3968
38654706231	491	8589935438	0.8477	687	3994
860	491	823	0.5923	1141	3989
8589935374	475	4294968214	-0.4112	553	3999
34359738869	491	55834575382	0.5047	1576	3976
8589935376	796	4294968214	-0.4630	556	3993
8589935377	4294968214	55834575382	-0.4955	556	3938
8589935266	476	55834575382	0.5095	1577	3929
34359738870	874	4294968214	0.9980	560	3999
4294968321	932	1023	-0.4134	321	3976
895	874	42949673546	-0.9627	1069	3981
8589935307	4294967783	8589935332	-0.8351	1859	3910
4294967955	476	21474837065	-1.0000	2927	4000
8589935296	8589935179	8589935332	0.9980	1870	3999
21474837140	8589935290	8589935332	-0.9646	1873	3999
939	483	932	-0.9665	995	3983
12884902618	4294967944	8589935332	-0.9346	1853	3971
34359738960	932	25769804498	0.2358	843	3823
21474837024	492	8589935332	0.7952	1885	3990
47244640755	475	21474837163	0.2127	136	3982
938	874	4294967944	0.0604	995	3990
4294968203	932	4294967783	-0.8125	957	3980
1032	492	8589935092	-0.4062	391	3999
12884902619	475	8589935332	0.8001	1889	3984
8589935553	4294968214	8589935290	-0.2017	534	3910
8589935381	488	4294968214	0.1314	564	3905
12884902566	491	4294968214	-0.5507	564	3982
8589935383	476	4294968214	0.8233	567	4000
8589935321	476	8589935332	-0.9499	1892	3983
17179869896	492	4294968017	0.5311	1950	3995
12884902616	4294968214	25769804498	0.4410	571	3996
17179869976	997	42949673546	0.2344	571	3991
4294968253	997	4294967944	-0.2092	627	3854
12884902626	4294968017	8589935332	-0.9685	1894	3984
4294968186	997	55834575382	0.9120	628	3954
4294968211	932	997	-0.4143	629	3996
4294967958	492	21474837065	-0.8397	2933	3948
25769804445	4294967944	21474837163	-0.1529	39	3961
4294968201	1023	42949673546	0.5020	308	3889
55834575357	823	997	-0.0503	630	3800
38654706275	796	997	-0.8219	631	3982
17179869805	8589935179	55834575382	-0.8537	1515	3921
8589935335	483	8589935332	0.7262	1895	3988
4294967813	8589935179	21474837065	-0.7217	2938	3930
12884902627	491	4294968017	-0.6508	1948	3995
4294967953	491	21474837065	-0.6698	2940	3908
8589935082	8589935290	21474837163	-0.1115	138	3939
8589935609	874	8589935562	-0.2228	160	3996
12884902647	997	8589935179	-0.6743	631	3970
8589935070	4294967944	21474837065	-0.8056	2945	3892
4294967846	483	21474837065	-0.2953	2946	3991
884	823	4294967944	-0.9342	1090	3966
17179869775	8589935290	55834575382	0.9881	1581	3994
30064771629	492	25769804498	0.8941	843	3968
60129542658	8589935290	25769804498	-0.5645	844	3913
8589935451	21474837065	25769804498	-0.9673	825	3999
1061	823	1023	0.0850	344	3972
8589935235	475	21474837065	0.9861	2949	3993
21474837205	4294968017	55834575382	-0.1897	1564	3917
12884902539	483	4294967783	0.6530	2696	3979
12884902383	8589935179	8589935290	-0.9079	2593	3953
17179869806	492	4294967783	0.7870	2691	3970
17179869762	483	4294968214	0.8365	464	3988
4294967878	491	4294967783	-0.8571	2688	3923
4294967910	488	4294967783	-0.7900	2686	3909
8589935364	796	8589935562	0.6637	188	3995
8589935253	8589935092	8589935290	0.9960	470	3998
8589935146	4294967783	4294967944	0.1370	2680	3917
4294967831	4294967783	21474837065	-0.9455	2678	3972
21474837116	932	4294968214	-0.5207	575	3935
42949673616	997	21474837163	0.3853	138	3938
1040	492	1023	0.9267	385	3962
4294967814	476	4294967783	-0.0263	2669	3997
8589935288	4294967783	8589935179	0.9920	2666	3996
12884902612	8589935332	21474837065	-0.9861	1810	3993
4294968189	932	8589935179	0.8147	950	3990
8589935236	475	8589935290	0.9550	2649	3977
17179869755	8589935092	21474837065	-0.0840	470	3950
1034	1023	8589935092	0.3248	390	3969
8589935158	488	8589935290	-0.2718	2644	3935
21474837081	483	8589935290	-0.8385	2644	3912
25769804309	21474837065	55834575382	-0.9365	1526	3973
12884902399	491	8589935290	-0.9960	2641	3998
4294967870	8589935290	21474837065	-0.9608	2641	3980
8589935144	492	8589935290	-0.7601	2639	3863
21474837225	4294968214	8589935562	-0.1422	138	3929
4294967915	4294967944	8589935290	0.8975	2632	3946
4294967889	476	8589935290	-0.9264	2630	3998
4294968258	476	25769804498	-0.9881	844	3994
8589935284	491	8589935562	-0.2917	72	3984
8589935153	4294967783	8589935290	-0.9692	2622	4000
12884902664	492	55834575382	-0.7726	1581	3987
4294968269	4294968214	21474837065	0.9960	593	3998
17179869834	4294968214	8589935092	-0.2461	472	3981
25769804525	8589935332	55834575382	0.1024	1553	3939
8589935477	25769804498	42949673546	-0.8452	845	3916
25769804305	4294968017	8589935290	0.8084	1947	3950
8589935326	4294967783	4294968017	0.9474	1975	3973
4294968023	488	4294968017	-0.9379	1988	3968
4294968300	997	4294968214	-0.8435	576	3970
887	488	874	0.1644	1084	3906
21474837029	476	4294968017	-0.6665	1976	3999
8589935454	8589935092	42949673546	-0.0633	488	3964
883	823	874	0.9646	1091	3982
8589935636	8589935562	21474837163	-0.0167	139	3894
4294968010	4294968017	8589935179	-0.9841	1998	3992
