# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	1997.4731	0.3535	6001	0.4000
12884902502	506.0912	0.3035	750	0.4000
8589935092	747.5920	0.3176	2500	0.4000
492	7830.2661	0.4483	6001	0.4000
55834575382	41.9989	0.3924	3600	0.4000
4294967944	1851.1367	0.3961	5750	0.4000
17179870145	1543.9297	0.4552	1200	0.4000
17179869862	1600.7283	0.4878	1300	0.4000
8589935290	171.7516	0.4865	4650	0.4000
997	2832.7002	0.4333	2650	0.4000
21474837435	413.1077	0.2823	650	0.4000
12884902758	1346.1000	0.2529	1950	0.4000
21474837065	1113.8750	0.4271	4950	0.4000
8589935393	648.4165	-0.2158	900	0.4000
17179870057	303.4645	0.4679	1700	0.4000
8589935332	634.6368	0.3869	3900	0.4000
25769804661	655.9764	0.4424	300	0.4000
30064771872	537.9766	0.4263	1600	0.4000
42949673702	155.6000	0.1426	100	0.4000
34359739390	608.1200	0.3190	1100	0.4000
25769804287	471.7772	0.3702	450	0.4000
42949673741	182.3488	0.2099	250	0.4000
21474837306	411.2343	0.3880	200	0.4000
30064771929	37.6499	0.2323	150	0.4000
12884902603	137.6126	-0.0964	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968233	8589935290	42949673702	0.3005	89	5982
21474837093	8589935332	25769804661	0.9742	293	5989
21474837526	17179870145	21474837435	0.6471	620	5991
4294968195	21474837065	42949673702	-0.0265	90	5983
21474837069	17179869862	30064771872	-0.6534	1266	5992
17179869967	8589935393	55834575382	0.7049	865	5993
8589935478	12884902758	55834575382	-0.9802	1948	5990
47244640842	17179870145	21474837065	0.6855	1155	5997
12884902512	25769804287	25769804661	0.6194	294	5973
25769804833	8589935469	17179870145	-0.0245	1191	4809
17179870171	17179869862	25769804287	0.4821	438	5970
25769804363	8589935092	17179869862	0.9550	1264	5977
34359739002	997	8589935290	-0.9665	2609	5983
12884902856	475	30064771872	-1.0000	1544	6000
12884902415	492	25769804661	0.7876	299	5940
12884902925	8589935332	30064771872	-0.9249	1567	5961
38654706306	8589935092	17179870145	-0.0597	1157	5989
34359738897	17179869862	21474837065	0.9841	1271	5992
30064771985	997	12884902758	0.8894	1818	5999
8589935405	8589935290	17179870145	0.7335	1161	5919
12884902664	492	55834575382	-0.9120	3581	5954
12884902378	4294967944	17179870057	0.9102	1698	5953
34359739037	8589935393	30064771872	0.2254	899	5776
25769804315	492	997	0.8311	2602	5968
25769804593	17179870057	17179870145	-0.8815	1162	5937
4294968193	21474837065	30064771929	0.1752	91	5987
8589935221	492	4294967944	0.8731	5749	5965
4294968137	475	21474837435	-0.8858	645	5994
21474837143	475	8589935092	-0.9374	2486	5972
17179869777	8589935393	25769804661	-0.7367	299	5963
4294968278	12884902758	21474837065	0.8551	1944	5990
4294968125	8589935393	21474837435	0.1975	646	5826
51539608056	12884902502	25769804287	-0.8516	437	5994
17179869975	997	17179870145	0.9900	1193	5995
17179869973	492	17179870145	0.7623	1193	5955
17179869881	4294967944	8589935092	-0.9743	2454	5987
30064771556	17179869862	17179870145	0.0988	1172	5975
12884902521	475	4294967944	-0.9286	5742	5963
4294968172	8589935332	30064771929	0.0195	93	5949
12884902857	17179870057	42949673702	0.2400	96	5971
4294968183	475	42949673702	0.6021	97	5941
4294967816	4294967944	34359739390	0.8464	985	5972
55834575428	492	30064771872	-0.8319	1577	5912
12884902486	25769804287	55834575382	-0.7661	439	5943
4294968179	25769804287	42949673702	-0.2282	98	5970
25769804485	475	55834575382	-0.9881	3592	5994
12884902871	8589935393	17179869862	0.9960	899	5998
21474837440	8589935092	17179870057	0.8362	1623	5990
34359739292	8589935393	17179870145	0.6051	878	5971
8589935597	12884902758	17179870145	0.9425	1176	5983
1015	8589935092	8589935332	0.3269	2418	5997
21474837442	8589935393	12884902758	-0.8440	881	5947
4294968138	8589935332	21474837435	0.9704	646	5985
4294968197	30064771929	42949673741	0.0508	101	5993
8589935595	12884902502	17179869862	1.0000	723	6000
73014444531	8589935092	8589935393	-0.9665	883	5983
8589935494	17179870057	55834575382	0.1559	1694	5989
21474837074	8589935393	25769804287	0.3831	406	5960
17179869911	17179870145	30064771872	-0.8830	1197	5981
4294968259	8589935332	12884902758	0.9550	1941	5977
17179869947	997	8589935092	0.9398	2323	5969
25769804443	492	17179870057	-0.9704	1684	5985
4294968095	492	12884902758	0.8294	1842	5959
4294968175	30064771872	30064771929	-0.5258	104	5989
1012	8589935092	55834575382	0.8007	2423	5889
