# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	2952.4731	0.3535	8001	0.4000
12884902502	228.0912	0.3035	2750	0.4000
47244641265	437.7889	0.4712	300	0.4000
492	8086.2656	0.4483	8001	0.4000
8589935632	1676.6997	0.4105	1900	0.4000
4294967944	2060.1367	0.3961	7750	0.4000
17179870145	3191.9297	0.4552	3200	0.4000
17179869862	885.7283	0.4878	3300	0.4000
17179869979	991.8702	0.4308	950	0.4000
997	5249.7002	0.4333	4650	0.4000
21474837435	274.1077	0.2823	2650	0.4000
12884902758	1319.1000	0.2529	3950	0.4000
21474837065	1106.8750	0.4271	6950	0.4000
17179870114	386.9041	0.2414	600	0.4000
4294968327	863.8328	0.3529	1150	0.4000
8589935332	345.6368	0.3869	5900	0.4000
25769804661	2645.9763	0.4424	2300	0.4000
34359739314	696.7252	0.4396	550	0.4000
17179870000	867.7520	0.3885	1700	0.4000
21474836956	188.4418	0.2757	250	0.4000
25769804287	740.7772	0.3702	2450	0.4000
17179869786	115.1822	-0.1352	50	0.4000
21474837306	1661.2343	0.3880	2200	0.4000
34359738875	8.5846	0.3761	1850	0.4000
17179870035	65.9974	0.1372	1350	0.4000
12884902759	515.9479	0.3619	1500	0.4000
25769804520	134.8147	-0.2787	200	0.4000
8589935657	902.0494	0.4031	700	0.4000
34359739369	416.6988	0.2714	350	0.4000
12884902874	435.2475	0.4071	500	0.4000
34359738922	4.6990	-0.2824	100	0.4000
38654706409	618.6359	0.4227	850	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
17179870091	12884902394	34359738875	0.0859	583	7417
21474837093	8589935332	25769804661	-0.9512	2293	7975
21474837526	17179870145	21474837435	0.9802	2620	7990
47244640886	17179870000	21474837435	-0.2526	1667	7997
12884902725	8589935632	34359739314	0.0346	534	7951
34359739117	17179870000	25769804287	-0.5057	1670	7982
12884902815	8589935632	17179870145	-0.9133	1828	7964
47244640842	17179870145	21474837065	0.8264	3155	7958
12884902512	25769804287	25769804661	-0.8320	2294	7963
25769804833	8589935469	17179870145	-0.0004	3191	4809
17179870171	17179869862	25769804287	0.4123	2438	7897
47244640820	17179869862	38654706409	0.6743	770	7978
12884902948	12884902874	17179870035	0.5316	444	7993
12884902720	8589935332	34359739314	-0.1354	540	7995
12884902415	492	25769804661	-0.6117	2299	7988
17179869944	25769804287	34359739314	0.5856	540	7993
17179869941	17179869979	38654706409	-0.1739	772	8000
34359738897	17179869862	21474837065	-0.5651	3271	7898
30064771985	997	12884902758	0.2704	3818	7962
17179869953	17179870035	25769804287	-0.1848	1333	7997
25769804795	8589935632	21474837306	0.9203	1829	7998
17179870099	17179870114	38654706409	0.5489	584	7988
34359739049	12884902759	17179870114	0.5370	584	7991
25769804315	492	997	-0.6686	4602	7906
4294967884	4294968327	17179870145	0.5066	1121	7986
8589935639	492	8589935632	0.8518	1895	7996
8589935221	492	4294967944	0.9685	7749	7984
4294968137	475	21474837435	-0.9321	2645	7995
34359738906	17179870035	25769804520	-0.3693	159	7926
12884902941	4294968327	12884902759	-0.9763	960	7988
4294968278	12884902758	21474837065	0.7880	3944	7881
