# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	1628.4731	0.3535	10001	0.4000
17179869993	96.8445	0.0047	100	0.4000
47244641265	822.7889	0.4712	2300	0.4000
492	6861.2656	0.4483	10001	0.4000
17179870346	109.4641	0.3270	50	0.4000
4294967944	1239.1367	0.3961	9750	0.4000
17179870145	1993.9297	0.4552	5200	0.4000
42949673837	1.8619	-0.2750	200	0.4000
17179869979	576.8702	0.4308	2950	0.4000
997	4311.7002	0.4333	6650	0.4000
34359739414	153.6395	-0.0361	400	0.4000
12884902758	335.1000	0.2529	5950	0.4000
21474837065	1083.8750	0.4271	8950	0.4000
4294968491	278.0485	0.1538	800	0.4000
25769804378	129.3053	0.2811	500	0.4000
21474837267	1079.1967	0.4039	1050	0.4000
25769804661	1403.9763	0.4424	4300	0.4000
34359739314	1366.7251	0.4396	2550	0.4000
17179870000	29.7520	0.3885	3700	0.4000
55834575473	958.4178	0.3739	600	0.4000
4294968466	603.6778	0.2843	950	0.4000
55834575346	643.6369	0.4946	550	0.4000
21474837306	218.2343	0.3880	4200	0.4000
51539608126	1104.5347	0.3537	1850	0.4000
21474837431	354.5950	0.4469	1950	0.4000
21474837056	336.2585	0.2414	450	0.4000
34359739422	486.4554	0.2649	1900	0.4000
8589935657	1340.0494	0.4031	2700	0.4000
34359739369	855.6987	0.2714	2350	0.4000
47244641134	332.7247	0.2711	300	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
64424510182	492	42949673837	-0.2374	154	9990
21474837006	4294968466	47244641134	0.3611	286	10000
42949673833	17179870000	55834575346	0.1674	525	9969
30064771916	17179869993	21474837306	0.1998	81	9957
34359738981	17179869993	21474837065	0.5174	98	9992
4294968378	492	55834575473	0.3463	578	9992
17179870162	34359739414	42949673837	-0.0070	134	9943
47244640842	17179870145	21474837065	0.7639	5155	9929
38654706334	492	47244641134	0.3630	288	9969
25769804833	8589935469	17179870145	-0.0000	5191	4809
47244640815	17179869993	55834575346	0.9980	81	9999
73014444533	4294968491	25769804661	-0.1986	746	9919
30064771960	21474837267	55834575473	-0.4181	527	9959
34359739081	475	51539608126	-0.6839	1805	9978
12884902415	492	25769804661	-0.7896	4299	9882
17179870329	17179870000	34359739414	-0.8248	359	9967
4294968377	8589935657	55834575473	0.9802	580	9990
21474837505	17179869993	51539608126	-0.0261	82	9966
30064771985	997	12884902758	-0.3597	5818	9934
42949673501	17179870346	25769804378	0.2563	44	9987
38654706353	17179870346	21474837056	0.5049	44	9988
4294968430	4294968491	21474837306	0.4132	763	9984
8589935780	997	21474837056	-0.1729	416	9799
25769804315	492	997	-0.9531	6602	9976
25769804499	17179870000	21474837056	0.4023	361	9945
4294968456	21474837056	47244641265	-0.8596	404	9979
8589935221	492	4294967944	0.6434	9749	9971
12884902465	47244641265	55834575473	0.2304	527	9961
17179870117	475	34359739414	-0.3502	158	9978
17179870251	4294968466	55834575346	-0.0993	512	9961
4294968278	12884902758	21474837065	-0.7514	5944	9994
21474837540	4294967944	25769804378	0.6973	487	9978
8589935678	997	55834575346	0.2157	529	9871
17179869975	997	17179870145	0.3960	5193	9991
17179869973	492	17179870145	-0.9133	5193	9964
30064771941	17179869979	34359739314	-0.6682	2541	9898
25769804536	8589935657	34359739414	-0.7817	370	9910
12884902521	475	4294967944	-0.8104	9742	9895
68719477316	12884902758	55834575346	0.9478	513	9982
8589935648	34359739314	51539608126	-0.8658	1810	9990
38654706230	17179869993	34359739422	-0.1795	45	9961
34359739338	475	34359739422	0.9194	1891	9958
30064771808	25769804661	34359739314	0.8576	2544	9984
42949673685	17179869979	25769804467	-0.0052	2108	7892
17179870211	21474837306	34359739422	-0.8791	1893	9992
55834575705	55834575346	55834575473	0.9451	516	9991
25769804531	4294968491	55834575473	0.8241	581	9944
17179870026	34359739422	55834575346	0.6400	541	9920
25769804474	997	4294968491	-0.9940	767	9997
8589935597	12884902758	17179870145	-0.0458	5176	9954
