# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance
38654706507	642.6884	0.2809	600	0.4000
47244640968	839.0641	0.4370	800	0.4000
47244641265	1312.7889	0.4712	4300	0.4000
492	5847.2656	0.4483	12001	0.4000
12884902969	346.5009	0.3293	250	0.4000
4294967944	1634.1367	0.3961	11750	0.4000
17179870145	124.9297	0.4552	7200	0.4000
12884902965	1058.3927	0.4417	2000	0.4000
51539608135	230.4916	0.1767	200	0.4000
997	3077.7002	0.4333	8650	0.4000
12884902778	1275.5927	0.4879	1850	0.4000
8589935708	19.1055	0.1910	950	0.4000
38654706426	91.0610	0.0864	50	0.4000
8589935574	352.9480	0.3508	1100	0.4000
25769804399	126.9262	0.4999	1950	0.4000
21474837267	807.1967	0.4039	3050	0.4000
25769804661	792.9763	0.4424	6300	0.4000
34359739314	1626.7251	0.4396	4550	0.4000
47244641134	2055.7246	0.2711	2300	0.4000
55834575473	2342.4180	0.3739	2600	0.4000
17179870360	1110.6580	0.4500	1400	0.4000
17179870344	437.4896	0.2341	300	0.4000
55834575713	124.8319	0.1549	500	0.4000
51539608126	1181.5347	0.3537	3850	0.4000
17179870371	1434.9286	0.4340	1650	0.4000
47244640934	290.0868	0.2704	1300	0.4000
38654706722	-3.2742	-0.0515	400	0.4000
30064772169	381.7653	0.2162	700	0.4000
38654706476	373.4875	0.0445	550	0.4000
30064771600	72.1646	-0.2929	100	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
51539608220	12884902965	47244641134	0.9782	1996	11989
77309412086	47244640934	47244640968	0.9861	797	11993
81604379280	12884902965	21474837267	-0.8486	1971	11918
107374183058	17179870360	55834575713	0.1576	491	11997
38654706493	25769804661	47244640968	-0.9861	773	11993
4294968378	492	55834575473	-0.9305	2578	11964
47244640832	12884902969	17179870344	-0.1636	243	11998
42949673801	38654706426	47244641265	0.7122	46	11985
38654706334	492	47244641134	0.9588	2288	11979
25769804833	8589935469	17179870145	-0.0000	7191	4809
21474837676	12884902965	47244640968	0.2023	799	12000
34359739223	8589935574	47244640934	-0.6734	1064	11929
30064771960	21474837267	55834575473	-0.9782	2527	11989
17179870327	34359739314	38654706507	0.1969	567	11981
12884902415	492	25769804661	-0.8617	6299	11981
51539608075	12884902965	34359739314	-0.6570	1973	11895
55834575345	12884902778	55834575713	0.8421	435	11979
42949673750	55834575473	55834575713	0.0727	436	11954
25769804824	8589935708	47244641265	-0.9379	921	11968
51539608329	8589935574	47244641265	0.1527	1056	11930
38654706524	30064771600	38654706426	-0.4020	47	11994
25769804306	12884902778	21474837267	-0.8072	1741	11893
12884903060	25769804661	47244640934	0.7905	1291	11983
25769804315	492	997	-0.9685	8602	11984
21474837622	8589935708	55834575713	-1.0000	424	12000
51539608429	17179870371	47244640934	-0.8571	1292	11923
8589935221	492	4294967944	0.2088	11749	11964
12884902465	47244641265	55834575473	-0.9493	2527	11974
42949673950	8589935708	55834575473	0.5770	924	11842
64424510313	8589935708	17179870371	0.4815	886	11998
30064771709	12884902778	51539608135	0.0547	169	11831
17179870287	12884902778	17179870360	-0.3065	1365	11965
42949673678	492	12884902969	0.6514	225	11967
17179869975	997	17179870145	-0.7956	7193	11994
17179869973	492	17179870145	-0.8990	7193	11988
38654706585	25769804661	38654706507	-0.6398	569	11998
25769804791	12884902778	38654706426	0.7230	47	11974
30064771989	38654706507	47244640968	0.6901	569	11921
60129542813	17179870360	55834575473	-0.9940	1304	11997
8589935648	34359739314	51539608126	-0.9427	3810	11990
12884903085	17179870371	55834575473	-0.3288	1573	11999
34359739214	21474837267	47244640934	-0.8351	1234	11939
30064771808	25769804661	34359739314	0.7752	4544	11995
55834575640	8589935574	12884902965	-0.1179	1059	11926
25769804692	997	38654706426	0.6864	48	11985
25769804456	12884902969	55834575473	0.9960	226	11998
25769804440	12884902965	12884902969	0.5482	170	11989
51539608532	21474837267	38654706476	-0.8443	338	11947
47244641160	12884902969	38654706507	-0.1600	243	11976
30064771867	17179870371	47244640968	0.9821	774	11991
21474837624	8589935574	34359739314	0.4460	1062	11969
42949673918	21474837267	55834575713	0.8368	488	11959
30064771645	17179870145	17179870360	-0.9724	1366	11986
60129542649	8589935708	34359739314	-0.5732	930	11983
90194313750	17179870360	25769804661	0.9960	1355	11998
68719477536	17179870145	51539608135	0.2957	170	11964
12884902808	492	25769804399	-0.9881	1929	11994
60129542811	12884902965	25769804399	-0.9063	1941	11953
