# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance
17179870388	51.0139	0.4397	50	0.4000
47244640968	2617.0640	0.4370	2800	0.4000
47244641265	2198.7891	0.4712	6300	0.4000
492	3583.2656	0.4483	14001	0.4000
42949673607	211.7714	0.2207	150	0.4000
4294967944	1299.1367	0.3961	13750	0.4000
73014445006	399.4996	0.3754	1750	0.4000
17179870382	263.4580	0.1445	200	0.4000
51539608421	477.8688	0.3771	600	0.4000
997	2143.7002	0.4333	10650	0.4000
12884902778	1214.5927	0.4879	3850	0.4000
38654706192	204.2462	0.3751	1100	0.4000
81604379111	97.8838	0.1047	400	0.4000
30064772217	361.0458	0.2848	550	0.4000
25769804399	539.9263	0.4999	3950	0.4000
94489280989	55.3754	0.2164	100	0.4000
25769804661	623.9763	0.4424	8300	0.4000
34359739314	1883.7251	0.4396	6550	0.4000
47244641134	1137.7246	0.2711	4300	0.4000
55834575473	2258.4180	0.3739	4600	0.4000
17179870360	351.6580	0.4500	3400	0.4000
64424509998	355.6286	0.3351	300	0.4000
64424510396	145.0997	0.0318	250	0.4000
51539608126	43.5347	0.3537	5850	0.4000
17179870371	1762.9287	0.4340	3650	0.4000
34359739001	1065.3209	0.4945	800	0.4000
73014444895	451.7623	0.1856	850	0.4000
51539608170	121.2480	0.0675	750	0.4000
30064772189	54.3537	0.0344	450	0.4000
85899346531	45.2693	0.1576	350	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
51539608619	73014445006	94489280989	0.6591	76	13990
51539608564	17179870382	34359739001	0.0048	88	13971
30064772199	85899346531	94489280989	0.3562	89	13953
42949673697	492	51539608170	0.5720	599	13999
38654706493	25769804661	47244640968	-0.8423	2773	13996
4294968378	492	55834575473	-0.9212	4578	13959
38654706763	17179870371	64424510396	0.6424	79	13979
47244640792	30064772217	81604379111	0.1166	373	13934
38654706334	492	47244641134	-0.8657	4288	13991
42949673871	34359739001	55834575473	0.8974	771	13987
73014444593	64424510396	94489280989	0.2455	82	13989
64424510261	34359739314	94489280989	0.3210	66	13934
30064772140	17179870382	30064772189	-0.0169	184	13985
60129543134	25769804661	94489280989	0.4447	90	13961
12884902415	492	25769804661	-0.8513	8299	13992
42949673650	25769804399	94489280989	0.6100	84	13975
47244640902	55834575473	94489280989	0.2382	91	13970
42949673701	42949673607	64424510396	-0.1658	130	13950
47244641082	51539608126	94489280989	-0.0503	71	13993
51539608252	30064772189	94489280989	-0.2447	72	13996
42949673441	34359739001	38654706192	0.9513	758	13999
47244641100	47244641265	94489280989	0.2306	92	13984
51539608394	34359739001	34359739314	0.0533	777	13777
25769804315	492	997	-0.9531	10602	13976
51539608059	17179870388	38654706192	0.3296	15	13985
21474837567	17179870388	73014445006	0.3289	16	13984
8589935221	492	4294967944	-0.9286	13749	13963
12884902465	47244641265	55834575473	-0.8486	4527	13979
64424510370	47244641265	81604379111	-0.2040	373	13950
34359739331	51539608170	94489280989	0.1352	73	13965
8589935665	47244640968	81604379111	1.0000	375	14000
17179870287	12884902778	17179870360	-0.8740	3365	13968
34359739413	17179870382	51539608170	-0.1936	132	13938
17179870261	492	94489280989	0.2465	73	13979
42949673485	64424509998	81604379111	0.2472	271	13793
60129542745	42949673607	55834575473	-0.0320	132	13980
42949673815	25769804661	30064772189	-0.0966	377	13963
68719477415	17179870388	81604379111	0.5688	18	13982
60129542813	17179870360	55834575473	-0.6082	3304	13871
8589935648	34359739314	51539608126	-0.8634	5810	13973
12884903085	17179870371	55834575473	-0.7324	3573	13910
47244641025	30064772217	47244641134	-0.3929	482	13954
30064771808	25769804661	34359739314	0.2222	6544	13994
38654706803	997	64424509998	0.8710	273	13931
60129542921	25769804661	81604379111	-0.7072	383	13988
103079215671	42949673607	51539608421	0.1338	133	13957
34359739181	38654706192	42949673607	0.6382	133	13997
12884903066	17179870382	47244640968	0.6432	133	13970
34359739260	492	64424509998	0.0154	275	13980
30064771867	17179870371	47244640968	0.8427	2774	13963
30064771859	47244640968	94489280989	0.2218	96	13912
21474837663	25769804399	81604379111	-0.5360	388	13985
34359738975	25769804661	73014445006	-0.7662	1671	13937
42949673775	34359739314	51539608170	0.8644	697	14000
90194313750	17179870360	25769804661	-0.9284	3355	13992
47244641188	17179870360	51539608421	0.6902	573	13956
12884902808	492	25769804399	-0.9743	3929	13987
38654706605	42949673607	94489280989	0.0069	85	13974
73014444529	47244641134	51539608170	-0.0464	712	13965
12884902973	17179870360	34359739001	-0.0903	760	13978
42949673657	34359739001	47244640968	0.0693	785	13988
42949674017	47244641134	64424509998	0.3975	276	13977
51539608166	492	17179870360	-0.7391	3308	13947
55834575393	17179870388	55834575473	0.3257	21	13979
25769804688	12884902778	34359739314	0.2448	3769	13997
38654706313	17179870360	25769804399	0.1276	3368	13991
47244640746	30064772217	64424510396	0.7495	230	13993
38654706447	17179870371	42949673607	-0.1689	134	13968
55834575391	42949673607	85899346531	0.0581	134	13986
51539608359	30064772217	38654706192	0.4523	538	13937
38654706819	25769804399	34359739001	0.0627	786	13989
64424510232	30064772189	81604379111	-0.5542	389	13981
30064772058	4294967944	94489280989	0.2031	97	13993
60129542727	12884902778	73014444895	0.5869	836	13996
47244641421	997	51539608170	-0.7099	712	13982
47244641064	30064772217	34359739001	-0.3788	539	13932
38654706625	25769804661	51539608421	-0.4618	598	13927
64424509938	51539608421	94489280989	0.3745	99	13973
77309412043	17179870371	34359739001	-0.0210	713	13993
25769804549	25769804399	25769804661	-0.7424	3909	13973
17179869860	997	34359739314	-0.9608	6547	13980
38654706497	38654706192	73014444895	-0.3632	835	13972
68719477290	73014445006	81604379111	0.0490	389	13972
55834575469	51539608126	85899346531	-0.1375	277	13960
51539608510	34359739001	51539608421	-0.0334	581	13903
12884903107	47244640968	47244641134	0.9305	2774	13964
51539608041	17179870382	25769804399	-0.1366	186	13967
38654706562	34359739001	51539608170	-0.6653	720	13942
21474837361	25769804661	73014444895	0.9704	812	13985
85899346550	51539608126	51539608170	-0.4102	617	13970
30064772125	4294967944	47244641134	-0.8230	4288	13991
12884902831	492	51539608126	-0.6829	5814	13942
30064771766	42949673607	73014444895	0.1928	135	13948
21474837679	17179870360	34359739314	-0.9237	3374	14000
47244641283	51539608421	85899346531	0.9436	278	13971
8589935704	73014444895	73014445006	-0.8465	832	13962
51539608109	997	47244641134	-0.8568	4293	13946
60129543278	17179870360	64424510396	-0.3219	231	13959
30064772075	12884902778	64424509998	0.0313	279	13999
30064772258	51539608126	73014444895	0.5493	789	13962
25769804395	34359739001	51539608126	0.2780	764	13952
34359739525	997	64424510396	0.8975	190	13946
47244640929	4294967944	30064772217	-0.0556	540	13979
42949673842	38654706192	47244641134	-0.6325	1097	13992
25769804642	492	17179870371	-0.9267	3549	13962
55834575533	997	47244641265	-0.9802	6287	13990
25769804670	12884902778	51539608126	-0.9280	3836	13963
90194313858	38654706192	81604379111	0.4913	301	13968
