# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance
17179870388	495.0139	0.4397	2050	0.4000
47244640968	3196.0640	0.4370	4800	0.4000
47244641265	2442.7891	0.4712	8300	0.4000
492	2478.2656	0.4483	16001	0.4000
34359739463	989.9418	0.3627	850	0.4000
4294967944	319.1367	0.3961	15750	0.4000
34359739301	357.3633	0.2953	1050	0.4000
73014444843	350.3936	0.3885	700	0.4000
64424510271	499.6743	0.1331	400	0.4000
997	177.7002	0.4333	12650	0.4000
34359738846	310.4424	0.4418	100	0.4000
17179870395	325.4193	0.0370	550	0.4000
42949673859	975.8066	0.2944	1750	0.4000
30064772217	111.0458	0.2848	2550	0.4000
25769804399	61.9263	0.4999	5950	0.4000
47244640946	62.4393	0.2702	1800	0.4000
90194314089	1570.9470	0.4702	1550	0.4000
34359739314	1834.7251	0.4396	8550	0.4000
68719477465	689.5298	0.4309	1200	0.4000
55834575473	905.4180	0.3739	6600	0.4000
25769804885	803.5805	0.3972	450	0.4000
51539608146	259.4095	0.1476	750	0.4000
55834575831	159.7662	0.0594	200	0.4000
77309412099	206.3349	0.4774	50	0.4000
42949673970	354.5460	0.2960	300	0.4000
34359739001	85.3209	0.4945	2800	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
64424509922	34359738846	77309412099	0.5419	44	15956
21474837678	17179870395	38654706674	-0.0345	301	15699
12884902895	42949673859	90194314089	0.9881	1502	15994
51539608692	77309412099	90194314089	0.8482	45	15975
42949673690	34359739001	90194314089	-0.8552	1502	15966
4294968378	492	55834575473	-0.9011	6578	15948
73014444590	492	34359739463	0.9531	835	15976
51539608709	25769804399	55834575831	0.1007	166	15928
77309412075	30064772217	68719477465	-0.9084	1160	15952
42949673871	34359739001	55834575473	-0.9305	2771	15964
85899346425	34359739301	77309412099	-0.1005	47	15966
42949674142	30064772217	42949673859	-0.4827	1735	15996
38654706459	17179870388	77309412099	0.3537	47	15989
73014444718	34359739001	34359739463	-0.1872	841	15996
47244640732	17179870388	51539608146	-0.0973	718	15963
47244641235	25769804885	55834575831	0.2794	170	15930
55834575450	25769804885	42949673859	-0.3891	333	15997
94489281265	34359739463	55834575473	-0.9704	841	15985
42949673877	4294967944	34359739463	0.9084	843	15952
85899346662	997	77309412099	0.7405	29	15995
60129542895	55834575831	73014444843	0.6145	119	15963
81604379173	492	42949673859	0.9577	1747	15991
51539608394	34359739001	34359739314	-0.9493	2777	15974
25769804315	492	997	-0.9550	12602	15977
64424510384	4294967944	64424510271	0.9960	398	15998
64424509997	34359739314	51539608146	0.1293	739	15923
8589935221	492	4294967944	-0.9665	15749	15983
12884902465	47244641265	55834575473	-0.9550	6527	15977
42949674009	42949673859	55834575473	-0.9841	1738	15992
60129543026	42949673859	55834575831	0.1389	172	15981
73014444591	34359739463	47244641265	-0.2431	774	15946
64424510300	25769804885	90194314089	0.4767	433	15971
47244640916	47244640946	64424510271	-0.3295	306	15978
21474837677	492	77309412099	0.7092	49	15967
55834575540	4294967944	42949673859	-0.0176	1749	15996
42949674130	30064772217	55834575831	0.3056	173	15961
17179870374	4294967944	25769804885	0.3108	434	15998
42949673793	34359739301	68719477465	-0.1083	1040	15992
38654706741	4294967944	51539608146	-0.9257	725	15998
94489281168	55834575831	68719477465	-0.0259	173	15983
47244641047	17179870395	42949673970	0.4816	269	15990
42949673854	17179870395	42949673859	-0.6922	535	15923
30064771957	34359739314	90194314089	-0.0596	1500	15941
68719477322	34359739463	47244640968	0.8511	838	15991
60129543005	25769804885	73014444843	0.4932	320	15897
103079215888	17179870395	55834575831	-0.0175	177	15939
38654706734	25769804885	34359739463	0.0993	435	15994
55834575495	47244640968	51539608146	0.8975	725	15946
103079215812	34359739001	51539608146	-0.7610	635	15962
47244641195	47244640968	55834575473	0.8382	4759	15953
30064772249	17179870388	25769804885	0.9512	273	15975
94489281485	34359739463	47244640946	0.9588	777	15979
55834575689	997	17179870395	0.4897	536	15987
42949674025	30064772217	90194314089	0.8238	1545	15987
77309412037	34359738846	47244640968	0.0681	54	15991
47244641163	30064772217	42949673970	0.2014	274	15993
12884902808	492	25769804399	-0.9608	5929	15980
64424510055	34359738846	42949673970	-0.0992	88	15965
55834575726	25769804399	34359739463	0.9107	849	15995
81604379473	42949673970	47244640946	-0.3807	278	15952
42949673657	34359739001	47244640968	-0.9512	2785	15975
55834575374	492	51539608146	0.8940	726	15997
73014445040	55834575473	73014444843	0.8649	635	15989
55834575393	17179870388	55834575473	0.1830	2021	15998
47244641074	30064772217	77309412099	0.7372	30	15988
51539608414	25769804885	47244640968	0.9329	444	15977
21474837667	25769804399	42949673970	0.3117	266	15979
81604379291	492	68719477465	0.8632	1155	15972
60129543175	25769804885	77309412099	0.3198	30	15992
124554052179	34359739301	55834575473	0.9763	989	15988
38654706819	25769804399	34359739001	-0.9230	2786	15960
64424510315	42949673859	77309412099	0.4159	33	15967
68719477526	34359738846	90194314089	0.4658	59	15954
60129542951	47244640946	51539608146	-0.8285	749	15906
38654706675	25769804399	68719477465	0.9743	1130	15987
47244641064	30064772217	34359739001	-0.9704	2539	15985
47244640993	997	90194314089	0.0339	1511	15855
51539608033	17179870395	47244641265	0.4590	536	15978
68719477243	42949673970	73014444843	0.6153	279	15917
47244641398	55834575831	90194314089	0.4201	180	15981
17179869860	997	34359739314	-0.9646	8547	15982
38654706461	55834575473	68719477465	-0.9659	1088	15992
34359739296	30064772217	34359739301	0.5787	994	15999
47244641197	34359739314	42949673859	-0.9286	1717	15963
90194314233	34359738846	68719477465	0.9588	88	15979
25769804897	4294967944	68719477465	-0.9047	1167	15950
34359739363	17179870388	34359739463	-0.9267	771	15962
47244641070	25769804885	30064772217	0.1241	445	15982
38654706709	47244640946	90194314089	0.9531	1513	15976
47244641247	42949673859	47244640968	0.2497	1728	15993
64424510574	34359739463	42949673859	-0.3760	780	15998
85899346520	17179870388	34359739001	0.1520	1974	15995
64424510288	4294967944	17179870395	0.8675	534	15929
68719477833	25769804885	34359739301	-0.1686	446	15978
107374182877	34359739314	68719477465	-0.0242	1140	15993
30064772173	17179870395	34359739301	0.5231	514	15893
47244641391	47244640968	68719477465	0.5016	1173	15977
34359739421	42949673859	68719477465	1.0000	1122	16000
73014445090	34359739463	51539608146	-0.1337	749	15924
51539608063	42949673970	90194314089	0.2983	182	15997
42949673923	25769804399	42949673859	-0.7650	1720	15908
68719477395	492	17179870388	-0.2900	1961	15899
47244640929	4294967944	30064772217	0.5021	2540	15921
64424510456	25769804885	34359738846	0.1731	63	15941
