# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance
47244641439	541.9845	0.1829	300	0.4000
47244640968	4306.0640	0.4370	6800	0.4000
47244641265	1546.7891	0.4712	10300	0.4000
492	1338.2656	0.4483	18001	0.4000
34359739463	453.9419	0.3627	2850	0.4000
60129542694	825.8611	0.4356	600	0.4000
73014444644	1272.1393	0.3496	1250	0.4000
73014444843	1183.3936	0.3885	2700	0.4000
55834575512	892.1728	0.3471	800	0.4000
55834575662	70.3236	0.2731	100	0.4000
34359738846	603.4424	0.4418	2100	0.4000
30064772250	984.6812	0.4606	900	0.4000
42949673859	694.8066	0.2944	3750	0.4000
64424510548	365.7913	0.2970	1050	0.4000
81604379145	309.0187	0.0903	650	0.4000
68719477659	85.5179	-0.1292	200	0.4000
90194314089	1368.9470	0.4702	3550	0.4000
34359739314	1191.7251	0.4396	10550	0.4000
103079215694	360.2643	0.0274	250	0.4000
55834575473	188.4180	0.3739	8600	0.4000
25769804885	518.5805	0.3972	2450	0.4000
60129542890	311.3970	0.1532	400	0.4000
55834576029	108.7791	-0.1178	150	0.4000
77309412099	1288.3350	0.4774	2050	0.4000
51539608253	473.5354	0.2399	1150	0.4000
98784248464	165.5452	0.2580	1700	0.4000
64424510343	139.2783	0.1430	1650	0.4000
17179870368	763.7976	0.4711	1600	0.4000
73014444761	148.0369	0.3346	700	0.4000
73014444914	261.2172	0.4452	550	0.4000
68719477755	144.3685	-0.1377	500	0.4000
34359739584	255.3422	0.4193	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
64424509922	34359738846	77309412099	-0.1861	2044	17997
68719477484	55834575512	55834575662	0.9543	95	18000
12884902895	42949673859	90194314089	0.7442	3502	17924
51539608692	77309412099	90194314089	-0.7831	2045	17985
64424510452	64424510343	73014444644	0.4359	1238	17972
4294968378	492	55834575473	-0.6939	8578	17963
73014444590	492	34359739463	0.0142	2835	17909
38654706545	42949673859	55834575512	0.5806	741	17972
55834575433	492	47244641081	-0.0189	906	17094
98784248400	60129542890	68719477659	-0.1335	117	17972
38654706851	47244641265	73014444644	-0.3667	1246	17949
90194313794	60129542890	68719477755	0.0903	347	17978
111669150205	68719477654	68719477659	0.2229	176	17824
55834575528	55834575662	60129542694	0.5237	95	17981
25769804879	73014444644	90194314089	0.9920	1238	17996
51539608341	34359739463	73014444644	-0.0540	1197	17988
55834575450	25769804885	42949673859	-0.8111	2333	17896
94489281265	34359739463	55834575473	-0.7786	2841	17875
47244641184	34359739314	60129542890	0.5514	330	17955
81604379258	60129542890	73014444843	0.1117	350	17993
42949674048	492	51539608253	0.9724	1052	17986
81604379173	492	42949673859	1.0000	3747	18000
81604379450	68719477659	98784248464	-0.4931	179	17995
30064772194	47244640968	60129542694	-0.3040	563	17990
42949673490	51539608253	64424510548	-0.0036	916	17993
55834575657	34359739463	55834575662	0.5914	97	17990
64424510470	60129542890	77309412099	0.9743	363	17987
12884902465	47244641265	55834575473	-0.9175	8527	17957
42949674009	42949673859	55834575473	-0.9881	3738	17994
73014444557	25769804885	47244641439	0.8212	276	17961
73014444591	34359739463	47244641265	-0.9802	2774	17990
64424510300	25769804885	90194314089	0.1994	2433	17987
111669150399	64424510343	81604379145	0.9782	626	17989
21474837677	492	77309412099	-0.0849	2049	17979
81604379358	25769804885	64424510548	-0.2450	1049	17995
47244640896	47244641265	81604379145	-0.9310	630	17982
60129543076	60129542694	60129542890	0.2933	357	17959
64424510034	47244640968	73014444644	-0.6756	1247	17994
42949673955	55834575473	68719477659	0.3129	179	17971
55834575580	51539608253	77309412099	0.5315	1061	17940
146028888722	17179870368	60129542890	0.9361	319	17967
77309411987	17179870368	47244641439	0.8537	180	17921
