# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294967785	1600.2577	0.3829	1850	0.4000	0,2,1	0.5000	9
492	7134.3091	0.3210	2001	0.4000	3,1,0	0.5000	52
522	2219.0254	0.2071	2001	0.4000	3,2,0	0.5000	56
508	4715.3032	0.1770	2001	0.4000	2,3,3	0.5000	47
495	3737.3579	-0.0875	2001	0.4000	3,2,0	0.5000	56
488	3974.1172	0.4693	2001	0.4000	1,3,3	0.5000	31
487	1040.0388	0.1463	2001	0.4000	1,1,0	0.5000	20
8589935433	1484.6439	0.2756	1750	0.4000	1,3,2	0.5000	30
17179870015	2708.7446	0.4636	1650	0.4000	3,0,0	0.5000	48
8589935124	1540.2050	-0.1773	1600	0.4000	0,0,3	0.5000	3
8589935466	1024.2952	0.1026	1500	0.4000	2,3,2	0.5000	46
17179869998	2469.7661	0.2098	1450	0.4000	1,1,0	0.5000	20
4294967898	1403.2140	-0.2000	1400	0.4000	2,3,3	0.5000	47
12884902671	728.2173	-0.2858	1350	0.4000	0,1,3	0.5000	7
12884902526	697.6478	-0.0568	1200	0.4000	0,2,1	0.5000	9
12884902755	1429.1898	0.3178	1250	0.4000	2,3,2	0.5000	46
17179869838	1360.1268	0.4974	1150	0.4000	3,2,0	0.5000	56
8589935199	982.9807	-0.1594	1100	0.4000	0,1,3	0.5000	7
12884902720	2175.1494	0.3314	1050	0.4000	3,3,0	0.5000	60
4294968202	824.2651	0.1949	1000	0.4000	1,3,3	0.5000	31
21474837150	1405.3087	0.0869	950	0.4000	1,2,1	0.5000	25
21474837206	86.2282	0.3622	900	0.4000	1,0,2	0.5000	18
4294967886	1283.7953	-0.1147	850	0.4000	1,3,3	0.5000	31
12884902481	1436.5227	-0.1423	800	0.4000	1,2,3	0.5000	27
8589935117	1234.0957	0.4342	750	0.4000	3,1,1	0.5000	53
12884902738	775.5071	0.1380	700	0.4000	1,2,2	0.5000	26
8589935427	1525.8120	0.2992	650	0.4000	1,1,0	0.5000	20
8589935168	985.7985	-0.1359	600	0.4000	2,2,1	0.5000	41
4294967916	1082.9949	0.3535	550	0.4000	2,3,3	0.5000	47
8589935293	983.7237	0.1712	500	0.4000	2,3,0	0.5000	44
941	1017.5969	0.4293	450	0.4000	2,0,3	0.5000	35
966	1124.0529	0.1340	400	0.4000	1,2,3	0.5000	27
996	779.7300	0.4625	350	0.4000	0,1,0	0.5000	4
1028	750.5649	0.1880	300	0.4000	1,1,1	0.5000	21
1059	396.4192	-0.0423	250	0.4000	0,2,1	0.5000	9
1098	357.3680	0.1184	200	0.4000	1,3,1	0.5000	29
1128	342.8616	-0.0777	150	0.4000	1,1,2	0.5000	22
1169	438.7588	0.2749	100	0.4000	0,1,2	0.5000	6
1202	310.1082	-0.2084	50	0.4000	2,0,2	0.5000	34

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
25769804609	488	17179870015	-0.3243	1636	1841
25769804503	508	17179870015	0.8641	1638	1993
21474837267	495	4294967785	-0.1798	1843	1756
4294967814	501	4294967785	-0.0082	1831	169
8589935315	478	492	-0.0029	1952	48
540	487	492	-0.0650	2000	1851
721	492	495	0.9648	1992	1989
12884902450	492	17179870015	-0.0585	1640	1587
8589935067	495	8589935433	-0.3241	1717	1828
4294968009	4294967785	8589935433	-0.4144	1749	1984
4294968179	488	4294967785	0.9665	1846	1983
4294967797	508	4294967785	0.0177	1828	1773
17179869875	508	8589935433	0.2208	1724	1973
8589935089	487	8589935433	0.0821	1736	1847
12884902689	487	17179870015	-0.1762	1647	1843
12884902578	522	8589935433	0.9001	1737	1983
12884902604	495	17179870015	0.9763	1647	1988
8589935290	522	17179870015	-0.2781	1648	1756
8589935394	487	4294967785	-0.3453	1846	1998
17179870033	487	508	-0.3269	1952	1817
731	488	522	-0.1977	1992	2000
4294967830	492	508	0.1988	1923	1919
8589935452	488	508	0.9980	1944	1999
4294967810	488	8589935425	-0.0042	1926	74
649	487	488	-0.3830	1995	1992
8589935255	495	522	-0.0976	1944	1932
8589935312	488	8589935433	-0.0297	1744	1819
4294968169	488	495	-0.3052	1978	1743
17179869920	492	8589935433	0.9685	1745	1984
8589935139	522	4294967785	-0.5615	1848	1989
4294968200	488	492	0.9323	1941	1965
8589935476	492	499	-0.0027	1933	67
4294967792	508	522	-0.3536	1953	1824
676	487	495	-0.1532	1994	1825
4294967841	486	495	-0.0016	1965	35
786	487	522	0.9029	1989	1949
17179869750	495	508	0.3409	1871	1994
12884902393	492	4294967785	1.0000	1848	2000
4294967795	492	522	0.9940	1932	1997
8589935103	8589935433	17179870015	-0.5378	1635	1980
17179869839	4294967785	17179870015	0.3569	1634	1908
21474836996	488	8589935124	0.9920	1599	1996
21474837126	495	8589935124	0.8004	1598	1980
8589935092	487	8589935124	-0.4543	1597	1907
12884902630	4294967785	8589935124	-0.4568	1597	1949
12884902683	522	8589935124	-0.2788	1592	1990
21474837015	492	8589935124	0.2300	1587	1975
17179869783	8589935124	8589935433	-0.1528	1575	1943
25769804580	8589935124	17179870015	-0.3523	1573	1819
21474836973	508	8589935124	0.0078	1554	1966
12884902401	8589935124	8589935466	-0.3748	1474	1688
17179869784	492	8589935466	-0.2273	1482	1768
12884902473	495	8589935466	0.3605	1485	1997
12884902667	4294967785	8589935466	-0.5188	1486	1993
21474837209	508	8589935466	0.9038	1486	1999
12884902567	522	8589935466	-0.3529	1496	1870
17179870079	488	8589935466	0.8714	1489	1995
21474837247	8589935433	8589935466	-0.5590	1497	1961
17179869699	4294967785	17179869998	0.4732	1449	1957
12884902664	17179869998	17179870015	-0.0028	1449	1820
12884902552	8589935124	17179869998	-0.1162	1447	1935
12884902594	8589935466	17179869998	-0.4377	1447	1851
30064771582	8589935433	17179869998	-0.2724	1446	1985
