# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4593	2152.1938	0.0974	1300	0.4000	3,0,3	0.5000	51
492	7152.3086	0.3210	6001	0.4000	3,1,0	0.5000	52
522	228.0245	0.2071	6001	0.4000	3,2,0	0.5000	56
508	4070.3032	0.1770	6001	0.4000	2,3,3	0.5000	47
495	2357.3579	-0.0875	6001	0.4000	3,2,0	0.5000	56
488	4879.1172	0.4693	6001	0.4000	1,3,3	0.5000	31
6546	1401.7631	0.0662	250	0.4000	3,3,1	0.5000	61
8589935433	312.2381	0.2756	5750	0.4000	1,3,2	0.5000	30
17179870015	2927.7446	0.4636	5650	0.4000	3,0,0	0.5000	48
8589935124	1001.3079	-0.1773	5600	0.4000	0,0,3	0.5000	3
8589935466	660.8959	0.1026	5500	0.4000	2,3,2	0.5000	46
17179869998	1786.7661	0.2098	5450	0.4000	1,1,0	0.5000	20
4294967898	850.1110	-0.2000	5400	0.4000	2,3,3	0.5000	47
4065	2663.1318	0.3442	1650	0.4000	1,0,3	0.5000	19
12884902526	429.0452	-0.0568	5200	0.4000	0,2,1	0.5000	9
12884902755	891.0825	0.3178	5250	0.4000	2,3,2	0.5000	46
17179869838	881.8230	0.4974	5150	0.4000	3,2,0	0.5000	56
8589935199	351.7796	-0.1594	5100	0.4000	0,1,3	0.5000	7
12884902720	1124.6489	0.3314	5050	0.4000	3,3,0	0.5000	60
4294968202	104.0626	0.1949	5000	0.4000	1,3,3	0.5000	31
21474837150	1331.6083	0.0869	4950	0.4000	1,2,1	0.5000	25
1319	897.7739	-0.0130	3900	0.4000	1,2,0	0.5000	24
4294967886	1363.0938	-0.1147	4850	0.4000	1,3,3	0.5000	31
12884902481	1743.8223	-0.1423	4800	0.4000	1,2,3	0.5000	27
8589935117	1569.3955	0.4342	4750	0.4000	3,1,1	0.5000	53
12884902738	123.2141	0.1380	4700	0.4000	1,2,2	0.5000	26
8589935427	1614.8120	0.2992	4650	0.4000	1,1,0	0.5000	20
8589935168	165.3078	-0.1359	4600	0.4000	2,2,1	0.5000	41
4294967916	657.4946	0.3535	4550	0.4000	2,3,3	0.5000	47
8589935293	412.0313	0.1712	4500	0.4000	2,3,0	0.5000	44
941	521.6926	0.4293	4450	0.4000	2,0,3	0.5000	35
966	549.0527	0.1340	4400	0.4000	1,2,3	0.5000	27
996	1236.0288	0.4625	4350	0.4000	0,1,0	0.5000	4
1028	863.7623	0.1880	4300	0.4000	1,1,1	0.5000	21
1059	684.0061	-0.0423	4250	0.4000	0,2,1	0.5000	9
1098	947.2651	0.1184	4200	0.4000	1,3,1	0.5000	29
1128	945.0604	-0.0777	4150	0.4000	1,1,2	0.5000	22
1169	1114.4564	0.2749	4100	0.4000	0,1,2	0.5000	6
1202	807.5061	-0.2084	4050	0.4000	2,0,2	0.5000	34
1232	806.1681	-0.1185	4000	0.4000	2,2,3	0.5000	43
1277	526.5894	0.3653	3950	0.4000	3,0,1	0.5000	49
4294968449	532.4423	0.1151	3850	0.4000	1,3,1	0.5000	29
1363	678.8990	-0.0753	3800	0.4000	0,3,2	0.5000	14
1404	451.6601	0.2678	3750	0.4000	2,3,2	0.5000	46
1451	783.1641	-0.0380	3700	0.4000	3,2,3	0.5000	59
1493	1151.7241	0.4649	3650	0.4000	3,3,1	0.5000	61
1537	2068.9727	0.3292	3600	0.4000	0,3,0	0.5000	12
1581	839.0430	0.2066	3550	0.4000	1,0,3	0.5000	19
1631	1004.4716	0.3228	3500	0.4000	0,3,3	0.5000	15
1678	840.7552	0.1587	3450	0.4000	3,2,1	0.5000	57
1723	1178.8384	-0.2860	3400	0.4000	2,1,0	0.5000	36
1772	618.9161	-0.0955	3350	0.4000	2,2,3	0.5000	43
