# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	2437.4731	0.3535	16001	0.4000	1,2,1	0.5000	25
8277	864.7502	-0.2262	10200	0.4000	2,3,0	0.5000	44
477	420.9717	0.1820	16001	0.4000	3,1,3	0.5000	55
8589939079	3273.8599	0.0727	1850	0.4000	0,0,1	0.5000	1
479	1900.1245	-0.0857	16001	0.4000	3,2,1	0.5000	57
480	2823.0625	0.4021	16001	0.4000	0,3,3	0.5000	15
10730	315.5645	0.3478	9250	0.4000	0,0,0	0.5000	0
6139	456.0957	-0.1426	11150	0.4000	2,0,2	0.5000	34
2212	727.6147	0.4746	13550	0.4000	2,1,2	0.5000	38
9531	2649.5435	-0.1913	9700	0.4000	2,2,1	0.5000	41
3721	355.4751	0.1814	12450	0.4000	1,3,2	0.5000	30
503	3176.7998	0.4325	16001	0.4000	0,3,0	0.5000	12
4294975279	22.8056	0.3045	200	0.4000	1,3,0	0.5000	28
5031	861.7051	0.3873	11700	0.4000	2,0,0	0.5000	32
4294967865	3367.6689	0.1746	15700	0.4000	3,1,2	0.5000	54
4294967997	4099.8486	0.3743	15900	0.4000	3,3,0	0.5000	60
12445	114.0762	0.2786	8650	0.4000	2,1,2	0.5000	38
8388	488.1851	0.3123	10150	0.4000	2,0,3	0.5000	35
4294982289	68.0969	-0.1218	100	0.4000	3,2,0	0.5000	56
11439	1723.8770	-0.0167	9000	0.4000	2,3,1	0.5000	45
9796	522.1907	-0.2374	9600	0.4000	0,3,1	0.5000	13
9923	1445.3911	0.3442	9550	0.4000	2,2,0	0.5000	40
13818	2737.8540	-0.0558	8200	0.4000	0,1,3	0.5000	7
3257	1806.1372	-0.0389	12750	0.4000	3,3,3	0.5000	63
8589935318	500.7607	0.4385	15300	0.4000	0,3,3	0.5000	15
3967	634.1177	0.4046	12300	0.4000	2,3,2	0.5000	46
2318	819.9761	0.0408	13450	0.4000	3,2,1	0.5000	57
8589935373	2520.9062	0.1460	15150	0.4000	2,3,1	0.5000	45
3578	91.9473	-0.0131	12550	0.4000	3,1,3	0.5000	55
4294967982	1835.0322	0.1539	15050	0.4000	0,3,2	0.5000	14
2901	319.8472	0.4424	13000	0.4000	2,2,2	0.5000	42
3043	200.4121	-0.0261	12900	0.4000	1,3,2	0.5000	30
13060	640.6860	0.0325	8450	0.4000	3,3,2	0.5000	62
12884910244	519.6749	-0.1303	1450	0.4000	0,3,1	0.5000	13
1059	2366.2324	0.4055	14800	0.4000	3,3,1	0.5000	61
4294971764	37.5998	0.4130	1400	0.4000	1,0,1	0.5000	17
3892	361.1494	0.1584	12350	0.4000	1,0,1	0.5000	17
4849	653.6855	0.0181	11800	0.4000	0,0,3	0.5000	3
1193	123.2812	-0.1162	14600	0.4000	1,1,0	0.5000	20
1232	2100.0361	0.2243	14550	0.4000	3,0,0	0.5000	48
4223	463.3862	0.1425	12150	0.4000	3,2,2	0.5000	58
10460	1995.2307	0.3219	9350	0.4000	2,0,2	0.5000	34
1348	2664.7900	-0.2153	14400	0.4000	3,1,2	0.5000	54
1393	783.2822	-0.2601	14350	0.4000	3,1,0	0.5000	52
1441	282.4531	-0.0482	14300	0.4000	0,2,0	0.5000	8
1481	2421.6318	0.4403	14250	0.4000	2,3,0	0.5000	44
5821	126.2036	0.2397	11300	0.4000	0,0,1	0.5000	1
12892	115.7935	0.4332	8500	0.4000	0,0,1	0.5000	1
1617	1906.4268	-0.1892	14100	0.4000	3,1,3	0.5000	55
2755	1702.4775	-0.0154	13100	0.4000	0,0,0	0.5000	0
1715	235.8159	-0.0829	14000	0.4000	1,0,0	0.5000	16
4306	239.3643	0.3046	12100	0.4000	3,0,0	0.5000	48
2825	2256.4634	-0.0700	13050	0.4000	3,1,2	0.5000	54
1866	2079.6582	0.1821	13850	0.4000	1,3,0	0.5000	28
7558	969.7153	0.3421	10500	0.4000	3,1,1	0.5000	53

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294982036	3043	8589939873	-0.0001	3890	12110
4294969791	1481	4294970851	-0.0029	2128	13872
11564	9531	11439	0.5852	8960	15980
4294967932	475	4294967997	0.9940	15882	15997
4294968054	479	4294967865	0.1379	15678	15999
4294983576	2212	4294984153	-0.0002	4202	11798
14787	12892	13818	0.8220	7879	15996
4294968169	480	4294967865	-0.1809	15685	15814
4294979863	8589935318	12884903404	-0.1088	539	15461
4294979900	2825	8589942479	-0.0002	3666	12334
4094	3967	4294967865	-0.1402	12236	15944
4294980607	3967	4294976107	-0.0001	3745	12255
4294967810	479	4294967997	-0.0509	15865	15998
8589935105	503	4294967997	-0.4394	15890	15992
3277	480	3257	-0.2746	12745	15942
4294977765	4294967865	8589937670	-0.0022	2454	13546
4294974034	4306	4294975044	-0.0004	3405	12595
4294972299	1393	4294970851	-0.0029	2128	13872
4294970037	8589935318	8589941351	-0.0686	482	15518
4294968098	4294967865	4294967997	0.7623	15686	15995
4294967794	477	480	-0.7598	15929	15991
4294974046	477	4294971764	-0.5710	1391	15933
4294969737	3967	4294977894	-0.0004	3111	12889
4294982342	1481	4294975279	-0.2423	81	15919
10230	3578	9796	0.7067	9437	15997
4294970998	2825	4294975279	0.0013	149	15987
4294978728	4294975279	8589935318	-0.0711	195	15805
12025	3721	11439	0.0175	8798	15956
8589940851	8388	8589939079	0.0104	1676	15861
4294969056	2901	4294971764	-0.1639	1398	15532
12884909035	475	12884904966	-0.0026	2253	13747
4294982315	4294975279	4294982289	-0.1744	82	15945
12884902660	475	477	-0.2575	15892	15717
4294977113	1715	4294976115	-0.0024	2956	13044
4294968238	475	480	0.4371	15938	15964
7643	2212	7558	-0.2618	10459	15430
10073	8277	9796	-0.2104	9495	15979
4294975137	1348	4294975279	-0.8036	158	15918
3276	2212	3257	-0.3946	12745	15936
3278	3257	8589935318	-0.1212	12744	15990
13545	503	13060	-0.4594	8298	15996
4294978616	9796	4294975279	-0.6727	198	15802
8589947824	1348	4294969799	-0.0585	448	15552
5874	5821	4294967982	-0.6013	11280	15940
4294977389	10730	4294971764	-0.3566	742	15753
7580	3892	7558	-0.2867	10489	15988
4294968015	477	4294967865	-0.4941	15694	15971
8584	3578	8277	-0.4287	10084	15928
12884902822	9923	4294975694	0.0407	611	15389
4294968108	477	503	-0.4458	15848	15888
4294975276	3043	4294975279	0.9324	166	15999
4294974842	12445	4294975279	-0.0954	166	15951
866	479	503	-0.5161	15969	15954
3279	1715	3257	0.6162	12744	15948
4294981526	3892	4294971764	0.2952	1398	15997
3789	477	3721	0.1920	12409	15934
4027	3043	3892	-0.5776	12270	15988
14196	477	13818	-0.0114	8077	15956
11464	6139	11439	0.0383	8994	15930
8661	1715	8388	-0.5517	10047	15821
902	475	479	-0.2815	15964	15933
13168	1059	12445	-0.3416	8415	15979
8589946880	13818	4294969799	-0.0483	448	15552
4294974710	475	4294975279	0.2112	167	15982
8589937508	4306	4294969799	-0.1183	448	15552
4294970345	2901	8589939079	0.8045	1741	15964
805	477	479	0.0808	15975	15995
3787	1193	3578	-0.1087	12413	15960
11672	4849	10730	-0.6459	8925	15946
3619	1441	3578	-0.1101	12528	15872
13641	5031	12445	-0.2906	8269	15848
10190	1617	9923	-0.2117	9451	15984
4294982798	9923	4294982289	-0.0207	84	15930
4294967786	479	501	-0.0000	15953	47
8589937469	1481	4294971658	-0.1036	262	15738
13727	2755	12892	-0.1306	8237	15970
11080	2755	10730	0.9960	9127	15998
4215	1059	3967	-0.3993	12161	15789
4294967969	475	4294967865	-0.3605	15698	15932
5369	4849	5031	-0.0382	11517	15986
10762	8277	10730	0.9646	9240	15982
8296	1059	8277	-0.2766	10195	15911
4294981517	1441	4294975694	-0.1378	611	15389
8589948127	4294975279	8589939079	0.0653	107	15959
12884902559	480	4294967997	-0.1424	15885	15956
4294967881	475	503	-0.3588	15948	15940
15809	1866	13818	0.9980	7553	15999
9819	9796	4294967865	-0.0526	9591	15910
6187	2901	6139	-0.0946	11130	15972
