# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	1716.4731	0.3535	18001	0.4000	1,2,1	0.5000	25
17179873634	50.8779	0.0548	300	0.4000	0,0,0	0.5000	0
1617	229.4268	-0.1892	16100	0.4000	3,1,3	0.5000	55
8589939079	2332.8599	0.0727	3850	0.4000	0,0,1	0.5000	1
479	1144.1245	-0.0857	18001	0.4000	3,2,1	0.5000	57
2755	976.4775	-0.0154	15100	0.4000	0,0,0	0.5000	0
10730	854.5645	0.3478	11250	0.4000	0,0,0	0.5000	0
1393	663.2822	-0.2601	16350	0.4000	3,1,0	0.5000	52
2212	309.6147	0.4746	15550	0.4000	2,1,2	0.5000	38
9531	939.5435	-0.1913	11700	0.4000	2,2,1	0.5000	41
3721	65.4751	0.1814	14450	0.4000	1,3,2	0.5000	30
503	1525.7998	0.4325	18001	0.4000	0,3,0	0.5000	12
2825	2780.4634	-0.0700	15050	0.4000	3,1,2	0.5000	54
4294967982	895.0322	0.1539	17050	0.4000	0,3,2	0.5000	14
4294967865	1716.6689	0.1746	17700	0.4000	3,1,2	0.5000	54
4294967997	3697.8486	0.3743	17900	0.4000	3,3,0	0.5000	60
12884902614	1711.8922	0.1228	1600	0.4000	3,2,1	0.5000	57
7558	980.7153	0.3421	12500	0.4000	3,1,1	0.5000	53
1866	1489.6582	0.1821	15850	0.4000	1,3,0	0.5000	28
11439	1492.8770	-0.0167	11000	0.4000	2,3,1	0.5000	45
1232	1232.0361	0.2243	16550	0.4000	3,0,0	0.5000	48
12884910244	1165.6749	-0.1303	3450	0.4000	0,3,1	0.5000	13
13818	1190.8540	-0.0558	10200	0.4000	0,1,3	0.5000	7
3257	584.1372	-0.0389	14750	0.4000	3,3,3	0.5000	63
1348	1877.7900	-0.2153	16400	0.4000	3,1,2	0.5000	54
12884911857	53.0334	0.3040	150	0.4000	3,1,2	0.5000	54
1481	680.6318	0.4403	16250	0.4000	2,3,0	0.5000	44
8589935373	1999.9062	0.1460	17150	0.4000	2,3,1	0.5000	45
10460	2336.2307	0.3219	11350	0.4000	2,0,2	0.5000	34

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
30064785126	7558	12884911857	0.3985	133	17961
4294969791	1481	4294970851	-0.0001	4128	13872
11564	9531	11439	-0.7392	10960	18000
4294967932	475	4294967997	0.9627	17882	17981
4294968054	479	4294967865	-0.8298	17678	17989
4294983576	2212	4294984153	-0.0000	6202	11798
12884910273	3721	12884910244	-0.5780	3449	17946
8589943008	2755	8589939079	-0.6628	3841	17999
4294970219	1232	12884902614	0.8714	1587	17985
4294979900	2825	8589942479	-0.0000	5666	12334
14445	13818	4294967997	0.8734	9992	17995
1997	475	1866	0.0602	15739	17980
4294967810	479	4294967997	-0.4870	17865	17940
8589935105	503	4294967997	-0.8385	17890	17912
10585	2755	10460	-0.7792	11307	17972
4294977765	4294967865	8589937670	-0.0000	4454	13546
10883	10460	10730	0.9940	11197	17997
4294972299	1393	4294970851	-0.0001	4128	13872
4294981622	479	12884902614	-0.5450	1589	17898
4294968098	4294967865	4294967997	-0.8421	17686	17997
11810	1232	11439	-0.6732	10877	17994
4294971605	4294967982	8589948920	-0.0063	1613	16387
4294971641	3257	21474844731	-0.0921	1191	16809
15672	1348	13818	-0.7267	9596	17978
3370	2825	3257	-0.8318	14686	17908
8589936499	1481	12884911857	-0.9980	1	17999
21474838798	12884902614	17179873634	-0.4156	169	17901
12025	3721	11439	-0.2942	10798	17993
8589940495	11439	8589949171	-0.0136	1681	16319
30064782539	8589939079	17179884568	-0.0863	324	17676
12884909035	475	12884904966	-0.0000	4253	13747
2801	2212	2755	0.8660	15074	17994
25769816712	11439	12884911857	-0.2216	4	17996
2271	2212	4294967997	-0.5838	15494	17996
2833	1348	2825	-0.8851	15046	17960
7643	2212	7558	-0.3196	12459	17964
1400	1393	8589935373	-0.9175	16344	17957
9888	9531	4294967865	-0.4658	11563	17949
3276	2212	3257	-0.6940	14745	17991
1437	1393	4294967982	-0.8196	16303	17995
1721	1393	1617	-0.5994	15992	17993
9865	2755	9531	-0.7782	11572	17980
8589947824	1348	4294969799	-0.0011	2448	15552
4294973582	10730	12884902614	-0.7575	1595	17975
4294968375	1393	12884911857	-0.2254	119	17886
11900	475	11439	-0.5691	10844	17959
8589941336	2755	12884902614	0.2428	1596	17982
4294978059	479	12884911857	-0.4339	120	17965
8589944153	1866	12884911857	-0.4441	7	17995
4294976937	1617	12884902614	0.9763	1598	17988
10782	2825	10730	0.9869	11231	18000
11209	2212	10730	-0.8351	11077	17910
866	479	503	-0.7610	17969	17922
8589948974	3257	12884911857	-0.9724	14	17986
12510	1866	11439	-0.6556	10631	17994
8589940836	11439	8589939079	-0.7546	3839	17900
4294968729	3721	12884902614	0.5090	1599	18000
2325	1481	2212	0.1974	15448	17950
12884906367	2755	17179873634	-0.1220	290	17945
1995	1866	4294967865	-0.8301	15740	17907
902	475	479	-0.4630	17964	17986
1564	1481	4294967997	-0.6328	16164	17966
8589946880	13818	4294969799	-0.0009	2448	15552
1987	503	1866	0.9782	15745	17989
8589944609	8589939079	17179873634	-0.4528	245	17992
1353	475	1348	0.9940	16396	17997
2247	1232	2212	-0.9743	15515	17987
8589945667	1232	12884911857	-0.2876	21	17979
4294970389	10730	12884910244	-0.7245	3411	17839
12884906195	1617	17179873634	-0.6803	246	17816
8589946044	13818	8589939079	-0.6837	3847	17854
4294969199	3721	12884911857	-0.9032	87	17986
12884916358	4294967982	12884911857	-0.6651	51	17957
4294967786	479	501	-0.0000	17953	47
8589937469	1481	4294971658	-0.0019	2262	15738
2013	1866	4294967997	-0.4580	15727	17972
11080	2755	10730	-0.6725	11127	17997
1553	475	1481	-0.8019	16184	17969
4294967969	475	4294967865	-0.8727	17698	17932
12884906209	13818	17179873634	-0.2774	290	17888
10659	9531	10460	-0.6927	11279	17996
2217	2212	8589935373	-0.6509	15546	17865
3819	2212	3721	-0.6552	14397	17833
7761	7558	4294967982	-0.8503	12412	17919
2123	1348	1866	-0.3338	15629	17983
4294967881	475	503	0.9704	17948	17985
15809	1866	13818	0.8470	9553	17994
1636	1617	4294967865	-0.6169	16080	17833
11047	1866	10730	0.9802	11137	17990
4294968811	1617	12884911857	-0.3199	123	17999
1434	479	1393	-0.6319	16306	17980
12884906264	8589935373	17179873634	-0.1426	256	17970
2868	475	2825	-0.8099	15023	17950
1500	1481	4294967982	-0.6216	16236	17923
9744	1348	9531	0.8804	11619	17999
25769812155	9531	12884910244	-0.6033	3308	17985
10240	2825	9531	-0.9940	11434	17997
3441	3257	4294967865	-0.7306	14638	17971
12884906266	475	17179873634	-0.4506	258	17954
3837	503	3721	0.1272	14387	17977
4294974309	4294967865	8589946820	-0.0001	4740	13260
12884907919	11439	12884902614	0.9342	1561	17966
3785	479	3721	-0.6598	14413	17933
4294973645	2755	4294971403	-0.0002	4020	13980
1247	1232	4294967997	-0.6173	16536	17896
12884910494	2212	12884910244	-0.2731	3380	17926
12884907590	4294967997	12884910244	-0.7729	3321	17987
2941	1866	2825	-0.9486	14979	17993
1525	1481	8589935373	-0.0241	16201	17987
1524	479	1232	-0.6063	16206	18000
34359751748	9531	4294973474	-0.0027	2771	15229
15508	13818	4294967982	0.9665	9651	17983
9691	9531	4294967997	-0.8105	11633	17992
10700	2825	10460	0.8334	11261	17985
2231	475	2212	-0.7838	15532	17998
3802	2825	3721	-0.4802	14400	17911
2927	1481	2755	-0.9724	14987	17986
30064777224	2825	17179873634	-0.0777	233	17991
4294970120	13818	12884911857	0.1264	124	18000
7577	479	7558	0.0166	12489	17913
2951	1866	2755	0.6291	14966	17989
11227	1617	10730	-0.5330	11070	17858
8589940838	475	8589939079	-0.9122	3625	17988
10531	1348	10460	-0.8727	11327	17941
4294970251	2755	12884911857	-0.8857	125	17953
8589944813	503	8589939079	-0.8188	3848	17953
8589945193	12884902614	12884910244	-0.5744	1583	17961
12884911114	7558	12884910244	-0.9060	3420	17991
11795	2825	11439	0.9900	10882	17995
21474840807	503	12884911857	-0.4359	58	17983
3783	1393	3721	-0.8627	14417	17991
15074	1617	13818	-0.4712	9781	17942
11062	3721	10730	-0.4973	11133	17863
25769813156	12884910244	17179873634	-0.2096	262	17974
3436	503	3257	-0.9022	14639	17981
2867	1232	2825	-0.6334	15025	17989
1888	1866	8589935373	-0.0527	15832	17871
10804	1866	10460	-0.3721	11227	17925
1496	503	1481	-0.3898	16241	17999
8589949361	479	4294983082	-0.0000	7302	10698
3782	475	3721	-0.5292	14418	17945
14162	1393	13818	-0.8244	10089	17969
7610	2755	7558	-0.8302	12476	17990
10151	1866	9531	-0.7168	11471	17943
3309	3257	4294967997	-0.6827	14731	17816
1495	1393	1481	-0.6084	16243	17858
12884906738	8589939079	12884910244	0.9980	3421	17999
8589935414	503	4294967865	0.9940	17660	17997
12884910187	1348	12884910244	-0.4383	3267	17767
4294968373	1348	12884911857	-0.2397	125	17994
4294973896	1348	8589939079	-0.4855	3829	17955
3807	3721	8589935373	0.9627	14399	17981
10843	1481	10730	-0.7705	11212	17946
3876	3721	4294967997	0.8427	14364	17995
14190	479	13818	-0.6891	10079	17987
11523	1348	10730	-0.7173	10971	17939
14310	475	13818	-0.5091	10038	17847
17179883622	1232	12884910244	-0.9346	3255	17988
2959	2755	2825	-0.6264	14958	17861
30064776126	2212	12884911857	0.9608	144	17980
4294972678	10460	8589939079	-0.4625	3769	17662
2225	1348	2212	-0.4310	15540	17953
1320	475	1232	0.2416	16440	17980
4294978849	13818	12884902614	-0.5989	1466	17927
1239	503	1232	-0.9960	16543	17998
4294971226	8589935373	8589939079	-0.5918	3530	17992
1544	1232	1481	-0.7188	16190	17901
3365	1232	3257	-0.7709	14687	17870
2267	1393	2212	0.5804	15497	17988
4294976027	1393	8589939079	-0.8643	3790	17958
10903	10730	4294967997	-0.0170	11189	17902
8125	1617	7558	-0.9531	12264	17976
12884902553	1348	12884902614	-0.7854	1489	17988
2064	479	1866	-0.7408	15679	17921
12884914369	7558	8589939079	-0.7292	3560	17991
8589944834	479	8589939079	-0.6549	3843	17838
2840	1617	2755	-0.5919	15040	17911
3072	1481	2825	-0.8237	14881	17963
17179883763	3257	12884902614	-0.8930	1581	17990
3011	2825	4294967865	-0.7053	14926	17958
10164	475	9531	-0.5806	11463	17880
21474840864	12884910244	12884911857	-0.0826	145	17968
10564	10460	4294967865	0.6569	11316	17996
11142	1232	10460	-0.2796	11102	17938
1473	1348	1393	-0.7192	16265	17959
4294982180	4294967982	12884910244	0.9960	3398	17998
25769806108	12884902614	12884911857	-0.2433	147	17996
1641	1617	4294967997	-0.7508	16079	17983
11492	503	11439	-0.0482	10984	17936
11816	11439	4294967865	-0.8418	10875	17914
4294968355	475	12884911857	-0.3091	128	17998
8384	503	7558	-0.5081	12152	17972
10702	475	10460	0.8680	11260	17983
17179875922	1481	17179873634	-0.5651	189	17811
2826	503	2755	-0.7659	15049	17902
1395	1393	4294967997	0.9980	16348	17999
11290	9531	10730	-0.6129	11047	17957
2215	1617	2212	0.9802	15547	17990
1631	475	1617	-0.7712	16084	17971
12884909280	1866	12884910244	-0.5939	3379	17881
1653	1232	1617	-0.7363	16068	17900
11712	10730	11439	-0.6710	10907	17972
8145	7558	4294967997	-0.8574	12255	17995
12884907250	2825	12884910244	-0.6299	3233	17929
7752	1348	7558	-0.6386	12417	17948
3777	1348	3721	-0.6143	14420	17995
4294970284	3257	12884910244	-0.8269	3414	17998
3339	3257	4294967982	-0.7209	14700	17984
11570	10730	8589935373	-0.6324	10958	17999
3948	2755	3721	-0.6094	14314	17995
4294974456	1232	8589939079	-0.5094	3834	17877
3286	2755	3257	-0.5710	14743	17988
11473	7558	11439	-0.5324	10992	17972
12884916031	2825	12884911857	0.3123	147	17970
1365	1348	4294967997	-0.8727	16387	17932
2778	2755	4294967982	-0.8521	15089	17963
1528	1232	8589935373	-0.9074	16199	17981
1394	1348	8589935373	-0.9201	16349	17974
13956	13818	8589935373	-0.9267	10157	17962
4294983418	9531	8589951449	-0.0000	6150	11850
4294980030	1617	8589939079	-0.2995	3834	17865
10732	1481	10460	-0.8912	11248	17995
10465	3257	10460	-0.7489	11347	17943
8060	1866	7558	-0.6677	12292	17908
4294972436	1481	12884902614	-0.6984	1518	17927
1430	503	1393	-0.5597	16316	17807
1656	1348	1481	-0.3804	16065	17958
4294974064	4294967865	8589939079	-0.5678	3834	17996
