# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	2564.4731	0.3535	20001	0.4000	1,2,1	0.5000	25
17179873634	59.8779	0.0548	2300	0.4000	0,0,0	0.5000	0
30064781834	2963.2981	-0.1018	1800	0.4000	3,0,2	0.5000	50
8589939079	2111.8599	0.0727	5850	0.4000	0,0,1	0.5000	1
4294978494	147.2326	0.4508	50	0.4000	3,3,3	0.5000	63
8589947326	360.4719	-0.2439	1700	0.4000	2,3,0	0.5000	44
10730	3784.5645	0.3478	13250	0.4000	0,0,0	0.5000	0
1393	1731.2822	-0.2601	18350	0.4000	3,1,0	0.5000	52
2212	656.6147	0.4746	17550	0.4000	2,1,2	0.5000	38
17179877594	2000.8821	-0.1865	1100	0.4000	2,3,0	0.5000	44
30064777418	189.2122	0.2318	600	0.4000	0,0,2	0.5000	2
503	1489.7998	0.4325	20001	0.4000	0,3,0	0.5000	12
2825	2755.4634	-0.0700	17050	0.4000	3,1,2	0.5000	54
51539620808	2515.5430	-0.1120	1550	0.4000	3,0,2	0.5000	50
42949679366	130.7578	-0.0472	300	0.4000	3,2,0	0.5000	56
4294967997	3801.8486	0.3743	19900	0.4000	3,3,0	0.5000	60
12884902614	3177.8921	0.1228	3600	0.4000	3,2,1	0.5000	57
7558	1096.7153	0.3421	14500	0.4000	3,1,1	0.5000	53
1866	215.6582	0.1821	17850	0.4000	1,3,0	0.5000	28
11439	1587.8770	-0.0167	13000	0.4000	2,3,1	0.5000	45
1232	1742.0361	0.2243	18550	0.4000	3,0,0	0.5000	48
12884910244	221.6749	-0.1303	5450	0.4000	0,3,1	0.5000	13
12884912485	341.1904	0.4357	350	0.4000	2,0,3	0.5000	35
12884908770	594.0030	0.4745	1400	0.4000	2,1,0	0.5000	36
1348	1076.7900	-0.2153	18400	0.4000	3,1,2	0.5000	54
10460	2090.2307	0.3219	13350	0.4000	2,0,2	0.5000	34
12884910346	709.5850	0.3816	950	0.4000	0,3,0	0.5000	12
17179876945	673.3901	0.3477	650	0.4000	3,0,0	0.5000	48
17179870834	671.9020	0.1197	800	0.4000	3,0,1	0.5000	49
25769812374	88.8593	0.4500	150	0.4000	2,2,2	0.5000	42
17179870040	80.7494	0.3146	200	0.4000	1,0,0	0.5000	16
17179870748	12.2618	0.3999	100	0.4000	3,2,2	0.5000	58

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
30064775607	12884902614	30064777418	-0.4096	557	19908
17179870261	10460	12884908770	-0.9347	1335	19994
21474839796	7558	17179877594	-0.5433	1087	19991
4294967932	475	4294967997	-0.0509	19882	19983
4294981359	475	42949679366	-0.3300	295	19957
4294983576	2212	4294984153	-0.0000	8202	11798
30064781041	1393	30064781834	0.9940	1776	19997
30064781200	4294967997	12884910346	0.9763	866	19988
4294970219	1232	12884902614	1.0000	3587	20000
4294979900	2825	8589942479	-0.0000	7666	12334
4294981903	12884910244	42949679366	-0.5904	297	19986
1997	475	1866	-0.7971	17739	19986
8589939891	1393	4294978494	-0.0868	45	19955
8589935105	503	4294967997	-0.5433	19890	19955
8589944233	1393	8589947326	-0.9900	1677	19995
4294981301	8589939079	17179870040	-0.1074	47	19999
10883	10460	10730	0.9980	13197	19999
4294972299	1393	4294970851	-0.0000	6128	13872
38654714049	1393	25769812374	-0.3722	109	19934
4294981207	17179870834	42949679366	-0.0671	297	19985
11810	1232	11439	-0.6604	12877	19974
21474838164	8589939079	17179877594	-0.1375	1024	19963
34359739267	12884910244	17179877594	0.6815	974	19978
12884908901	1348	12884912485	0.2174	332	19976
8589935534	8589947326	51539620808	-0.0295	1468	19991
7758	1232	7558	-0.5834	14413	19903
21474838798	12884902614	17179873634	-0.4709	2169	19964
10690	7558	10460	-0.8415	13265	19972
8589940495	11439	8589949171	-0.0002	3681	16319
30064782539	8589939079	17179884568	-0.0016	2324	17676
12884909035	475	12884904966	-0.0000	6253	13747
17179885903	12884902614	12884910346	-0.4143	856	19922
25769807552	1232	30064781834	-0.7023	1779	19980
2271	2212	4294967997	-0.8520	17494	19947
2833	1348	2825	-0.9157	17046	19956
7643	2212	7558	-0.7350	14459	19948
21474843268	1232	30064777418	0.0448	560	19924
25769807532	503	12884912485	0.5937	333	19997
4294968916	475	30064781834	-0.7497	1701	19919
34359746747	4294967997	17179877594	0.9272	1025	19988
25769806583	4294967997	30064781834	0.3621	1781	19993
30064780999	503	17179877594	-0.0899	1090	19970
8589947824	1348	4294969799	-0.0000	4448	15552
4294973582	10730	12884902614	-0.5374	3595	19949
11933	503	10730	-0.7669	12835	19981
11900	475	11439	-0.3502	12844	19864
17179873491	8589939079	8589947326	0.9960	1684	19998
8589936136	12884908770	12884910346	-0.8943	917	19992
8589944336	10730	12884910346	0.9763	924	19988
38654717803	8589939079	30064781834	0.8687	1784	19989
10782	2825	10730	0.9980	13231	19999
11209	2212	10730	-0.8219	13077	19902
25769815081	4294978494	17179873634	-0.0907	49	19951
2255	503	2212	-0.8143	17509	19943
12510	1866	11439	-0.8079	12631	19973
8589940836	11439	8589939079	-0.6316	5839	19966
17179870006	10460	12884912485	0.9763	335	19988
8589944480	1348	12884910346	0.8087	918	19980
12884913011	12884910244	30064781834	-0.7791	1735	19992
4294978931	8589939079	17179876945	0.9323	540	19965
17179876744	12884910244	17179870748	-0.3063	52	19977
17179872139	8589947326	12884908770	-0.8593	1337	19986
4294981279	12884912485	42949679366	0.1578	299	19933
