# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	2415.4731	0.3535	22001	0.4000	1,2,1	0.5000	25
17179870040	905.7495	0.3146	2200	0.4000	1,0,0	0.5000	16
30064781834	6105.2979	-0.1018	3800	0.4000	3,0,2	0.5000	50
8589939079	1227.8599	0.0727	7850	0.4000	0,0,1	0.5000	1
4294969162	1282.1316	0.1805	1850	0.4000	1,0,0	0.5000	16
21474841532	111.7940	0.4864	400	0.4000	2,1,0	0.5000	36
10730	7137.5645	0.3478	15250	0.4000	0,0,0	0.5000	0
1393	2031.2822	-0.2601	20350	0.4000	3,1,0	0.5000	52
2212	1328.6147	0.4746	19550	0.4000	2,1,2	0.5000	38
17179877594	5062.8818	-0.1865	3100	0.4000	2,3,0	0.5000	44
25769807100	381.9614	-0.0012	800	0.4000	0,0,3	0.5000	3
503	1039.7998	0.4325	22001	0.4000	0,3,0	0.5000	12
2825	819.4634	-0.0700	19050	0.4000	3,1,2	0.5000	54
51539620808	3915.5430	-0.1120	3550	0.4000	3,0,2	0.5000	50
42949679366	2435.7578	-0.0472	2300	0.4000	3,2,0	0.5000	56
4294967997	3739.8486	0.3743	21900	0.4000	3,3,0	0.5000	60
12884902614	4262.8921	0.1228	5600	0.4000	3,2,1	0.5000	57
7558	1104.7153	0.3421	16500	0.4000	3,1,1	0.5000	53
17179870834	69.9020	0.1197	2800	0.4000	3,0,1	0.5000	49
11439	408.8770	-0.0167	15000	0.4000	2,3,1	0.5000	45
1232	1718.0361	0.2243	20550	0.4000	3,0,0	0.5000	48
34359752750	1940.5024	0.2503	1450	0.4000	3,0,0	0.5000	48
12884912485	1009.1904	0.4357	2350	0.4000	2,0,3	0.5000	35
34359738858	530.9319	-0.1898	1150	0.4000	2,0,3	0.5000	35
1348	542.7900	-0.2153	20400	0.4000	3,1,2	0.5000	54
10460	2206.2307	0.3219	15350	0.4000	2,0,2	0.5000	34
4294972194	349.1375	0.0994	750	0.4000	1,2,1	0.5000	25
17179876945	3815.3901	0.3477	2650	0.4000	3,0,0	0.5000	48
4294978100	895.3429	0.1563	1750	0.4000	0,3,3	0.5000	15
42949674497	1521.4058	0.3757	1550	0.4000	3,0,0	0.5000	48
17179874886	917.5944	0.3057	1400	0.4000	3,0,2	0.5000	50
25769808175	561.0775	0.1930	850	0.4000	3,1,0	0.5000	52
34359750209	587.1147	-0.1725	1050	0.4000	2,0,2	0.5000	34
8589938365	779.4559	0.2378	1000	0.4000	0,3,0	0.5000	12
8589945284	220.9616	0.4832	950	0.4000	0,1,0	0.5000	4
21474840737	1.3916	-0.1925	200	0.4000	1,2,3	0.5000	27
51539609459	506.0457	-0.2183	300	0.4000	1,0,1	0.5000	17
30064774760	15.0267	-0.0917	150	0.4000	2,1,2	0.5000	38
8589939879	76.9530	0.0159	100	0.4000	2,3,1	0.5000	45
8589939700	173.6841	-0.1197	50	0.4000	3,0,1	0.5000	49

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
51539613839	34359752750	42949679366	-0.5976	1449	21877
34359749491	8589939079	21474841532	-0.4920	379	21886
21474839796	7558	17179877594	-0.3596	3087	21955
4294967932	475	4294967997	-0.5218	21882	21882
4294981359	475	42949679366	-0.6223	2295	21895
4294983576	2212	4294984153	-0.0000	10202	11798
30064781041	1393	30064781834	-0.5968	3776	21995
21474839335	17179874886	21474841532	0.2744	381	21988
4294970219	1232	12884902614	0.1635	5587	21969
4294979900	2825	8589942479	-0.0000	9666	12334
34359746546	21474841532	25769808175	0.6399	366	21892
25769804386	1393	4294969162	0.9821	1835	21991
8589940009	2212	4294969162	-0.5232	1837	21955
8589935105	503	4294967997	-0.9012	21890	21954
25769815857	503	21474841532	-0.3636	384	21909
4294981301	8589939079	17179870040	-0.7527	2047	21960
10883	10460	10730	0.9175	15197	21957
4294972299	1393	4294970851	-0.0000	8128	13872
21474845558	17179870040	42949679366	0.1416	2163	21821
4294981207	17179870834	42949679366	-0.6810	2297	21972
11810	1232	11439	-0.5319	14877	21948
21474838164	8589939079	17179877594	-0.9755	3024	21989
34359744714	10460	42949674497	0.4770	1471	21950
12884908901	1348	12884912485	-0.5836	2332	21960
25769805432	4294972194	21474841532	-0.4533	368	21955
7758	1232	7558	-0.5210	16413	21942
12884904960	2212	17179870040	-0.2350	2149	21896
10690	7558	10460	-0.6750	15265	21990
8589940495	11439	8589949171	-0.0000	5681	16319
30064782539	8589939079	17179884568	-0.0000	4324	17676
12884909035	475	12884904966	-0.0000	8253	13747
25769804876	21474841532	34359750209	-0.3862	385	21968
25769807552	1232	30064781834	-0.5730	3779	21861
2271	2212	4294967997	-0.5502	19494	21989
2833	1348	2825	-0.7883	19046	21910
7643	2212	7558	-0.8418	16459	21914
25769808656	10460	21474841532	-0.7262	387	21962
25769807532	503	12884912485	0.5657	2333	21969
4294968916	475	30064781834	-0.7687	3701	21999
34359746747	4294967997	17179877594	-0.7860	3025	21951
25769806583	4294967997	30064781834	0.0855	3781	21968
30064780999	503	17179877594	0.4649	3090	21993
8589947824	1348	4294969799	-0.0000	6448	15552
4294973582	10730	12884902614	-0.7396	5595	21922
11933	503	10730	-0.4913	14835	21967
11900	475	11439	-0.6171	14844	21914
17179871526	21474841532	42949679366	0.9011	371	21948
30064774329	30064781834	34359738858	0.2297	1143	21983
25769816921	17179876945	21474841532	-0.2107	388	21946
38654717803	8589939079	30064781834	0.3059	3784	21976
10782	2825	10730	0.7704	15231	21939
11209	2212	10730	-0.1994	15077	21897
34359746119	2212	42949679366	-0.4038	2242	21924
2255	503	2212	-0.6768	19509	21942
8589949666	12884902614	42949679366	0.2465	2243	21868
8589940836	11439	8589939079	-0.6492	7839	21902
17179870006	10460	12884912485	-0.4621	2335	21957
12884906885	4294972194	34359750209	-0.5652	696	21969
4294972358	4294969162	25769807100	-0.7145	771	21949
4294978931	8589939079	17179876945	0.0154	2540	21952
38654716739	10730	17179870040	-0.2528	2190	21914
4294972173	25769807100	34359752750	-0.0940	772	21923
