# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	2312.4731	0.3535	24001	0.4000	1,2,1	0.5000	25
17179870040	503.7495	0.3146	4200	0.4000	1,0,0	0.5000	16
30064781834	7675.2979	-0.1018	5800	0.4000	3,0,2	0.5000	50
17179875006	168.0497	0.1618	150	0.4000	3,0,0	0.5000	48
4294969162	2478.1316	0.1805	3850	0.4000	1,0,0	0.5000	16
73014446948	1084.6416	0.0047	1050	0.4000	1,1,1	0.5000	21
10730	6994.5645	0.3478	17250	0.4000	0,0,0	0.5000	0
1393	2662.2822	-0.2601	22350	0.4000	3,1,0	0.5000	52
2212	726.6147	0.4746	21550	0.4000	2,1,2	0.5000	38
17179877594	6674.8818	-0.1865	5100	0.4000	2,3,0	0.5000	44
34359739805	137.9784	0.4111	350	0.4000	0,2,0	0.5000	8
503	449.7998	0.4325	24001	0.4000	0,3,0	0.5000	12
60129543534	734.1516	-0.0320	1150	0.4000	0,0,2	0.5000	2
51539620808	3831.5430	-0.1120	5550	0.4000	3,0,2	0.5000	50
42949679366	4066.7578	-0.0472	4300	0.4000	3,2,0	0.5000	56
4294967997	2456.8486	0.3743	23900	0.4000	3,3,0	0.5000	60
12884902614	3986.8921	0.1228	7600	0.4000	3,2,1	0.5000	57
21474838227	34.2603	0.4383	250	0.4000	0,1,2	0.5000	6
21474846161	3700.7610	0.4052	1950	0.4000	0,0,0	0.5000	0
12884912362	552.2392	0.1315	1700	0.4000	3,2,1	0.5000	57
1232	3560.0361	0.2243	22550	0.4000	3,0,0	0.5000	48
34359752750	3801.5024	0.2503	3450	0.4000	3,0,0	0.5000	48
21474852304	229.5229	0.3624	100	0.4000	0,0,2	0.5000	2
8589940067	266.8937	-0.0575	600	0.4000	1,0,0	0.5000	16
42949677256	410.6476	0.4666	700	0.4000	3,2,1	0.5000	57
10460	1917.2307	0.3219	17350	0.4000	2,0,2	0.5000	34
4294972194	1120.1376	0.0994	2750	0.4000	1,2,1	0.5000	25
17179876945	5815.3901	0.3477	4650	0.4000	3,0,0	0.5000	48
4294978100	684.3429	0.1563	3750	0.4000	0,3,3	0.5000	15
42949674497	3087.4058	0.3757	3550	0.4000	3,0,0	0.5000	48
17179874886	718.5944	0.3057	3400	0.4000	3,0,2	0.5000	50
25769808175	733.0775	0.1930	2850	0.4000	3,1,0	0.5000	52
34359750209	468.1147	-0.1725	3050	0.4000	2,0,2	0.5000	34
8589938365	1038.4559	0.2378	3000	0.4000	0,3,0	0.5000	12
8589944822	47.5797	0.2516	450	0.4000	2,1,1	0.5000	37
21474844393	195.0571	0.3728	1000	0.4000	0,1,1	0.5000	5
51539609459	2143.0457	-0.2183	2300	0.4000	1,0,1	0.5000	17
34359745945	187.9545	-0.0613	2000	0.4000	1,3,0	0.5000	28
8589939879	853.9530	0.0159	2100	0.4000	2,3,1	0.5000	45
12884907270	87.0793	0.3167	50	0.4000	3,0,3	0.5000	51
34359745112	1472.8713	-0.2952	1900	0.4000	2,3,3	0.5000	47
12884902607	1604.4237	0.3234	1400	0.4000	3,1,0	0.5000	52
4294977369	707.3541	0.2624	1750	0.4000	1,0,3	0.5000	19
60129553256	1797.1475	-0.2154	1650	0.4000	1,0,1	0.5000	17
25769805131	797.6513	-0.0604	1100	0.4000	2,0,1	0.5000	33
17179870673	671.8541	-0.1052	850	0.4000	2,1,1	0.5000	37
25769806602	534.4958	-0.2598	550	0.4000	2,0,2	0.5000	34

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
51539613839	34359752750	42949679366	-0.3564	3449	23984
17179882416	51539609459	73014446948	-0.4408	1025	23933
8589939889	8589944822	34359739805	-0.1336	310	23984
4294967932	475	4294967997	-0.0162	23882	23990
4294981359	475	42949679366	-0.4935	4295	23960
4294983576	2212	4294984153	-0.0000	12202	11798
30064781041	1393	30064781834	-0.5085	5776	23995
8589935945	34359745112	73014446948	-0.3989	1026	23888
4294970219	1232	12884902614	-0.6687	7587	23999
12884909468	12884907270	25769806602	-0.0188	30	23970
17179874437	475	60129543534	-0.1078	1064	23997
25769804386	1393	4294969162	0.5295	3835	23945
8589940009	2212	4294969162	-0.5229	3837	23995
8589935105	503	4294967997	-0.6007	23890	23987
25769808625	4294969162	73014446948	0.4169	1026	23942
4294973261	4294971539	4294977369	-0.3838	371	23629
10883	10460	10730	0.8555	17197	23978
4294972299	1393	4294970851	-0.0000	10128	13872
21474845558	17179870040	42949679366	-0.6375	4163	23942
30064771588	21474846161	51539609459	0.6030	1903	23971
17179880653	4294977369	21474846161	-0.3096	1695	23597
4294973695	21474838227	42949674497	0.1053	219	23964
34359744714	10460	42949674497	-0.4869	3471	23995
17179874125	8589939879	21474852304	-0.8099	30	23970
12884902955	4294977369	60129543534	0.6758	1028	24000
12884910438	1232	12884907270	0.0645	29	23971
12884904960	2212	17179870040	-0.1734	4149	23753
21474841520	12884907270	17179876945	0.2271	38	23962
17179883895	12884902607	12884902614	0.9474	1311	23973
12884907772	4294972194	17179875006	0.9861	141	23993
12884909035	475	12884904966	-0.0000	10253	13747
8589944373	12884902614	21474852304	-0.2463	91	23997
25769807552	1232	30064781834	-0.1317	5779	23929
2271	2212	4294967997	-0.4353	21494	23842
21474841488	42949679366	60129543534	-0.3572	1088	23976
17179873084	21474844393	34359739805	0.0705	317	23991
12884906869	17179870040	25769805131	-0.5550	1029	23950
25769817716	4294972194	21474852304	0.0148	30	23989
4294968916	475	30064781834	0.1454	5701	23969
34359746747	4294967997	17179877594	-0.4781	5025	23928
25769806583	4294967997	30064781834	0.2727	5781	23912
30064780999	503	17179877594	-0.3759	5090	23937
25769812038	12884907270	17179875006	0.0047	31	23969
4294973582	10730	12884902614	-0.8752	7595	23973
11933	503	10730	-0.6860	16835	23937
17179879701	8589938365	12884912362	-0.3688	1696	23961
30064783475	2212	25769805131	-0.1149	1031	23930
4294977582	34359745945	42949677256	-0.2765	436	23993
12884905805	17179874886	73014446948	-0.0151	1032	23999
30064773507	17179874886	17179875006	-0.2103	142	23987
4294973186	503	8589944822	-0.2891	437	23833
11209	2212	10730	-0.4456	17077	23858
34359746119	2212	42949679366	0.1747	4242	23971
2255	503	2212	-0.5169	21509	23977
8589949666	12884902614	42949679366	-0.5578	4243	23985
17179879172	4294969162	12884912362	-0.5204	1699	23965
25769817280	17179875006	42949674497	-0.3798	92	23908
12884906885	4294972194	34359750209	-0.0464	2696	23927
12884905932	34359739805	60129543534	-0.2880	331	23952
21474841368	17179875006	21474838227	0.1302	142	23996
38654716739	10730	17179870040	-0.1714	4190	23942
30064772875	17179875006	21474846161	0.0346	31	23975
4294982070	17179876945	25769806602	0.2073	528	23991
4294977827	10730	12884902607	-0.4487	1270	23929
38654708619	12884907270	17179874886	-0.0670	33	23975
17179871985	475	12884902607	-0.2737	1384	23984
2247	1232	2212	0.6692	21515	23925
21474838044	8589948918	17179876945	-0.0001	3933	20067
17179879641	51539620808	73014446948	-0.4794	956	23967
4294975749	4294969162	12884902607	-0.2145	1354	23943
8589944208	21474852304	34359739805	-0.1855	92	23969
