# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	2541.4731	0.3535	26001	0.4000	1,2,1	0.5000	25
21474840113	434.3332	0.3209	350	0.4000	1,2,1	0.5000	25
30064781834	8677.2979	-0.1018	7800	0.4000	3,0,2	0.5000	50
17179875006	1107.0497	0.1618	2150	0.4000	3,0,0	0.5000	48
4294969162	1946.1316	0.1805	5850	0.4000	1,0,0	0.5000	16
73014446948	2464.6416	0.0047	3050	0.4000	1,1,1	0.5000	21
10730	6672.5645	0.3478	19250	0.4000	0,0,0	0.5000	0
1393	2085.2822	-0.2601	24350	0.4000	3,1,0	0.5000	52
30064774180	529.8632	-0.1180	1000	0.4000	3,3,1	0.5000	61
17179877594	5654.8818	-0.1865	7100	0.4000	2,3,0	0.5000	44
47244641330	1042.5337	0.0869	1550	0.4000	2,2,0	0.5000	40
25769806602	1220.4958	-0.2598	2550	0.4000	2,0,2	0.5000	34
60129543534	1145.1516	-0.0320	3150	0.4000	0,0,2	0.5000	2
51539620808	2192.5430	-0.1120	7550	0.4000	3,0,2	0.5000	50
42949679366	3810.7578	-0.0472	6300	0.4000	3,2,0	0.5000	56
4294967997	938.8486	0.3743	25900	0.4000	3,3,0	0.5000	60
12884902614	3890.8921	0.1228	9600	0.4000	3,2,1	0.5000	57
21474837388	174.4797	0.4423	100	0.4000	2,2,1	0.5000	41
21474846161	6512.7607	0.4052	3950	0.4000	0,0,0	0.5000	0
17179882247	1183.6561	-0.2332	1050	0.4000	1,1,1	0.5000	21
1232	4111.0361	0.2243	24550	0.4000	3,0,0	0.5000	48
34359752750	4975.5024	0.2503	5450	0.4000	3,0,0	0.5000	48
21474852304	1766.5229	0.3624	2100	0.4000	0,0,2	0.5000	2
8589940067	1005.8938	-0.0575	2600	0.4000	1,0,0	0.5000	16
25769813784	134.4746	0.1499	400	0.4000	2,3,2	0.5000	46
10460	1606.2307	0.3219	19350	0.4000	2,0,2	0.5000	34
4294972194	1017.1376	0.0994	4750	0.4000	1,2,1	0.5000	25
17179876945	7498.3901	0.3477	6650	0.4000	3,0,0	0.5000	48
4294978100	872.3429	0.1563	5750	0.4000	0,3,3	0.5000	15
42949674497	2824.4058	0.3757	5550	0.4000	3,0,0	0.5000	48
17179870657	202.2143	0.4053	750	0.4000	0,1,1	0.5000	5
30064783137	694.2384	-0.2158	950	0.4000	3,1,1	0.5000	53
30064771736	2339.4902	0.1129	1500	0.4000	1,0,0	0.5000	16
17179882374	163.3360	0.1305	1200	0.4000	0,2,3	0.5000	11
38654710730	143.4371	0.4793	1600	0.4000	2,0,1	0.5000	33
21474848111	19.7601	-0.0211	200	0.4000	3,0,2	0.5000	50
51539609459	2846.0457	-0.2183	4300	0.4000	1,0,1	0.5000	17
12884905013	416.5298	-0.0225	1800	0.4000	0,0,2	0.5000	2
8589939879	2378.9531	0.0159	4100	0.4000	2,3,1	0.5000	45
12884907270	283.0793	0.3167	2050	0.4000	3,0,3	0.5000	51
34359745112	731.8713	-0.2952	3900	0.4000	2,3,3	0.5000	47
12884902607	3246.4238	0.3234	3400	0.4000	3,1,0	0.5000	52
17179879810	805.5634	0.0491	1250	0.4000	0,2,2	0.5000	10
60129553256	2822.1475	-0.2154	3650	0.4000	1,0,1	0.5000	17
25769805131	1173.6514	-0.0604	3100	0.4000	2,0,1	0.5000	33
17179870673	996.8541	-0.1052	2850	0.4000	2,1,1	0.5000	37
25769805523	341.8691	0.3252	850	0.4000	0,0,1	0.5000	1
42949676743	583.8248	-0.1358	700	0.4000	0,3,3	0.5000	15
12884915893	109.7265	0.4672	300	0.4000	0,3,2	0.5000	14
47244645470	311.2464	-0.1466	550	0.4000	3,0,0	0.5000	48
25769805393	173.5020	0.1896	50	0.4000	0,2,3	0.5000	11

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
51539613839	34359752750	42949679366	-0.3475	5449	25863
17179882416	51539609459	73014446948	-0.2062	3025	25951
8589947345	4294978100	12884915893	-0.4932	219	25913
4294967932	475	4294967997	-0.3215	25882	25923
4294981359	475	42949679366	-0.2446	6295	25967
25769804969	17179870673	30064774180	0.2967	986	25895
30064781041	1393	30064781834	-0.4299	7776	25830
8589935945	34359745112	73014446948	-0.6489	3026	25844
4294970219	1232	12884902614	-0.4400	9587	25971
12884909468	12884907270	25769806602	-0.3538	2030	25910
17179874437	475	60129543534	-0.0592	3064	25770
25769804386	1393	4294969162	-0.3746	5835	25864
17179882405	12884902607	30064774180	0.9940	986	25997
12884913674	30064774180	34359745112	-0.6034	908	25857
25769808625	4294969162	73014446948	-0.1838	3026	25971
34359751275	1232	17179879810	-0.0455	1235	25887
10883	10460	10730	0.9900	19197	25995
4294972299	1393	4294970851	-0.0000	12128	13872
21474846953	21474837388	30064783137	-0.4987	60	25960
30064771588	21474846161	51539609459	0.1702	3903	25983
21474840756	17179876945	17179879810	-0.3388	1235	25954
42949683370	17179870673	25769813784	-0.7159	368	26000
34359744714	10460	42949674497	-0.5959	5471	25920
17179874125	8589939879	21474852304	-0.3881	2030	25861
30064782150	17179875006	17179879810	-0.0603	1238	25981
12884910438	1232	12884907270	-0.4738	2029	25763
21474842590	17179882247	51539620808	0.1110	986	25954
21474841520	12884907270	17179876945	0.1189	2038	26000
17179883895	12884902607	12884902614	0.7187	3311	25911
12884907772	4294972194	17179875006	0.6165	2141	25914
12884909035	475	12884904966	-0.0000	12253	13747
8589944373	12884902614	21474852304	-0.3759	2091	25687
25769807552	1232	30064781834	-0.3908	7779	25995
30064774931	8589940067	30064774180	-0.5252	988	25922
21474841488	42949679366	60129543534	-0.5330	3088	25981
21474839837	12884902607	38654710730	-0.6001	1560	25979
17179872463	21474846161	21474848111	0.5590	145	25998
25769817716	4294972194	21474852304	-0.4452	2030	25967
4294968916	475	30064781834	0.3028	7701	25991
34359746747	4294967997	17179877594	-0.3252	7025	25782
25769806583	4294967997	30064781834	-0.3444	7781	25954
103079228484	17179875006	25769805523	-0.6802	654	25995
25769812038	12884907270	17179875006	-0.2704	2031	25798
4294973582	10730	12884902614	-0.5779	9595	25913
30064772330	475	30064774180	0.2169	913	25946
25769812360	4294972194	17179882247	-0.4431	1034	25999
30064781645	4294972194	30064774180	-0.2001	989	25913
12884912257	4294972194	17179882374	-0.2406	1125	25734
30064772466	17179870657	17179875006	-0.0907	732	25928
30064780758	25769805523	30064783137	-0.2273	734	25757
8589943232	8589939879	17179875006	0.2331	1960	25946
12884913580	30064774180	47244641330	0.1191	992	25923
21474841556	12884907270	25769813784	-0.0600	396	25937
25769816223	30064774180	60129553256	0.0385	993	25893
8589949666	12884902614	42949679366	-0.7595	6243	25961
8589937839	12884915893	73014446948	-0.4945	291	25991
25769817280	17179875006	42949674497	-0.0040	2092	25637
21474842774	17179875006	17179882374	0.0253	1194	25958
47244646652	12884905013	51539620808	-0.6788	1545	25911
47244644198	12884912003	34359752750	-0.4877	60	25940
25769811619	42949674497	47244645470	-0.4256	342	25890
30064772875	17179875006	21474846161	-0.1020	2031	25882
4294982070	17179876945	25769806602	-0.5468	2528	25978
4294977827	10730	12884902607	-0.5329	3270	25850
38654716376	8589939879	42949676743	0.1884	655	25957
17179871985	475	12884902607	-0.1759	3384	25368
30064773533	17179882247	38654710730	-0.5315	993	25930
21474838044	8589948918	17179876945	-0.0000	5933	20067
17179879641	51539620808	73014446948	-0.8722	2956	25956
4294975749	4294969162	12884902607	-0.1946	3354	25983
42949677994	1232	17179870657	-0.6395	737	25980
21474836960	1393	17179877594	-0.5100	7084	25827
21474842759	12884902607	30064771736	0.0237	1291	25828
25769812400	21474837388	25769805523	-0.1250	79	25975
34359751260	34359752750	42949676743	-0.1721	656	25975
12884910141	30064781834	42949679366	-0.6271	6243	25931
25769812092	8589939879	21474846161	-0.0405	3912	25986
42949677837	12884915893	21474837388	-0.1712	67	25991
25769807053	10730	30064771736	-0.0505	1469	25921
51539621714	17179879810	51539609459	-0.3337	1239	25968
34359744874	475	17179877594	0.9011	7094	25948
25769807681	25769805131	30064774180	-0.3826	994	25918
38654712337	21474852304	30064771736	0.8815	1293	25937
12884908136	1393	4294972194	-0.5702	4696	25934
