# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	1541.4731	0.3535	28001	0.4000	1,2,1	0.5000	25
21474840113	605.3333	0.3209	2350	0.4000	1,2,1	0.5000	25
30064781834	8399.2979	-0.1018	9800	0.4000	3,0,2	0.5000	50
21474842416	437.0723	0.0357	1150	0.4000	2,0,1	0.5000	33
17179870673	305.8541	-0.1052	4850	0.4000	2,1,1	0.5000	37
73014446948	1706.6416	0.0047	5050	0.4000	1,1,1	0.5000	21
10730	6054.5645	0.3478	21250	0.4000	0,0,0	0.5000	0
21474838930	55.8265	0.1915	300	0.4000	2,3,0	0.5000	44
30064774180	1404.8632	-0.1180	3000	0.4000	3,3,1	0.5000	61
17179877594	4951.8818	-0.1865	9100	0.4000	2,3,0	0.5000	44
47244641330	160.5337	0.0869	3550	0.4000	2,2,0	0.5000	40
25769806602	1012.4958	-0.2598	4550	0.4000	2,0,2	0.5000	34
60129543534	1843.1516	-0.0320	5150	0.4000	0,0,2	0.5000	2
34359746855	75.8000	0.4546	550	0.4000	1,0,2	0.5000	18
42949679366	2368.7578	-0.0472	8300	0.4000	3,2,0	0.5000	56
51539609964	778.1166	-0.0196	950	0.4000	0,0,2	0.5000	2
12884902614	2679.8921	0.1228	11600	0.4000	3,2,1	0.5000	57
17179875583	277.3372	-0.0971	1800	0.4000	3,2,1	0.5000	57
21474846161	7406.7607	0.4052	5950	0.4000	0,0,0	0.5000	0
17179882247	1205.6561	-0.2332	3050	0.4000	1,1,1	0.5000	21
1232	3754.0361	0.2243	26550	0.4000	3,0,0	0.5000	48
34359752750	6828.5024	0.2503	7450	0.4000	3,0,0	0.5000	48
21474852304	2359.5229	0.3624	4100	0.4000	0,0,2	0.5000	2
8589940067	1381.8938	-0.0575	4600	0.4000	1,0,0	0.5000	16
47244647002	829.5298	0.3066	1850	0.4000	3,0,0	0.5000	48
10460	817.2307	0.3219	21350	0.4000	2,0,2	0.5000	34
90194317490	112.7901	-0.2794	1650	0.4000	3,2,1	0.5000	57
17179876945	7022.3901	0.3477	8650	0.4000	3,0,0	0.5000	48
73014448408	396.3903	0.4003	400	0.4000	0,2,0	0.5000	8
42949674497	2231.4058	0.3757	7550	0.4000	3,0,0	0.5000	48
141733925129	465.0152	0.4989	800	0.4000	0,1,1	0.5000	5
30064783137	240.2384	-0.2158	2950	0.4000	3,1,1	0.5000	53
30064771736	1823.4902	0.1129	3500	0.4000	1,0,0	0.5000	16
17179882374	138.3360	0.1305	3200	0.4000	0,2,3	0.5000	11
12884914447	1083.4320	0.3418	1550	0.4000	3,0,2	0.5000	50
55834576350	619.0502	0.3332	1900	0.4000	3,0,3	0.5000	51
51539609459	1864.0457	-0.2183	6300	0.4000	1,0,1	0.5000	17
42949685363	196.9705	0.3477	450	0.4000	0,0,2	0.5000	2
8589939879	2502.9531	0.0159	6100	0.4000	2,3,1	0.5000	45
47244645470	1397.2465	-0.1466	2550	0.4000	3,0,0	0.5000	48
21474841716	1220.4260	0.2402	1450	0.4000	2,1,1	0.5000	37
12884902607	3948.4238	0.3234	5400	0.4000	3,1,0	0.5000	52
17179879810	2022.5635	0.0491	3250	0.4000	0,2,2	0.5000	10
60129553256	2076.1475	-0.2154	5650	0.4000	1,0,1	0.5000	17
30064772427	15.9190	0.0378	150	0.4000	2,1,1	0.5000	37
12884903808	119.5393	-0.0103	50	0.4000	2,1,1	0.5000	37

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
51539613839	34359752750	42949679366	-0.4476	7449	27996
17179882416	51539609459	73014446948	-0.6110	5025	27986
12884916770	17179870673	17179875583	0.0227	1759	27876
34359739606	10460	51539609964	-0.2493	944	27994
4294981359	475	42949679366	-0.1217	8295	27824
25769804969	17179870673	30064774180	-0.0449	2986	27963
21474850396	21474842416	73014448408	-0.1894	293	27998
34359742365	21474841716	25769806602	0.2328	1447	27959
4294970219	1232	12884902614	-0.3327	11587	27928
17179870912	55834576350	60129553256	-0.4663	1851	27949
17179874437	475	60129543534	-0.7468	5064	27992
30064779411	21474846161	42949685363	0.2432	295	27863
17179882405	12884902607	30064774180	0.9569	2986	27978
38654713848	12884914447	21474841716	0.8355	1230	27996
68719480666	10730	55834576350	0.9588	1881	27979
34359751275	1232	17179879810	-0.5049	3235	27919
10883	10460	10730	0.9763	21197	27988
47244653377	30064771736	34359746855	-0.5705	311	27908
51539613704	47244645470	73014448408	-0.0587	358	27960
30064771588	21474846161	51539609459	-0.4597	5903	27774
21474840756	17179876945	17179879810	-0.4178	3235	27886
42949684022	30064771736	47244648613	-0.0106	821	27179
34359744714	10460	42949674497	-0.4860	7471	27775
17179874125	8589939879	21474852304	-0.6865	4030	27990
51539610573	42949674497	42949685363	0.9980	288	27999
12884912623	17179875583	42949679366	-0.1469	1736	27939
38654707281	21474838930	21474842416	-0.2025	156	27965
25769816296	12884902614	55834576350	-0.1388	1663	27894
17179883895	12884902607	12884902614	0.7634	5311	27949
17179879971	21474842416	34359746855	-0.2201	373	27995
12884909035	475	12884904966	-0.0000	14253	13747
8589944373	12884902614	21474852304	0.1797	4091	28000
25769807552	1232	30064781834	0.8414	9779	27992
30064774931	8589940067	30064774180	-0.4184	2988	27793
21474841488	42949679366	60129543534	-0.1776	5088	27892
17179874087	12884914447	21474846161	0.9900	1509	27995
38654714043	475	51539609964	-0.3619	890	28000
38654709682	73014448408	90194317490	-0.5695	375	27998
4294968916	475	30064781834	-0.0577	9701	27990
51539609987	21474846161	73014448408	-0.1406	328	27892
34359748164	25769806602	51539609964	-0.5156	946	27972
47244653316	42949685363	60129553256	-0.3672	358	27966
17179873058	17179877594	21474840113	-0.1927	2320	27902
4294973582	10730	12884902614	-0.6890	11595	27956
30064772330	475	30064774180	-0.0711	2913	27994
34359742836	60129543534	73014448408	0.1206	375	27996
12884902509	21474852304	73014448408	-0.0676	360	27934
12884904219	8589939879	42949685363	-0.4696	383	27759
42949683804	21474838930	47244645470	0.2438	223	27990
55834580669	30064783137	42949685363	-0.0212	252	27891
30064774238	21474838930	21474841716	0.8886	290	27941
12884913580	30064774180	47244641330	-0.3646	2992	27966
8589949106	21474840113	47244647002	0.0642	1815	27993
25769816223	30064774180	60129553256	-0.4753	2993	27976
8589949666	12884902614	42949679366	-0.5412	8243	27941
12884917735	17179875583	21474840113	-0.5134	1760	27898
60129545951	17179875583	21474838930	0.1410	291	27981
30064772708	12884914447	17179876945	-0.0606	1490	27960
47244644295	42949674497	141733925129	0.3037	690	27866
47244644198	12884912003	34359752750	-0.0089	2060	25940
25769811619	42949674497	47244645470	-0.7695	2342	27935
42949676981	21474838930	34359752750	-0.5727	224	27995
4294982070	17179876945	25769806602	-0.4394	4528	27891
4294977827	10730	12884902607	-0.4136	5270	27840
30064780905	42949680718	47244647002	-0.0465	809	27191
17179871985	475	12884902607	-0.7202	5384	27933
17179874481	12884914447	42949674497	-0.4287	1513	27860
21474838044	8589948918	17179876945	-0.0000	7933	20067
