# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	3204.4731	0.3535	12001	0.4000	1,2,1	0.5000	25
505	518.0361	0.2831	12001	0.4000	2,2,1	0.5000	41
477	3011.9717	0.1820	12001	0.4000	3,1,3	0.5000	55
491	1803.1602	0.1300	12001	0.4000	3,3,2	0.5000	62
479	2152.1245	-0.0857	12001	0.4000	3,2,1	0.5000	57
480	4960.0625	0.4021	12001	0.4000	0,3,3	0.5000	15
10730	1921.5645	0.3478	5250	0.4000	0,0,0	0.5000	0
13687	1241.3149	0.2014	4250	0.4000	3,1,2	0.5000	54
500	2142.0928	0.2809	12001	0.4000	2,2,0	0.5000	40
4294968165	83.6992	-0.1994	11950	0.4000	2,3,2	0.5000	46
512	186.0400	0.0971	12001	0.4000	0,1,2	0.5000	6
503	3028.7998	0.4325	12001	0.4000	0,3,0	0.5000	12
487	1256.5796	-0.2480	12001	0.4000	1,3,3	0.5000	31
13541	577.2275	-0.1979	4300	0.4000	2,0,1	0.5000	33
4294967865	3494.6689	0.1746	11700	0.4000	3,1,2	0.5000	54
4294967997	4585.8486	0.3743	11900	0.4000	3,3,0	0.5000	60
11884	1216.3413	0.2154	4850	0.4000	2,1,0	0.5000	36
4294967909	770.9106	-0.1077	11650	0.4000	2,2,3	0.5000	43
17179869874	1557.8208	-0.0187	11600	0.4000	0,1,2	0.5000	6
4294983376	10.1222	0.1543	150	0.4000	3,2,0	0.5000	56
4294967895	43.8330	0.4978	11500	0.4000	1,2,0	0.5000	24
4294967841	2354.4194	0.3616	11450	0.4000	1,2,3	0.5000	27
13818	2748.8540	-0.0558	4200	0.4000	0,1,3	0.5000	7
8589935386	960.0337	-0.0607	11350	0.4000	2,3,3	0.5000	47
8589935318	1548.7607	0.4385	11300	0.4000	0,3,3	0.5000	15
8589935089	355.7271	0.3490	11250	0.4000	1,0,0	0.5000	16
8589935490	1794.5996	0.0247	11200	0.4000	0,2,1	0.5000	9
8589935373	3184.9062	0.1460	11150	0.4000	2,3,1	0.5000	45
4294967992	797.2627	-0.0362	11100	0.4000	0,3,2	0.5000	14
4294967982	3598.0322	0.1539	11050	0.4000	0,3,2	0.5000	14
4294968268	2008.2119	0.1606	11000	0.4000	2,3,2	0.5000	46
10598	824.1960	-0.2370	5300	0.4000	2,0,2	0.5000	34
13060	1598.6860	0.0325	4450	0.4000	3,3,2	0.5000	62
1024	136.3169	0.1201	10850	0.4000	2,0,2	0.5000	34
1059	2220.2324	0.4055	10800	0.4000	3,3,1	0.5000	61
11594	694.6123	0.1737	4950	0.4000	0,1,3	0.5000	7
10314	274.2495	0.0245	5400	0.4000	3,0,0	0.5000	48
14714	408.8818	-0.0756	3900	0.4000	1,1,3	0.5000	23
1193	1528.2812	-0.1162	10600	0.4000	1,1,0	0.5000	20
1232	1898.0361	0.2243	10550	0.4000	3,0,0	0.5000	48
1273	1807.5469	-0.0569	10500	0.4000	0,2,1	0.5000	9
10460	1813.2307	0.3219	5350	0.4000	2,0,2	0.5000	34
1348	3879.7900	-0.2153	10400	0.4000	3,1,2	0.5000	54
1393	3114.2822	-0.2601	10350	0.4000	3,1,0	0.5000	52
1441	2595.4531	-0.0482	10300	0.4000	0,2,0	0.5000	8
1481	2916.6318	0.4403	10250	0.4000	2,3,0	0.5000	44
14865	2042.8525	0.3660	3850	0.4000	0,1,2	0.5000	6
15189	458.2188	-0.2086	3750	0.4000	3,1,2	0.5000	54
1617	2402.4268	-0.1892	10100	0.4000	3,1,3	0.5000	55
1667	2110.3516	-0.2439	10050	0.4000	2,3,3	0.5000	47
1715	841.8159	-0.0829	10000	0.4000	1,0,0	0.5000	16
1764	1194.8232	0.2078	9950	0.4000	3,2,3	0.5000	59
1813	1064.3496	-0.1686	9900	0.4000	0,1,3	0.5000	7
1866	1707.6582	0.1821	9850	0.4000	1,3,0	0.5000	28
1921	316.1772	-0.1014	9800	0.4000	3,3,2	0.5000	62
1980	143.2539	-0.1671	9750	0.4000	2,2,1	0.5000	41
14277	1124.2725	-0.1454	4050	0.4000	1,0,3	0.5000	19
9923	1986.3911	0.3442	5550	0.4000	2,2,0	0.5000	40
2151	730.7393	0.4252	9600	0.4000	2,0,0	0.5000	32
2212	3223.6147	0.4746	9550	0.4000	2,1,2	0.5000	38
2265	1287.3877	0.3421	9500	0.4000	0,1,3	0.5000	7
2318	2111.9761	0.0408	9450	0.4000	3,2,1	0.5000	57
2376	943.0283	0.0368	9400	0.4000	3,0,1	0.5000	49
2441	1147.1182	0.4973	9350	0.4000	2,2,0	0.5000	40
2501	933.4727	0.0041	9300	0.4000	2,2,0	0.5000	40
12604	451.2937	-0.1452	4600	0.4000	3,0,0	0.5000	48
2623	587.1289	-0.0529	9200	0.4000	3,2,1	0.5000	57
12751	422.2253	0.3343	4550	0.4000	2,1,3	0.5000	39
2755	1939.4775	-0.0154	9100	0.4000	0,0,0	0.5000	0
2825	2090.4634	-0.0700	9050	0.4000	3,1,2	0.5000	54
2901	1116.8472	0.4424	9000	0.4000	2,2,2	0.5000	42
2969	1797.7783	0.0991	8950	0.4000	3,3,0	0.5000	60
3043	1309.4121	-0.0261	8900	0.4000	1,3,2	0.5000	30
3118	1470.5186	-0.0677	8850	0.4000	3,2,2	0.5000	58
10194	887.7839	-0.2546	5450	0.4000	3,1,0	0.5000	52
3257	1503.1372	-0.0389	8750	0.4000	3,3,3	0.5000	63
11152	1932.8384	0.3644	5100	0.4000	3,2,3	0.5000	59
14421	882.7927	0.3873	4000	0.4000	3,3,1	0.5000	61
3497	1292.3662	0.3325	8600	0.4000	0,3,0	0.5000	12
3578	855.9473	-0.0131	8550	0.4000	3,1,3	0.5000	55
3659	605.4609	0.3932	8500	0.4000	2,3,2	0.5000	46
3721	1495.4751	0.1814	8450	0.4000	1,3,2	0.5000	30
12288	1416.9419	-0.2990	4700	0.4000	0,1,0	0.5000	4
3892	1023.1494	0.1584	8350	0.4000	1,0,1	0.5000	17
3967	2019.1177	0.4046	8300	0.4000	2,3,2	0.5000	46
4055	1538.1387	0.2333	8250	0.4000	3,3,1	0.5000	61
4143	722.9580	-0.2914	8200	0.4000	1,3,3	0.5000	31
4223	2199.3862	0.1425	8150	0.4000	3,2,2	0.5000	58
4306	1631.3643	0.3046	8100	0.4000	3,0,0	0.5000	48
4397	823.9443	0.4033	8050	0.4000	3,2,3	0.5000	59
4489	2008.8555	0.3259	8000	0.4000	2,3,0	0.5000	44
4594	515.5396	0.0005	7950	0.4000	2,1,3	0.5000	39
4675	191.1611	-0.2523	7900	0.4000	2,1,3	0.5000	39
4763	405.0312	-0.2471	7850	0.4000	3,3,3	0.5000	63
4849	1106.6855	0.0181	7800	0.4000	0,0,3	0.5000	3
12445	1487.0762	0.2786	4650	0.4000	2,1,2	0.5000	38
5031	1973.7051	0.3873	7700	0.4000	2,0,0	0.5000	32
5125	1694.6836	-0.1530	7650	0.4000	0,1,0	0.5000	4
5213	2436.2539	-0.1527	7600	0.4000	3,2,1	0.5000	57
5305	70.2053	-0.0298	7550	0.4000	3,1,0	0.5000	52
5401	1033.8584	0.2293	7500	0.4000	3,2,2	0.5000	58
13209	80.4858	-0.2672	4400	0.4000	0,3,1	0.5000	13
5619	1069.3672	0.0685	7400	0.4000	3,3,2	0.5000	62
5719	791.0544	0.2700	7350	0.4000	0,3,3	0.5000	15
5821	2408.2036	0.2397	7300	0.4000	0,0,1	0.5000	1
5931	1042.8638	0.0125	7250	0.4000	3,3,0	0.5000	60
6028	2353.1299	0.2355	7200	0.4000	3,2,0	0.5000	56
6139	2388.0957	-0.1426	7150	0.4000	2,0,2	0.5000	34
6240	1078.9402	0.0920	7100	0.4000	2,1,0	0.5000	36
6343	775.0811	-0.1925	7050	0.4000	2,0,2	0.5000	34
6457	1394.2275	-0.0467	7000	0.4000	0,2,1	0.5000	9
6564	1205.9839	-0.2655	6950	0.4000	3,0,1	0.5000	49
6658	2154.4111	0.1111	6900	0.4000	0,1,3	0.5000	7
12157	784.0950	-0.0462	4750	0.4000	0,0,0	0.5000	0
6893	1259.1133	0.2090	6800	0.4000	3,3,2	0.5000	62
7012	1166.8237	0.0575	6750	0.4000	0,0,0	0.5000	0
7111	632.3259	-0.1718	6700	0.4000	1,2,3	0.5000	27
11278	1209.1646	-0.1385	5050	0.4000	3,2,1	0.5000	57
7346	1282.4932	0.2787	6600	0.4000	1,2,3	0.5000	27
7454	397.6704	0.0321	6550	0.4000	2,2,2	0.5000	42
7558	2632.7153	0.3421	6500	0.4000	3,1,1	0.5000	53
12892	1580.7935	0.4332	4500	0.4000	0,0,1	0.5000	1
10054	151.1045	-0.2933	5500	0.4000	3,2,1	0.5000	57
7922	1390.6357	0.2913	6350	0.4000	2,2,1	0.5000	41
8045	80.6001	0.4829	6300	0.4000	2,2,2	0.5000	42
8161	922.2964	0.1504	6250	0.4000	1,2,2	0.5000	26
8277	1599.7502	-0.2262	6200	0.4000	2,3,0	0.5000	44
8388	2036.1851	0.3123	6150	0.4000	2,0,3	0.5000	35
11439	1793.8770	-0.0167	5000	0.4000	2,3,1	0.5000	45
8656	1267.0083	0.4048	6050	0.4000	1,3,3	0.5000	31
8776	860.8955	0.4575	6000	0.4000	1,0,3	0.5000	19
8895	1231.4331	-0.2839	5950	0.4000	0,1,1	0.5000	5
9037	1291.8171	-0.0311	5900	0.4000	0,0,3	0.5000	3
9154	1157.9402	0.1020	5850	0.4000	3,1,2	0.5000	54
11011	384.5972	0.0715	5150	0.4000	0,3,1	0.5000	13
9419	8.6707	0.1818	5750	0.4000	0,1,3	0.5000	7
9531	2131.5435	-0.1913	5700	0.4000	2,2,1	0.5000	41
13976	133.3064	-0.0124	4150	0.4000	2,0,2	0.5000	34
9796	1143.1907	-0.2374	5600	0.4000	0,3,1	0.5000	13

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967940	500	4294968165	-0.1837	11905	11794
4294968215	487	505	-0.0748	11881	11622
4294968046	477	4294968165	-0.2488	11910	11935
4294967932	475	4294967997	0.0817	11882	11900
4294968054	479	4294967865	0.0007	11678	11415
4294983576	2212	4294984153	-0.5873	202	11798
4294968232	479	4294968165	-0.0705	11941	11627
4294968169	480	4294967865	-0.1120	11685	11825
4294968128	507	4294968165	-0.0000	11941	59
12884919972	4294967895	4294968432	0.0036	2028	9972
4294967946	487	4294967997	-0.1094	11883	11968
8589949391	10054	4294978317	-0.1104	321	11679
4294967810	479	4294967997	-0.0145	11865	11921
8589935105	503	4294967997	0.0662	11890	11628
