# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	4090.4731	0.3535	2001	0.4000	1,2,1	0.5000	25
505	3241.0361	0.2831	2001	0.4000	2,2,1	0.5000	41
477	4152.9717	0.1820	2001	0.4000	3,1,3	0.5000	55
491	2728.1602	0.1300	2001	0.4000	3,3,2	0.5000	62
479	1679.1245	-0.0857	2001	0.4000	3,2,1	0.5000	57
480	4381.0620	0.4021	2001	0.4000	0,3,3	0.5000	15
8589935484	1213.1488	0.4688	1850	0.4000	0,0,0	0.5000	0
482	278.5413	-0.2269	2001	0.4000	0,0,2	0.5000	2
500	2874.0925	0.2809	2001	0.4000	2,2,0	0.5000	40
4294968165	1596.6993	-0.1994	1950	0.4000	2,3,2	0.5000	46
512	1250.0399	0.0971	2001	0.4000	0,1,2	0.5000	6
503	4041.7998	0.4325	2001	0.4000	0,3,0	0.5000	12
487	2838.5796	-0.2480	2001	0.4000	1,3,3	0.5000	31
508	1958.7701	0.0445	2001	0.4000	0,3,1	0.5000	13
4294967865	3463.6687	0.1746	1700	0.4000	3,1,2	0.5000	54
4294967997	3409.8484	0.3743	1900	0.4000	3,3,0	0.5000	60
8589935287	1083.7002	-0.2999	1800	0.4000	0,0,3	0.5000	3
4294967909	2619.9106	-0.1077	1650	0.4000	2,2,3	0.5000	43
17179869874	1907.8209	-0.0187	1600	0.4000	0,1,2	0.5000	6
4294968083	1596.5651	-0.2819	1550	0.4000	3,1,2	0.5000	54
4294967895	2590.8328	0.4978	1500	0.4000	1,2,0	0.5000	24
4294967841	2668.4194	0.3616	1450	0.4000	1,2,3	0.5000	27
8589935087	740.8754	0.4744	1400	0.4000	1,1,0	0.5000	20
8589935386	1372.0337	-0.0607	1350	0.4000	2,3,3	0.5000	47
8589935318	2249.7607	0.4385	1300	0.4000	0,3,3	0.5000	15
8589935089	1892.7269	0.3490	1250	0.4000	1,0,0	0.5000	16
8589935490	3339.5999	0.0247	1200	0.4000	0,2,1	0.5000	9
8589935373	2340.9065	0.1460	1150	0.4000	2,3,1	0.5000	45
4294967992	1829.2629	-0.0362	1100	0.4000	0,3,2	0.5000	14
4294967982	3684.0320	0.1539	1050	0.4000	0,3,2	0.5000	14
4294968268	2568.2119	0.1606	1000	0.4000	2,3,2	0.5000	46
4294968259	807.8975	0.3560	950	0.4000	0,1,0	0.5000	4
996	937.2858	0.1389	900	0.4000	0,1,0	0.5000	4
1024	1341.3169	0.1201	850	0.4000	2,0,2	0.5000	34
1059	2084.2324	0.4055	800	0.4000	3,3,1	0.5000	61
1096	346.1342	-0.1281	750	0.4000	3,0,3	0.5000	51
1129	1043.4633	0.2111	700	0.4000	1,0,2	0.5000	18
1155	1043.3204	0.3532	650	0.4000	3,0,1	0.5000	49
1193	1567.2815	-0.1162	600	0.4000	1,1,0	0.5000	20
1232	1380.0364	0.2243	550	0.4000	3,0,0	0.5000	48
1273	1269.5466	-0.0569	500	0.4000	0,2,1	0.5000	9
1308	982.2787	0.4858	450	0.4000	0,1,1	0.5000	5
1348	1026.7900	-0.2153	400	0.4000	3,1,2	0.5000	54
1393	1075.2825	-0.2601	350	0.4000	3,1,0	0.5000	52
1441	1321.4534	-0.0482	300	0.4000	0,2,0	0.5000	8
1481	1191.6320	0.4403	250	0.4000	2,3,0	0.5000	44
1526	720.8586	-0.1323	200	0.4000	3,0,3	0.5000	51
1574	330.1260	0.0070	150	0.4000	2,0,0	0.5000	32
1617	478.4271	-0.1892	100	0.4000	3,1,3	0.5000	55
1667	274.3514	-0.2439	50	0.4000	2,3,3	0.5000	47

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967940	500	4294968165	-0.2207	1905	1553
4294968215	487	505	0.1496	1881	1976
4294968046	477	4294968165	-0.1648	1910	1567
4294967932	475	4294967997	-0.1904	1882	1972
4294968054	479	4294967865	0.5598	1678	1922
4294968218	505	8589935484	-0.4426	1845	1931
4294968232	479	4294968165	-0.5212	1941	1972
4294968169	480	4294967865	-0.3273	1685	1837
4294968128	507	4294968165	-0.0042	1941	59
806	479	508	-0.5425	1975	1855
4294967946	487	4294967997	-0.0742	1883	1010
8589935328	505	8589935287	-0.3997	1685	1931
4294967810	479	4294967997	-0.1401	1865	1340
8589935105	503	4294967997	0.9743	1890	1987
4294968136	491	4294967997	0.9881	1872	1994
4294967782	475	4294968165	-0.1915	1920	1703
4294967798	508	4294968165	-0.2057	1916	1903
8589935130	491	500	-0.1785	1940	1919
8589935306	482	8589935484	-0.1862	1845	1796
4294968098	4294967865	4294967997	-0.2054	1686	1818
4294967794	477	480	-0.1067	1929	1338
4294968061	487	491	0.0473	1951	1979
4294968039	482	505	-0.2244	1913	1965
826	475	487	-0.2804	1973	1812
4294968025	505	4294967997	-0.0919	1892	1935
4294967976	512	4294967997	0.8473	1874	1975
12884902766	505	508	0.8571	1876	1923
542	503	505	0.9821	1999	1991
4294968064	512	4294967865	0.1837	1686	1969
678	475	508	-0.0319	1988	1744
770	487	512	-0.2665	1979	1791
8589935343	491	8589935484	-0.2691	1843	1995
12884902660	475	477	-0.3591	1892	1862
4294968104	4294967865	4294967909	-0.2315	1613	1999
4294968238	475	480	-0.4779	1938	1998
8589935348	487	8589935484	-0.2286	1846	1807
4294967781	508	4294967997	-0.2249	1878	1976
4294968241	477	8589935484	-0.4991	1847	1927
4294967901	505	512	-0.0318	1923	1942
4294967795	480	8589935484	0.1895	1844	1879
843	480	508	-0.2572	1972	1972
8589935544	482	4294967997	-0.1967	1895	1854
8589935464	479	8589935484	-0.4649	1848	1894
947	477	487	-0.1767	1958	1857
12884902784	4294967865	4294968165	-0.2512	1690	1930
836	482	503	-0.2283	1972	1721
4294968015	477	4294967865	-0.3500	1694	1940
4294968112	479	482	-0.2605	1884	1937
8589935303	500	505	0.5122	1908	1994
4294968108	477	503	-0.1731	1848	1880
565	480	487	-0.0758	1997	1979
8589935468	482	4294968165	-0.5318	1942	1888
866	479	503	-0.3274	1969	1985
8589935212	482	487	-0.6310	1937	1944
8589935430	4294967997	4294968165	-0.3118	1856	1853
4294968040	477	512	-0.2235	1895	1962
571	508	512	-0.3792	1997	1938
740	480	482	-0.4440	1982	1869
837	491	503	0.6854	1972	1972
4294968239	479	512	-0.2153	1952	1528
902	475	479	-0.1822	1964	1724
927	491	508	-0.3213	1962	1821
577	475	482	-0.3726	1996	1904
749	487	503	0.9920	1981	1996
850	500	512	-0.1830	1971	1953
655	479	487	-0.2731	1990	1804
805	477	479	0.9940	1975	1997
8589935395	482	4294967865	0.5486	1694	1987
8589935492	4294967865	8589935484	-0.0485	1695	1890
722	480	491	-0.1113	1984	1873
8589935198	491	4294967865	0.1440	1695	1895
795	477	505	-0.3740	1977	1903
4294967971	503	508	-0.5223	1930	1932
4294967786	479	501	-0.0033	1953	47
8589935434	512	4294967909	-0.3607	1617	1868
4294967990	500	4294967997	0.2678	1899	1981
956	477	500	0.3126	1957	1775
592	475	512	0.9960	1996	1998
4294967969	475	4294967865	-0.2074	1698	1531
4294968269	500	4294967909	0.6552	1618	1954
4294968142	503	4294968165	-0.0711	1935	1974
596	479	491	-0.4228	1995	1830
682	487	500	0.1784	1988	2000
4294968226	487	4294968165	0.3263	1895	1941
12884902559	480	4294967997	-0.2674	1885	1935
