# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	4013.4731	0.3535	18001	0.4000	1,2,1	0.5000	25
8277	294.7502	-0.2262	12200	0.4000	2,3,0	0.5000	44
477	550.9717	0.1820	18001	0.4000	3,1,3	0.5000	55
8589939079	6675.8599	0.0727	3850	0.4000	0,0,1	0.5000	1
479	1700.1245	-0.0857	18001	0.4000	3,2,1	0.5000	57
480	4286.0625	0.4021	18001	0.4000	0,3,3	0.5000	15
10730	664.5645	0.3478	11250	0.4000	0,0,0	0.5000	0
8589938671	1407.7155	-0.2563	2950	0.4000	0,1,3	0.5000	7
4294981821	3411.9829	-0.1817	3000	0.4000	2,2,1	0.5000	41
9531	3193.5435	-0.1913	11700	0.4000	2,2,1	0.5000	41
3721	600.4751	0.1814	14450	0.4000	1,3,2	0.5000	30
503	5021.7998	0.4325	18001	0.4000	0,3,0	0.5000	12
11152	865.8384	0.3644	11100	0.4000	3,2,3	0.5000	59
5031	2192.7051	0.3873	13700	0.4000	2,0,0	0.5000	32
4294967865	4438.6689	0.1746	17700	0.4000	3,1,2	0.5000	54
4294967997	5082.8486	0.3743	17900	0.4000	3,3,0	0.5000	60
12445	2521.0762	0.2786	10650	0.4000	2,1,2	0.5000	38
4294979014	639.2594	-0.0035	350	0.4000	0,2,3	0.5000	11
8589948751	2833.8259	0.1487	1750	0.4000	3,2,1	0.5000	57
11439	3493.8770	-0.0167	11000	0.4000	2,3,1	0.5000	45
9796	354.1907	-0.2374	11600	0.4000	0,3,1	0.5000	13
21474838901	1801.6976	-0.2487	2250	0.4000	0,1,0	0.5000	4
13818	2919.8540	-0.0558	10200	0.4000	0,1,3	0.5000	7
3257	4649.1372	-0.0389	14750	0.4000	3,3,3	0.5000	63
8589935318	1566.7607	0.4385	17300	0.4000	0,3,3	0.5000	15
3967	1224.1177	0.4046	14300	0.4000	2,3,2	0.5000	46
4294971803	1048.0898	0.1681	2650	0.4000	3,3,0	0.5000	60
8589935373	3877.9062	0.1460	17150	0.4000	2,3,1	0.5000	45
4294969712	1103.5575	0.0348	2300	0.4000	2,0,3	0.5000	35
4294967982	1519.0322	0.1539	17050	0.4000	0,3,2	0.5000	14
4294973528	1078.4612	-0.1775	450	0.4000	1,1,1	0.5000	21
4294975381	1953.6162	0.1138	2100	0.4000	2,1,3	0.5000	39
21474851451	572.6764	-0.2193	250	0.4000	0,3,0	0.5000	12
12884910244	2277.6748	-0.1303	3450	0.4000	0,3,1	0.5000	13
1059	3428.2324	0.4055	16800	0.4000	3,3,1	0.5000	61
4294971764	2166.5999	0.4130	3400	0.4000	1,0,1	0.5000	17
3892	1225.1494	0.1584	14350	0.4000	1,0,1	0.5000	17
2969	482.7783	0.0991	14950	0.4000	3,3,0	0.5000	60
1193	1009.2812	-0.1162	16600	0.4000	1,1,0	0.5000	20
1232	2204.0361	0.2243	16550	0.4000	3,0,0	0.5000	48
