# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	4358.4731	0.3535	2001	0.4000
476	2637.4375	0.1505	2001	0.4000
477	2830.0134	0.0672	2001	0.4000
478	4158.4648	-0.2501	2001	0.4000
479	5398.3491	0.4062	2001	0.4000
480	3070.9717	0.1820	2001	0.4000
4294967969	2579.6091	0.2876	1850	0.4000
664	4333.0381	0.1627	1950	0.4000
483	4476.6348	0.3881	2001	0.4000
484	4568.9409	0.3295	2001	0.4000
485	1934.1245	-0.0857	2001	0.4000
486	1986.5808	0.0506	2001	0.4000
487	1366.8093	0.1805	2001	0.4000
488	4663.7671	0.3488	2001	0.4000
489	1143.7920	-0.2702	2001	0.4000
490	5133.3794	0.3627	2001	0.4000
491	4351.3945	0.3531	2001	0.4000
492	5854.2661	0.4483	2001	0.4000
493	2379.1360	0.1472	2001	0.4000
494	2292.4658	-0.0788	2001	0.4000
4294967924	2093.1753	-0.2230	1800	0.4000
4294967803	5214.0488	0.4920	1750	0.4000
4294968036	4566.8867	0.3417	1550	0.4000
766	711.9525	-0.0519	1450	0.4000
4294968065	2865.9116	0.2233	1400	0.4000
795	420.3301	-0.1428	1350	0.4000
818	497.6407	-0.2089	1300	0.4000
840	2111.4473	0.1299	1250	0.4000
869	1424.5170	0.2408	1200	0.4000
957	1384.2034	-0.2237	1050	0.4000
933	472.6194	-0.2940	1100	0.4000
4294968200	1185.1909	0.3778	1000	0.4000
987	601.8517	-0.0899	950	0.4000
1234	645.0216	0.2248	550	0.4000
1054	1046.2455	0.0144	850	0.4000
1155	1297.1687	0.3047	700	0.4000
1269	1153.8884	0.3791	450	0.4000
4294968393	354.8369	-0.1540	650	0.4000
1190	333.7053	-0.2700	600	0.4000
4294968456	438.1798	-0.1236	500	0.4000
4294968439	463.3386	0.3085	400	0.4000
8589936001	44.0854	-0.1334	100	0.4000
1348	172.3116	-0.1493	300	0.4000
8589935986	133.9863	-0.2331	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
495	476	493	-0.3121	2000	1993
4294967840	475	491	-0.1393	1861	1972
703	480	485	0.0232	1887	1990
4294967853	486	664	-0.0105	1863	1841
499	484	494	0.9821	2000	1991
500	475	485	0.1502	2000	1881
501	483	486	-0.5355	2000	1958
4294967956	486	4294967969	-0.3701	1847	1992
503	479	494	-0.0329	2000	1967
504	477	488	-0.3572	1999	1879
667	484	664	-0.2813	1947	1974
506	479	489	0.3647	1999	1998
678	485	664	-0.0304	1930	1952
677	493	664	-0.2718	1933	1584
676	475	488	-0.3310	1934	1984
510	485	490	-0.2479	1999	1989
511	489	494	-0.2576	1999	1966
675	475	664	0.8117	1936	1954
513	475	483	-0.0667	1998	1646
514	480	490	-0.0683	1998	1894
4294967906	478	486	-0.4817	1870	1921
516	485	492	-0.0562	1998	1971
517	486	489	-0.3478	1998	1881
518	483	487	-0.0309	1998	1875
519	487	490	0.0596	1998	1990
520	488	491	0.1076	1998	1790
521	475	477	0.9249	1997	1961
4294967918	478	664	0.8311	1871	1968
523	475	487	-0.3185	1997	1898
524	483	489	-0.1241	1997	1804
525	476	491	0.0003	1997	1830
526	476	492	0.8968	1997	2000
527	490	493	-0.1682	1997	1796
674	483	492	0.9029	1937	1949
529	477	491	-0.2411	1996	1756
530	480	491	0.9782	1996	1989
679	483	664	-0.1485	1930	1845
697	489	491	-0.3071	1894	1845
4294967933	478	494	0.0200	1873	1977
534	487	488	-0.1481	1996	1705
535	479	490	0.5019	1996	1964
536	493	494	-0.3140	1996	1778
537	475	479	0.9373	1995	1971
538	485	491	-0.3642	1995	1944
539	484	486	-0.0735	1995	1888
540	479	488	-0.0474	1995	1941
541	476	490	-0.1686	1995	1941
542	476	484	-0.3303	1994	1769
543	480	489	-0.3453	1994	1837
672	477	485	-0.4531	1943	1968
671	476	664	-0.1600	1943	1909
546	475	484	0.0491	1994	1988
547	489	490	-0.1313	1994	1971
548	477	479	-0.1990	1993	1896
549	479	485	-0.2615	1993	1956
550	483	484	0.4269	1993	1955
551	478	490	0.8957	1993	1945
552	486	491	0.9685	1993	1984
553	475	493	-0.1838	1993	1890
554	476	480	-0.1111	1992	1673
555	477	490	-0.3128	1992	1946
556	479	480	0.9724	1992	1986
695	490	664	0.9627	1896	1981
558	480	487	-0.1301	1992	1699
559	491	492	0.0607	1992	1942
560	480	494	-0.2583	1992	1954
561	475	492	-0.4852	1991	1988
562	483	485	0.2941	1991	1956
563	484	485	-0.2431	1991	1991
4294967939	485	486	0.1513	1879	1992
565	485	494	0.9821	1990	1991
566	486	487	-0.2364	1990	1950
682	480	664	-0.1339	1927	1623
568	479	491	0.9920	1989	1996
569	484	491	-0.0721	1989	1684
4294967943	487	494	0.0318	1881	1916
571	486	492	-0.1487	1989	1981
572	475	489	-0.3375	1989	1935
573	475	490	-0.3528	1989	1963
574	477	492	0.0016	1989	1837
575	480	493	-0.1702	1989	1877
576	476	494	0.8681	1989	1992
577	475	494	-0.3865	1988	1938
578	477	480	-0.1380	1988	1744
579	476	487	-0.2397	1988	1788
580	491	494	0.5606	1988	1984
581	488	492	0.0777	1988	1983
582	477	478	-0.0923	1987	1581
583	478	483	-0.2202	1987	1764
584	475	480	-0.3093	1987	1927
692	488	494	-0.1421	1901	1994
586	485	489	-0.1608	1987	1892
587	488	490	-0.1380	1987	1960
588	492	494	0.9920	1987	1996
589	480	488	-0.2084	1986	1966
590	475	476	-0.1680	1985	1788
591	477	494	-0.4915	1985	1937
592	486	490	0.2979	1985	1963
593	484	490	0.5665	1984	1914
594	476	483	0.6945	1983	2000
595	488	493	0.3322	1983	1994
596	490	494	-0.2021	1983	1875
597	492	493	-0.1604	1983	1885
4294967955	488	664	0.1459	1883	1914
599	479	492	-0.2253	1982	1879
600	478	491	-0.3931	1981	1983
601	479	484	-0.1701	1981	1920
602	490	491	-0.2713	1981	1999
603	480	483	-0.1101	1980	1999
604	484	493	0.6429	1980	1978
670	494	664	-0.1296	1945	1944
606	479	486	0.2827	1979	1969
607	483	494	-0.1427	1979	1988
608	484	488	0.9980	1979	1999
609	477	484	-0.2597	1978	1735
683	486	488	0.1319	1926	1998
611	477	493	-0.6070	1977	1979
612	477	483	0.7471	1977	1931
613	480	486	-0.1967	1977	1884
614	484	489	-0.3336	1977	1924
615	476	478	0.1261	1976	1949
616	476	479	-0.2200	1976	1721
617	483	493	0.3936	1976	1987
618	483	488	-0.2304	1976	1860
619	487	492	-0.0321	1976	1956
669	492	664	-0.3088	1945	1923
621	478	480	-0.2294	1975	1742
690	479	664	-0.2341	1910	1982
623	488	489	0.8643	1975	1982
624	489	493	-0.2642	1975	1965
625	478	493	-0.3562	1975	1989
626	486	493	-0.2850	1974	1887
627	484	492	0.0733	1974	1667
668	489	664	0.0899	1946	1866
629	491	493	-0.3104	1973	1932
630	475	486	0.2762	1972	1948
681	485	493	-0.1652	1928	1654
632	480	492	0.4019	1972	1977
633	475	478	-0.2141	1971	1761
689	478	492	0.5677	1917	1993
635	487	491	0.7536	1970	1997
636	478	488	0.9841	1970	1992
688	478	484	0.8537	1920	1997
687	486	494	-0.3085	1923	1905
639	479	487	0.0642	1965	1793
640	479	483	-0.0442	1965	1717
641	477	486	0.2757	1965	1981
642	490	492	-0.2153	1965	1864
686	478	479	0.8829	1925	1996
644	485	488	-0.1329	1963	1755
645	484	487	-0.1046	1963	1952
646	476	485	-0.2259	1962	1647
685	477	664	-0.4506	1926	1980
648	489	492	-0.7174	1962	1955
649	483	491	0.3847	1962	1949
650	483	490	-0.1581	1961	1995
651	478	487	-0.3089	1960	1829
652	476	477	-0.3501	1958	1966
653	485	487	0.5567	1958	1973
654	477	489	-0.3746	1957	1811
655	480	484	0.9646	1956	1982
656	477	487	0.6673	1956	1996
657	476	488	0.9436	1955	1971
658	478	485	-0.2376	1955	1992
684	491	664	-0.2080	1926	1774
680	476	486	-0.3392	1929	1977
661	476	489	-0.2673	1953	1904
662	487	489	-0.3939	1953	1952
663	487	493	-0.3218	1950	1954
665	487	664	0.0723	1949	1939
666	479	493	-0.0958	1947	1996
4294967989	487	4294967969	-0.2579	1846	1944
8589935074	478	4294967969	-0.1502	1845	1720
8589935073	477	4294967969	-0.0944	1844	1995
8589935286	476	4294967969	-0.3136	1842	1930
8589935283	484	4294967969	-0.1856	1842	1706
8589935230	479	4294967969	0.0467	1841	1949
4294967992	491	4294967969	0.7794	1840	1994
8589935226	488	4294967969	-0.2478	1839	1931
4294967994	475	4294967969	0.9608	1838	1980
4294967995	480	4294967969	0.3818	1837	1987
8589935177	492	4294967969	-0.2048	1835	1953
4294967996	493	4294967969	-0.0780	1830	1845
4294967997	664	4294967969	-0.0351	1823	1096
8589935159	490	4294967969	-0.2956	1805	1976
4294967998	494	4294967969	-0.0841	1801	1727
4294967927	483	4294967969	0.2917	1801	1997
4294967916	486	4294967924	-0.2939	1799	1997
4294967901	485	4294967969	-0.0760	1798	1945
4294967894	664	4294967924	-0.2786	1797	1977
4294967866	484	4294967924	-0.0779	1792	1955
4294967860	490	4294967924	-0.1722	1789	1874
4294967841	489	4294967969	-0.2249	1787	2000
4294967829	478	489	0.0597	1784	1842
4294967827	477	4294967924	-0.1694	1781	1917
4294967818	489	4294967924	-0.1847	1780	1724
4294967811	475	4294967924	-0.2470	1780	1864
4294967805	476	4294967924	-0.1597	1778	1957
4294967801	480	4294967924	0.9802	1776	1990
4294967794	492	4294967924	0.9980	1774	1999
4294967792	483	4294967924	-0.1749	1772	1994
4294967828	487	4294967924	-0.1648	1765	1639
4294967824	485	4294967924	0.2583	1759	1998
4294967808	4294967924	4294967969	0.0444	1754	1826
4294967804	494	4294967924	-0.2901	1754	1840
4294967798	485	4294967803	-0.4129	1749	1995
4294967793	489	4294967803	-0.3623	1747	1970
704	483	4294967803	0.9861	1746	1993
705	487	4294967803	-0.3195	1745	1927
706	494	4294967803	0.2903	1744	1986
707	4294967803	4294967924	0.8697	1743	1994
708	488	4294967924	-0.2744	1740	1980
709	484	4294967803	-0.0699	1737	1888
710	479	4294967803	-0.1311	1734	1516
711	491	4294967803	-0.3660	1734	1996
712	488	4294967803	0.1868	1733	1992
713	492	4294967803	0.6170	1733	1975
714	475	4294967803	0.9550	1732	1977
715	491	4294967924	-0.0928	1731	1896
716	479	4294967924	-0.3220	1731	1816
717	477	4294967803	0.9397	1730	1991
718	490	4294967803	0.0481	1729	1993
719	480	4294967803	-0.1514	1728	1908
720	478	4294967803	0.1000	1723	1912
721	486	4294967803	-0.3768	1721	1889
722	4294967803	4294967969	0.0751	1714	1849
723	476	4294967803	-0.1292	1713	1946
724	664	4294967803	0.7396	1710	2000
733	493	4294967803	-0.1629	1679	1897
4294968057	664	4294968036	-0.1343	1548	1968
4294968058	4294967969	4294968036	-0.0406	1548	1997
8589935317	491	4294968036	-0.2258	1545	1646
4294968054	477	4294968036	-0.3289	1544	1955
4294968050	483	4294968036	1.0000	1544	2000
4294968056	4294967924	4294968036	-0.1506	1543	1843
4294968046	479	4294968036	0.3023	1542	1752
4294968040	475	4294968036	-0.0926	1541	1910
4294968048	4294967803	4294968036	0.9550	1539	1977
4294968038	488	4294968036	-0.1185	1536	1844
4294968059	486	4294968036	-0.0841	1534	1994
4294968035	487	4294968036	-0.1895	1534	1807
4294968034	476	4294968036	0.3208	1533	1999
4294968033	494	4294968036	0.7849	1532	1879
4294968032	485	4294968036	0.5096	1525	2000
4294968031	484	4294968036	-0.0381	1522	1971
4294968030	490	4294968036	0.7826	1520	1993
8589935318	480	4294968036	-0.0456	1513	1435
788	489	766	-0.3232	1417	1999
787	478	4294968036	-0.1463	1417	1827
786	485	766	-0.2091	1422	1935
785	766	4294968036	-0.0823	1423	1812
772	494	766	-0.1985	1443	1946
4294968055	493	4294968036	0.9138	1493	1955
783	488	766	-0.1772	1428	1858
4294968052	478	4294967924	0.3580	1492	1902
4294968051	492	4294968036	0.2524	1491	1977
782	490	766	-0.0987	1429	1863
781	491	766	-0.1406	1430	1691
780	487	766	0.0839	1433	1967
4294968044	489	4294968036	0.8627	1478	2000
779	486	766	-0.0294	1435	1934
768	475	766	-0.3068	1449	1850
777	766	4294967969	-0.1136	1438	1715
771	483	766	-0.2032	1444	1874
775	476	766	-0.2665	1440	1958
774	478	766	0.8161	1441	1960
770	477	766	-0.0832	1445	1971
12884902615	484	766	0.9621	1415	1988
4294968080	480	766	-0.1924	1413	1940
4294968074	766	4294967803	-0.1035	1407	1908
4294968072	493	4294967924	-0.2752	1405	1904
4294968069	479	766	-0.0801	1404	1842
4294968063	492	766	-0.0070	1399	1934
4294968061	4294967924	4294968065	-0.2260	1399	1917
4294968060	491	4294968065	-0.1031	1398	1806
8589935333	476	4294968065	-0.2164	1398	1903
8589935335	4294968036	4294968065	0.9493	1397	1974
8589935337	486	4294968065	-0.0127	1396	1743
8589935338	483	4294968065	0.8385	1392	1977
8589935339	477	4294968065	0.7146	1391	1974
8589935341	766	4294967924	-0.2228	1388	1882
8589935343	479	4294968065	0.1452	1386	1905
8589935345	664	4294968065	-0.2403	1386	1852
8589935349	766	4294968065	-0.3537	1386	1918
12884902620	480	4294968065	0.6620	1384	1998
12884902619	664	766	0.1212	1384	1971
12884902618	478	4294968065	0.0431	1383	1913
12884902617	4294967969	4294968065	-0.2262	1373	1931
12884902616	475	4294968065	-0.1510	1369	1960
789	494	4294968065	-0.2649	1365	1919
790	489	4294968065	-0.3178	1360	1910
791	484	4294968065	-0.2003	1358	1817
792	490	4294968065	1.0000	1356	2000
793	487	4294968065	0.1804	1356	1927
794	4294967803	4294968065	-0.1995	1352	1793
796	488	4294968065	-0.1971	1349	1943
797	477	795	0.8278	1349	1928
798	766	795	-0.1496	1348	1930
799	494	795	-0.4136	1347	1961
800	480	795	-0.3269	1347	1835
801	485	795	-0.4746	1346	1836
802	485	4294968065	0.9323	1345	1965
803	479	795	0.9763	1344	1988
804	483	795	0.2029	1342	1997
805	795	4294968036	-0.2731	1341	1927
806	486	795	-0.2823	1340	1996
807	487	795	-0.2464	1338	1933
808	664	795	-0.3231	1337	1961
809	795	4294967803	-0.3247	1336	1962
810	475	795	-0.4416	1333	1861
811	492	795	-0.2678	1331	1901
812	493	4294968065	0.0758	1327	1937
813	476	795	0.5984	1321	1987
814	795	4294967969	-0.3624	1321	1811
815	490	795	-0.2775	1316	1759
816	478	795	-0.4465	1310	1978
817	795	4294968065	-0.3376	1308	1999
819	475	818	-0.2682	1299	1945
820	493	818	-0.0963	1299	1948
821	795	818	-0.4836	1299	1989
822	818	4294968065	-0.1702	1298	1992
823	478	818	-0.2741	1297	1904
824	818	4294967969	0.1263	1295	1931
825	494	818	-0.3655	1286	1888
826	493	795	-0.0492	1286	1870
827	479	818	-0.3464	1285	1972
828	489	795	-0.3809	1283	1953
829	488	795	0.6313	1278	1973
830	492	818	0.8922	1276	1999
831	488	818	-0.4885	1276	1948
832	491	818	0.9743	1275	1987
833	484	795	-0.3207	1273	1833
834	795	4294967924	0.3637	1271	1920
