# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	6297.4731	0.3535	4001	0.4000
476	2977.4375	0.1505	4001	0.4000
477	4923.0137	0.0672	4001	0.4000
478	5827.4648	-0.2501	4001	0.4000
479	10239.3496	0.4062	4001	0.4000
480	6355.9717	0.1820	4001	0.4000
4294967969	4798.6094	0.2876	3850	0.4000
664	7166.0381	0.1627	3950	0.4000
483	6807.6348	0.3881	4001	0.4000
484	7654.9409	0.3295	4001	0.4000
485	2470.1245	-0.0857	4001	0.4000
486	3219.5808	0.0506	4001	0.4000
487	4017.8093	0.1805	4001	0.4000
488	7380.7671	0.3488	4001	0.4000
489	1161.7920	-0.2702	4001	0.4000
490	7740.3794	0.3627	4001	0.4000
491	7003.3945	0.3531	4001	0.4000
492	8865.2656	0.4483	4001	0.4000
493	5195.1357	0.1472	4001	0.4000
494	3712.4658	-0.0788	4001	0.4000
4294967924	4863.1753	-0.2230	3800	0.4000
4294967803	9847.0488	0.4920	3750	0.4000
4294968036	7938.8867	0.3417	3550	0.4000
766	2173.9524	-0.0519	3450	0.4000
4294968065	4882.9116	0.2233	3400	0.4000
795	1359.3301	-0.1428	3350	0.4000
818	277.6407	-0.2089	3300	0.4000
840	5271.4473	0.1299	3250	0.4000
869	4525.5171	0.2408	3200	0.4000
957	2615.2034	-0.2237	3050	0.4000
933	757.6194	-0.2940	3100	0.4000
4294968200	4526.1909	0.3778	3000	0.4000
987	1694.8517	-0.0899	2950	0.4000
1234	3517.0215	0.2248	2550	0.4000
1054	3070.2456	0.0144	2850	0.4000
1155	2795.1687	0.3047	2700	0.4000
1269	4506.8887	0.3791	2450	0.4000
4294968393	1701.8369	-0.1540	2650	0.4000
1190	1484.7053	-0.2700	2600	0.4000
4294968456	2098.1797	-0.1236	2500	0.4000
4294968439	2461.3386	0.3085	2400	0.4000
4294968604	554.6354	0.1581	1950	0.4000
1348	796.3116	-0.1493	2300	0.4000
4294968799	1966.3849	0.3308	1650	0.4000
8589935992	2062.8286	0.2767	2000	0.4000
4294968911	1346.0068	0.2742	1700	0.4000
1617	1829.4258	-0.0109	1750	0.4000
1668	469.3585	0.1786	1550	0.4000
12884903191	2766.8237	0.2081	1600	0.4000
1719	1073.2083	0.1684	1450	0.4000
4294968986	994.2427	0.3703	1400	0.4000
1771	2448.4346	0.3486	1350	0.4000
2490	247.4077	0.0187	550	0.4000
1865	2066.4536	0.4627	1250	0.4000
1922	665.5347	-0.0356	1200	0.4000
4294969313	1334.7639	0.3858	1050	0.4000
4294969310	332.3918	-0.0595	950	0.4000
2077	654.1658	0.2439	900	0.4000
2129	519.1008	0.3794	850	0.4000
2190	700.1067	0.2322	800	0.4000
4294969821	268.3295	0.0321	450	0.4000
2303	142.6487	0.1728	700	0.4000
8589937075	751.6982	0.2897	500	0.4000
4294969616	140.8261	-0.1446	400	0.4000
2549	45.0908	-0.1168	300	0.4000
8589936976	402.2411	0.3103	250	0.4000
2625	269.8385	0.0816	200	0.4000
2674	94.1871	-0.2751	150	0.4000
2747	97.0547	-0.1192	100	0.4000
2805	177.4381	0.3226	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
495	476	493	-0.2299	4000	3839
4294967840	475	491	0.0896	3861	3875
703	480	485	-0.0281	3887	3877
4294967853	486	664	-0.3116	3863	3946
499	484	494	-0.3101	4000	3938
500	475	485	0.0864	4000	3993
501	483	486	0.0974	4000	3942
4294967956	486	4294967969	0.0198	3847	3893
503	479	494	-0.2059	4000	3918
504	477	488	-0.0242	3999	3865
667	484	664	-0.0963	3947	3498
506	479	489	0.3908	3999	3923
678	485	664	-0.1245	3930	3760
677	493	664	-0.0883	3933	3644
676	475	488	-0.2793	3934	3929
510	485	490	0.0764	3999	3938
511	489	494	-0.3035	3999	3871
675	475	664	-0.0418	3936	3807
513	475	483	0.3654	3998	3931
514	480	490	-0.1283	3998	3769
4294967906	478	486	-0.1882	3870	3606
516	485	492	-0.2079	3998	3902
517	486	489	-0.2254	3998	3663
518	483	487	-0.0147	3998	3937
519	487	490	-0.3322	3998	3798
520	488	491	-0.0277	3998	3984
521	475	477	0.3867	3997	3999
4294967918	478	664	0.9305	3871	3964
523	475	487	-0.2076	3997	3589
524	483	489	-0.3815	3997	3969
525	476	491	-0.1101	3997	3642
526	476	492	-0.2400	3997	3890
527	490	493	-0.1758	3997	3695
674	483	492	-0.0118	3937	3728
529	477	491	-0.1588	3996	3531
530	480	491	-0.1229	3996	4000
679	483	664	0.2412	3930	3808
697	489	491	0.3247	3894	3846
4294967933	478	494	-0.1791	3873	3987
534	487	488	-0.3618	3996	3863
535	479	490	0.1128	3996	4000
536	493	494	-0.0727	3996	3757
537	475	479	-0.0480	3995	3954
538	485	491	-0.0438	3995	3764
539	484	486	0.0078	3995	3725
540	479	488	-0.0483	3995	3993
541	476	490	0.0202	3995	3962
542	476	484	-0.2868	3994	3992
543	480	489	-0.2327	3994	3861
672	477	485	-0.0526	3943	3125
671	476	664	0.4925	3943	3988
546	475	484	0.1026	3994	3841
547	489	490	-0.0255	3994	3828
548	477	479	-0.1506	3993	3846
549	479	485	0.1126	3993	3924
550	483	484	-0.2221	3993	3883
551	478	490	0.1138	3993	3970
552	486	491	0.2428	3993	3945
553	475	493	-0.2075	3993	3996
554	476	480	-0.0835	3992	3959
555	477	490	-0.2678	3992	3951
556	479	480	0.8052	3992	3972
695	490	664	0.1425	3896	3787
558	480	487	0.1514	3992	3967
559	491	492	0.0579	3992	3799
560	480	494	-0.3479	3992	3980
561	475	492	-0.2043	3991	3838
562	483	485	-0.0830	3991	3977
563	484	485	-0.1814	3991	3567
4294967939	485	486	-0.0967	3879	3887
565	485	494	0.1941	3990	3981
566	486	487	0.0280	3990	3958
682	480	664	-0.1067	3927	3887
568	479	491	0.8558	3989	3996
569	484	491	-0.0883	3989	3869
4294967943	487	494	-0.1950	3881	3758
571	486	492	-0.2315	3989	3925
572	475	489	0.0954	3989	3898
573	475	490	-0.1636	3989	3768
574	477	492	0.1834	3989	3939
575	480	493	-0.1939	3989	3914
576	476	494	-0.2465	3989	3899
577	475	494	-0.0916	3988	3930
578	477	480	-0.2554	3988	3839
579	476	487	-0.0318	3988	3613
580	491	494	0.1321	3988	3913
581	488	492	-0.0805	3988	3790
582	477	478	-0.2048	3987	3912
583	478	483	0.0415	3987	3967
