# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	7457.4727	0.3535	12001	0.4000
476	1284.4375	0.1505	12001	0.4000
477	1939.0137	0.0672	12001	0.4000
478	4388.4648	-0.2501	12001	0.4000
479	14295.3496	0.4062	12001	0.4000
480	5711.9717	0.1820	12001	0.4000
4294967969	7728.6094	0.2876	11850	0.4000
664	7046.0381	0.1627	11950	0.4000
483	10075.6348	0.3881	12001	0.4000
484	8047.9414	0.3295	12001	0.4000
485	1688.1245	-0.0857	12001	0.4000
486	4476.5811	0.0506	12001	0.4000
487	649.8096	0.1805	12001	0.4000
488	9920.7676	0.3488	12001	0.4000
4294972717	118.0389	0.3165	4450	0.4000
490	8040.3789	0.3627	12001	0.4000
491	8790.3945	0.3531	12001	0.4000
492	11913.2656	0.4483	12001	0.4000
493	4363.1357	0.1472	12001	0.4000
7176	214.8568	-0.0777	2000	0.4000
4294967924	4090.1753	-0.2230	11800	0.4000
4294967803	14371.0488	0.4920	11750	0.4000
4294968036	10156.8867	0.3417	11550	0.4000
7512	787.0017	0.3689	550	0.4000
4294968065	5488.9116	0.2233	11400	0.4000
795	2546.3301	-0.1428	11350	0.4000
8589936166	235.6137	0.1455	1350	0.4000
840	3000.4473	0.1299	11250	0.4000
869	7195.5171	0.2408	11200	0.4000
957	1175.2034	-0.2237	11050	0.4000
5175	1742.1519	0.4022	5050	0.4000
4294968200	3956.1909	0.3778	11000	0.4000
987	1619.8516	-0.0899	10950	0.4000
1234	5182.0215	0.2248	10550	0.4000
1054	3859.2456	0.0144	10850	0.4000
1155	3553.1689	0.3047	10700	0.4000
1269	7563.8887	0.3791	10450	0.4000
6053	412.0757	0.0762	3750	0.4000
4294969961	170.8652	-0.0290	350	0.4000
4294968456	776.1797	-0.1236	10500	0.4000
4294968439	2891.3386	0.3085	10400	0.4000
12884905209	574.3464	0.1873	250	0.4000
30064772564	599.3125	0.1521	900	0.4000
4294968799	4205.3848	0.3308	9650	0.4000
8589935992	6150.8286	0.2767	10000	0.4000
4294968911	1450.0068	0.2742	9700	0.4000
8589939198	2568.5283	0.4764	1400	0.4000
8589940038	90.8087	-0.2088	100	0.4000
12884903191	3992.8237	0.2081	9600	0.4000
7734	234.9413	0.3031	450	0.4000
4294968986	2054.2427	0.3703	9400	0.4000
1771	1950.4346	0.3486	9350	0.4000
17179874100	307.9247	0.1944	1700	0.4000
1865	4392.4536	0.4627	9250	0.4000
8589935699	1578.4852	-0.0510	4200	0.4000
4294969313	5623.7637	0.3858	9050	0.4000
4294972154	2247.9722	0.4182	3050	0.4000
8589939313	1066.7463	0.4120	1050	0.4000
2129	2143.1008	0.3794	8850	0.4000
2190	449.1067	0.2322	8800	0.4000
17179873444	482.4577	-0.2047	750	0.4000
7407	657.2020	0.3528	600	0.4000
8589937075	5003.6982	0.2897	8500	0.4000
4294973483	892.6229	0.4739	1000	0.4000
2933	6045.6812	0.4590	7950	0.4000
8589936976	2907.2412	0.3103	8250	0.4000
12884908438	38.7321	0.2074	400	0.4000
4294974231	90.2824	-0.0335	50	0.4000
6155	190.5411	0.0699	3650	0.4000
2805	3766.4380	0.3226	8050	0.4000
17179874973	364.6871	0.4136	300	0.4000
4294969856	4008.7036	0.3961	7850	0.4000
7372	939.4193	0.3749	1800	0.4000
4294971145	1419.1833	0.4494	4350	0.4000
8589936888	83.5802	0.0308	700	0.4000
4294971634	3302.4224	0.4741	5900	0.4000
3445	2349.7349	0.2797	7500	0.4000
4294970728	3463.3120	0.3617	7300	0.4000
4294974604	51.8787	0.1273	800	0.4000
4294970544	1949.5344	0.2798	7050	0.4000
4790	2402.2969	0.4134	5650	0.4000
8589937836	7229.2407	0.4845	6650	0.4000
4294969590	1976.8113	0.3158	6550	0.4000
17179873664	839.9020	0.2711	1650	0.4000
12884906303	1558.0332	0.3459	3850	0.4000
6934	1503.6523	0.3805	2500	0.4000
8589941695	467.6207	0.1216	1550	0.4000
8589939109	541.4272	0.3732	5300	0.4000
