# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	3703.4731	0.3535	2001	0.4000	1,2,1	0.5000	25
504	3012.9741	0.1652	2001	0.4000	2,0,2	0.5000	34
495	5826.1338	-0.0547	2001	0.4000	2,2,1	0.5000	41
506	2063.5649	-0.1457	2001	0.4000	3,3,0	0.5000	60
500	3739.0925	0.2809	2001	0.4000	2,2,0	0.5000	40
480	3163.0620	0.4021	2001	0.4000	0,3,3	0.5000	15
509	608.5342	0.4749	2001	0.4000	2,3,1	0.5000	45
482	1662.5413	-0.2269	2001	0.4000	0,0,2	0.5000	2
502	2001.3269	0.0811	2001	0.4000	0,1,2	0.5000	6
497	2817.9453	0.3336	2001	0.4000	0,2,3	0.5000	11
485	3204.4526	0.1717	2001	0.4000	2,0,3	0.5000	35
4294967784	1773.7477	-0.0127	1850	0.4000	0,0,0	0.5000	0
499	1084.3978	0.4231	2001	0.4000	3,3,2	0.5000	62
505	4225.0361	0.2831	2001	0.4000	2,2,1	0.5000	41
8589935213	3878.7002	-0.1419	1900	0.4000	2,3,2	0.5000	46
514	2968.3462	0.4614	2001	0.4000	2,2,2	0.5000	42
17179869697	2190.0110	-0.0282	1650	0.4000	1,0,1	0.5000	17
8589935193	1874.2207	-0.0847	1150	0.4000	1,2,3	0.5000	27
30064771890	1064.5802	-0.1951	800	0.4000	1,3,3	0.5000	31
17179869820	109.2954	0.2808	350	0.4000	1,0,0	0.5000	16
30064771765	711.6725	-0.0904	600	0.4000	2,0,0	0.5000	32
8589935150	38.7133	0.4529	250	0.4000	3,2,0	0.5000	56
4294967833	48.4164	-0.0323	100	0.4000	1,2,1	0.5000	25
21474837138	171.1433	-0.0631	150	0.4000	2,0,2	0.5000	34
12884902877	56.0645	0.3546	50	0.4000	1,1,0	0.5000	20

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.3225	1714	1748
516	482	497	-0.3095	2000	1877
682	475	509	-0.4981	1989	1931
4294968138	480	514	0.7757	1879	1998
4294968071	497	8589935213	-0.2320	1862	1925
4294968241	482	4294967784	-0.4735	1824	1909
4294968163	482	505	-0.4462	1935	1868
953	495	504	0.8827	1960	1997
8589935142	495	509	-0.3237	1887	1963
524	495	500	-0.3534	2000	1946
8589935510	506	4294967784	-0.3438	1829	1967
4294968122	480	509	-0.4930	1939	1869
827	505	509	-0.3166	1975	1902
4294967874	480	502	-0.6392	1927	1911
529	506	514	-0.4156	2000	1941
4294967773	497	500	-0.5199	1856	1874
936	485	495	-0.4593	1963	1960
4294967948	500	504	-0.4312	1957	1999
764	497	502	-0.4107	1981	1939
4294968080	481	506	-0.0021	1924	76
925	502	505	0.7790	1964	1995
790	482	499	-0.5176	1978	1946
8589935270	485	4294967784	-0.5204	1816	1915
8589935260	504	505	-0.5466	1936	1982
8589935268	475	514	-0.7791	1921	1955
4294967993	475	480	0.9940	1948	1997
541	475	497	-0.3694	1999	1734
889	499	514	0.8940	1968	2000
4294968152	495	497	-0.3763	1865	2000
4294967983	495	499	-0.6075	1945	1992
760	475	495	0.9704	1981	1985
8589935222	480	497	-0.4946	1866	1971
4294967780	499	506	-0.6913	1877	1958
776	499	509	-0.7744	1980	1976
660	485	502	-0.6445	1990	1983
4294968269	475	500	-0.6183	1937	1921
851	482	502	0.9861	1972	1993
781	497	514	-0.4652	1979	1953
4294968082	499	504	-0.5953	1924	1947
928	495	514	0.0670	1964	1906
762	497	504	0.7285	1981	1966
992	499	502	-0.4741	1941	1982
855	485	499	-0.3870	1972	1945
659	482	495	0.8148	1990	2000
4294967787	514	4294967784	-0.3686	1790	1803
4294968036	485	497	-0.3885	1919	1918
857	495	502	-0.6017	1972	1952
8589935145	505	506	-0.4644	1930	1857
