# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	6011.4731	0.3535	4001	0.4000	1,2,1	0.5000	25
504	6233.9741	0.1652	4001	0.4000	2,0,2	0.5000	34
495	10017.1338	-0.0547	4001	0.4000	2,2,1	0.5000	41
506	5486.5649	-0.1457	4001	0.4000	3,3,0	0.5000	60
500	5135.0928	0.2809	4001	0.4000	2,2,0	0.5000	40
480	5248.0620	0.4021	4001	0.4000	0,3,3	0.5000	15
509	1360.5342	0.4749	4001	0.4000	2,3,1	0.5000	45
482	3693.5413	-0.2269	4001	0.4000	0,0,2	0.5000	2
502	3786.3269	0.0811	4001	0.4000	0,1,2	0.5000	6
497	6271.9453	0.3336	4001	0.4000	0,2,3	0.5000	11
485	5312.4526	0.1717	4001	0.4000	2,0,3	0.5000	35
4294967784	2948.7476	-0.0127	3850	0.4000	0,0,0	0.5000	0
499	1578.3978	0.4231	4001	0.4000	3,3,2	0.5000	62
505	4935.0361	0.2831	4001	0.4000	2,2,1	0.5000	41
8589935213	8045.7002	-0.1419	3900	0.4000	2,3,2	0.5000	46
514	6020.3462	0.4614	4001	0.4000	2,2,2	0.5000	42
17179869697	5292.0107	-0.0282	3650	0.4000	1,0,1	0.5000	17
8589935193	5969.2207	-0.0847	3150	0.4000	1,2,3	0.5000	27
30064771890	4940.5801	-0.1951	2800	0.4000	1,3,3	0.5000	31
17179869820	1531.2954	0.2808	2350	0.4000	1,0,0	0.5000	16
30064771765	2986.6724	-0.0904	2600	0.4000	2,0,0	0.5000	32
8589935150	1525.7133	0.4529	2250	0.4000	3,2,0	0.5000	56
12884902626	1955.3317	0.2563	1800	0.4000	3,0,1	0.5000	49
25769804393	828.8565	0.4512	1500	0.4000	1,0,1	0.5000	17
8589935146	1225.7579	-0.0660	1550	0.4000	3,0,3	0.5000	51
8589935267	486.9233	0.1601	850	0.4000	0,0,0	0.5000	0
4294967869	582.7102	0.0853	1000	0.4000	1,0,3	0.5000	19
1025	778.9187	-0.0994	600	0.4000	2,2,3	0.5000	43
8589935302	740.2059	0.4739	1100	0.4000	2,3,3	0.5000	47
12884902586	240.9598	0.4295	800	0.4000	1,3,0	0.5000	28
1060	38.0852	0.1870	150	0.4000	3,2,1	0.5000	57
12884902633	410.8322	0.1289	400	0.4000	0,2,3	0.5000	11
8589935608	179.5346	0.1325	200	0.4000	0,0,3	0.5000	3
38654706468	60.9289	0.0259	100	0.4000	1,0,3	0.5000	19
17179870164	147.1950	-0.1191	50	0.4000	1,0,2	0.5000	18

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.4588	3714	3922
516	482	497	-0.4437	4000	3971
682	475	509	-0.5611	3989	3927
4294968138	480	514	-0.3090	3879	3829
4294968071	497	8589935213	-0.3320	3862	3860
4294968241	482	4294967784	-0.4454	3824	3935
4294968163	482	505	-0.7757	3935	3974
953	495	504	0.7109	3960	3982
8589935142	495	509	-0.8658	3887	3928
524	495	500	-0.3289	4000	3726
8589935510	506	4294967784	-0.5120	3829	3953
4294968122	480	509	-0.5462	3939	3987
827	505	509	-0.5493	3975	3952
4294967874	480	502	-0.4890	3927	3959
529	506	514	-0.3506	4000	3797
4294967773	497	500	-0.7447	3856	3974
936	485	495	-0.3182	3963	3997
4294967948	500	504	-0.4588	3957	3814
764	497	502	-0.2601	3981	3921
4294968080	481	506	-0.0000	3924	76
925	502	505	0.7399	3964	3969
790	482	499	-0.4926	3978	3821
8589935270	485	4294967784	-0.4394	3816	3942
8589935260	504	505	-0.2801	3936	3888
8589935268	475	514	-0.5989	3921	3993
4294967993	475	480	0.6171	3948	3996
541	475	497	-0.4454	3999	3894
889	499	514	0.9804	3968	3994
4294968152	495	497	-0.1026	3865	3999
4294967983	495	499	-0.4758	3945	3839
760	475	495	0.8744	3981	3998
8589935222	480	497	-0.2802	3866	3967
4294967780	499	506	-0.2970	3877	3881
776	499	509	0.0309	3980	3952
660	485	502	-0.4545	3990	3892
4294968269	475	500	0.0000	3937	3986
851	482	502	-0.3820	3972	3905
781	497	514	-0.4289	3979	3929
4294968082	499	504	-0.3910	3924	3823
928	495	514	0.1781	3964	3999
762	497	504	0.9980	3981	3999
992	499	502	-0.4315	3941	3984
855	485	499	-0.3274	3972	3950
659	482	495	-0.3451	3990	3859
4294967787	514	4294967784	-0.1772	3790	3998
4294968036	485	497	-0.4154	3919	3897
857	495	502	-0.4990	3972	3946
8589935145	505	506	-0.6380	3930	3999
4294967957	485	8589935213	-0.5123	3887	3956
4294967868	497	4294967784	0.7945	3831	3997
4294968112	495	505	-0.4409	3913	3923
4294968266	502	8589935213	0.9861	3802	3993
4294967789	482	509	-0.3211	3958	3982
4294967878	475	4294967784	-0.4494	3832	3902
4294968001	504	506	0.2903	3929	4000
4294967999	4294967784	8589935213	-0.3965	3848	3994
4294968236	480	500	-0.4348	3895	3899
963	485	500	-0.7348	3955	3989
4294968051	475	504	-0.5671	3932	3979
12884902565	505	8589935213	-0.3224	3882	3978
887	480	505	-0.6014	3968	3983
8589935118	514	8589935213	-0.5622	3867	3898
577	475	482	-0.2492	3996	3835
4294967980	482	8589935213	-0.3879	3869	3919
732	482	506	-0.3156	3984	3849
4294968178	509	514	-0.3738	3958	3885
4294967988	506	8589935213	0.8496	3891	3992
4294967775	499	4294967784	-0.4240	3809	3897
733	485	506	-0.2585	3984	3858
750	482	500	-0.4046	3982	3949
873	480	504	-0.2988	3970	3966
8589935122	475	505	-0.6983	3882	3941
587	504	514	0.8772	3996	3993
4294968229	504	4294967784	-0.3864	3847	3712
589	475	506	-0.0940	3996	3999
4294967963	502	4294967784	-0.3974	3845	3908
939	500	509	-0.1389	3963	3932
879	480	495	-0.3126	3969	3901
4294968211	485	504	-0.3820	3883	3936
8589935451	475	8589935213	-0.0138	3891	3783
4294967984	497	499	-0.3266	3884	3841
686	475	485	0.8763	3988	4000
4294967981	482	514	-0.0419	3928	3983
4294967906	495	4294967784	0.9920	3836	3996
599	485	514	-0.1656	3995	3984
8589935079	500	4294967784	-0.3360	3837	3850
877	500	514	-0.3964	3970	3975
897	500	505	-0.7868	3967	3998
8589935127	499	500	-0.4867	3838	3964
4294968008	502	514	-0.4487	3945	3994
847	502	504	-0.3873	3973	3710
813	502	509	-0.4252	3976	3951
4294968139	506	509	-0.2142	3951	3545
4294968160	509	8589935213	-0.3760	3869	3755
4294968038	495	8589935213	-0.3572	3894	3868
700	475	499	-0.3977	3987	3966
949	495	506	0.5473	3961	3996
612	497	506	-0.3344	3994	3995
613	500	506	-0.4814	3994	3888
614	475	502	-0.2613	3994	3540
21474837016	480	4294967784	0.4973	3843	3994
