# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	9547.4727	0.3535	6001	0.4000	1,2,1	0.5000	25
504	6717.9741	0.1652	6001	0.4000	2,0,2	0.5000	34
495	13417.1338	-0.0547	6001	0.4000	2,2,1	0.5000	41
506	7885.5649	-0.1457	6001	0.4000	3,3,0	0.5000	60
500	2579.0928	0.2809	6001	0.4000	2,2,0	0.5000	40
480	7090.0620	0.4021	6001	0.4000	0,3,3	0.5000	15
509	2222.5342	0.4749	6001	0.4000	2,3,1	0.5000	45
482	2599.5413	-0.2269	6001	0.4000	0,0,2	0.5000	2
502	6057.3271	0.0811	6001	0.4000	0,1,2	0.5000	6
497	10552.9453	0.3336	6001	0.4000	0,2,3	0.5000	11
485	6225.4526	0.1717	6001	0.4000	2,0,3	0.5000	35
4294967784	3240.7476	-0.0127	5850	0.4000	0,0,0	0.5000	0
499	2944.3979	0.4231	6001	0.4000	3,3,2	0.5000	62
505	5444.0361	0.2831	6001	0.4000	2,2,1	0.5000	41
8589935213	10878.7002	-0.1419	5900	0.4000	2,3,2	0.5000	46
514	7511.3462	0.4614	6001	0.4000	2,2,2	0.5000	42
17179869697	8799.0107	-0.0282	5650	0.4000	1,0,1	0.5000	17
8589935193	9743.2207	-0.0847	5150	0.4000	1,2,3	0.5000	27
30064771890	7918.5801	-0.1951	4800	0.4000	1,3,3	0.5000	31
17179869820	2151.2954	0.2808	4350	0.4000	1,0,0	0.5000	16
30064771765	2640.6724	-0.0904	4600	0.4000	2,0,0	0.5000	32
8589935150	3899.7134	0.4529	4250	0.4000	3,2,0	0.5000	56
12884902626	2630.3315	0.2563	3800	0.4000	3,0,1	0.5000	49
25769804393	1247.8564	0.4512	3500	0.4000	1,0,1	0.5000	17
8589935146	3420.7578	-0.0660	3550	0.4000	3,0,3	0.5000	51
8589935267	2246.9233	0.1601	2850	0.4000	0,0,0	0.5000	0
4294967869	2875.7102	0.0853	3000	0.4000	1,0,3	0.5000	19
1025	2973.9187	-0.0994	2600	0.4000	2,2,3	0.5000	43
8589935302	2149.2061	0.4739	3100	0.4000	2,3,3	0.5000	47
12884902586	1841.9598	0.4295	2800	0.4000	1,3,0	0.5000	28
25769804966	45.5823	-0.1705	100	0.4000	0,2,1	0.5000	9
12884902633	3176.8320	0.1289	2400	0.4000	0,2,3	0.5000	11
8589935608	2318.5347	0.1325	2200	0.4000	0,0,3	0.5000	3
25769804646	1715.2249	-0.2116	1900	0.4000	2,1,1	0.5000	37
12884903053	473.5742	0.3867	700	0.4000	0,2,1	0.5000	9
34359739551	558.7112	-0.0132	550	0.4000	3,1,0	0.5000	52
25769804985	56.2781	0.4304	50	0.4000	2,3,2	0.5000	46

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.4518	5714	5847
516	482	497	-0.2487	6000	5964
682	475	509	-0.4018	5989	5853
4294968138	480	514	-0.1296	5879	5981
4294968071	497	8589935213	-0.2982	5862	5748
4294968241	482	4294967784	-0.4254	5824	5904
4294968163	482	505	-0.6161	5935	5986
953	495	504	-0.3614	5960	5942
8589935142	495	509	-0.4782	5887	5904
524	495	500	-0.3810	6000	5982
8589935510	506	4294967784	-0.2143	5829	5906
4294968122	480	509	-0.7063	5939	5964
827	505	509	-0.3961	5975	5823
4294967874	480	502	-0.3144	5927	5957
529	506	514	-0.3422	6000	5959
4294967773	497	500	-0.3061	5856	5788
936	485	495	-0.3960	5963	5983
4294967948	500	504	-0.2639	5957	5947
764	497	502	0.5727	5981	5958
4294968080	481	506	-0.0000	5924	76
925	502	505	0.7563	5964	5992
790	482	499	-0.3851	5978	5991
8589935270	485	4294967784	-0.2660	5816	5908
8589935260	504	505	-0.3849	5936	5866
8589935268	475	514	-0.4004	5921	5881
4294967993	475	480	0.5547	5948	5995
541	475	497	-0.2443	5999	5924
889	499	514	0.1826	5968	5787
4294968152	495	497	-0.4776	5865	5953
4294967983	495	499	-0.4728	5945	5889
760	475	495	0.9724	5981	5986
8589935222	480	497	-0.2399	5866	5935
4294967780	499	506	-0.2264	5877	5987
776	499	509	-0.6456	5980	5964
660	485	502	-0.2168	5990	5932
4294968269	475	500	-0.4988	5937	5889
851	482	502	0.5583	5972	5998
781	497	514	-0.5104	5979	5931
4294968082	499	504	-0.4878	5924	5976
928	495	514	-0.5086	5964	5986
762	497	504	0.9900	5981	5995
992	499	502	-0.4364	5941	5800
855	485	499	-0.3954	5972	5858
659	482	495	-0.5830	5990	6000
4294967787	514	4294967784	-0.3205	5790	5795
4294968036	485	497	-0.5079	5919	5993
857	495	502	-0.4291	5972	5920
8589935145	505	506	-0.2550	5930	5834
4294967957	485	8589935213	-0.4363	5887	5852
4294967868	497	4294967784	0.8084	5831	5972
4294968112	495	505	-0.3008	5913	5918
4294968266	502	8589935213	0.6001	5802	5968
4294967789	482	509	-0.5628	5958	5833
4294967878	475	4294967784	-0.3334	5832	5841
4294968001	504	506	-0.3209	5929	5951
4294967999	4294967784	8589935213	-0.3740	5848	5751
4294968236	480	500	-0.8850	5895	5939
963	485	500	-0.7571	5955	5975
4294968051	475	504	-0.4269	5932	5746
12884902565	505	8589935213	-0.3301	5882	5864
887	480	505	-0.3779	5968	5968
8589935118	514	8589935213	-0.7697	5867	5969
577	475	482	-0.3772	5996	5939
4294967980	482	8589935213	-0.4754	5869	5811
732	482	506	-0.0191	5984	5931
4294968178	509	514	-0.4848	5958	5990
4294967988	506	8589935213	-0.2002	5891	5830
4294967775	499	4294967784	-0.5536	5809	5896
733	485	506	-0.4828	5984	5915
