# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	11935.4727	0.3535	8001	0.4000	1,2,1	0.5000	25
504	7484.9741	0.1652	8001	0.4000	2,0,2	0.5000	34
495	14628.1338	-0.0547	8001	0.4000	2,2,1	0.5000	41
506	9196.5645	-0.1457	8001	0.4000	3,3,0	0.5000	60
500	1176.0928	0.2809	8001	0.4000	2,2,0	0.5000	40
480	9716.0625	0.4021	8001	0.4000	0,3,3	0.5000	15
509	4938.5342	0.4749	8001	0.4000	2,3,1	0.5000	45
482	2447.5413	-0.2269	8001	0.4000	0,0,2	0.5000	2
502	8695.3271	0.0811	8001	0.4000	0,1,2	0.5000	6
497	13657.9453	0.3336	8001	0.4000	0,2,3	0.5000	11
485	8148.4526	0.1717	8001	0.4000	2,0,3	0.5000	35
4294967784	5458.7476	-0.0127	7850	0.4000	0,0,0	0.5000	0
499	3947.3979	0.4231	8001	0.4000	3,3,2	0.5000	62
505	4734.0361	0.2831	8001	0.4000	2,2,1	0.5000	41
8589935213	12460.7002	-0.1419	7900	0.4000	2,3,2	0.5000	46
514	7837.3462	0.4614	8001	0.4000	2,2,2	0.5000	42
17179869697	11845.0107	-0.0282	7650	0.4000	1,0,1	0.5000	17
8589935193	11525.2207	-0.0847	7150	0.4000	1,2,3	0.5000	27
30064771890	10076.5801	-0.1951	6800	0.4000	1,3,3	0.5000	31
17179869820	3179.2954	0.2808	6350	0.4000	1,0,0	0.5000	16
30064771765	4714.6724	-0.0904	6600	0.4000	2,0,0	0.5000	32
8589935150	4675.7134	0.4529	6250	0.4000	3,2,0	0.5000	56
12884902626	3370.3315	0.2563	5800	0.4000	3,0,1	0.5000	49
25769804393	1131.8564	0.4512	5500	0.4000	1,0,1	0.5000	17
8589935146	5658.7578	-0.0660	5550	0.4000	3,0,3	0.5000	51
8589935267	5623.9233	0.1601	4850	0.4000	0,0,0	0.5000	0
4294967869	5540.7100	0.0853	5000	0.4000	1,0,3	0.5000	19
1025	4529.9189	-0.0994	4600	0.4000	2,2,3	0.5000	43
8589935302	3884.2061	0.4739	5100	0.4000	2,3,3	0.5000	47
12884902586	3228.9600	0.4295	4800	0.4000	1,3,0	0.5000	28
34359739438	1908.5759	0.0277	1950	0.4000	0,3,0	0.5000	12
12884902633	6415.8320	0.1289	4400	0.4000	0,2,3	0.5000	11
8589935608	7133.5347	0.1325	4200	0.4000	0,0,3	0.5000	3
25769804646	2830.2249	-0.2116	3900	0.4000	2,1,1	0.5000	37
34359739551	3456.7112	-0.0132	2550	0.4000	3,1,0	0.5000	52
77309412537	553.1207	0.4824	550	0.4000	3,2,2	0.5000	58
34359739533	13.5194	0.4488	50	0.4000	3,3,1	0.5000	61

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.3373	7714	7822
516	482	497	-0.3477	8000	7992
682	475	509	-0.1548	7989	7982
4294968138	480	514	-0.3109	7879	7787
4294968071	497	8589935213	-0.5578	7862	7979
4294968241	482	4294967784	-0.3121	7824	7983
4294968163	482	505	-0.4174	7935	7936
953	495	504	-0.1871	7960	7897
8589935142	495	509	-0.3678	7887	7861
524	495	500	-0.5272	8000	7966
8589935510	506	4294967784	-0.5013	7829	7973
4294968122	480	509	-0.3851	7939	7805
827	505	509	-0.2715	7975	7723
4294967874	480	502	-0.2988	7927	7740
529	506	514	-0.2238	8000	7752
4294967773	497	500	-0.4655	7856	7947
936	485	495	-0.1412	7963	7919
4294967948	500	504	-0.3289	7957	7893
764	497	502	0.5946	7981	8000
4294968080	481	506	-0.0000	7924	76
925	502	505	-0.4633	7964	7850
790	482	499	0.9821	7978	7999
8589935270	485	4294967784	-0.2566	7816	7838
8589935260	504	505	-0.3688	7936	7785
8589935268	475	514	-0.0699	7921	7868
4294967993	475	480	0.9861	7948	7993
541	475	497	-0.5149	7999	7995
889	499	514	-0.2859	7968	7977
4294968152	495	497	-0.0346	7865	8000
4294967983	495	499	-0.3314	7945	7947
760	475	495	0.4573	7981	7984
8589935222	480	497	-0.2404	7866	7916
4294967780	499	506	-0.4427	7877	7965
776	499	509	-0.3781	7980	7921
660	485	502	-0.4374	7990	7921
4294968269	475	500	-0.0247	7937	7824
851	482	502	-0.3067	7972	7970
781	497	514	-0.1674	7979	7726
4294968082	499	504	-0.3844	7924	7985
928	495	514	-0.7616	7964	7953
762	497	504	0.2250	7981	7994
992	499	502	-0.1725	7941	7933
855	485	499	-0.6395	7972	7998
659	482	495	-0.4130	7990	7808
4294967787	514	4294967784	-0.6032	7790	7967
4294968036	485	497	-0.3410	7919	7779
857	495	502	-0.4548	7972	7989
8589935145	505	506	-0.4158	7930	7910
4294967957	485	8589935213	-0.2436	7887	7950
4294967868	497	4294967784	0.9861	7831	7993
4294968112	495	505	-0.5257	7913	7855
4294968266	502	8589935213	0.9940	7802	7997
4294967789	482	509	-0.3658	7958	7697
4294967878	475	4294967784	-0.2969	7832	7974
4294968001	504	506	-0.3566	7929	7882
4294967999	4294967784	8589935213	0.0417	7848	7834
4294968236	480	500	-0.4922	7895	7986
963	485	500	-0.4980	7955	7993
4294968051	475	504	-0.2627	7932	7987
12884902565	505	8589935213	-0.4100	7882	7733
887	480	505	-0.4920	7968	7862
8589935118	514	8589935213	-0.0687	7867	7951
577	475	482	-0.4890	7996	7985
4294967980	482	8589935213	-0.6107	7869	7987
732	482	506	-0.3148	7984	7841
4294968178	509	514	-0.2658	7958	7953
4294967988	506	8589935213	-0.6088	7891	7993
4294967775	499	4294967784	-0.4245	7809	7705
733	485	506	-0.3385	7984	7899
