# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	14102.4727	0.3535	10001	0.4000	1,2,1	0.5000	25
504	7661.9741	0.1652	10001	0.4000	2,0,2	0.5000	34
495	14732.1338	-0.0547	10001	0.4000	2,2,1	0.5000	41
506	10742.5645	-0.1457	10001	0.4000	3,3,0	0.5000	60
64424510517	65.5839	0.4165	100	0.4000	0,3,0	0.5000	12
480	10623.0625	0.4021	10001	0.4000	0,3,3	0.5000	15
509	8879.5342	0.4749	10001	0.4000	2,3,1	0.5000	45
482	2927.5413	-0.2269	10001	0.4000	0,0,2	0.5000	2
502	8981.3271	0.0811	10001	0.4000	0,1,2	0.5000	6
497	15193.9453	0.3336	10001	0.4000	0,2,3	0.5000	11
485	10235.4531	0.1717	10001	0.4000	2,0,3	0.5000	35
4294967784	7208.7476	-0.0127	9850	0.4000	0,0,0	0.5000	0
499	4669.3979	0.4231	10001	0.4000	3,3,2	0.5000	62
505	4452.0361	0.2831	10001	0.4000	2,2,1	0.5000	41
8589935213	12965.7002	-0.1419	9900	0.4000	2,3,2	0.5000	46
514	9608.3457	0.4614	10001	0.4000	2,2,2	0.5000	42
17179869697	14774.0107	-0.0282	9650	0.4000	1,0,1	0.5000	17
8589935193	13735.2207	-0.0847	9150	0.4000	1,2,3	0.5000	27
30064771890	12095.5801	-0.1951	8800	0.4000	1,3,3	0.5000	31
17179869820	5084.2954	0.2808	8350	0.4000	1,0,0	0.5000	16
30064771765	6520.6724	-0.0904	8600	0.4000	2,0,0	0.5000	32
8589935150	4670.7134	0.4529	8250	0.4000	3,2,0	0.5000	56
12884902626	5686.3315	0.2563	7800	0.4000	3,0,1	0.5000	49
25769804393	3234.8564	0.4512	7500	0.4000	1,0,1	0.5000	17
8589935146	6705.7578	-0.0660	7550	0.4000	3,0,3	0.5000	51
8589935267	7798.9233	0.1601	6850	0.4000	0,0,0	0.5000	0
4294967869	7592.7100	0.0853	7000	0.4000	1,0,3	0.5000	19
1025	6899.9189	-0.0994	6600	0.4000	2,2,3	0.5000	43
8589935302	5479.2061	0.4739	7100	0.4000	2,3,3	0.5000	47
12884902586	4705.9600	0.4295	6800	0.4000	1,3,0	0.5000	28
34359739438	3011.5759	0.0277	3950	0.4000	0,3,0	0.5000	12
12884902633	10329.8320	0.1289	6400	0.4000	0,2,3	0.5000	11
8589935608	10888.5352	0.1325	6200	0.4000	0,0,3	0.5000	3
25769804646	6003.2246	-0.2116	5900	0.4000	2,1,1	0.5000	37
34359739551	6441.7109	-0.0132	4550	0.4000	3,1,0	0.5000	52
77309412537	3045.1206	0.4824	2550	0.4000	3,2,2	0.5000	58
60129543359	2454.9299	-0.2305	2000	0.4000	1,0,3	0.5000	19
30064772325	1587.6162	-0.2893	1850	0.4000	1,1,0	0.5000	20
12884903231	1356.2002	0.3058	1150	0.4000	3,3,1	0.5000	61
21474837812	566.3499	0.2084	750	0.4000	1,2,0	0.5000	24
81604379806	139.5844	-0.2562	650	0.4000	1,1,0	0.5000	20
30064771674	44.5029	-0.0765	50	0.4000	1,2,2	0.5000	26

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.2779	9714	9972
516	482	497	-0.3500	10000	9852
682	475	509	-0.3801	9989	9942
4294968138	480	514	-0.3883	9879	9974
4294968071	497	8589935213	-0.6963	9862	9971
4294968241	482	4294967784	-0.2966	9824	9877
4294968163	482	505	-0.2740	9935	9704
953	495	504	-0.5334	9960	9926
8589935142	495	509	-0.2898	9887	9840
17179870617	64424510517	77309412537	-0.0899	53	9947
8589935510	506	4294967784	-0.2766	9829	9907
4294968122	480	509	-0.2646	9939	9780
827	505	509	-0.0987	9975	9936
4294967874	480	502	-0.3144	9927	9948
529	506	514	-0.1139	10000	9863
8589935972	1430	8589935608	-0.0413	442	9558
936	485	495	-0.4353	9963	9978
12884903333	8589935213	64424510517	-0.0894	56	9944
764	497	502	-0.1381	9981	9975
4294968080	481	506	-0.0000	9924	76
925	502	505	-0.3346	9964	9999
790	482	499	0.1217	9978	9934
8589935270	485	4294967784	0.9782	9816	9989
8589935260	504	505	-0.0510	9936	9995
8589935268	475	514	-0.2766	9921	9952
4294967993	475	480	0.9960	9948	9998
541	475	497	-0.0985	9999	9942
889	499	514	-0.5669	9968	9887
4294968152	495	497	-0.2215	9865	9990
4294967983	495	499	-0.3346	9945	9900
760	475	495	1.0000	9981	10000
8589935222	480	497	-0.4179	9866	9955
4294967780	499	506	-0.4093	9877	9986
776	499	509	-0.3881	9980	9941
660	485	502	-0.2511	9990	9963
17179870580	12884903231	64424510517	0.0519	58	9969
851	482	502	-0.4417	9972	9996
781	497	514	-0.3035	9979	9734
4294968082	499	504	-0.2665	9924	9651
928	495	514	-0.3299	9964	9773
762	497	504	-0.4534	9981	9961
992	499	502	-0.5162	9941	9994
855	485	499	-0.1036	9972	9711
659	482	495	0.9665	9990	9983
4294967787	514	4294967784	-0.4134	9790	9945
4294968036	485	497	0.0734	9919	9976
857	495	502	-0.3858	9972	9999
8589935145	505	506	-0.5043	9930	9979
4294967957	485	8589935213	-0.1431	9887	9941
4294967868	497	4294967784	0.8982	9831	10000
4294968112	495	505	-0.1811	9913	9861
4294968266	502	8589935213	0.3119	9802	9994
4294967789	482	509	-0.3313	9958	9951
4294967878	475	4294967784	-0.3456	9832	9869
4294968001	504	506	-0.1939	9929	9999
4294967999	4294967784	8589935213	-0.3268	9848	9992
17179870590	514	64424510517	-0.0885	61	9939
12884903258	485	81604379806	-0.2306	577	9872
4294968051	475	504	-0.0470	9932	9604
12884902565	505	8589935213	-0.4501	9882	9826
887	480	505	-0.1399	9968	9815
8589935118	514	8589935213	-0.1911	9867	9972
577	475	482	-0.3715	9996	9893
4294967980	482	8589935213	-0.2238	9869	9670
732	482	506	-0.2360	9984	9826
4294968178	509	514	-0.5342	9958	9832
4294967988	506	8589935213	-0.3596	9891	9758
4294967775	499	4294967784	-0.4018	9809	9992
733	485	506	-0.4951	9984	9941
38654706464	8589935150	64424510517	0.0394	67	9957
873	480	504	0.9337	9970	9990
8589935122	475	505	-0.3568	9882	9831
587	504	514	-0.3453	9996	9868
4294968229	504	4294967784	-0.2583	9847	9921
589	475	506	-0.2374	9996	9869
4294967963	502	4294967784	-0.2520	9845	9806
