# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	15956.4727	0.3535	12001	0.4000	1,2,1	0.5000	25
504	9026.9746	0.1652	12001	0.4000	2,0,2	0.5000	34
495	15335.1338	-0.0547	12001	0.4000	2,2,1	0.5000	41
506	13289.5645	-0.1457	12001	0.4000	3,3,0	0.5000	60
81604379806	2331.5845	-0.2562	2650	0.4000	1,1,0	0.5000	20
480	12990.0625	0.4021	12001	0.4000	0,3,3	0.5000	15
509	11595.5342	0.4749	12001	0.4000	2,3,1	0.5000	45
482	4633.5410	-0.2269	12001	0.4000	0,0,2	0.5000	2
502	7381.3271	0.0811	12001	0.4000	0,1,2	0.5000	6
497	16978.9453	0.3336	12001	0.4000	0,2,3	0.5000	11
485	12132.4531	0.1717	12001	0.4000	2,0,3	0.5000	35
4294967784	8239.7480	-0.0127	11850	0.4000	0,0,0	0.5000	0
499	6109.3979	0.4231	12001	0.4000	3,3,2	0.5000	62
505	3418.0361	0.2831	12001	0.4000	2,2,1	0.5000	41
8589935213	13816.7002	-0.1419	11900	0.4000	2,3,2	0.5000	46
514	10122.3457	0.4614	12001	0.4000	2,2,2	0.5000	42
17179869697	17110.0117	-0.0282	11650	0.4000	1,0,1	0.5000	17
8589935193	16624.2207	-0.0847	11150	0.4000	1,2,3	0.5000	27
30064771890	15007.5801	-0.1951	10800	0.4000	1,3,3	0.5000	31
17179869820	7417.2954	0.2808	10350	0.4000	1,0,0	0.5000	16
30064771765	8193.6719	-0.0904	10600	0.4000	2,0,0	0.5000	32
8589935150	4156.7134	0.4529	10250	0.4000	3,2,0	0.5000	56
12884902626	8879.3320	0.2563	9800	0.4000	3,0,1	0.5000	49
25769804393	5830.8564	0.4512	9500	0.4000	1,0,1	0.5000	17
8589935146	6856.7578	-0.0660	9550	0.4000	3,0,3	0.5000	51
8589935267	8570.9238	0.1601	8850	0.4000	0,0,0	0.5000	0
4294967869	10208.7100	0.0853	9000	0.4000	1,0,3	0.5000	19
1025	9759.9189	-0.0994	8600	0.4000	2,2,3	0.5000	43
8589935302	7616.2061	0.4739	9100	0.4000	2,3,3	0.5000	47
12884902586	5311.9600	0.4295	8800	0.4000	1,3,0	0.5000	28
34359739438	3623.5759	0.0277	5950	0.4000	0,3,0	0.5000	12
12884902633	13813.8320	0.1289	8400	0.4000	0,2,3	0.5000	11
8589935608	13791.5352	0.1325	8200	0.4000	0,0,3	0.5000	3
25769804646	8204.2246	-0.2116	7900	0.4000	2,1,1	0.5000	37
34359739551	8380.7109	-0.0132	6550	0.4000	3,1,0	0.5000	52
77309412537	4997.1206	0.4824	4550	0.4000	3,2,2	0.5000	58
60129543359	3744.9299	-0.2305	4000	0.4000	1,0,3	0.5000	19
30064772325	4013.6162	-0.2893	3850	0.4000	1,1,0	0.5000	20
12884903231	4138.2002	0.3058	3150	0.4000	3,3,1	0.5000	61
21474837812	4227.3496	0.2084	2750	0.4000	1,2,0	0.5000	24
51539608233	554.0420	0.0993	1150	0.4000	1,2,2	0.5000	26
4294968815	86.8751	0.0904	350	0.4000	3,1,1	0.5000	53
68719478094	488.4720	0.3916	700	0.4000	0,1,0	0.5000	4
77309412728	0.4916	0.1786	50	0.4000	2,2,1	0.5000	41

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.3003	11714	11567
516	482	497	-0.5215	12000	11999
682	475	509	-0.1990	11989	11442
4294968138	480	514	-0.4072	11879	11993
4294968071	497	8589935213	-0.3089	11862	11810
4294968241	482	4294967784	-0.5000	11824	11978
4294968163	482	505	-0.4765	11935	11939
953	495	504	-0.3499	11960	11880
8589935142	495	509	-0.1368	11887	11950
25769805161	12884902586	38654706266	-0.0024	1856	10144
8589935510	506	4294967784	0.9900	11829	11995
4294968122	480	509	-0.0459	11939	11796
827	505	509	-0.5656	11975	11981
4294967874	480	502	-0.3648	11927	11698
529	506	514	-0.3439	12000	11938
8589935972	1430	8589935608	-0.0008	2442	9558
936	485	495	-0.4974	11963	11943
98784248977	506	81604379806	0.9940	2634	11997
764	497	502	-0.4136	11981	11963
4294968080	481	506	-0.0000	11924	76
925	502	505	-0.5735	11964	11913
790	482	499	0.9861	11978	11993
8589935270	485	4294967784	0.7668	11816	11983
8589935260	504	505	-0.3987	11936	11946
8589935268	475	514	-0.3615	11921	11915
4294967993	475	480	-0.4497	11948	11863
541	475	497	-0.2698	11999	11974
889	499	514	-0.4795	11968	11990
4294968152	495	497	0.0063	11865	11931
4294967983	495	499	-0.5099	11945	11882
760	475	495	0.9940	11981	11997
8589935222	480	497	-0.1555	11866	11948
4294967780	499	506	-0.3435	11877	11970
776	499	509	-0.4828	11980	11971
660	485	502	-0.4168	11990	11972
98784248960	17179869697	81604379806	-0.3877	2631	11973
851	482	502	-0.3278	11972	11896
781	497	514	-0.2648	11979	11874
4294968082	499	504	-0.2901	11924	11820
928	495	514	-0.2855	11964	11936
762	497	504	-0.2123	11981	11900
992	499	502	-0.4168	11941	11887
855	485	499	-0.5161	11972	11978
659	482	495	-0.2423	11990	11905
4294967787	514	4294967784	-0.6077	11790	11979
4294968036	485	497	-0.0712	11919	11907
857	495	502	0.3159	11972	11990
8589935145	505	506	-0.2249	11930	11966
4294967957	485	8589935213	-0.3936	11887	11908
4294967868	497	4294967784	0.9900	11831	11995
4294968112	495	505	-0.2790	11913	11911
4294968266	502	8589935213	-0.4962	11802	11968
4294967789	482	509	-0.3330	11958	11881
4294967878	475	4294967784	-0.3830	11832	11820
4294968001	504	506	-0.3751	11929	11738
4294967999	4294967784	8589935213	-0.2575	11848	11845
30064772503	8589935608	17179870595	-0.0024	1858	10142
12884903258	485	81604379806	-0.0764	2577	11997
4294968051	475	504	-0.2609	11932	11942
12884902565	505	8589935213	-0.3854	11882	11985
887	480	505	-0.2060	11968	11990
8589935118	514	8589935213	-0.1893	11867	11961
577	475	482	-0.3558	11996	11676
4294967980	482	8589935213	-0.0959	11869	11961
732	482	506	-0.2224	11984	11944
4294968178	509	514	-0.4540	11958	11922
4294967988	506	8589935213	-0.4202	11891	11981
4294967775	499	4294967784	-0.3983	11809	11752
733	485	506	0.3494	11984	11994
90194314279	485	21474837812	0.9588	2630	11979
873	480	504	0.9821	11970	11991
8589935122	475	505	-0.5643	11882	11818
587	504	514	-0.4291	11996	11901
4294968229	504	4294967784	-0.1603	11847	11680
589	475	506	-0.4770	11996	11965
4294967963	502	4294967784	-0.3835	11845	11962
8589936022	12884903231	107374183475	-0.0010	2323	9677
879	480	495	0.8979	11969	11998
4294968211	485	504	-0.4895	11883	11926
