# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	17230.4727	0.3535	14001	0.4000	1,2,1	0.5000	25
504	10796.9746	0.1652	14001	0.4000	2,0,2	0.5000	34
495	16824.1328	-0.0547	14001	0.4000	2,2,1	0.5000	41
506	16856.5645	-0.1457	14001	0.4000	3,3,0	0.5000	60
81604379806	4409.5845	-0.2562	4650	0.4000	1,1,0	0.5000	20
480	14987.0625	0.4021	14001	0.4000	0,3,3	0.5000	15
509	13421.5342	0.4749	14001	0.4000	2,3,1	0.5000	45
482	5524.5410	-0.2269	14001	0.4000	0,0,2	0.5000	2
502	7887.3271	0.0811	14001	0.4000	0,1,2	0.5000	6
497	18943.9453	0.3336	14001	0.4000	0,2,3	0.5000	11
485	13723.4531	0.1717	14001	0.4000	2,0,3	0.5000	35
4294967784	10743.7480	-0.0127	13850	0.4000	0,0,0	0.5000	0
499	8000.3979	0.4231	14001	0.4000	3,3,2	0.5000	62
505	3429.0361	0.2831	14001	0.4000	2,2,1	0.5000	41
8589935213	15058.7002	-0.1419	13900	0.4000	2,3,2	0.5000	46
514	11913.3457	0.4614	14001	0.4000	2,2,2	0.5000	42
17179869697	18963.0117	-0.0282	13650	0.4000	1,0,1	0.5000	17
8589935193	18602.2207	-0.0847	13150	0.4000	1,2,3	0.5000	27
30064771890	16853.5801	-0.1951	12800	0.4000	1,3,3	0.5000	31
17179869820	9891.2949	0.2808	12350	0.4000	1,0,0	0.5000	16
30064771765	10276.6719	-0.0904	12600	0.4000	2,0,0	0.5000	32
8589935150	2744.7134	0.4529	12250	0.4000	3,2,0	0.5000	56
12884902626	10539.3320	0.2563	11800	0.4000	3,0,1	0.5000	49
25769804393	7858.8564	0.4512	11500	0.4000	1,0,1	0.5000	17
8589935146	8294.7578	-0.0660	11550	0.4000	3,0,3	0.5000	51
8589935267	9865.9238	0.1601	10850	0.4000	0,0,0	0.5000	0
4294967869	11799.7100	0.0853	11000	0.4000	1,0,3	0.5000	19
1025	11262.9189	-0.0994	10600	0.4000	2,2,3	0.5000	43
8589935302	7964.2061	0.4739	11100	0.4000	2,3,3	0.5000	47
12884902586	4864.9600	0.4295	10800	0.4000	1,3,0	0.5000	28
34359739438	3649.5759	0.0277	7950	0.4000	0,3,0	0.5000	12
12884902633	15278.8320	0.1289	10400	0.4000	0,2,3	0.5000	11
8589935608	14503.5352	0.1325	10200	0.4000	0,0,3	0.5000	3
25769804646	10706.2246	-0.2116	9900	0.4000	2,1,1	0.5000	37
34359739551	10194.7109	-0.0132	8550	0.4000	3,1,0	0.5000	52
77309412537	6693.1206	0.4824	6550	0.4000	3,2,2	0.5000	58
60129543359	4851.9297	-0.2305	6000	0.4000	1,0,3	0.5000	19
30064772325	5779.6162	-0.2893	5850	0.4000	1,1,0	0.5000	20
12884903231	5555.2002	0.3058	5150	0.4000	3,3,1	0.5000	61
21474837812	6138.3496	0.2084	4750	0.4000	1,2,0	0.5000	24
51539608233	1998.0420	0.0993	3150	0.4000	1,2,2	0.5000	26
4294968815	1593.8750	0.0904	2350	0.4000	3,1,1	0.5000	53
68719478094	2418.4722	0.3916	2700	0.4000	0,1,0	0.5000	4
21474838171	123.0764	-0.1717	50	0.4000	0,2,2	0.5000	10
21474838073	1699.1550	0.1154	1750	0.4000	1,1,0	0.5000	20
21474838029	604.3904	0.4316	1300	0.4000	0,2,2	0.5000	10
4294968949	1218.1293	-0.1511	1400	0.4000	2,3,1	0.5000	45
25769805486	51.4758	-0.2569	400	0.4000	2,3,0	0.5000	44

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.3288	13714	13815
516	482	497	-0.0291	14000	13956
682	475	509	-0.3436	13989	13953
4294968138	480	514	0.0118	13879	13975
4294968071	497	8589935213	-0.3271	13862	13839
4294968241	482	4294967784	-0.1924	13824	13984
4294968163	482	505	-0.2387	13935	13776
953	495	504	-0.2981	13960	13966
8589935142	495	509	-0.3691	13887	13978
25769805161	12884902586	38654706266	-0.0000	3856	10144
8589935510	506	4294967784	0.9980	13829	13999
4294968122	480	509	-0.2015	13939	13734
827	505	509	-0.2972	13975	13934
4294967874	480	502	-0.3923	13927	13975
529	506	514	-0.0721	14000	13845
8589935972	1430	8589935608	-0.0000	4442	9558
936	485	495	-0.1543	13963	13868
98784248977	506	81604379806	0.8596	4634	13975
764	497	502	-0.3208	13981	13933
4294968080	481	506	-0.0000	13924	76
925	502	505	-0.2458	13964	13740
790	482	499	0.9881	13978	13994
8589935270	485	4294967784	0.8641	13816	13983
8589935260	504	505	-0.4951	13936	13933
8589935268	475	514	-0.1838	13921	13891
4294967993	475	480	-0.3475	13948	13820
541	475	497	-0.1856	13999	13934
889	499	514	-0.5028	13968	13981
4294968152	495	497	-0.2067	13865	13917
4294967983	495	499	-0.2653	13945	13919
760	475	495	-0.1132	13981	13987
8589935222	480	497	-0.0023	13866	13908
4294967780	499	506	-0.5251	13877	13937
776	499	509	-0.3186	13980	13954
660	485	502	-0.2490	13990	13964
98784248960	17179869697	81604379806	-0.2574	4631	13998
851	482	502	-0.3479	13972	13774
781	497	514	-0.3584	13979	13915
4294968082	499	504	-0.2466	13924	13978
928	495	514	-0.3117	13964	13863
762	497	504	-0.0862	13981	13829
992	499	502	-0.3079	13941	13842
855	485	499	-0.2750	13972	13968
659	482	495	-0.3243	13990	13910
4294967787	514	4294967784	-0.2787	13790	13875
4294968036	485	497	-0.3916	13919	13954
857	495	502	0.8834	13972	13985
8589935145	505	506	-0.4372	13930	13976
4294967957	485	8589935213	-0.1778	13887	13952
4294967868	497	4294967784	1.0000	13831	14000
4294968112	495	505	-0.0984	13913	13686
4294968266	502	8589935213	-0.2249	13802	13771
4294967789	482	509	-0.0296	13958	13940
4294967878	475	4294967784	-0.1669	13832	13850
4294968001	504	506	-0.3889	13929	13936
4294967999	4294967784	8589935213	-0.4128	13848	13997
30064772503	8589935608	17179870595	-0.0000	3858	10142
12884903258	485	81604379806	0.2186	4577	13996
4294968051	475	504	-0.3390	13932	13948
12884902565	505	8589935213	-0.1413	13882	13905
887	480	505	-0.3203	13968	13955
8589935118	514	8589935213	0.1980	13867	13937
577	475	482	-0.4481	13996	13916
4294967980	482	8589935213	-0.2637	13869	13666
732	482	506	-0.1414	13984	13835
4294968178	509	514	-0.1259	13958	13929
4294967988	506	8589935213	-0.1697	13891	13651
4294967775	499	4294967784	-0.3406	13809	13883
733	485	506	0.8802	13984	13990
90194314279	485	21474837812	0.9881	4630	13994
873	480	504	1.0000	13970	14000
8589935122	475	505	-0.4016	13882	13876
587	504	514	-0.4754	13996	13985
4294968229	504	4294967784	-0.1992	13847	13855
589	475	506	-0.3757	13996	13935
4294967963	502	4294967784	-0.4161	13845	13942
8589936022	12884903231	107374183475	-0.0000	4323	9677
879	480	495	-0.3113	13969	13757
4294968211	485	504	-0.2366	13883	13815
8589935451	475	8589935213	0.6451	13891	13974
4294967984	497	499	-0.3106	13884	13636
686	475	485	-0.1173	13988	13751
4294967981	482	514	-0.2674	13928	13771
4294967906	495	4294967784	-0.2561	13836	13976
599	485	514	0.4571	13995	13991
30064772438	77309412537	81604379806	-0.2146	4636	13772
98784249001	30064771890	81604379806	0.9900	4627	13995
38654706956	34359739438	81604379806	-0.3646	4626	13966
163208757974	8589935213	81604379806	-0.1791	4597	13986
4294968008	502	514	-0.1550	13945	13404
847	502	504	-0.0190	13973	13987
813	502	509	0.1579	13976	13965
4294968139	506	509	-0.3991	13951	13977
4294968160	509	8589935213	-0.1625	13869	13966
4294968038	495	8589935213	-0.3637	13894	13999
700	475	499	-0.1434	13987	13804
949	495	506	-0.3273	13961	13951
612	497	506	0.7285	13994	13991
1471	8589935150	17179869912	-0.0000	4143	9857
614	475	502	-0.0820	13994	13891
21474837016	480	4294967784	-0.0757	13843	13867
789	480	499	0.9980	13978	13999
4294967986	480	485	-0.3744	13948	13985
4294968061	480	8589935213	-0.2115	13871	13947
643	505	514	-0.3856	13992	13976
4294968170	504	8589935213	-0.1131	13894	13762
4294967970	482	485	0.9900	13937	13995
748	480	482	0.9920	13982	13996
4294968065	509	4294967784	0.6221	13843	13993
665	499	505	0.0098	13990	13904
8589935452	497	509	-0.2672	13920	13794
8589935249	480	506	-0.1865	13925	13878
627	504	509	-0.2646	13993	13770
628	485	505	-0.3981	13993	13984
4294968733	12884902633	81604379806	0.0382	4375	13913
808	502	506	0.0167	13977	13999
699	497	505	-0.3552	13987	13847
4294967804	499	8589935213	0.6824	13873	13982
17179870515	8589935213	21474837812	0.9323	4624	13965
736	482	504	-0.0656	13984	14000
635	485	509	-0.2769	13992	13942
17179869787	482	17179869697	-0.1779	13646	13654
8589935177	475	17179869697	-0.3160	13610	13908
4294968212	499	17179869697	-0.2416	13618	13893
8589935313	505	17179869697	-0.4132	13621	13994
4294967998	8589935213	17179869697	-0.4192	13624	13985
4294968020	4294967784	17179869697	-0.1588	13630	13862
4294968084	495	17179869697	-0.2787	13630	13938
4294968164	504	17179869697	-0.0797	13631	13932
17179869978	480	17179869697	0.7802	13631	13980
12884902508	514	17179869697	-0.0081	13641	13941
8589935905	505	81604379806	-0.3642	4552	13921
8589935554	485	17179869697	-0.1870	13643	13320
17179869821	509	17179869697	-0.3429	13644	13934
17179869952	502	8589935193	-0.3635	13148	13924
21474837188	485	8589935193	-0.1119	13148	13983
12884902766	480	8589935193	-0.2543	13149	13900
17179870160	482	8589935193	-0.0029	13137	13857
42949673782	4294967784	30064771890	-0.1795	12799	13693
12884902428	497	8589935193	-0.2642	13137	13929
30064771794	506	8589935193	-0.1315	13100	13562
12884902647	506	17179869697	-0.1171	13588	13795
12884902713	475	8589935193	-0.2761	13118	13862
17179869928	8589935193	8589935213	-0.3308	13100	13990
4294968700	12884902626	81604379806	-0.2993	4469	13902
17179870085	497	17179869697	-0.1956	13580	13973
30064771975	509	8589935193	0.6604	13138	13974
34359739145	495	8589935193	0.1024	13108	14000
8589935350	502	17179869697	-0.2973	13461	13950
12884902817	499	8589935193	-0.3557	13115	13901
21474837087	514	8589935193	-0.2385	13139	13823
21474836976	8589935193	17179869697	-0.3506	13143	13996
12884902635	4294967784	8589935193	-0.0075	13114	13825
12884902413	504	8589935193	-0.2503	13130	13824
12884902811	505	8589935193	-0.1017	13126	13662
42949673556	475	30064771890	-0.3824	12795	13966
38654706416	505	30064771890	-0.3021	12794	13930
47244641500	12884903231	81604379806	-0.3926	4567	13940
30064771879	17179869697	30064771890	0.9531	12789	13976
42949673775	480	30064771890	-0.1520	12788	13874
47244641202	514	30064771890	-0.5735	12787	13981
47244641194	509	30064771890	-0.0677	12779	13770
25769804593	504	30064771890	-0.3181	12779	13844
30064771809	8589935213	30064771890	-0.1198	12767	13720
42949673691	499	30064771890	-0.4104	12764	13846
47244641233	495	30064771890	-0.1521	12760	13836
30064771564	502	30064771890	-0.4866	12752	13986
21474837309	17179869820	30064771765	-0.3708	12257	13919
8589935173	514	17179869820	-0.3053	12259	13855
12884902474	17179869697	17179869820	0.9646	12338	13982
34359738972	8589935150	17179869697	-0.3629	12244	13967
17179869976	482	17179869820	-0.1716	12260	13877
12884902426	482	8589935150	-0.2415	12223	13729
34359739351	504	17179869820	-0.0059	12262	13979
8589935499	499	17179869820	-0.3198	12287	13921
42949673535	485	30064771890	0.9223	12739	13987
34359739203	485	8589935150	-0.1016	12247	13849
12884902483	502	17179869820	-0.3722	12340	13940
17179869918	4294967784	17179869820	-0.2386	12341	13854
21474836966	8589935193	30064771890	-0.2989	12732	13957
21474837803	475	81604379806	-0.2279	4600	13746
12884902517	506	17179869820	-0.2269	12343	13878
17179870037	482	30064771890	-0.0203	12723	13755
21474837388	8589935150	30064771890	-0.4835	12246	13901
17179870047	497	30064771890	0.9841	12720	13992
21474837002	485	17179869820	-0.2081	12295	13836
8589935237	505	17179869820	-0.3834	12298	13885
12884902719	8589935193	17179869820	-0.2968	12320	13921
8589935402	482	34359739057	-0.0000	12633	1367
12884902737	506	30064771890	0.0366	12695	13958
8589935110	17179869820	30064771890	0.0653	12323	13903
17179870153	497	17179869820	-0.2750	12330	13941
12884902870	506	30064771765	0.6653	12599	13984
34359739077	499	30064771765	-0.1412	12599	13763
25769804667	30064771765	30064771890	-0.2812	12599	13808
34359739161	514	30064771765	-0.2817	12599	13867
25769804506	502	30064771765	-0.4802	12598	13908
21474837470	505	30064771765	0.9162	12597	14000
25769804324	509	30064771765	0.4347	12594	13916
17179870059	8589935213	17179869820	-0.2402	12345	13977
25769804561	4294967784	30064771765	-0.2411	12591	13902
21474837360	480	30064771765	0.0531	12590	13737
21474837070	482	30064771765	-0.0519	12584	13662
21474837278	475	30064771765	-0.0548	12580	13863
17179870172	8589935193	30064771765	-0.1933	12580	13811
21474837324	485	30064771765	-0.3874	12579	13855
17179870498	497	81604379806	-0.2856	4602	13865
21474837275	17179869697	30064771765	0.5529	12576	13987
17179870145	497	30064771765	-0.3469	12569	13970
25769804299	495	30064771765	-0.2986	12567	13969
17179869782	497	8589935150	-0.4022	12233	13933
25769804660	502	8589935150	-0.4756	12248	13926
8589935395	8589935213	30064771765	-0.5260	12543	13992
38654706501	509	8589935150	-0.3264	12235	13989
8589935896	8589935267	81604379806	-0.3833	4553	13883
17179869673	480	17179869820	-0.2809	12348	13629
34359738871	480	8589935150	-0.2007	12238	13813
17179869967	509	17179869820	-0.2496	12333	13959
