# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	20303.4727	0.3535	18001	0.4000	1,2,1	0.5000	25
504	9644.9746	0.1652	18001	0.4000	2,0,2	0.5000	34
495	19794.1328	-0.0547	18001	0.4000	2,2,1	0.5000	41
506	21431.5645	-0.1457	18001	0.4000	3,3,0	0.5000	60
81604379806	7280.5845	-0.2562	8650	0.4000	1,1,0	0.5000	20
480	16514.0625	0.4021	18001	0.4000	0,3,3	0.5000	15
509	15886.5342	0.4749	18001	0.4000	2,3,1	0.5000	45
482	8938.5410	-0.2269	18001	0.4000	0,0,2	0.5000	2
502	11389.3271	0.0811	18001	0.4000	0,1,2	0.5000	6
497	19947.9453	0.3336	18001	0.4000	0,2,3	0.5000	11
485	18434.4531	0.1717	18001	0.4000	2,0,3	0.5000	35
4294967784	15251.7480	-0.0127	17850	0.4000	0,0,0	0.5000	0
499	8487.3984	0.4231	18001	0.4000	3,3,2	0.5000	62
505	1503.0361	0.2831	18001	0.4000	2,2,1	0.5000	41
8589935213	16695.6992	-0.1419	17900	0.4000	2,3,2	0.5000	46
514	16958.3457	0.4614	18001	0.4000	2,2,2	0.5000	42
17179869697	21732.0117	-0.0282	17650	0.4000	1,0,1	0.5000	17
8589935193	21155.2207	-0.0847	17150	0.4000	1,2,3	0.5000	27
30064771890	17141.5801	-0.1951	16800	0.4000	1,3,3	0.5000	31
17179869820	14215.2949	0.2808	16350	0.4000	1,0,0	0.5000	16
30064771765	12187.6719	-0.0904	16600	0.4000	2,0,0	0.5000	32
8589935150	6512.7134	0.4529	16250	0.4000	3,2,0	0.5000	56
12884902626	11930.3320	0.2563	15800	0.4000	3,0,1	0.5000	49
25769804393	10728.8564	0.4512	15500	0.4000	1,0,1	0.5000	17
8589935146	13670.7578	-0.0660	15550	0.4000	3,0,3	0.5000	51
8589935267	15357.9238	0.1601	14850	0.4000	0,0,0	0.5000	0
4294967869	15142.7100	0.0853	15000	0.4000	1,0,3	0.5000	19
1025	14893.9189	-0.0994	14600	0.4000	2,2,3	0.5000	43
8589935302	10727.2061	0.4739	15100	0.4000	2,3,3	0.5000	47
12884902586	8013.9600	0.4295	14800	0.4000	1,3,0	0.5000	28
34359739438	4391.5762	0.0277	11950	0.4000	0,3,0	0.5000	12
12884902633	20782.8320	0.1289	14400	0.4000	0,2,3	0.5000	11
8589935608	16934.5352	0.1325	14200	0.4000	0,0,3	0.5000	3
25769804646	12598.2246	-0.2116	13900	0.4000	2,1,1	0.5000	37
34359739551	12859.7109	-0.0132	12550	0.4000	3,1,0	0.5000	52
77309412537	9649.1211	0.4824	10550	0.4000	3,2,2	0.5000	58
60129543359	3051.9297	-0.2305	10000	0.4000	1,0,3	0.5000	19
30064772325	5968.6162	-0.2893	9850	0.4000	1,1,0	0.5000	20
12884903231	8967.2002	0.3058	9150	0.4000	3,3,1	0.5000	61
21474837812	9964.3496	0.2084	8750	0.4000	1,2,0	0.5000	24
51539608233	3626.0420	0.0993	7150	0.4000	1,2,2	0.5000	26
4294968815	3620.8750	0.0904	6350	0.4000	3,1,1	0.5000	53
68719478094	2360.4722	0.3916	6700	0.4000	0,1,0	0.5000	4
21474838403	1866.4493	-0.1940	2700	0.4000	1,2,0	0.5000	24
21474838073	3436.1550	0.1154	5750	0.4000	1,1,0	0.5000	20
64424511299	87.6972	-0.0633	150	0.4000	2,1,1	0.5000	37
4294968949	1765.1294	-0.1511	5400	0.4000	2,3,1	0.5000	45
107374183002	18.4929	-0.0404	350	0.4000	3,3,3	0.5000	63
30064772847	3235.0217	-0.0867	3650	0.4000	1,2,1	0.5000	25
77309413223	26.0192	0.4881	50	0.4000	2,3,1	0.5000	45

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	0.7181	17714	17993
516	482	497	-0.1709	18000	17762
682	475	509	0.6832	17989	17979
4294968138	480	514	0.9685	17879	17984
4294968071	497	8589935213	0.1500	17862	18000
4294968241	482	4294967784	-0.2621	17824	17949
4294968163	482	505	-0.4573	17935	17954
953	495	504	-0.3971	17960	17992
8589935142	495	509	-0.1259	17887	17800
25769805161	12884902586	38654706266	-0.0000	7856	10144
8589935510	506	4294967784	-0.1736	17829	17738
4294968122	480	509	-0.4126	17939	17950
827	505	509	-0.1214	17975	17794
4294967874	480	502	-0.3608	17927	17971
529	506	514	-0.1592	18000	17923
8589935972	1430	8589935608	-0.0000	8442	9558
936	485	495	0.8462	17963	17987
98784248977	506	81604379806	-0.1545	8634	17935
764	497	502	-0.2255	17981	17940
4294968080	481	506	-0.0000	17924	76
925	502	505	-0.3615	17964	17934
790	482	499	-0.3802	17978	17887
8589935270	485	4294967784	0.0286	17816	17720
8589935260	504	505	-0.3522	17936	17831
8589935268	475	514	0.7999	17921	17960
4294967993	475	480	0.1031	17948	17886
541	475	497	-0.3632	17999	17922
889	499	514	-0.1734	17968	17542
4294968152	495	497	0.1097	17865	17907
4294967983	495	499	0.2596	17945	17996
760	475	495	-0.2218	17981	17893
8589935222	480	497	0.0225	17866	17764
4294967780	499	506	-0.2747	17877	17941
776	499	509	-0.4541	17980	17961
660	485	502	-0.1028	17990	17822
98784248960	17179869697	81604379806	-0.5311	8631	17934
851	482	502	-0.1072	17972	17636
781	497	514	-0.3837	17979	17931
4294968082	499	504	-0.4508	17924	17822
928	495	514	-0.1103	17964	17795
762	497	504	-0.2707	17981	17843
992	499	502	0.7531	17941	17987
855	485	499	-0.1369	17972	17956
659	482	495	-0.5425	17990	17984
4294967787	514	4294967784	-0.2673	17790	17834
4294968036	485	497	-0.5389	17919	17953
857	495	502	-0.4731	17972	17947
8589935145	505	506	-0.2829	17930	17944
4294967957	485	8589935213	0.9232	17887	17998
4294967868	497	4294967784	0.8699	17831	17993
4294968112	495	505	-0.1867	17913	17954
4294968266	502	8589935213	-0.1324	17802	17985
4294967789	482	509	-0.1975	17958	17651
4294967878	475	4294967784	-0.2600	17832	17828
4294968001	504	506	-0.5604	17929	17944
4294967999	4294967784	8589935213	-0.2576	17848	17933
30064772503	8589935608	17179870595	-0.0000	7858	10142
12884903258	485	81604379806	0.9305	8577	17964
4294968051	475	504	-0.3593	17932	17977
12884902565	505	8589935213	-0.5319	17882	17960
887	480	505	-0.5719	17968	17933
8589935118	514	8589935213	-0.4200	17867	17978
577	475	482	-0.3338	17996	17997
4294967980	482	8589935213	-0.0223	17869	17993
732	482	506	-0.2601	17984	17985
4294968178	509	514	-0.3693	17958	17941
4294967988	506	8589935213	-0.3874	17891	17949
4294967775	499	4294967784	-0.0989	17809	17999
733	485	506	0.9940	17984	17997
90194314279	485	21474837812	0.8531	8630	17975
873	480	504	-0.1240	17970	17913
8589935122	475	505	-0.2656	17882	17949
587	504	514	-0.2348	17996	17865
4294968229	504	4294967784	-0.2788	17847	17964
589	475	506	-0.4608	17996	17980
4294967963	502	4294967784	-0.1427	17845	17904
8589936022	12884903231	107374183475	-0.0000	8323	9677
879	480	495	-0.2253	17969	17889
4294968211	485	504	0.5296	17883	17909
8589935451	475	8589935213	-0.0622	17891	17649
4294967984	497	499	-0.4751	17884	17972
686	475	485	-0.3402	17988	17985
4294967981	482	514	-0.2057	17928	17762
4294967906	495	4294967784	0.9802	17836	17990
599	485	514	0.9841	17995	17992
30064772438	77309412537	81604379806	-0.1282	8636	17725
98784249001	30064771890	81604379806	0.9940	8627	17997
38654706956	34359739438	81604379806	-0.3785	8626	17796
163208757974	8589935213	81604379806	-0.4294	8597	17991
4294968008	502	514	-0.1286	17945	17564
