# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	23458.4727	0.3535	20001	0.4000	1,2,1	0.5000	25
504	11259.9746	0.1652	20001	0.4000	2,0,2	0.5000	34
495	21062.1328	-0.0547	20001	0.4000	2,2,1	0.5000	41
506	22166.5645	-0.1457	20001	0.4000	3,3,0	0.5000	60
81604379806	8972.5840	-0.2562	10650	0.4000	1,1,0	0.5000	20
480	17458.0625	0.4021	20001	0.4000	0,3,3	0.5000	15
509	18066.5352	0.4749	20001	0.4000	2,3,1	0.5000	45
482	9194.5410	-0.2269	20001	0.4000	0,0,2	0.5000	2
502	11564.3271	0.0811	20001	0.4000	0,1,2	0.5000	6
497	20683.9453	0.3336	20001	0.4000	0,2,3	0.5000	11
485	20604.4531	0.1717	20001	0.4000	2,0,3	0.5000	35
4294967784	18007.7480	-0.0127	19850	0.4000	0,0,0	0.5000	0
499	7652.3984	0.4231	20001	0.4000	3,3,2	0.5000	62
505	1205.0361	0.2831	20001	0.4000	2,2,1	0.5000	41
8589935213	17899.6992	-0.1419	19900	0.4000	2,3,2	0.5000	46
514	18780.3457	0.4614	20001	0.4000	2,2,2	0.5000	42
17179869697	23628.0117	-0.0282	19650	0.4000	1,0,1	0.5000	17
8589935193	22271.2207	-0.0847	19150	0.4000	1,2,3	0.5000	27
30064771890	18213.5801	-0.1951	18800	0.4000	1,3,3	0.5000	31
17179869820	16039.2949	0.2808	18350	0.4000	1,0,0	0.5000	16
30064771765	13426.6719	-0.0904	18600	0.4000	2,0,0	0.5000	32
8589935150	6553.7134	0.4529	18250	0.4000	3,2,0	0.5000	56
12884902626	12338.3320	0.2563	17800	0.4000	3,0,1	0.5000	49
25769804393	10858.8564	0.4512	17500	0.4000	1,0,1	0.5000	17
8589935146	15121.7578	-0.0660	17550	0.4000	3,0,3	0.5000	51
8589935267	17233.9238	0.1601	16850	0.4000	0,0,0	0.5000	0
4294967869	17785.7109	0.0853	17000	0.4000	1,0,3	0.5000	19
1025	17390.9180	-0.0994	16600	0.4000	2,2,3	0.5000	43
8589935302	14137.2061	0.4739	17100	0.4000	2,3,3	0.5000	47
12884902586	8675.9600	0.4295	16800	0.4000	1,3,0	0.5000	28
34359739438	5847.5762	0.0277	13950	0.4000	0,3,0	0.5000	12
12884902633	22784.8320	0.1289	16400	0.4000	0,2,3	0.5000	11
8589935608	17774.5352	0.1325	16200	0.4000	0,0,3	0.5000	3
25769804646	14424.2246	-0.2116	15900	0.4000	2,1,1	0.5000	37
34359739551	14079.7109	-0.0132	14550	0.4000	3,1,0	0.5000	52
77309412537	10528.1211	0.4824	12550	0.4000	3,2,2	0.5000	58
60129543359	3367.9297	-0.2305	12000	0.4000	1,0,3	0.5000	19
30064772325	6537.6162	-0.2893	11850	0.4000	1,1,0	0.5000	20
12884903231	10628.2002	0.3058	11150	0.4000	3,3,1	0.5000	61
21474837812	11733.3496	0.2084	10750	0.4000	1,2,0	0.5000	24
51539608233	3767.0420	0.0993	9150	0.4000	1,2,2	0.5000	26
4294968815	3466.8750	0.0904	8350	0.4000	3,1,1	0.5000	53
68719478094	3870.4722	0.3916	8700	0.4000	0,1,0	0.5000	4
21474838403	1952.4493	-0.1940	4700	0.4000	1,2,0	0.5000	24
21474838073	5036.1553	0.1154	7750	0.4000	1,1,0	0.5000	20
30064772847	4908.0215	-0.0867	5650	0.4000	1,2,1	0.5000	25
4294968949	2550.1294	-0.1511	7400	0.4000	2,3,1	0.5000	45
68719478648	585.3900	0.0389	1400	0.4000	1,2,3	0.5000	27
25769805591	54.6839	0.0317	200	0.4000	3,0,1	0.5000	49
77309413258	124.4544	0.2196	50	0.4000	2,2,1	0.5000	41
81604380537	44.7335	-0.1396	100	0.4000	2,3,2	0.5000	46

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	0.8330	19714	19987
516	482	497	-0.4448	20000	19985
682	475	509	0.9474	19989	19973
4294968138	480	514	0.9940	19879	19997
4294968071	497	8589935213	-0.2519	19862	19576
4294968241	482	4294967784	-0.3533	19824	19915
4294968163	482	505	-0.2228	19935	19855
953	495	504	0.6670	19960	19986
8589935142	495	509	0.1580	19887	19929
25769805161	12884902586	38654706266	-0.0000	9856	10144
8589935510	506	4294967784	-0.2457	19829	19831
4294968122	480	509	-0.1940	19939	19932
827	505	509	-0.3165	19975	19927
4294967874	480	502	-0.3167	19927	19999
529	506	514	-0.3368	20000	19927
8589935972	1430	8589935608	-0.0000	10442	9558
936	485	495	-0.1892	19963	19693
98784248977	506	81604379806	0.1160	10634	19920
764	497	502	-0.4383	19981	19994
4294968080	481	506	-0.0000	19924	76
925	502	505	-0.3064	19964	19803
790	482	499	-0.2005	19978	19705
8589935270	485	4294967784	-0.1450	19816	19613
8589935260	504	505	-0.0089	19936	19783
8589935268	475	514	0.0070	19921	19962
4294967993	475	480	-0.0468	19948	19717
541	475	497	-0.2092	19999	19832
889	499	514	-0.1573	19968	19916
4294968152	495	497	0.3990	19865	19974
4294967983	495	499	-0.1108	19945	19716
760	475	495	-0.4708	19981	19888
8589935222	480	497	-0.4434	19866	19984
4294967780	499	506	0.3574	19877	19997
776	499	509	-0.2278	19980	19903
660	485	502	-0.3477	19990	19977
98784248960	17179869697	81604379806	-0.4110	10631	19841
851	482	502	-0.4208	19972	19960
781	497	514	-0.0923	19979	19827
4294968082	499	504	-0.3136	19924	19940
928	495	514	-0.1589	19964	19902
762	497	504	-0.2890	19981	19883
992	499	502	-0.2241	19941	19889
855	485	499	-0.4693	19972	19979
659	482	495	-0.2113	19990	19979
4294967787	514	4294967784	0.9900	19790	19995
4294968036	485	497	-0.3523	19919	19802
857	495	502	-0.0545	19972	19969
8589935145	505	506	-0.2958	19930	19864
4294967957	485	8589935213	0.7259	19887	19935
4294967868	497	4294967784	-0.1400	19831	19480
4294968112	495	505	-0.5569	19913	19857
4294968266	502	8589935213	-0.2954	19802	19899
4294967789	482	509	-0.1737	19958	19868
4294967878	475	4294967784	-0.2896	19832	19941
4294968001	504	506	-0.1952	19929	19931
4294967999	4294967784	8589935213	-0.0021	19848	19961
30064772503	8589935608	17179870595	-0.0000	9858	10142
12884903258	485	81604379806	0.9608	10577	19980
4294968051	475	504	-0.2060	19932	19767
12884902565	505	8589935213	-0.1791	19882	19947
887	480	505	-0.0634	19968	19971
8589935118	514	8589935213	-0.2987	19867	19830
577	475	482	-0.3218	19996	19882
4294967980	482	8589935213	-0.1504	19869	19937
732	482	506	-0.1819	19984	19999
4294968178	509	514	-0.1884	19958	19869
4294967988	506	8589935213	-0.1544	19891	19828
4294967775	499	4294967784	-0.3184	19809	19965
733	485	506	0.1399	19984	19980
90194314279	485	21474837812	0.1133	10630	19992
873	480	504	-0.1882	19970	19794
8589935122	475	505	-0.5489	19882	19987
587	504	514	-0.2878	19996	19894
4294968229	504	4294967784	-0.2215	19847	19803
589	475	506	-0.1871	19996	19857
4294967963	502	4294967784	0.9493	19845	19974
8589936022	12884903231	107374183475	-0.0000	10323	9677
879	480	495	0.9960	19969	19998
4294968211	485	504	0.9881	19883	19994
8589935451	475	8589935213	-0.1671	19891	19825
4294967984	497	499	-0.6384	19884	19934
686	475	485	-0.2520	19988	19855
4294967981	482	514	0.3303	19928	19927
4294967906	495	4294967784	0.9724	19836	19986
599	485	514	1.0000	19995	20000
30064772438	77309412537	81604379806	-0.3016	10636	19987
98784249001	30064771890	81604379806	0.9980	10627	19999
38654706956	34359739438	81604379806	0.0074	10626	19965
163208757974	8589935213	81604379806	-0.1010	10597	19915
4294968008	502	514	-0.2059	19945	19636
847	502	504	-0.1993	19973	19802
813	502	509	-0.4003	19976	19915
4294968139	506	509	-0.2022	19951	19827
4294968160	509	8589935213	-0.2364	19869	19740
4294968038	495	8589935213	-0.2542	19894	19943
700	475	499	-0.1155	19987	19807
949	495	506	-0.2717	19961	19648
612	497	506	-0.1855	19994	19975
1471	8589935150	17179869912	-0.0000	10143	9857
614	475	502	-0.1386	19994	19811
21474837016	480	4294967784	-0.3463	19843	19953
789	480	499	-0.3143	19978	19829
4294967986	480	485	-0.2025	19948	19960
4294968061	480	8589935213	-0.1859	19871	19982
643	505	514	0.0036	19992	19909
4294968170	504	8589935213	-0.2194	19894	19903
4294967970	482	485	-0.3945	19937	19870
748	480	482	-0.2290	19982	19977
4294968065	509	4294967784	0.9960	19843	19998
665	499	505	-0.6733	19990	19995
8589935452	497	509	-0.3437	19920	19864
8589935249	480	506	-0.4718	19925	19927
627	504	509	-0.4607	19993	19957
628	485	505	-0.3606	19993	19974
4294968733	12884902633	81604379806	0.3263	10375	19999
808	502	506	-0.1625	19977	19957
699	497	505	-0.0302	19987	19716
4294967804	499	8589935213	0.2217	19873	19799
17179870515	8589935213	21474837812	0.8263	10624	19996
736	482	504	-0.1682	19984	19833
635	485	509	-0.2753	19992	19845
17179869787	482	17179869697	-0.3274	19646	19833
8589935177	475	17179869697	0.2853	19610	19950
4294968212	499	17179869697	-0.1605	19618	19917
8589935313	505	17179869697	0.8513	19621	19990
4294967998	8589935213	17179869697	0.9782	19624	19989
4294968020	4294967784	17179869697	-0.2658	19630	19756
4294968084	495	17179869697	-0.3665	19630	19890
