# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	25222.4727	0.3535	22001	0.4000	1,2,1	0.5000	25
504	13315.9746	0.1652	22001	0.4000	2,0,2	0.5000	34
495	23688.1328	-0.0547	22001	0.4000	2,2,1	0.5000	41
506	21864.5645	-0.1457	22001	0.4000	3,3,0	0.5000	60
81604379806	10236.5840	-0.2562	12650	0.4000	1,1,0	0.5000	20
480	19754.0625	0.4021	22001	0.4000	0,3,3	0.5000	15
509	16290.5352	0.4749	22001	0.4000	2,3,1	0.5000	45
482	8584.5410	-0.2269	22001	0.4000	0,0,2	0.5000	2
502	11263.3271	0.0811	22001	0.4000	0,1,2	0.5000	6
497	21947.9453	0.3336	22001	0.4000	0,2,3	0.5000	11
485	21279.4531	0.1717	22001	0.4000	2,0,3	0.5000	35
4294967784	21174.7480	-0.0127	21850	0.4000	0,0,0	0.5000	0
499	7237.3984	0.4231	22001	0.4000	3,3,2	0.5000	62
505	1493.0361	0.2831	22001	0.4000	2,2,1	0.5000	41
8589935213	19571.6992	-0.1419	21900	0.4000	2,3,2	0.5000	46
514	20796.3457	0.4614	22001	0.4000	2,2,2	0.5000	42
17179869697	26099.0117	-0.0282	21650	0.4000	1,0,1	0.5000	17
8589935193	21374.2207	-0.0847	21150	0.4000	1,2,3	0.5000	27
30064771890	17346.5801	-0.1951	20800	0.4000	1,3,3	0.5000	31
17179869820	18956.2949	0.2808	20350	0.4000	1,0,0	0.5000	16
30064771765	13725.6719	-0.0904	20600	0.4000	2,0,0	0.5000	32
8589935150	6490.7134	0.4529	20250	0.4000	3,2,0	0.5000	56
12884902626	11295.3320	0.2563	19800	0.4000	3,0,1	0.5000	49
25769804393	10084.8564	0.4512	19500	0.4000	1,0,1	0.5000	17
8589935146	16846.7578	-0.0660	19550	0.4000	3,0,3	0.5000	51
8589935267	20143.9238	0.1601	18850	0.4000	0,0,0	0.5000	0
4294967869	20042.7109	0.0853	19000	0.4000	1,0,3	0.5000	19
1025	18929.9180	-0.0994	18600	0.4000	2,2,3	0.5000	43
8589935302	15919.2061	0.4739	19100	0.4000	2,3,3	0.5000	47
12884902586	8379.9600	0.4295	18800	0.4000	1,3,0	0.5000	28
34359739438	7680.5762	0.0277	15950	0.4000	0,3,0	0.5000	12
12884902633	24159.8320	0.1289	18400	0.4000	0,2,3	0.5000	11
8589935608	18935.5352	0.1325	18200	0.4000	0,0,3	0.5000	3
25769804646	17287.2246	-0.2116	17900	0.4000	2,1,1	0.5000	37
34359739551	15773.7109	-0.0132	16550	0.4000	3,1,0	0.5000	52
77309412537	10295.1211	0.4824	14550	0.4000	3,2,2	0.5000	58
60129543359	4219.9297	-0.2305	14000	0.4000	1,0,3	0.5000	19
30064772325	7580.6162	-0.2893	13850	0.4000	1,1,0	0.5000	20
12884903231	12646.2002	0.3058	13150	0.4000	3,3,1	0.5000	61
21474837812	13312.3496	0.2084	12750	0.4000	1,2,0	0.5000	24
51539608233	3479.0420	0.0993	11150	0.4000	1,2,2	0.5000	26
4294968815	5343.8750	0.0904	10350	0.4000	3,1,1	0.5000	53
68719478094	4523.4722	0.3916	10700	0.4000	0,1,0	0.5000	4
21474838403	3535.4492	-0.1940	6700	0.4000	1,2,0	0.5000	24
21474838073	6133.1553	0.1154	9750	0.4000	1,1,0	0.5000	20
30064772847	6296.0215	-0.0867	7650	0.4000	1,2,1	0.5000	25
4294968949	2831.1294	-0.1511	9400	0.4000	2,3,1	0.5000	45
68719478648	1172.3899	0.0389	3400	0.4000	1,2,3	0.5000	27
115964118664	143.9448	-0.2799	650	0.4000	3,0,1	0.5000	49
25769805609	84.2575	-0.1037	50	0.4000	3,3,3	0.5000	63
133143987913	116.2923	-0.0596	100	0.4000	3,1,1	0.5000	53

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	0.9724	21714	21986
516	482	497	-0.2468	22000	21745
682	475	509	-0.4448	21989	21996
4294968138	480	514	-0.0085	21879	21947
4294968071	497	8589935213	-0.5245	21862	21945
4294968241	482	4294967784	-0.2497	21824	21952
4294968163	482	505	-0.6329	21935	21920
953	495	504	0.9841	21960	21992
8589935142	495	509	0.1504	21887	21967
25769805161	12884902586	38654706266	-0.0000	11856	10144
8589935510	506	4294967784	-0.3528	21829	21939
4294968122	480	509	-0.3255	21939	21720
827	505	509	-0.2050	21975	21939
4294967874	480	502	-0.0881	21927	21976
529	506	514	-0.1982	22000	21731
8589935972	1430	8589935608	-0.0000	12442	9558
936	485	495	-0.3682	21963	21881
98784248977	506	81604379806	-0.2138	12634	21668
764	497	502	-0.2174	21981	21880
4294968080	481	506	-0.0000	21924	76
925	502	505	-0.4937	21964	21919
790	482	499	-0.6224	21978	21918
8589935270	485	4294967784	-0.0661	21816	21666
8589935260	504	505	-0.2170	21936	21974
8589935268	475	514	0.1549	21921	21966
4294967993	475	480	0.9782	21948	21989
541	475	497	-0.1834	21999	21805
889	499	514	-0.1479	21968	21932
4294968152	495	497	0.9665	21865	21983
4294967983	495	499	-0.3904	21945	21967
760	475	495	-0.1635	21981	21951
8589935222	480	497	-0.1010	21866	21982
4294967780	499	506	-0.6297	21877	21990
776	499	509	-0.2834	21980	21811
660	485	502	-0.5543	21990	21959
98784248960	17179869697	81604379806	-0.4528	12631	21925
851	482	502	0.9475	21972	21995
781	497	514	0.9743	21979	21987
4294968082	499	504	-0.1931	21924	21697
928	495	514	-0.1798	21964	21900
762	497	504	-0.4181	21981	21926
992	499	502	-0.1420	21941	21972
855	485	499	-0.0568	21972	21917
659	482	495	-0.1289	21990	21997
4294967787	514	4294967784	0.7615	21790	21993
4294968036	485	497	-0.0859	21919	21966
857	495	502	-0.2903	21972	21986
8589935145	505	506	-0.0188	21930	21997
4294967957	485	8589935213	-0.2209	21887	21818
4294967868	497	4294967784	-0.4054	21831	21879
4294968112	495	505	-0.3624	21913	21876
4294968266	502	8589935213	-0.4793	21802	21925
4294967789	482	509	-0.0065	21958	21965
4294967878	475	4294967784	0.0341	21832	21905
4294968001	504	506	-0.2832	21929	21983
4294967999	4294967784	8589935213	-0.0600	21848	21979
30064772503	8589935608	17179870595	-0.0000	11858	10142
12884903258	485	81604379806	-0.0437	12577	21917
4294968051	475	504	-0.3758	21932	21960
12884902565	505	8589935213	-0.3699	21882	21867
887	480	505	-0.3763	21968	21990
8589935118	514	8589935213	-0.5491	21867	21982
577	475	482	-0.3700	21996	21910
4294967980	482	8589935213	0.0104	21869	21928
732	482	506	-0.6184	21984	21964
4294968178	509	514	-0.4773	21958	21969
4294967988	506	8589935213	-0.0634	21891	21994
4294967775	499	4294967784	-0.0772	21809	21853
733	485	506	-0.0148	21984	21834
90194314279	485	21474837812	-0.0834	12630	21764
873	480	504	-0.4549	21970	21826
8589935122	475	505	-0.2926	21882	21912
587	504	514	-0.3451	21996	21918
4294968229	504	4294967784	-0.2863	21847	21982
589	475	506	-0.3429	21996	21988
4294967963	502	4294967784	0.9900	21845	21995
8589936022	12884903231	107374183475	-0.0000	12323	9677
879	480	495	0.7512	21969	21986
4294968211	485	504	0.9960	21883	21998
8589935451	475	8589935213	-0.4280	21891	21926
4294967984	497	499	-0.2998	21884	21831
686	475	485	-0.3286	21988	21972
4294967981	482	514	-0.2710	21928	21970
4294967906	495	4294967784	0.0656	21836	21969
599	485	514	0.8161	21995	21979
30064772438	77309412537	81604379806	-0.3025	12636	21871
98784249001	30064771890	81604379806	-0.0155	12627	21875
38654706956	34359739438	81604379806	0.0489	12626	21964
163208757974	8589935213	81604379806	0.7249	12597	21992
4294968008	502	514	0.0094	21945	21978
847	502	504	-0.2240	21973	21775
813	502	509	-0.3862	21976	21931
