# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	27646.4727	0.3535	24001	0.4000	1,2,1	0.5000	25
504	14258.9746	0.1652	24001	0.4000	2,0,2	0.5000	34
495	25561.1328	-0.0547	24001	0.4000	2,2,1	0.5000	41
506	21413.5645	-0.1457	24001	0.4000	3,3,0	0.5000	60
81604379806	11356.5840	-0.2562	14650	0.4000	1,1,0	0.5000	20
480	21618.0625	0.4021	24001	0.4000	0,3,3	0.5000	15
509	15373.5352	0.4749	24001	0.4000	2,3,1	0.5000	45
482	8344.5410	-0.2269	24001	0.4000	0,0,2	0.5000	2
502	12485.3271	0.0811	24001	0.4000	0,1,2	0.5000	6
497	23558.9453	0.3336	24001	0.4000	0,2,3	0.5000	11
485	21950.4531	0.1717	24001	0.4000	2,0,3	0.5000	35
4294967784	22595.7480	-0.0127	23850	0.4000	0,0,0	0.5000	0
499	6428.3984	0.4231	24001	0.4000	3,3,2	0.5000	62
505	1658.0361	0.2831	24001	0.4000	2,2,1	0.5000	41
8589935213	21375.6992	-0.1419	23900	0.4000	2,3,2	0.5000	46
514	20676.3457	0.4614	24001	0.4000	2,2,2	0.5000	42
17179869697	28437.0117	-0.0282	23650	0.4000	1,0,1	0.5000	17
8589935193	21795.2207	-0.0847	23150	0.4000	1,2,3	0.5000	27
30064771890	17523.5801	-0.1951	22800	0.4000	1,3,3	0.5000	31
17179869820	21344.2949	0.2808	22350	0.4000	1,0,0	0.5000	16
30064771765	13530.6719	-0.0904	22600	0.4000	2,0,0	0.5000	32
8589935150	7537.7134	0.4529	22250	0.4000	3,2,0	0.5000	56
12884902626	11281.3320	0.2563	21800	0.4000	3,0,1	0.5000	49
25769804393	9064.8564	0.4512	21500	0.4000	1,0,1	0.5000	17
8589935146	18343.7578	-0.0660	21550	0.4000	3,0,3	0.5000	51
8589935267	22552.9238	0.1601	20850	0.4000	0,0,0	0.5000	0
4294967869	22305.7109	0.0853	21000	0.4000	1,0,3	0.5000	19
1025	19989.9180	-0.0994	20600	0.4000	2,2,3	0.5000	43
8589935302	19002.2070	0.4739	21100	0.4000	2,3,3	0.5000	47
12884902586	7556.9600	0.4295	20800	0.4000	1,3,0	0.5000	28
34359739438	9900.5762	0.0277	17950	0.4000	0,3,0	0.5000	12
12884902633	26205.8320	0.1289	20400	0.4000	0,2,3	0.5000	11
8589935608	17196.5352	0.1325	20200	0.4000	0,0,3	0.5000	3
25769804646	18670.2246	-0.2116	19900	0.4000	2,1,1	0.5000	37
34359739551	17965.7109	-0.0132	18550	0.4000	3,1,0	0.5000	52
77309412537	8774.1211	0.4824	16550	0.4000	3,2,2	0.5000	58
60129543359	5560.9297	-0.2305	16000	0.4000	1,0,3	0.5000	19
30064772325	8159.6162	-0.2893	15850	0.4000	1,1,0	0.5000	20
12884903231	13407.2002	0.3058	15150	0.4000	3,3,1	0.5000	61
21474837812	14321.3496	0.2084	14750	0.4000	1,2,0	0.5000	24
51539608233	3217.0420	0.0993	13150	0.4000	1,2,2	0.5000	26
4294968815	8377.8750	0.0904	12350	0.4000	3,1,1	0.5000	53
68719478094	5155.4722	0.3916	12700	0.4000	0,1,0	0.5000	4
21474838403	4909.4492	-0.1940	8700	0.4000	1,2,0	0.5000	24
21474838073	9773.1553	0.1154	11750	0.4000	1,1,0	0.5000	20
30064772847	6399.0215	-0.0867	9650	0.4000	1,2,1	0.5000	25
4294968949	2848.1294	-0.1511	11400	0.4000	2,3,1	0.5000	45
68719478648	1830.3899	0.0389	5400	0.4000	1,2,3	0.5000	27
115964118664	1209.9448	-0.2799	2650	0.4000	3,0,1	0.5000	49
115964118681	705.4257	0.0272	1600	0.4000	0,1,2	0.5000	6
115964118740	337.5439	-0.1207	2000	0.4000	1,3,2	0.5000	30
158913791560	75.7762	0.1253	50	0.4000	0,3,3	0.5000	15
42949674940	112.1540	0.3218	100	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.3143	23714	23717
516	482	497	0.9627	24000	23981
682	475	509	-0.2315	23989	23856
4294968138	480	514	-0.3341	23879	23872
4294968071	497	8589935213	-0.1959	23862	23898
4294968241	482	4294967784	-0.1681	23824	23987
4294968163	482	505	-0.1245	23935	23730
953	495	504	0.9665	23960	23983
8589935142	495	509	-0.2532	23887	23821
25769805161	12884902586	38654706266	-0.0000	13856	10144
8589935510	506	4294967784	0.0903	23829	23839
4294968122	480	509	-0.0481	23939	23915
827	505	509	-0.5879	23975	23907
4294967874	480	502	-0.0432	23927	23993
529	506	514	-0.3494	24000	23784
8589935972	1430	8589935608	-0.0000	14442	9558
936	485	495	-0.3262	23963	23923
98784248977	506	81604379806	-0.4544	14634	23996
764	497	502	-0.6255	23981	23983
4294968080	481	506	-0.0000	23924	76
925	502	505	0.2196	23964	23803
790	482	499	-0.3921	23978	23676
8589935270	485	4294967784	-0.2672	23816	23939
8589935260	504	505	-0.1432	23936	23937
8589935268	475	514	-0.2739	23921	23940
4294967993	475	480	0.9387	23948	23982
541	475	497	-0.0951	23999	23958
889	499	514	-0.2916	23968	23548
4294968152	495	497	0.4249	23865	23925
4294967983	495	499	-0.3107	23945	23771
760	475	495	-0.3445	23981	23949
8589935222	480	497	-0.2637	23866	23994
4294967780	499	506	-0.3864	23877	23765
776	499	509	-0.1987	23980	23878
660	485	502	-0.1554	23990	23981
98784248960	17179869697	81604379806	-0.1088	14631	23870
851	482	502	0.5044	23972	23936
781	497	514	0.2963	23979	23965
4294968082	499	504	-0.3988	23924	23940
928	495	514	-0.4349	23964	23943
762	497	504	0.9821	23981	23991
992	499	502	-0.5011	23941	23907
855	485	499	-0.5061	23972	23963
659	482	495	-0.3583	23990	23947
4294967787	514	4294967784	-0.5314	23790	23969
4294968036	485	497	-0.0765	23919	23866
857	495	502	-0.3858	23972	23934
8589935145	505	506	-0.2201	23930	23753
4294967957	485	8589935213	-0.0913	23887	23886
4294967868	497	4294967784	-0.2737	23831	23928
4294968112	495	505	-0.2291	23913	23947
4294968266	502	8589935213	0.9763	23802	23988
4294967789	482	509	0.2901	23958	23990
4294967878	475	4294967784	-0.4128	23832	23927
4294968001	504	506	-0.4819	23929	23958
4294967999	4294967784	8589935213	-0.3896	23848	23774
30064772503	8589935608	17179870595	-0.0000	13858	10142
12884903258	485	81604379806	-0.3022	14577	23723
4294968051	475	504	-0.2151	23932	23665
12884902565	505	8589935213	-0.0653	23882	23967
887	480	505	-0.0630	23968	23941
8589935118	514	8589935213	-0.4800	23867	23984
577	475	482	-0.2931	23996	23941
4294967980	482	8589935213	-0.2322	23869	23983
732	482	506	-0.0169	23984	23799
4294968178	509	514	-0.1477	23958	23868
4294967988	506	8589935213	-0.1829	23891	23952
4294967775	499	4294967784	-0.1720	23809	23975
733	485	506	-0.0111	23984	23920
90194314279	485	21474837812	0.0803	14630	23817
873	480	504	-0.4319	23970	23964
8589935122	475	505	-0.3947	23882	23877
587	504	514	-0.4740	23996	23867
4294968229	504	4294967784	-0.3637	23847	23970
589	475	506	0.0556	23996	23998
4294967963	502	4294967784	-0.0753	23845	23850
8589936022	12884903231	107374183475	-0.0000	14323	9677
879	480	495	0.9821	23969	23991
4294968211	485	504	-0.2940	23883	23945
8589935451	475	8589935213	-0.1569	23891	23672
4294967984	497	499	-0.4957	23884	23936
686	475	485	-0.2971	23988	23928
4294967981	482	514	-0.3664	23928	23991
4294967906	495	4294967784	-0.5548	23836	23935
599	485	514	0.5341	23995	24000
30064772438	77309412537	81604379806	-0.5819	14636	23986
98784249001	30064771890	81604379806	-0.3144	14627	23954
38654706956	34359739438	81604379806	-0.3804	14626	23915
163208757974	8589935213	81604379806	-0.1426	14597	23997
4294968008	502	514	-0.4816	23945	23985
847	502	504	-0.3475	23973	23957
813	502	509	-0.1716	23976	23527
4294968139	506	509	-0.0717	23951	23999
4294968160	509	8589935213	-0.3343	23869	23869
4294968038	495	8589935213	0.6573	23894	23995
700	475	499	0.1384	23987	23893
949	495	506	-0.1880	23961	23975
612	497	506	-0.1958	23994	23945
1471	8589935150	17179869912	-0.0000	14143	9857
614	475	502	-0.1794	23994	23942
21474837016	480	4294967784	-0.2004	23843	23891
789	480	499	0.0267	23978	23913
4294967986	480	485	-0.4461	23948	23943
4294968061	480	8589935213	-0.0599	23871	23953
643	505	514	-0.2519	23992	23697
4294968170	504	8589935213	-0.3689	23894	23972
4294967970	482	485	-0.6178	23937	23971
748	480	482	-0.3175	23982	23806
4294968065	509	4294967784	-0.0273	23843	24000
