# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	29584.4727	0.3535	26001	0.4000	1,2,1	0.5000	25
504	16479.9746	0.1652	26001	0.4000	2,0,2	0.5000	34
495	27745.1328	-0.0547	26001	0.4000	2,2,1	0.5000	41
506	22232.5645	-0.1457	26001	0.4000	3,3,0	0.5000	60
81604379806	14286.5840	-0.2562	16650	0.4000	1,1,0	0.5000	20
480	23543.0625	0.4021	26001	0.4000	0,3,3	0.5000	15
509	15425.5352	0.4749	26001	0.4000	2,3,1	0.5000	45
482	9264.5410	-0.2269	26001	0.4000	0,0,2	0.5000	2
502	13172.3271	0.0811	26001	0.4000	0,1,2	0.5000	6
497	25499.9453	0.3336	26001	0.4000	0,2,3	0.5000	11
485	21947.4531	0.1717	26001	0.4000	2,0,3	0.5000	35
4294967784	21915.7480	-0.0127	25850	0.4000	0,0,0	0.5000	0
499	6114.3984	0.4231	26001	0.4000	3,3,2	0.5000	62
505	965.0361	0.2831	26001	0.4000	2,2,1	0.5000	41
8589935213	21952.6992	-0.1419	25900	0.4000	2,3,2	0.5000	46
514	22464.3457	0.4614	26001	0.4000	2,2,2	0.5000	42
17179869697	30767.0117	-0.0282	25650	0.4000	1,0,1	0.5000	17
8589935193	20208.2207	-0.0847	25150	0.4000	1,2,3	0.5000	27
30064771890	18765.5801	-0.1951	24800	0.4000	1,3,3	0.5000	31
17179869820	24169.2949	0.2808	24350	0.4000	1,0,0	0.5000	16
30064771765	12546.6719	-0.0904	24600	0.4000	2,0,0	0.5000	32
8589935150	9563.7129	0.4529	24250	0.4000	3,2,0	0.5000	56
12884902626	11122.3320	0.2563	23800	0.4000	3,0,1	0.5000	49
25769804393	8484.8564	0.4512	23500	0.4000	1,0,1	0.5000	17
8589935146	19387.7578	-0.0660	23550	0.4000	3,0,3	0.5000	51
8589935267	22885.9238	0.1601	22850	0.4000	0,0,0	0.5000	0
4294967869	24210.7109	0.0853	23000	0.4000	1,0,3	0.5000	19
1025	22088.9180	-0.0994	22600	0.4000	2,2,3	0.5000	43
8589935302	21529.2070	0.4739	23100	0.4000	2,3,3	0.5000	47
12884902586	7319.9600	0.4295	22800	0.4000	1,3,0	0.5000	28
34359739438	11723.5762	0.0277	19950	0.4000	0,3,0	0.5000	12
12884902633	27303.8320	0.1289	22400	0.4000	0,2,3	0.5000	11
8589935608	16967.5352	0.1325	22200	0.4000	0,0,3	0.5000	3
25769804646	19035.2246	-0.2116	21900	0.4000	2,1,1	0.5000	37
34359739551	18619.7109	-0.0132	20550	0.4000	3,1,0	0.5000	52
77309412537	8854.1211	0.4824	18550	0.4000	3,2,2	0.5000	58
60129543359	5651.9297	-0.2305	18000	0.4000	1,0,3	0.5000	19
30064772325	8091.6162	-0.2893	17850	0.4000	1,1,0	0.5000	20
12884903231	15482.2002	0.3058	17150	0.4000	3,3,1	0.5000	61
21474837812	15719.3496	0.2084	16750	0.4000	1,2,0	0.5000	24
51539608233	3948.0420	0.0993	15150	0.4000	1,2,2	0.5000	26
4294968815	9898.8750	0.0904	14350	0.4000	3,1,1	0.5000	53
68719478094	6726.4722	0.3916	14700	0.4000	0,1,0	0.5000	4
21474838403	6229.4492	-0.1940	10700	0.4000	1,2,0	0.5000	24
21474838073	11549.1553	0.1154	13750	0.4000	1,1,0	0.5000	20
30064772847	5874.0215	-0.0867	11650	0.4000	1,2,1	0.5000	25
4294968949	3679.1294	-0.1511	13400	0.4000	2,3,1	0.5000	45
68719478648	2712.3899	0.0389	7400	0.4000	1,2,3	0.5000	27
115964118664	1699.9448	-0.2799	4650	0.4000	3,0,1	0.5000	49
115964118681	919.4257	0.0272	3600	0.4000	0,1,2	0.5000	6
115964118740	697.5439	-0.1207	4000	0.4000	1,3,2	0.5000	30
8589936659	716.0963	0.4970	1400	0.4000	3,1,2	0.5000	54
17179871248	59.6757	0.4073	1150	0.4000	0,2,0	0.5000	8
8589936692	571.0930	0.2895	750	0.4000	2,2,3	0.5000	43
73014446047	353.7165	-0.0241	700	0.4000	1,0,1	0.5000	17
8589936711	415.2195	0.0939	650	0.4000	3,3,1	0.5000	61
17179871442	25.9123	0.3812	50	0.4000	2,1,1	0.5000	37

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.2520	25714	25799
516	482	497	0.6574	26000	25985
682	475	509	-0.2323	25989	25951
4294968138	480	514	-0.0058	25879	25870
4294968071	497	8589935213	-0.2602	25862	25875
4294968241	482	4294967784	-0.3621	25824	25996
4294968163	482	505	-0.0862	25935	25883
953	495	504	0.9821	25960	25991
8589935142	495	509	-0.3844	25887	25910
25769805161	12884902586	38654706266	-0.0000	15856	10144
8589935510	506	4294967784	-0.1845	25829	25495
4294968122	480	509	-0.2101	25939	25929
827	505	509	-0.0987	25975	25998
4294967874	480	502	-0.4071	25927	25918
529	506	514	-0.4703	26000	25908
8589935972	1430	8589935608	-0.0000	16442	9558
936	485	495	-0.2545	25963	25843
98784248977	506	81604379806	-0.1729	16634	25993
764	497	502	-0.3727	25981	25916
4294968080	481	506	-0.0000	25924	76
925	502	505	-0.2139	25964	25907
790	482	499	-0.0854	25978	25885
8589935270	485	4294967784	-0.0880	25816	25940
8589935260	504	505	-0.3196	25936	25961
8589935268	475	514	-0.3600	25921	25981
4294967993	475	480	0.8534	25948	25979
541	475	497	-0.2079	25999	25745
889	499	514	-0.2988	25968	26000
4294968152	495	497	-0.2051	25865	25806
4294967983	495	499	0.0060	25945	25728
760	475	495	-0.1102	25981	25980
8589935222	480	497	0.0408	25866	25920
4294967780	499	506	-0.0248	25877	25940
776	499	509	0.0617	25980	25924
660	485	502	0.3760	25990	25957
98784248960	17179869697	81604379806	-0.0291	16631	25970
851	482	502	-0.0109	25972	25713
781	497	514	0.3723	25979	25863
4294968082	499	504	-0.5256	25924	25923
928	495	514	-0.2353	25964	25850
762	497	504	0.0088	25981	25920
992	499	502	-0.4168	25941	25980
855	485	499	-0.4893	25972	25922
659	482	495	-0.2294	25990	25820
4294967787	514	4294967784	-0.2183	25790	25884
4294968036	485	497	-0.4565	25919	25987
857	495	502	-0.3269	25972	25939
8589935145	505	506	0.3355	25930	25955
4294967957	485	8589935213	-0.1681	25887	25828
4294967868	497	4294967784	0.6384	25831	25910
4294968112	495	505	-0.1416	25913	25959
4294968266	502	8589935213	0.9809	25802	25992
4294967789	482	509	0.9724	25958	25986
4294967878	475	4294967784	0.0266	25832	25996
4294968001	504	506	-0.5492	25929	25980
4294967999	4294967784	8589935213	0.4433	25848	25992
30064772503	8589935608	17179870595	-0.0000	15858	10142
12884903258	485	81604379806	-0.3328	16577	25943
4294968051	475	504	-0.2028	25932	25917
12884902565	505	8589935213	-0.0884	25882	25809
887	480	505	-0.3208	25968	25991
8589935118	514	8589935213	-0.0426	25867	25723
577	475	482	0.2254	25996	25989
4294967980	482	8589935213	-0.2194	25869	25971
732	482	506	-0.2085	25984	25972
4294968178	509	514	-0.3596	25958	25999
4294967988	506	8589935213	-0.0887	25891	25958
4294967775	499	4294967784	-0.3560	25809	25919
733	485	506	-0.2526	25984	25851
90194314279	485	21474837812	-0.1466	16630	25867
873	480	504	-0.3067	25970	25798
8589935122	475	505	-0.3476	25882	25765
587	504	514	-0.3228	25996	25866
4294968229	504	4294967784	-0.0724	25847	25699
589	475	506	-0.1490	25996	25859
4294967963	502	4294967784	-0.4989	25845	25932
8589936022	12884903231	107374183475	-0.0000	16323	9677
879	480	495	0.2050	25969	25934
4294968211	485	504	-0.2845	25883	25955
8589935451	475	8589935213	-0.1084	25891	25929
4294967984	497	499	-0.1760	25884	25972
686	475	485	-0.1349	25988	25969
4294967981	482	514	-0.1728	25928	25975
4294967906	495	4294967784	0.0721	25836	25800
599	485	514	0.4371	25995	25955
30064772438	77309412537	81604379806	-0.2840	16636	25825
98784249001	30064771890	81604379806	0.0722	16627	25914
38654706956	34359739438	81604379806	-0.1845	16626	25969
163208757974	8589935213	81604379806	-0.2941	16597	25983
4294968008	502	514	-0.1858	25945	25634
847	502	504	-0.3057	25973	25942
813	502	509	-0.1435	25976	25765
4294968139	506	509	-0.1970	25951	25977
4294968160	509	8589935213	-0.2518	25869	25587
4294968038	495	8589935213	0.1372	25894	25933
700	475	499	-0.3477	25987	25995
949	495	506	-0.1077	25961	25793
612	497	506	-0.3502	25994	25959
1471	8589935150	17179869912	-0.0000	16143	9857
614	475	502	-0.3668	25994	25879
21474837016	480	4294967784	-0.1549	25843	25804
789	480	499	-0.0386	25978	25975
