# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	30625.4727	0.3535	28001	0.4000	1,2,1	0.5000	25
504	17440.9746	0.1652	28001	0.4000	2,0,2	0.5000	34
495	28465.1328	-0.0547	28001	0.4000	2,2,1	0.5000	41
506	23031.5645	-0.1457	28001	0.4000	3,3,0	0.5000	60
81604379806	15617.5840	-0.2562	18650	0.4000	1,1,0	0.5000	20
480	25485.0625	0.4021	28001	0.4000	0,3,3	0.5000	15
509	15978.5352	0.4749	28001	0.4000	2,3,1	0.5000	45
482	9571.5410	-0.2269	28001	0.4000	0,0,2	0.5000	2
502	14739.3271	0.0811	28001	0.4000	0,1,2	0.5000	6
497	27701.9453	0.3336	28001	0.4000	0,2,3	0.5000	11
485	23969.4531	0.1717	28001	0.4000	2,0,3	0.5000	35
4294967784	21191.7480	-0.0127	27850	0.4000	0,0,0	0.5000	0
499	6957.3984	0.4231	28001	0.4000	3,3,2	0.5000	62
505	1728.0361	0.2831	28001	0.4000	2,2,1	0.5000	41
8589935213	22700.6992	-0.1419	27900	0.4000	2,3,2	0.5000	46
514	24209.3457	0.4614	28001	0.4000	2,2,2	0.5000	42
17179869697	33222.0117	-0.0282	27650	0.4000	1,0,1	0.5000	17
8589935193	20497.2207	-0.0847	27150	0.4000	1,2,3	0.5000	27
30064771890	19624.5801	-0.1951	26800	0.4000	1,3,3	0.5000	31
17179869820	26358.2949	0.2808	26350	0.4000	1,0,0	0.5000	16
30064771765	11632.6719	-0.0904	26600	0.4000	2,0,0	0.5000	32
8589935150	10527.7129	0.4529	26250	0.4000	3,2,0	0.5000	56
12884902626	11256.3320	0.2563	25800	0.4000	3,0,1	0.5000	49
25769804393	7622.8564	0.4512	25500	0.4000	1,0,1	0.5000	17
8589935146	19418.7578	-0.0660	25550	0.4000	3,0,3	0.5000	51
8589935267	22799.9238	0.1601	24850	0.4000	0,0,0	0.5000	0
4294967869	25833.7109	0.0853	25000	0.4000	1,0,3	0.5000	19
1025	23672.9180	-0.0994	24600	0.4000	2,2,3	0.5000	43
8589935302	24810.2070	0.4739	25100	0.4000	2,3,3	0.5000	47
12884902586	8220.9600	0.4295	24800	0.4000	1,3,0	0.5000	28
34359739438	15128.5762	0.0277	21950	0.4000	0,3,0	0.5000	12
12884902633	27934.8320	0.1289	24400	0.4000	0,2,3	0.5000	11
8589935608	16862.5352	0.1325	24200	0.4000	0,0,3	0.5000	3
25769804646	19490.2246	-0.2116	23900	0.4000	2,1,1	0.5000	37
34359739551	19043.7109	-0.0132	22550	0.4000	3,1,0	0.5000	52
77309412537	10053.1211	0.4824	20550	0.4000	3,2,2	0.5000	58
60129543359	5345.9297	-0.2305	20000	0.4000	1,0,3	0.5000	19
30064772325	7330.6162	-0.2893	19850	0.4000	1,1,0	0.5000	20
12884903231	16863.1992	0.3058	19150	0.4000	3,3,1	0.5000	61
21474837812	16958.3496	0.2084	18750	0.4000	1,2,0	0.5000	24
51539608233	5917.0420	0.0993	17150	0.4000	1,2,2	0.5000	26
4294968815	11023.8750	0.0904	16350	0.4000	3,1,1	0.5000	53
68719478094	8503.4727	0.3916	16700	0.4000	0,1,0	0.5000	4
21474838403	7530.4492	-0.1940	12700	0.4000	1,2,0	0.5000	24
21474838073	12507.1553	0.1154	15750	0.4000	1,1,0	0.5000	20
30064772847	5131.0215	-0.0867	13650	0.4000	1,2,1	0.5000	25
4294968949	2381.1294	-0.1511	15400	0.4000	2,3,1	0.5000	45
68719478648	3680.3899	0.0389	9400	0.4000	1,2,3	0.5000	27
115964118664	2542.9448	-0.2799	6650	0.4000	3,0,1	0.5000	49
115964118681	58.4257	0.0272	5600	0.4000	0,1,2	0.5000	6
115964118740	1054.5439	-0.1207	6000	0.4000	1,3,2	0.5000	30
8589936659	821.0963	0.4970	3400	0.4000	3,1,2	0.5000	54
17179871248	729.6757	0.4073	3150	0.4000	0,2,0	0.5000	8
8589936692	2237.0930	0.2895	2750	0.4000	2,2,3	0.5000	43
73014446047	1101.7166	-0.0241	2700	0.4000	1,0,1	0.5000	17
8589936711	1983.2195	0.0939	2650	0.4000	3,3,1	0.5000	61
38654707710	710.4811	-0.1999	1700	0.4000	1,2,1	0.5000	25
73014446331	63.0971	-0.0572	150	0.4000	1,3,2	0.5000	30
47244642501	72.1077	-0.0573	50	0.4000	1,3,3	0.5000	31
47244642611	83.7984	0.2998	100	0.4000	3,1,0	0.5000	52

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884902537	505	4294967784	-0.4501	27714	27878
516	482	497	0.8377	28000	27992
682	475	509	-0.2191	27989	27656
4294968138	480	514	0.1012	27879	27982
4294968071	497	8589935213	-0.5587	27862	27958
4294968241	482	4294967784	-0.1304	27824	27930
4294968163	482	505	-0.1709	27935	27739
953	495	504	0.9398	27960	27969
8589935142	495	509	-0.4619	27887	27976
25769805161	12884902586	38654706266	-0.0000	17856	10144
8589935510	506	4294967784	-0.0386	27829	27587
4294968122	480	509	-0.3166	27939	27941
827	505	509	0.9803	27975	27998
4294967874	480	502	-0.3133	27927	27749
529	506	514	-0.2704	28000	27927
8589935972	1430	8589935608	-0.0000	18442	9558
936	485	495	-0.1144	27963	27935
98784248977	506	81604379806	-0.4175	18634	27900
764	497	502	0.0885	27981	27982
4294968080	481	506	-0.0000	27924	76
925	502	505	-0.2901	27964	27999
790	482	499	-0.0166	27978	27920
8589935270	485	4294967784	-0.4014	27816	27948
8589935260	504	505	-0.3038	27936	27972
8589935268	475	514	-0.1893	27921	27798
4294967993	475	480	0.5770	27948	27983
541	475	497	-0.1938	27999	27951
889	499	514	-0.2380	27968	27676
4294968152	495	497	-0.2090	27865	27963
4294967983	495	499	-0.1924	27945	27970
760	475	495	-0.0192	27981	27890
8589935222	480	497	0.3905	27866	27996
4294967780	499	506	-0.1804	27877	27948
776	499	509	0.9361	27980	27967
660	485	502	-0.1590	27990	27969
98784248960	17179869697	81604379806	-0.3046	18631	27839
851	482	502	-0.2485	27972	27892
781	497	514	-0.2935	27979	27809
4294968082	499	504	0.0264	27924	27877
928	495	514	0.0020	27964	27834
762	497	504	-0.1800	27981	27581
992	499	502	-0.1846	27941	27869
855	485	499	-0.2980	27972	27780
659	482	495	-0.0262	27990	27842
4294967787	514	4294967784	0.8292	27790	27978
4294968036	485	497	-0.4494	27919	27891
857	495	502	0.4243	27972	27968
8589935145	505	506	-0.1933	27930	27860
4294967957	485	8589935213	-0.2007	27887	27652
4294967868	497	4294967784	-0.1524	27831	27944
4294968112	495	505	-0.3720	27913	27942
4294968266	502	8589935213	-0.3815	27802	27981
4294967789	482	509	0.0696	27958	27904
4294967878	475	4294967784	-0.0792	27832	27936
4294968001	504	506	-0.2961	27929	27957
4294967999	4294967784	8589935213	-0.3133	27848	27729
30064772503	8589935608	17179870595	-0.0000	17858	10142
12884903258	485	81604379806	0.0690	18577	27939
4294968051	475	504	-0.2256	27932	27918
12884902565	505	8589935213	-0.1378	27882	27871
887	480	505	-0.1197	27968	27762
8589935118	514	8589935213	-0.2294	27867	27992
577	475	482	-0.1755	27996	27914
4294967980	482	8589935213	-0.2288	27869	27980
732	482	506	-0.1973	27984	27842
4294968178	509	514	-0.1059	27958	27881
4294967988	506	8589935213	-0.4055	27891	27928
4294967775	499	4294967784	-0.0413	27809	27967
733	485	506	-0.3124	27984	27919
90194314279	485	21474837812	-0.1843	18630	27828
873	480	504	-0.2630	27970	27757
8589935122	475	505	-0.1774	27882	27996
587	504	514	0.1938	27996	27900
4294968229	504	4294967784	-0.1845	27847	27875
589	475	506	-0.3234	27996	27890
4294967963	502	4294967784	-0.2478	27845	27858
8589936022	12884903231	107374183475	-0.0000	18323	9677
879	480	495	-0.0153	27969	27836
4294968211	485	504	-0.2258	27883	27782
8589935451	475	8589935213	-0.2186	27891	27974
4294967984	497	499	-0.2678	27884	27976
686	475	485	-0.2147	27988	27769
4294967981	482	514	-0.4457	27928	27894
4294967906	495	4294967784	-0.2786	27836	27829
599	485	514	0.9627	27995	27981
30064772438	77309412537	81604379806	-0.1640	18636	27850
98784249001	30064771890	81604379806	0.4955	18627	27983
38654706956	34359739438	81604379806	-0.1362	18626	27662
163208757974	8589935213	81604379806	0.3038	18597	27988
4294968008	502	514	0.7404	27945	27996
847	502	504	-0.2975	27973	27909
813	502	509	-0.3632	27976	27897
4294968139	506	509	-0.4065	27951	27919
4294968160	509	8589935213	-0.2082	27869	27744
4294968038	495	8589935213	0.1736	27894	27977
700	475	499	0.1093	27987	27921
949	495	506	0.4642	27961	27984
612	497	506	-0.1177	27994	27962
1471	8589935150	17179869912	-0.0000	18143	9857
614	475	502	-0.2101	27994	27893
21474837016	480	4294967784	-0.2774	27843	27995
789	480	499	-0.1903	27978	27907
4294967986	480	485	0.4065	27948	27953
4294968061	480	8589935213	-0.3329	27871	27950
643	505	514	0.1241	27992	27823
4294968170	504	8589935213	-0.1558	27894	27616
4294967970	482	485	-0.2581	27937	27936
748	480	482	-0.1852	27982	27983
