# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	4181.1602	0.1648	2001	0.4000	0,3,3	0.5000	15
967	1418.9242	-0.2489	1950	0.4000	3,3,0	0.5000	60
506	3579.5764	0.0937	2001	0.4000	2,0,0	0.5000	32
505	3061.1851	-0.2410	2001	0.4000	3,3,1	0.5000	61
488	802.3051	0.3555	2001	0.4000	2,1,0	0.5000	36
495	5121.3511	0.1508	2001	0.4000	1,0,2	0.5000	18
494	3360.4819	0.3728	2001	0.4000	1,1,1	0.5000	21
482	1496.9070	-0.2036	2001	0.4000	0,2,0	0.5000	8
514	1541.9210	0.4555	2001	0.4000	0,1,0	0.5000	4
8589935252	2490.9436	-0.0565	1750	0.4000	3,2,0	0.5000	56
509	6365.6543	0.0039	2001	0.4000	0,1,1	0.5000	5
498	3984.9500	0.4706	2001	0.4000	2,0,0	0.5000	32
8589935219	2965.0928	0.4514	1650	0.4000	0,2,3	0.5000	11
12884902893	2395.6006	0.4137	1600	0.4000	0,2,3	0.5000	11
4294968197	1430.7233	0.2979	1550	0.4000	3,3,2	0.5000	62
4294968009	1141.0881	0.4921	1450	0.4000	1,2,3	0.5000	27
12884902921	807.5778	0.1270	750	0.4000	3,0,2	0.5000	50
34359739131	1639.4169	-0.2244	950	0.4000	0,3,1	0.5000	13
30064771861	701.1733	0.3763	800	0.4000	1,3,3	0.5000	31
38654706391	82.8621	-0.2725	50	0.4000	0,3,1	0.5000	13
8589935223	267.4698	-0.2973	400	0.4000	1,2,0	0.5000	24
21474837234	158.2426	0.4937	200	0.4000	2,1,0	0.5000	36

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.2503	1910	1973
4294967787	514	967	-0.7033	1865	1962
8589935095	505	8589935252	-0.6498	1746	1997
4294968004	482	505	-0.5625	1883	1931
12884902462	506	8589935252	-0.6710	1747	1994
8589935244	967	8589935252	0.8595	1747	1987
775	509	514	0.9960	1981	1998
4294968264	495	509	-0.3685	1924	1877
782	495	505	0.9920	1980	1996
8589935411	509	8589935252	0.9881	1749	1994
4294968055	501	506	-0.4932	1931	1936
768	505	514	-0.5481	1983	1904
988	501	967	0.9980	1946	1999
4294967983	488	494	-0.7822	1977	1930
812	494	505	-0.5451	1975	1953
530	505	509	-0.4918	2000	1823
4294967772	494	967	-0.7802	1939	1973
8589935563	498	8589935219	-0.6495	1637	1942
919	501	509	-0.4384	1958	1963
4294967798	495	967	-0.2518	1893	1936
8589935347	8589935219	8589935252	-0.3406	1641	1982
888	482	495	-0.4137	1965	1738
970	488	514	-0.8182	1949	1901
4294968282	501	505	-0.3304	1908	1828
12884902597	501	8589935219	-0.6570	1642	1994
4294968136	500	967	-0.0022	1913	87
981	482	967	-0.8361	1947	1991
904	482	501	-0.7077	1963	1955
543	495	514	-0.6585	1999	1990
934	494	506	0.9960	1956	1998
822	488	505	-0.6559	1974	2000
702	482	506	0.9960	1988	1998
914	483	505	-0.0020	1962	38
869	494	514	-0.6976	1968	1892
710	495	501	0.9861	1988	1993
835	498	509	0.9646	1973	1982
1017	476	498	-0.0021	1940	60
4294968128	495	498	0.1158	1937	1996
4294968158	488	506	-0.6438	1961	1995
695	501	514	-0.5875	1989	1933
1030	488	967	-0.8719	1925	1999
705	482	494	-0.3354	1988	1892
672	506	509	1.0000	1991	2000
