# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	6948.1602	0.1648	4001	0.4000	0,3,3	0.5000	15
967	3628.9243	-0.2489	3950	0.4000	3,3,0	0.5000	60
506	6943.5762	0.0937	4001	0.4000	2,0,0	0.5000	32
505	4277.1851	-0.2410	4001	0.4000	3,3,1	0.5000	61
488	2338.3052	0.3555	4001	0.4000	2,1,0	0.5000	36
495	10436.3516	0.1508	4001	0.4000	1,0,2	0.5000	18
494	4153.4819	0.3728	4001	0.4000	1,1,1	0.5000	21
482	3961.9070	-0.2036	4001	0.4000	0,2,0	0.5000	8
514	3473.9209	0.4555	4001	0.4000	0,1,0	0.5000	4
8589935252	5466.9434	-0.0565	3750	0.4000	3,2,0	0.5000	56
509	9228.6543	0.0039	4001	0.4000	0,1,1	0.5000	5
498	6682.9502	0.4706	4001	0.4000	2,0,0	0.5000	32
8589935219	4028.0928	0.4514	3650	0.4000	0,2,3	0.5000	11
12884902893	2487.6006	0.4137	3600	0.4000	0,2,3	0.5000	11
4294968197	4069.7231	0.2979	3550	0.4000	3,3,2	0.5000	62
4294968009	3125.0881	0.4921	3450	0.4000	1,2,3	0.5000	27
12884902921	3669.5776	0.1270	2750	0.4000	3,0,2	0.5000	50
34359739131	5152.4170	-0.2244	2950	0.4000	0,3,1	0.5000	13
30064771861	1709.1733	0.3763	2800	0.4000	1,3,3	0.5000	31
38654706391	1789.8622	-0.2725	2050	0.4000	0,3,1	0.5000	13
8589935223	1903.4698	-0.2973	2400	0.4000	1,2,0	0.5000	24
21474837234	927.2426	0.4937	2200	0.4000	2,1,0	0.5000	36
25769804320	93.9570	0.3659	450	0.4000	0,0,0	0.5000	0
12884902730	4295.3203	-0.1867	1900	0.4000	1,2,0	0.5000	24
17179870177	77.2721	-0.1324	150	0.4000	0,0,1	0.5000	1
12884902843	901.3608	-0.0790	1700	0.4000	0,1,2	0.5000	6
4294968249	1762.4327	0.2581	1650	0.4000	1,3,1	0.5000	29
4294968288	967.3829	-0.2626	1600	0.4000	0,1,1	0.5000	5
8589935456	1984.5229	0.0730	1500	0.4000	1,3,1	0.5000	29
8589935165	1238.6370	0.3355	1450	0.4000	0,2,0	0.5000	8
8589935601	1.0131	-0.1012	350	0.4000	3,1,1	0.5000	53
1091	1112.4042	0.1600	1100	0.4000	2,1,1	0.5000	37
21474837533	188.3764	-0.0079	500	0.4000	3,0,2	0.5000	50
25769804636	37.5234	0.1369	50	0.4000	2,2,0	0.5000	40

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.4539	3910	3823
4294967787	514	967	-0.6699	3865	3945
8589935095	505	8589935252	-0.3627	3746	3864
4294968004	482	505	-0.4361	3883	3998
12884902462	506	8589935252	-0.4273	3747	3881
8589935244	967	8589935252	-0.1943	3747	3977
775	509	514	-0.2604	3981	3831
4294968264	495	509	-0.3549	3924	3842
782	495	505	0.5997	3980	3998
8589935411	509	8589935252	0.9960	3749	3998
4294968055	501	506	-0.2600	3931	3892
768	505	514	-0.2596	3983	3938
988	501	967	-0.1782	3946	3879
4294967983	488	494	-0.2324	3977	3946
812	494	505	-0.4756	3975	3946
530	505	509	-0.1761	4000	3901
4294967772	494	967	-0.3848	3939	3974
8589935563	498	8589935219	-0.2785	3637	3832
919	501	509	-0.4031	3958	3944
4294967798	495	967	-0.4169	3893	3930
8589935347	8589935219	8589935252	-0.0870	3641	3896
888	482	495	-0.2951	3965	3997
970	488	514	-0.3676	3949	3905
4294968282	501	505	-0.2313	3908	3736
12884902597	501	8589935219	-0.4786	3642	3840
4294968136	500	967	-0.0000	3913	87
981	482	967	-0.5073	3947	3975
904	482	501	-0.4220	3963	3985
543	495	514	-0.4038	3999	3933
934	494	506	-0.3180	3956	3997
822	488	505	-0.4642	3974	3856
702	482	506	0.9646	3988	3982
914	483	505	-0.0000	3962	38
869	494	514	-0.3980	3968	3923
710	495	501	-0.0539	3988	3942
835	498	509	0.9821	3973	3991
1017	476	498	-0.0000	3940	60
4294968128	495	498	-0.4685	3937	3986
4294968158	488	506	-0.4643	3961	3997
695	501	514	0.0940	3989	3993
1030	488	967	-0.2502	3925	3937
705	482	494	-0.5974	3988	3947
672	506	509	0.9550	3991	3977
4294967795	494	509	-0.3065	3871	3984
734	494	501	-0.3484	3986	3973
581	482	509	0.6883	3997	4000
1026	505	967	-0.7250	3927	3947
4294968225	482	514	-0.3894	3939	3742
563	488	509	-0.4903	3998	3933
4294967977	506	514	-0.1267	3960	3947
960	498	501	-0.0615	3951	3995
642	488	495	0.9940	3993	3997
641	494	495	-0.4395	3993	3962
4294968145	488	498	-0.1582	3920	3853
881	482	488	-0.5492	3966	3941
4294967861	505	506	-0.2775	3930	3879
1014	498	967	-0.3990	3941	3940
1013	498	514	1.0000	3941	4000
4294967803	482	498	-0.5917	3909	3905
8589935285	506	967	-0.2713	3918	3874
885	498	506	-0.0948	3966	3964
4294968238	488	501	-0.3668	3915	3893
4294968294	509	967	-0.4641	3921	3870
697	498	505	-0.5290	3989	3948
579	495	506	-0.3159	3997	3927
8589935611	494	8589935219	-0.7667	3643	3980
12884902572	482	8589935219	-0.3914	3643	3935
12884902400	509	8589935219	-0.4394	3647	3953
8589935260	501	8589935252	-0.1438	3700	3967
8589935100	514	8589935252	1.0000	3716	4000
17179870157	495	8589935252	-0.3649	3725	3954
8589935419	482	8589935252	-0.3332	3727	3976
12884902369	494	8589935252	0.9940	3738	3997
17179869842	498	8589935252	-0.4718	3739	3931
12884902895	488	8589935252	-0.3879	3739	3769
8589935457	488	8589935219	-0.5642	3648	3881
8589935124	514	8589935219	-0.3341	3649	3755
17179869664	506	8589935219	-0.5659	3621	3944
12884902899	967	8589935219	0.9900	3612	3995
17179870107	495	8589935219	-0.1313	3611	3939
17179869849	495	12884902893	0.1640	3599	3993
12884902619	494	12884902893	-0.8177	3598	3971
17179869681	8589935252	12884902893	-0.4077	3598	3912
12884902772	514	12884902893	-0.4143	3597	3995
17179870054	509	12884902893	-0.5721	3596	3980
12884902636	506	12884902893	-0.1900	3592	3903
12884902447	8589935219	12884902893	-0.4578	3591	3895
12884902595	488	12884902893	-0.4465	3591	3840
17179869774	967	12884902893	-0.6997	3589	3929
12884902706	501	12884902893	-0.2408	3583	3958
4294967823	498	12884902893	0.1492	3576	3948
4294968233	505	12884902893	-0.6618	3575	3999
4294968089	482	12884902893	-0.2478	3574	3746
4294968157	514	4294968197	0.5447	3549	3986
4294967893	506	4294968197	-0.4935	3547	3944
4294968062	967	4294968197	0.9861	3545	3993
4294968179	488	4294968197	-0.1164	3542	3934
8589935096	4294968197	8589935219	-0.3920	3540	3952
4294967952	494	4294968197	-0.4989	3539	3923
4294968223	4294968197	12884902893	0.9724	3538	3986
4294968295	482	4294968197	-0.5710	3537	3989
4294968246	498	4294968197	-0.1791	3535	3531
4294968221	505	4294968197	-0.1980	3519	3875
4294967817	4294968197	8589935252	-0.2137	3508	3885
8589935070	505	8589935219	-0.3608	3498	3959
4294967955	494	4294968009	-0.3436	3426	3954
8589935259	967	4294968009	-0.5058	3430	3987
4294968129	495	4294968197	-0.2524	3497	3979
4294967899	501	4294968197	0.1378	3497	3959
4294967812	4294968009	8589935219	-0.3705	3432	3857
4294967841	505	4294968009	-0.4802	3437	3818
4294967848	488	4294968009	-0.1332	3437	3796
4294968113	501	4294968009	-0.5316	3439	3969
4294967867	509	4294968197	-0.4704	3491	3997
4294968126	4294968009	4294968197	-0.5401	3443	3882
4294967967	482	4294968009	-0.6765	3443	3956
8589935146	495	4294968009	0.9763	3443	3988
4294968038	4294968009	12884902893	-0.2954	3446	3864
8589935354	506	4294968009	-0.4470	3449	3987
8589935102	509	4294968009	-0.3626	3414	3963
8589935199	514	4294968009	-0.3887	3412	3959
