# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	8159.1602	0.1648	6001	0.4000	0,3,3	0.5000	15
967	6733.9243	-0.2489	5950	0.4000	3,3,0	0.5000	60
506	9132.5762	0.0937	6001	0.4000	2,0,0	0.5000	32
505	4431.1851	-0.2410	6001	0.4000	3,3,1	0.5000	61
488	3302.3052	0.3555	6001	0.4000	2,1,0	0.5000	36
495	13479.3516	0.1508	6001	0.4000	1,0,2	0.5000	18
494	4712.4819	0.3728	6001	0.4000	1,1,1	0.5000	21
482	6026.9072	-0.2036	6001	0.4000	0,2,0	0.5000	8
514	6346.9209	0.4555	6001	0.4000	0,1,0	0.5000	4
8589935252	8282.9434	-0.0565	5750	0.4000	3,2,0	0.5000	56
509	11116.6543	0.0039	6001	0.4000	0,1,1	0.5000	5
498	8391.9502	0.4706	6001	0.4000	2,0,0	0.5000	32
8589935219	5245.0928	0.4514	5650	0.4000	0,2,3	0.5000	11
12884902893	3622.6006	0.4137	5600	0.4000	0,2,3	0.5000	11
4294968197	6442.7231	0.2979	5550	0.4000	3,3,2	0.5000	62
4294968009	4029.0879	0.4921	5450	0.4000	1,2,3	0.5000	27
12884902921	6984.5776	0.1270	4750	0.4000	3,0,2	0.5000	50
34359739131	7140.4170	-0.2244	4950	0.4000	0,3,1	0.5000	13
30064771861	4412.1733	0.3763	4800	0.4000	1,3,3	0.5000	31
38654706391	4241.8623	-0.2725	4050	0.4000	0,3,1	0.5000	13
8589935223	4022.4697	-0.2973	4400	0.4000	1,2,0	0.5000	24
21474837234	620.2427	0.4937	4200	0.4000	2,1,0	0.5000	36
25769804409	1540.8234	0.4219	1400	0.4000	2,0,1	0.5000	33
12884902730	7837.3203	-0.1867	3900	0.4000	1,2,0	0.5000	24
21474837533	1107.3765	-0.0079	2500	0.4000	3,0,2	0.5000	50
12884902843	2646.3608	-0.0790	3700	0.4000	0,1,2	0.5000	6
4294968249	3595.4326	0.2581	3650	0.4000	1,3,1	0.5000	29
4294968288	1457.3829	-0.2626	3600	0.4000	0,1,1	0.5000	5
8589935456	6294.5229	0.0730	3500	0.4000	1,3,1	0.5000	29
8589935165	3769.6370	0.3355	3450	0.4000	0,2,0	0.5000	8
21474837170	2072.1885	0.3131	1500	0.4000	0,1,2	0.5000	6
1091	3263.4043	0.1600	3100	0.4000	2,1,1	0.5000	37
17179869771	953.0590	0.4508	1300	0.4000	2,1,2	0.5000	38
21474837534	915.2891	0.1496	1250	0.4000	2,2,2	0.5000	42
4294968542	116.0523	-0.2474	50	0.4000	1,0,3	0.5000	19
30064771608	1541.6583	0.3366	1150	0.4000	2,0,1	0.5000	33
4294968437	174.1251	0.3322	800	0.4000	0,2,0	0.5000	8

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.1742	5910	5643
4294967787	514	967	-0.4196	5865	5946
8589935095	505	8589935252	-0.1619	5746	5829
4294968004	482	505	-0.3829	5883	5711
12884902462	506	8589935252	-0.3885	5747	5877
8589935244	967	8589935252	-0.2287	5747	5919
775	509	514	-0.2894	5981	5871
4294968264	495	509	-0.6269	5924	5948
782	495	505	-0.3019	5980	5965
8589935411	509	8589935252	-0.3305	5749	5561
4294968055	501	506	-0.5296	5931	5922
768	505	514	0.9900	5983	5995
988	501	967	-0.3743	5946	5934
4294967983	488	494	-0.8681	5977	5981
812	494	505	-0.2170	5975	5931
530	505	509	-0.3858	6000	5956
4294967772	494	967	0.9704	5939	5985
8589935563	498	8589935219	-0.5103	5637	5851
919	501	509	-0.2502	5958	5958
4294967798	495	967	0.4748	5893	5993
8589935347	8589935219	8589935252	-0.1078	5641	5995
888	482	495	-0.2699	5965	5932
970	488	514	-0.0232	5949	5969
4294968282	501	505	-0.4320	5908	5952
12884902597	501	8589935219	-0.4385	5642	5891
4294968136	500	967	-0.0000	5913	87
981	482	967	-0.1764	5947	5690
904	482	501	-0.4962	5963	5945
543	495	514	-0.0691	5999	5797
934	494	506	-0.5032	5956	5850
822	488	505	-0.5771	5974	5935
702	482	506	0.9841	5988	5992
914	483	505	-0.0000	5962	38
869	494	514	-0.2095	5968	5608
710	495	501	0.7108	5988	5982
835	498	509	0.7480	5973	5999
1017	476	498	-0.0000	5940	60
4294968128	495	498	-0.3201	5937	5798
4294968158	488	506	-0.3984	5961	5825
695	501	514	-0.4005	5989	5997
1030	488	967	-0.2396	5925	5866
705	482	494	-0.4994	5988	5923
672	506	509	0.5019	5991	5997
4294967795	494	509	-0.0687	5871	5876
734	494	501	-0.4320	5986	5864
581	482	509	0.1576	5997	5970
1026	505	967	-0.3911	5927	5994
4294968225	482	514	-0.3442	5939	5853
563	488	509	-0.5140	5998	5988
4294967977	506	514	-0.3117	5960	5946
960	498	501	0.0346	5951	5981
642	488	495	-0.3851	5993	5998
641	494	495	-0.2972	5993	5922
4294968145	488	498	-0.0026	5920	5965
881	482	488	-0.4919	5966	5961
4294967861	505	506	-0.1457	5930	5928
1014	498	967	-0.5021	5941	5992
1013	498	514	0.9379	5941	5968
4294967803	482	498	-0.5449	5909	5953
8589935285	506	967	-0.3799	5918	5883
885	498	506	-0.3765	5966	5931
4294968238	488	501	-0.2130	5915	5969
4294968294	509	967	-0.3297	5921	5989
697	498	505	-0.3897	5989	5791
579	495	506	-0.1366	5997	5824
8589935611	494	8589935219	-0.4653	5643	5950
12884902572	482	8589935219	-0.5740	5643	5930
12884902400	509	8589935219	-0.4335	5647	5971
8589935260	501	8589935252	-0.2332	5700	5969
8589935100	514	8589935252	0.8670	5716	5988
17179870157	495	8589935252	-0.4042	5725	5984
