# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	10755.1602	0.1648	8001	0.4000	0,3,3	0.5000	15
967	9531.9238	-0.2489	7950	0.4000	3,3,0	0.5000	60
506	10968.5762	0.0937	8001	0.4000	2,0,0	0.5000	32
505	5439.1851	-0.2410	8001	0.4000	3,3,1	0.5000	61
488	4566.3052	0.3555	8001	0.4000	2,1,0	0.5000	36
495	15877.3516	0.1508	8001	0.4000	1,0,2	0.5000	18
494	6961.4819	0.3728	8001	0.4000	1,1,1	0.5000	21
482	6406.9072	-0.2036	8001	0.4000	0,2,0	0.5000	8
514	8379.9209	0.4555	8001	0.4000	0,1,0	0.5000	4
8589935252	9475.9434	-0.0565	7750	0.4000	3,2,0	0.5000	56
509	11269.6543	0.0039	8001	0.4000	0,1,1	0.5000	5
498	11246.9502	0.4706	8001	0.4000	2,0,0	0.5000	32
8589935219	6322.0928	0.4514	7650	0.4000	0,2,3	0.5000	11
12884902893	7611.6006	0.4137	7600	0.4000	0,2,3	0.5000	11
4294968197	8444.7227	0.2979	7550	0.4000	3,3,2	0.5000	62
4294968009	6023.0879	0.4921	7450	0.4000	1,2,3	0.5000	27
12884902921	10389.5781	0.1270	6750	0.4000	3,0,2	0.5000	50
34359739131	9595.4170	-0.2244	6950	0.4000	0,3,1	0.5000	13
30064771861	7143.1733	0.3763	6800	0.4000	1,3,3	0.5000	31
38654706391	6994.8623	-0.2725	6050	0.4000	0,3,1	0.5000	13
8589935223	7798.4697	-0.2973	6400	0.4000	1,2,0	0.5000	24
21474837234	1096.2427	0.4937	6200	0.4000	2,1,0	0.5000	36
25769804409	4230.8232	0.4219	3400	0.4000	2,0,1	0.5000	33
12884902730	11337.3203	-0.1867	5900	0.4000	1,2,0	0.5000	24
21474837533	4167.3765	-0.0079	4500	0.4000	3,0,2	0.5000	50
12884902843	5372.3608	-0.0790	5700	0.4000	0,1,2	0.5000	6
4294968249	5124.4326	0.2581	5650	0.4000	1,3,1	0.5000	29
4294968288	2221.3828	-0.2626	5600	0.4000	0,1,1	0.5000	5
8589935456	10871.5234	0.0730	5500	0.4000	1,3,1	0.5000	29
8589935165	6561.6367	0.3355	5450	0.4000	0,2,0	0.5000	8
21474837170	5370.1885	0.3131	3500	0.4000	0,1,2	0.5000	6
1091	6777.4043	0.1600	5100	0.4000	2,1,1	0.5000	37
17179869771	3632.0591	0.4508	3300	0.4000	2,1,2	0.5000	38
21474837534	2101.2891	0.1496	3250	0.4000	2,2,2	0.5000	42
68719477384	1166.6484	-0.1189	1550	0.4000	0,3,1	0.5000	13
30064771608	4363.6582	0.3366	3150	0.4000	2,0,1	0.5000	33
8589935842	1056.1505	-0.0693	2000	0.4000	2,1,1	0.5000	37
21474837738	90.5493	0.4865	350	0.4000	3,0,1	0.5000	49
17179870522	302.7118	0.2654	900	0.4000	0,1,0	0.5000	4
55834576022	67.7147	-0.2363	150	0.4000	2,1,1	0.5000	37
47244641565	-3.8524	0.0169	100	0.4000	1,0,3	0.5000	19
8589936000	2.8333	0.4031	50	0.4000	3,0,1	0.5000	49

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.4308	7910	7936
4294967787	514	967	-0.3342	7865	7927
8589935095	505	8589935252	-0.2482	7746	7994
4294968004	482	505	-0.4181	7883	7852
12884902462	506	8589935252	0.0215	7747	7965
8589935244	967	8589935252	-0.2922	7747	7867
775	509	514	-0.3069	7981	7983
4294968264	495	509	-0.1467	7924	7602
782	495	505	-0.0608	7980	7921
8589935411	509	8589935252	-0.5203	7749	7824
4294968055	501	506	-0.3931	7931	7926
768	505	514	0.8711	7983	7999
988	501	967	-0.1390	7946	7997
4294967983	488	494	-0.4412	7977	7975
812	494	505	-0.4524	7975	7941
530	505	509	-0.4071	8000	7965
4294967772	494	967	0.8673	7939	7996
8589935563	498	8589935219	-0.3698	7637	7943
919	501	509	0.9474	7958	7973
4294967798	495	967	-0.5277	7893	7963
8589935347	8589935219	8589935252	-0.5116	7641	7874
888	482	495	-0.3650	7965	7991
970	488	514	-0.3115	7949	7903
4294968282	501	505	-0.3731	7908	7780
12884902597	501	8589935219	-0.4675	7642	7986
4294968136	500	967	-0.0000	7913	87
981	482	967	-0.2604	7947	7997
904	482	501	-0.4731	7963	7821
543	495	514	-0.1475	7999	7926
934	494	506	-0.3777	7956	7988
822	488	505	-0.5405	7974	7979
702	482	506	0.9861	7988	7993
914	483	505	-0.0000	7962	38
869	494	514	-0.1938	7968	7739
710	495	501	0.0149	7988	7985
835	498	509	0.4529	7973	7951
1017	476	498	-0.0000	7940	60
4294968128	495	498	-0.0720	7937	7884
4294968158	488	506	-0.3220	7961	7725
695	501	514	-0.3924	7989	7627
1030	488	967	-0.1872	7925	7473
705	482	494	-0.2434	7988	7998
672	506	509	-0.4687	7991	7981
4294967795	494	509	-0.2837	7871	7901
734	494	501	-0.3010	7986	7902
581	482	509	-0.5292	7997	7791
1026	505	967	-0.5191	7927	7931
4294968225	482	514	-0.5552	7939	7964
563	488	509	-0.4348	7998	7990
4294967977	506	514	-0.0995	7960	7905
960	498	501	-0.3326	7951	7943
642	488	495	-0.4555	7993	7912
641	494	495	-0.3101	7993	7972
4294968145	488	498	0.9719	7920	7994
881	482	488	-0.0697	7966	7985
4294967861	505	506	-0.1856	7930	7713
1014	498	967	-0.2642	7941	7809
1013	498	514	-0.2953	7941	7864
4294967803	482	498	-0.4486	7909	7936
8589935285	506	967	-0.0660	7918	7900
885	498	506	-0.0475	7966	7994
4294968238	488	501	-0.4530	7915	7881
4294968294	509	967	-0.4509	7921	7964
697	498	505	-0.2901	7989	7938
579	495	506	-0.5331	7997	7976
8589935611	494	8589935219	-0.2930	7643	7940
12884902572	482	8589935219	-0.3293	7643	7821
12884902400	509	8589935219	-0.2972	7647	7905
8589935260	501	8589935252	-0.4871	7700	7919
8589935100	514	8589935252	0.2606	7716	7872
17179870157	495	8589935252	-0.5087	7725	7948
8589935419	482	8589935252	-0.2201	7727	7641
12884902369	494	8589935252	-0.5145	7738	7971
17179869842	498	8589935252	0.2145	7739	7965
12884902895	488	8589935252	-0.4306	7739	7816
8589935457	488	8589935219	-0.4373	7648	7946
8589935124	514	8589935219	-0.3454	7649	7781
17179869664	506	8589935219	-0.6121	7621	7942
