# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	14005.1602	0.1648	10001	0.4000	0,3,3	0.5000	15
967	11370.9238	-0.2489	9950	0.4000	3,3,0	0.5000	60
506	14038.5762	0.0937	10001	0.4000	2,0,0	0.5000	32
505	5918.1851	-0.2410	10001	0.4000	3,3,1	0.5000	61
488	6067.3052	0.3555	10001	0.4000	2,1,0	0.5000	36
495	16652.3516	0.1508	10001	0.4000	1,0,2	0.5000	18
494	7644.4819	0.3728	10001	0.4000	1,1,1	0.5000	21
482	8404.9072	-0.2036	10001	0.4000	0,2,0	0.5000	8
514	11518.9209	0.4555	10001	0.4000	0,1,0	0.5000	4
8589935252	10561.9434	-0.0565	9750	0.4000	3,2,0	0.5000	56
509	11359.6543	0.0039	10001	0.4000	0,1,1	0.5000	5
498	14640.9502	0.4706	10001	0.4000	2,0,0	0.5000	32
8589935219	7789.0928	0.4514	9650	0.4000	0,2,3	0.5000	11
12884902893	10369.6006	0.4137	9600	0.4000	0,2,3	0.5000	11
4294968197	10319.7227	0.2979	9550	0.4000	3,3,2	0.5000	62
4294968009	6589.0879	0.4921	9450	0.4000	1,2,3	0.5000	27
12884902921	12748.5781	0.1270	8750	0.4000	3,0,2	0.5000	50
34359739131	11033.4170	-0.2244	8950	0.4000	0,3,1	0.5000	13
30064771861	9319.1738	0.3763	8800	0.4000	1,3,3	0.5000	31
38654706391	9547.8623	-0.2725	8050	0.4000	0,3,1	0.5000	13
8589935223	10038.4697	-0.2973	8400	0.4000	1,2,0	0.5000	24
21474837234	2390.2427	0.4937	8200	0.4000	2,1,0	0.5000	36
25769804409	5028.8232	0.4219	5400	0.4000	2,0,1	0.5000	33
12884902730	13419.3203	-0.1867	7900	0.4000	1,2,0	0.5000	24
21474837533	7535.3765	-0.0079	6500	0.4000	3,0,2	0.5000	50
12884902843	8149.3608	-0.0790	7700	0.4000	0,1,2	0.5000	6
4294968249	5841.4326	0.2581	7650	0.4000	1,3,1	0.5000	29
4294968288	3371.3828	-0.2626	7600	0.4000	0,1,1	0.5000	5
8589935456	14324.5234	0.0730	7500	0.4000	1,3,1	0.5000	29
8589935165	7724.6367	0.3355	7450	0.4000	0,2,0	0.5000	8
21474837170	8175.1885	0.3131	5500	0.4000	0,1,2	0.5000	6
1091	9781.4043	0.1600	7100	0.4000	2,1,1	0.5000	37
17179869771	5657.0591	0.4508	5300	0.4000	2,1,2	0.5000	38
21474837534	3638.2891	0.1496	5250	0.4000	2,2,2	0.5000	42
68719477384	3308.6484	-0.1189	3550	0.4000	0,3,1	0.5000	13
30064771608	7395.6582	0.3366	5150	0.4000	2,0,1	0.5000	33
8589935842	4483.1504	-0.0693	4000	0.4000	2,1,1	0.5000	37
21474837738	637.5493	0.4865	2350	0.4000	3,0,1	0.5000	49
17179870522	2237.7119	0.2654	2900	0.4000	0,1,0	0.5000	4
21474837884	1261.9006	-0.2404	1200	0.4000	3,2,2	0.5000	58
51539608806	1256.0751	0.3366	1300	0.4000	3,2,2	0.5000	58
1556	38.8793	-0.2299	100	0.4000	3,0,0	0.5000	48
17179870595	160.1642	-0.0401	600	0.4000	1,0,2	0.5000	18
68719478085	45.5645	0.2117	350	0.4000	3,0,3	0.5000	51
120259085484	60.7025	-0.0542	50	0.4000	3,0,3	0.5000	51

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.2655	9910	9919
4294967787	514	967	-0.2208	9865	9764
8589935095	505	8589935252	-0.2298	9746	9934
4294968004	482	505	-0.4383	9883	9992
12884902462	506	8589935252	0.1628	9747	9994
8589935244	967	8589935252	-0.2323	9747	9997
775	509	514	-0.1737	9981	9935
4294968264	495	509	-0.5323	9924	9865
782	495	505	-0.1626	9980	9650
8589935411	509	8589935252	-0.3412	9749	9922
4294968055	501	506	-0.2886	9931	9984
768	505	514	0.9861	9983	9993
988	501	967	-0.4142	9946	9940
4294967983	488	494	-0.4686	9977	9907
812	494	505	0.0660	9975	9996
530	505	509	-0.2524	10000	9878
4294967772	494	967	0.7342	9939	9973
8589935563	498	8589935219	-0.2070	9637	9968
919	501	509	0.9286	9958	9963
4294967798	495	967	-0.4422	9893	9829
8589935347	8589935219	8589935252	-0.6613	9641	9940
888	482	495	-0.5130	9965	9858
970	488	514	-0.2418	9949	9699
4294968282	501	505	-0.5867	9908	9980
12884902597	501	8589935219	-0.5419	9642	9954
4294968136	500	967	-0.0000	9913	87
981	482	967	-0.3645	9947	9898
904	482	501	0.3297	9963	9889
543	495	514	0.9960	9999	9998
934	494	506	-0.3124	9956	9916
822	488	505	-0.2672	9974	9556
702	482	506	0.9980	9988	9999
914	483	505	-0.0000	9962	38
869	494	514	0.1532	9968	9985
710	495	501	-0.2734	9988	9879
835	498	509	0.1068	9973	9738
1017	476	498	-0.0000	9940	60
4294968128	495	498	0.9980	9937	9999
4294968158	488	506	-0.3620	9961	9860
695	501	514	-0.0337	9989	9399
1030	488	967	-0.2159	9925	9740
705	482	494	-0.0565	9988	9852
672	506	509	-0.4599	9991	9863
4294967795	494	509	-0.4120	9871	9895
734	494	501	-0.1621	9986	9922
581	482	509	-0.3373	9997	9920
1026	505	967	-0.3802	9927	9985
4294968225	482	514	-0.4139	9939	9971
563	488	509	-0.5885	9998	9878
4294967977	506	514	0.7629	9960	9952
960	498	501	-0.3123	9951	9723
642	488	495	-0.4066	9993	9993
641	494	495	0.4125	9993	9955
4294968145	488	498	0.2663	9920	9909
881	482	488	-0.4209	9966	9845
4294967861	505	506	-0.0698	9930	9978
1014	498	967	-0.4667	9941	9968
1013	498	514	-0.0903	9941	9925
4294967803	482	498	-0.4937	9909	9973
8589935285	506	967	-0.0022	9918	9993
885	498	506	0.0733	9966	9953
4294968238	488	501	-0.2984	9915	9808
4294968294	509	967	-0.0637	9921	9983
697	498	505	-0.4246	9989	9669
579	495	506	0.2145	9997	9970
8589935611	494	8589935219	-0.4109	9643	9884
12884902572	482	8589935219	-0.2648	9643	9887
12884902400	509	8589935219	0.1078	9647	9992
8589935260	501	8589935252	-0.4372	9700	9887
8589935100	514	8589935252	0.3478	9716	9954
17179870157	495	8589935252	-0.3844	9725	9965
8589935419	482	8589935252	0.0656	9727	9894
12884902369	494	8589935252	-0.1334	9738	9900
17179869842	498	8589935252	-0.2185	9739	9770
12884902895	488	8589935252	-0.5433	9739	9924
8589935457	488	8589935219	-0.4104	9648	9873
8589935124	514	8589935219	-0.2622	9649	9886
17179869664	506	8589935219	-0.4021	9621	9992
12884902899	967	8589935219	-0.0131	9612	9929
17179870107	495	8589935219	-0.1630	9611	9828
17179869849	495	12884902893	-0.4598	9599	9836
12884902619	494	12884902893	-0.4383	9598	9993
17179869681	8589935252	12884902893	-0.0234	9598	9701
