# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	16746.1602	0.1648	12001	0.4000	0,3,3	0.5000	15
967	12876.9238	-0.2489	11950	0.4000	3,3,0	0.5000	60
506	17214.5762	0.0937	12001	0.4000	2,0,0	0.5000	32
505	7108.1851	-0.2410	12001	0.4000	3,3,1	0.5000	61
488	7522.3052	0.3555	12001	0.4000	2,1,0	0.5000	36
495	17693.3516	0.1508	12001	0.4000	1,0,2	0.5000	18
494	8827.4824	0.3728	12001	0.4000	1,1,1	0.5000	21
482	10463.9072	-0.2036	12001	0.4000	0,2,0	0.5000	8
514	13360.9209	0.4555	12001	0.4000	0,1,0	0.5000	4
8589935252	14477.9434	-0.0565	11750	0.4000	3,2,0	0.5000	56
509	11629.6543	0.0039	12001	0.4000	0,1,1	0.5000	5
498	17959.9492	0.4706	12001	0.4000	2,0,0	0.5000	32
8589935219	8483.0928	0.4514	11650	0.4000	0,2,3	0.5000	11
12884902893	12903.6006	0.4137	11600	0.4000	0,2,3	0.5000	11
4294968197	13022.7227	0.2979	11550	0.4000	3,3,2	0.5000	62
4294968009	7283.0879	0.4921	11450	0.4000	1,2,3	0.5000	27
12884902921	15937.5781	0.1270	10750	0.4000	3,0,2	0.5000	50
34359739131	11706.4170	-0.2244	10950	0.4000	0,3,1	0.5000	13
30064771861	10285.1738	0.3763	10800	0.4000	1,3,3	0.5000	31
38654706391	11969.8623	-0.2725	10050	0.4000	0,3,1	0.5000	13
8589935223	11538.4697	-0.2973	10400	0.4000	1,2,0	0.5000	24
21474837234	3684.2427	0.4937	10200	0.4000	2,1,0	0.5000	36
25769804409	7179.8232	0.4219	7400	0.4000	2,0,1	0.5000	33
12884902730	14663.3203	-0.1867	9900	0.4000	1,2,0	0.5000	24
21474837533	11253.3770	-0.0079	8500	0.4000	3,0,2	0.5000	50
12884902843	8764.3613	-0.0790	9700	0.4000	0,1,2	0.5000	6
4294968249	6299.4326	0.2581	9650	0.4000	1,3,1	0.5000	29
4294968288	2937.3828	-0.2626	9600	0.4000	0,1,1	0.5000	5
8589935456	15074.5234	0.0730	9500	0.4000	1,3,1	0.5000	29
8589935165	9506.6367	0.3355	9450	0.4000	0,2,0	0.5000	8
21474837170	10418.1885	0.3131	7500	0.4000	0,1,2	0.5000	6
1091	10562.4043	0.1600	9100	0.4000	2,1,1	0.5000	37
17179869771	8893.0586	0.4508	7300	0.4000	2,1,2	0.5000	38
21474837534	4340.2891	0.1496	7250	0.4000	2,2,2	0.5000	42
68719477384	4789.6484	-0.1189	5550	0.4000	0,3,1	0.5000	13
30064771608	9566.6582	0.3366	7150	0.4000	2,0,1	0.5000	33
8589935842	6537.1504	-0.0693	6000	0.4000	2,1,1	0.5000	37
21474837738	2798.5493	0.4865	4350	0.4000	3,0,1	0.5000	49
17179870522	3450.7119	0.2654	4900	0.4000	0,1,0	0.5000	4
21474837884	2444.9006	-0.2404	3200	0.4000	3,2,2	0.5000	58
51539608806	4478.0752	0.3366	3300	0.4000	3,2,2	0.5000	58
64424510890	592.7695	-0.0598	1250	0.4000	0,1,3	0.5000	7
17179870595	1424.1642	-0.0401	2600	0.4000	1,0,2	0.5000	18
34359739917	73.7222	-0.2795	250	0.4000	1,2,2	0.5000	26
12884903467	816.8548	0.1428	950	0.4000	0,0,0	0.5000	0
30064772614	126.0479	0.4335	50	0.4000	0,3,3	0.5000	15

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.3472	11910	11967
4294967787	514	967	-0.3658	11865	11941
8589935095	505	8589935252	-0.2799	11746	11597
4294968004	482	505	-0.2958	11883	11997
12884902462	506	8589935252	-0.2202	11747	11836
8589935244	967	8589935252	0.9960	11747	11998
775	509	514	0.3391	11981	11968
4294968264	495	509	-0.3170	11924	11899
782	495	505	-0.3587	11980	11993
8589935411	509	8589935252	-0.2847	11749	12000
4294968055	501	506	0.1425	11931	11950
768	505	514	0.6850	11983	11999
988	501	967	-0.2591	11946	11900
4294967983	488	494	0.1042	11977	11961
812	494	505	-0.3704	11975	11913
530	505	509	-0.2375	12000	11942
4294967772	494	967	0.9550	11939	11977
8589935563	498	8589935219	0.1884	11637	11980
919	501	509	0.7811	11958	11997
4294967798	495	967	-0.3283	11893	11896
8589935347	8589935219	8589935252	-0.1550	11641	11783
888	482	495	-0.4936	11965	11968
970	488	514	-0.5191	11949	11956
4294968282	501	505	-0.3928	11908	11838
12884902597	501	8589935219	-0.0896	11642	11968
4294968136	500	967	-0.0000	11913	87
981	482	967	-0.1325	11947	11901
904	482	501	-0.3408	11963	11975
543	495	514	-0.2188	11999	11977
934	494	506	-0.2442	11956	11805
822	488	505	-0.4071	11974	11959
702	482	506	0.9455	11988	11972
914	483	505	-0.0000	11962	38
869	494	514	-0.1652	11968	11953
710	495	501	-0.2998	11988	11883
835	498	509	-0.5972	11973	11997
1017	476	498	-0.0000	11940	60
4294968128	495	498	0.7279	11937	11998
4294968158	488	506	-0.6201	11961	11979
695	501	514	-0.3742	11989	11997
1030	488	967	-0.2637	11925	11930
705	482	494	-0.3659	11988	11929
672	506	509	0.9398	11991	11969
4294967795	494	509	-0.5252	11871	11902
734	494	501	-0.1815	11986	11749
581	482	509	-0.2065	11997	11887
1026	505	967	-0.2074	11927	11928
4294968225	482	514	-0.2922	11939	11915
563	488	509	-0.5269	11998	11944
4294967977	506	514	-0.2324	11960	11931
960	498	501	-0.2902	11951	11905
642	488	495	-0.6694	11993	11989
641	494	495	-0.3956	11993	11981
4294968145	488	498	-0.1231	11920	11790
881	482	488	-0.0194	11966	11983
4294967861	505	506	-0.2341	11930	11983
1014	498	967	0.1828	11941	11967
1013	498	514	-0.4209	11941	11898
4294967803	482	498	-0.2681	11909	11781
8589935285	506	967	-0.3729	11918	11932
885	498	506	0.9274	11966	11984
4294968238	488	501	-0.3839	11915	11857
4294968294	509	967	-0.6447	11921	11990
697	498	505	-0.3808	11989	11959
579	495	506	0.9881	11997	11994
8589935611	494	8589935219	-0.4003	11643	11987
12884902572	482	8589935219	-0.2867	11643	11713
12884902400	509	8589935219	-0.1944	11647	11738
8589935260	501	8589935252	-0.0894	11700	11911
8589935100	514	8589935252	0.4757	11716	11973
17179870157	495	8589935252	0.6508	11725	11997
8589935419	482	8589935252	0.1167	11727	11998
12884902369	494	8589935252	1.0000	11738	12000
17179869842	498	8589935252	-0.4064	11739	11983
12884902895	488	8589935252	-0.2478	11739	11939
8589935457	488	8589935219	-0.0988	11648	11963
8589935124	514	8589935219	-0.0693	11649	11637
17179869664	506	8589935219	-0.2512	11621	11703
12884902899	967	8589935219	-0.2708	11612	11996
17179870107	495	8589935219	-0.2664	11611	11829
17179869849	495	12884902893	0.0100	11599	11977
12884902619	494	12884902893	0.0802	11598	11996
17179869681	8589935252	12884902893	-0.1290	11598	11984
12884902772	514	12884902893	-0.0681	11597	11984
17179870054	509	12884902893	-0.0384	11596	11945
