# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	19101.1602	0.1648	14001	0.4000	0,3,3	0.5000	15
967	13267.9238	-0.2489	13950	0.4000	3,3,0	0.5000	60
506	20044.5762	0.0937	14001	0.4000	2,0,0	0.5000	32
505	8220.1855	-0.2410	14001	0.4000	3,3,1	0.5000	61
488	8633.3047	0.3555	14001	0.4000	2,1,0	0.5000	36
495	18959.3516	0.1508	14001	0.4000	1,0,2	0.5000	18
494	10667.4824	0.3728	14001	0.4000	1,1,1	0.5000	21
482	11659.9072	-0.2036	14001	0.4000	0,2,0	0.5000	8
514	15429.9209	0.4555	14001	0.4000	0,1,0	0.5000	4
8589935252	17914.9434	-0.0565	13750	0.4000	3,2,0	0.5000	56
509	12834.6543	0.0039	14001	0.4000	0,1,1	0.5000	5
498	21267.9492	0.4706	14001	0.4000	2,0,0	0.5000	32
8589935219	7933.0928	0.4514	13650	0.4000	0,2,3	0.5000	11
12884902893	15555.6006	0.4137	13600	0.4000	0,2,3	0.5000	11
4294968197	14332.7227	0.2979	13550	0.4000	3,3,2	0.5000	62
4294968009	8037.0879	0.4921	13450	0.4000	1,2,3	0.5000	27
12884902921	20142.5781	0.1270	12750	0.4000	3,0,2	0.5000	50
34359739131	13640.4170	-0.2244	12950	0.4000	0,3,1	0.5000	13
30064771861	11344.1738	0.3763	12800	0.4000	1,3,3	0.5000	31
38654706391	13424.8623	-0.2725	12050	0.4000	0,3,1	0.5000	13
8589935223	13215.4697	-0.2973	12400	0.4000	1,2,0	0.5000	24
21474837234	5165.2427	0.4937	12200	0.4000	2,1,0	0.5000	36
25769804409	7785.8232	0.4219	9400	0.4000	2,0,1	0.5000	33
12884902730	16142.3203	-0.1867	11900	0.4000	1,2,0	0.5000	24
21474837533	13004.3770	-0.0079	10500	0.4000	3,0,2	0.5000	50
12884902843	9116.3613	-0.0790	11700	0.4000	0,1,2	0.5000	6
4294968249	6177.4326	0.2581	11650	0.4000	1,3,1	0.5000	29
4294968288	5243.3828	-0.2626	11600	0.4000	0,1,1	0.5000	5
8589935456	15267.5234	0.0730	11500	0.4000	1,3,1	0.5000	29
8589935165	12296.6367	0.3355	11450	0.4000	0,2,0	0.5000	8
21474837170	11331.1885	0.3131	9500	0.4000	0,1,2	0.5000	6
1091	11398.4043	0.1600	11100	0.4000	2,1,1	0.5000	37
17179869771	9941.0586	0.4508	9300	0.4000	2,1,2	0.5000	38
21474837534	3962.2891	0.1496	9250	0.4000	2,2,2	0.5000	42
68719477384	4501.6484	-0.1189	7550	0.4000	0,3,1	0.5000	13
30064771608	10705.6582	0.3366	9150	0.4000	2,0,1	0.5000	33
8589935842	8451.1504	-0.0693	8000	0.4000	2,1,1	0.5000	37
21474837738	4930.5493	0.4865	6350	0.4000	3,0,1	0.5000	49
17179870522	2208.7119	0.2654	6900	0.4000	0,1,0	0.5000	4
21474837884	4067.9004	-0.2404	5200	0.4000	3,2,2	0.5000	58
51539608806	5238.0752	0.3366	5300	0.4000	3,2,2	0.5000	58
64424510890	2106.7695	-0.0598	3250	0.4000	0,1,3	0.5000	7
17179870595	2435.1641	-0.0401	4600	0.4000	1,0,2	0.5000	18
133143987415	1565.6376	-0.2900	1950	0.4000	3,1,2	0.5000	54
12884903467	1853.8547	0.1428	2950	0.4000	0,0,0	0.5000	0
30064772614	975.0479	0.4335	2050	0.4000	0,3,3	0.5000	15
4294969182	135.8944	0.0644	550	0.4000	2,0,3	0.5000	35
1746	227.3500	0.4134	1150	0.4000	3,1,3	0.5000	55
17179870871	719.5151	0.3175	1300	0.4000	1,1,2	0.5000	22
17179871032	69.7844	0.1403	50	0.4000	0,1,0	0.5000	4
30064772753	83.9357	0.3461	950	0.4000	2,3,0	0.5000	44
17179871105	59.6071	0.3244	250	0.4000	2,1,3	0.5000	39
25769805612	66.7444	-0.2974	100	0.4000	3,3,3	0.5000	63

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.2216	13910	13836
4294967787	514	967	-0.2038	13865	13687
8589935095	505	8589935252	-0.3341	13746	13924
4294968004	482	505	-0.1515	13883	13717
12884902462	506	8589935252	-0.4132	13747	13961
8589935244	967	8589935252	-0.1619	13747	13975
775	509	514	0.5502	13981	13998
4294968264	495	509	-0.1940	13924	13904
782	495	505	0.0147	13980	13983
8589935411	509	8589935252	-0.1926	13749	13978
4294968055	501	506	-0.2053	13931	13872
768	505	514	0.8188	13983	13955
988	501	967	0.0701	13946	13899
4294967983	488	494	-0.4705	13977	13944
812	494	505	-0.3302	13975	13985
530	505	509	-0.2393	14000	13895
4294967772	494	967	-0.2036	13939	13674
8589935563	498	8589935219	0.8910	13637	13998
919	501	509	0.0030	13958	13758
4294967798	495	967	-0.3121	13893	13836
8589935347	8589935219	8589935252	-0.2231	13641	13908
888	482	495	0.9704	13965	13985
970	488	514	-0.3778	13949	13943
4294968282	501	505	-0.2316	13908	13865
12884902597	501	8589935219	-0.4410	13642	13989
4294968136	500	967	-0.0000	13913	87
981	482	967	-0.4806	13947	13987
904	482	501	-0.3429	13963	13995
543	495	514	-0.3584	13999	13934
934	494	506	-0.2484	13956	13877
822	488	505	-0.2758	13974	13971
702	482	506	0.9379	13988	13968
914	483	505	-0.0000	13962	38
869	494	514	-0.2285	13968	13874
710	495	501	-0.3805	13988	13928
835	498	509	-0.2459	13973	13914
1017	476	498	-0.0000	13940	60
4294968128	495	498	0.9212	13937	13959
4294968158	488	506	-0.0161	13961	13958
695	501	514	0.1961	13989	13750
1030	488	967	-0.2161	13925	13900
705	482	494	-0.3259	13988	13804
672	506	509	0.7236	13991	13989
4294967795	494	509	0.2647	13871	13965
734	494	501	-0.4110	13986	13954
581	482	509	-0.2055	13997	13985
1026	505	967	0.0690	13927	13973
4294968225	482	514	-0.4538	13939	13954
563	488	509	-0.2697	13998	13967
4294967977	506	514	-0.2094	13960	13933
960	498	501	-0.3319	13951	13945
642	488	495	-0.5317	13993	13946
641	494	495	-0.3652	13993	13999
4294968145	488	498	0.3415	13920	13982
881	482	488	-0.5329	13966	13922
4294967861	505	506	-0.1595	13930	13968
1014	498	967	-0.1384	13941	13855
1013	498	514	0.0235	13941	13942
4294967803	482	498	0.1690	13909	13998
8589935285	506	967	-0.3444	13918	13938
885	498	506	0.8554	13966	13922
4294968238	488	501	-0.2870	13915	13957
4294968294	509	967	-0.2551	13921	13942
697	498	505	-0.4637	13989	14000
579	495	506	0.4765	13997	13962
8589935611	494	8589935219	-0.1036	13643	13856
12884902572	482	8589935219	-0.3987	13643	13817
12884902400	509	8589935219	-0.1518	13647	13820
8589935260	501	8589935252	0.0219	13700	13867
8589935100	514	8589935252	0.1362	13716	13996
17179870157	495	8589935252	-0.2536	13725	13809
8589935419	482	8589935252	-0.1957	13727	13952
12884902369	494	8589935252	0.9782	13738	13989
17179869842	498	8589935252	-0.2485	13739	13812
12884902895	488	8589935252	-0.4015	13739	13967
8589935457	488	8589935219	-0.4172	13648	13868
8589935124	514	8589935219	-0.4048	13649	13912
17179869664	506	8589935219	-0.4554	13621	13967
12884902899	967	8589935219	-0.4872	13612	13815
17179870107	495	8589935219	-0.2522	13611	13992
17179869849	495	12884902893	-0.3178	13599	13984
12884902619	494	12884902893	-0.1960	13598	13825
17179869681	8589935252	12884902893	0.6457	13598	13967
12884902772	514	12884902893	-0.0175	13597	13932
17179870054	509	12884902893	0.0798	13596	13941
12884902636	506	12884902893	0.1586	13592	13934
12884902447	8589935219	12884902893	-0.2828	13591	13843
12884902595	488	12884902893	-0.4717	13591	13948
17179869774	967	12884902893	-0.3383	13589	13959
12884902706	501	12884902893	-0.4123	13583	13983
4294967823	498	12884902893	0.9782	13576	13989
4294968233	505	12884902893	-0.1114	13575	13982
4294968089	482	12884902893	-0.1750	13574	13884
4294968157	514	4294968197	0.9861	13549	13993
4294967893	506	4294968197	-0.2062	13547	13822
4294968062	967	4294968197	-0.1087	13545	13815
4294968179	488	4294968197	-0.4345	13542	13969
8589935096	4294968197	8589935219	-0.4168	13540	13982
4294967952	494	4294968197	-0.0914	13539	13701
4294968223	4294968197	12884902893	0.9980	13538	13999
4294968295	482	4294968197	0.0350	13537	13892
4294968246	498	4294968197	-0.2744	13535	13942
4294968221	505	4294968197	0.1528	13519	13982
4294967817	4294968197	8589935252	-0.1602	13508	13888
8589935070	505	8589935219	0.1836	13498	13892
4294967955	494	4294968009	-0.3179	13426	13907
8589935259	967	4294968009	-0.3524	13430	13911
4294968129	495	4294968197	-0.1605	13497	13911
4294967899	501	4294968197	-0.3770	13497	13955
4294967812	4294968009	8589935219	-0.0723	13432	13923
4294967841	505	4294968009	-0.2880	13437	13862
4294967848	488	4294968009	-0.1892	13437	13752
4294968113	501	4294968009	-0.3466	13439	13996
4294967867	509	4294968197	0.8919	13491	13998
4294968126	4294968009	4294968197	0.0704	13443	13940
4294967967	482	4294968009	-0.2884	13443	13903
8589935146	495	4294968009	-0.3582	13443	13844
4294968038	4294968009	12884902893	0.5066	13446	13989
8589935354	506	4294968009	-0.2167	13449	13978
8589935102	509	4294968009	-0.0196	13414	13934
8589935199	514	4294968009	-0.2945	13412	13991
8589935203	498	4294968009	-0.2183	13406	13917
