# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	19402.1602	0.1648	16001	0.4000	0,3,3	0.5000	15
967	13692.9238	-0.2489	15950	0.4000	3,3,0	0.5000	60
506	23307.5762	0.0937	16001	0.4000	2,0,0	0.5000	32
505	10160.1855	-0.2410	16001	0.4000	3,3,1	0.5000	61
488	9714.3047	0.3555	16001	0.4000	2,1,0	0.5000	36
495	20168.3516	0.1508	16001	0.4000	1,0,2	0.5000	18
494	11316.4824	0.3728	16001	0.4000	1,1,1	0.5000	21
482	12653.9072	-0.2036	16001	0.4000	0,2,0	0.5000	8
514	18695.9219	0.4555	16001	0.4000	0,1,0	0.5000	4
8589935252	18576.9434	-0.0565	15750	0.4000	3,2,0	0.5000	56
509	13497.6543	0.0039	16001	0.4000	0,1,1	0.5000	5
498	23002.9492	0.4706	16001	0.4000	2,0,0	0.5000	32
8589935219	8220.0928	0.4514	15650	0.4000	0,2,3	0.5000	11
12884902893	18740.6016	0.4137	15600	0.4000	0,2,3	0.5000	11
4294968197	15014.7227	0.2979	15550	0.4000	3,3,2	0.5000	62
4294968009	8551.0879	0.4921	15450	0.4000	1,2,3	0.5000	27
12884902921	23549.5781	0.1270	14750	0.4000	3,0,2	0.5000	50
34359739131	15258.4170	-0.2244	14950	0.4000	0,3,1	0.5000	13
30064771861	11943.1738	0.3763	14800	0.4000	1,3,3	0.5000	31
38654706391	15250.8623	-0.2725	14050	0.4000	0,3,1	0.5000	13
8589935223	15348.4697	-0.2973	14400	0.4000	1,2,0	0.5000	24
21474837234	5987.2427	0.4937	14200	0.4000	2,1,0	0.5000	36
25769804409	10218.8232	0.4219	11400	0.4000	2,0,1	0.5000	33
12884902730	17230.3203	-0.1867	13900	0.4000	1,2,0	0.5000	24
21474837533	14147.3770	-0.0079	12500	0.4000	3,0,2	0.5000	50
12884902843	10915.3613	-0.0790	13700	0.4000	0,1,2	0.5000	6
4294968249	6160.4326	0.2581	13650	0.4000	1,3,1	0.5000	29
4294968288	6356.3828	-0.2626	13600	0.4000	0,1,1	0.5000	5
8589935456	16510.5234	0.0730	13500	0.4000	1,3,1	0.5000	29
8589935165	15257.6367	0.3355	13450	0.4000	0,2,0	0.5000	8
21474837170	11896.1885	0.3131	11500	0.4000	0,1,2	0.5000	6
1091	11707.4043	0.1600	13100	0.4000	2,1,1	0.5000	37
17179869771	10286.0586	0.4508	11300	0.4000	2,1,2	0.5000	38
21474837534	4317.2891	0.1496	11250	0.4000	2,2,2	0.5000	42
68719477384	5049.6484	-0.1189	9550	0.4000	0,3,1	0.5000	13
30064771608	12108.6582	0.3366	11150	0.4000	2,0,1	0.5000	33
8589935842	8657.1504	-0.0693	10000	0.4000	2,1,1	0.5000	37
21474837738	6007.5493	0.4865	8350	0.4000	3,0,1	0.5000	49
17179870522	1821.7119	0.2654	8900	0.4000	0,1,0	0.5000	4
21474837884	3837.9004	-0.2404	7200	0.4000	3,2,2	0.5000	58
51539608806	5998.0752	0.3366	7300	0.4000	3,2,2	0.5000	58
64424510890	2072.7695	-0.0598	5250	0.4000	0,1,3	0.5000	7
17179870595	1285.1641	-0.0401	6600	0.4000	1,0,2	0.5000	18
133143987415	2930.6377	-0.2900	3950	0.4000	3,1,2	0.5000	54
12884903467	2640.8547	0.1428	4950	0.4000	0,0,0	0.5000	0
30064772614	1209.0479	0.4335	4050	0.4000	0,3,3	0.5000	15
4294969182	1614.8944	0.0644	2550	0.4000	2,0,3	0.5000	35
1746	951.3500	0.4134	3150	0.4000	3,1,3	0.5000	55
17179870871	2711.5151	0.3175	3300	0.4000	1,1,2	0.5000	22
141733922280	39.4533	0.0539	350	0.4000	0,0,2	0.5000	2
30064772753	1889.9358	0.3461	2950	0.4000	2,3,0	0.5000	44
73014445970	92.1851	0.0830	100	0.4000	0,1,2	0.5000	6
81604380459	17.0873	0.1894	150	0.4000	3,1,0	0.5000	52
77309413243	52.4019	0.4665	50	0.4000	3,2,3	0.5000	59

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.2694	15910	15853
4294967787	514	967	-0.0791	15865	15766
8589935095	505	8589935252	-0.2879	15746	15933
4294968004	482	505	-0.0305	15883	15861
12884902462	506	8589935252	-0.2135	15747	15890
8589935244	967	8589935252	-0.4414	15747	15901
775	509	514	0.8387	15981	15967
4294968264	495	509	-0.2073	15924	15978
782	495	505	-0.1666	15980	15871
8589935411	509	8589935252	0.3253	15749	15973
4294968055	501	506	-0.2281	15931	15763
768	505	514	0.3797	15983	15935
988	501	967	-0.5479	15946	15994
4294967983	488	494	-0.2697	15977	15853
812	494	505	-0.2238	15975	15935
530	505	509	-0.3338	16000	15976
4294967772	494	967	-0.3238	15939	15926
8589935563	498	8589935219	0.8426	15637	15986
919	501	509	-0.1937	15958	15924
4294967798	495	967	-0.1674	15893	16000
8589935347	8589935219	8589935252	-0.1263	15641	15777
888	482	495	-0.3189	15965	15889
970	488	514	-0.2098	15949	15736
4294968282	501	505	-0.2498	15908	15979
12884902597	501	8589935219	-0.3452	15642	15959
4294968136	500	967	-0.0000	15913	87
981	482	967	-0.0601	15947	15976
904	482	501	0.5039	15963	15925
543	495	514	0.0314	15999	15899
934	494	506	-0.4297	15956	15960
822	488	505	-0.6120	15974	15999
702	482	506	-0.0834	15988	15958
914	483	505	-0.0000	15962	38
869	494	514	-0.3819	15968	15893
710	495	501	-0.2570	15988	15939
835	498	509	0.2021	15973	15988
1017	476	498	-0.0000	15940	60
4294968128	495	498	-0.2137	15937	15868
4294968158	488	506	-0.2898	15961	15900
695	501	514	-0.2380	15989	15628
1030	488	967	0.0160	15925	15946
705	482	494	-0.3807	15988	15997
672	506	509	0.2862	15991	15860
4294967795	494	509	0.0152	15871	15901
734	494	501	-0.2036	15986	15744
581	482	509	-0.2570	15997	15938
1026	505	967	-0.0844	15927	15961
4294968225	482	514	-0.2426	15939	15911
563	488	509	0.0303	15998	15923
4294967977	506	514	-0.4418	15960	15983
960	498	501	-0.0981	15951	15832
642	488	495	-0.3945	15993	15857
641	494	495	-0.3013	15993	15837
4294968145	488	498	-0.4052	15920	15924
881	482	488	-0.4029	15966	15929
4294967861	505	506	0.0888	15930	15922
1014	498	967	-0.1881	15941	15602
1013	498	514	0.3117	15941	15977
4294967803	482	498	-0.0435	15909	15975
8589935285	506	967	0.2131	15918	15904
885	498	506	0.2216	15966	15979
4294968238	488	501	-0.2571	15915	15795
4294968294	509	967	0.1348	15921	15934
697	498	505	-0.0947	15989	15993
579	495	506	-0.1524	15997	15627
8589935611	494	8589935219	-0.0597	15643	15670
12884902572	482	8589935219	-0.4435	15643	15907
12884902400	509	8589935219	-0.3586	15647	15996
8589935260	501	8589935252	-0.3041	15700	15961
8589935100	514	8589935252	-0.3877	15716	15912
17179870157	495	8589935252	-0.3089	15725	15922
8589935419	482	8589935252	-0.4001	15727	15861
12884902369	494	8589935252	-0.0828	15738	15996
17179869842	498	8589935252	-0.0434	15739	15938
12884902895	488	8589935252	-0.1292	15739	15942
8589935457	488	8589935219	-0.3482	15648	15888
8589935124	514	8589935219	-0.1097	15649	15987
17179869664	506	8589935219	-0.4151	15621	15983
12884902899	967	8589935219	-0.1034	15612	15939
17179870107	495	8589935219	-0.2080	15611	15610
17179869849	495	12884902893	-0.1803	15599	15864
12884902619	494	12884902893	-0.3506	15598	15934
17179869681	8589935252	12884902893	0.0883	15598	15910
12884902772	514	12884902893	0.1090	15597	15934
17179870054	509	12884902893	-0.1694	15596	15827
12884902636	506	12884902893	0.6600	15592	15995
12884902447	8589935219	12884902893	-0.1499	15591	15863
12884902595	488	12884902893	-0.3441	15591	15981
17179869774	967	12884902893	-0.1589	15589	15791
12884902706	501	12884902893	-0.2181	15583	15998
4294967823	498	12884902893	0.5914	15576	16000
4294968233	505	12884902893	-0.3505	15575	15950
4294968089	482	12884902893	-0.2467	15574	15739
4294968157	514	4294968197	0.1349	15549	15956
4294967893	506	4294968197	0.0423	15547	15999
4294968062	967	4294968197	0.4940	15545	15984
4294968179	488	4294968197	-0.1121	15542	15871
