# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	19793.1602	0.1648	18001	0.4000	0,3,3	0.5000	15
967	15033.9238	-0.2489	17950	0.4000	3,3,0	0.5000	60
506	26848.5762	0.0937	18001	0.4000	2,0,0	0.5000	32
505	11735.1855	-0.2410	18001	0.4000	3,3,1	0.5000	61
488	10267.3047	0.3555	18001	0.4000	2,1,0	0.5000	36
495	22423.3516	0.1508	18001	0.4000	1,0,2	0.5000	18
494	10979.4824	0.3728	18001	0.4000	1,1,1	0.5000	21
482	15059.9072	-0.2036	18001	0.4000	0,2,0	0.5000	8
514	19683.9219	0.4555	18001	0.4000	0,1,0	0.5000	4
8589935252	19638.9434	-0.0565	17750	0.4000	3,2,0	0.5000	56
509	13597.6543	0.0039	18001	0.4000	0,1,1	0.5000	5
498	23496.9492	0.4706	18001	0.4000	2,0,0	0.5000	32
8589935219	9161.0928	0.4514	17650	0.4000	0,2,3	0.5000	11
12884902893	20485.6016	0.4137	17600	0.4000	0,2,3	0.5000	11
4294968197	15404.7227	0.2979	17550	0.4000	3,3,2	0.5000	62
4294968009	9354.0879	0.4921	17450	0.4000	1,2,3	0.5000	27
12884902921	25492.5781	0.1270	16750	0.4000	3,0,2	0.5000	50
34359739131	16173.4170	-0.2244	16950	0.4000	0,3,1	0.5000	13
30064771861	13014.1738	0.3763	16800	0.4000	1,3,3	0.5000	31
38654706391	15430.8623	-0.2725	16050	0.4000	0,3,1	0.5000	13
8589935223	18270.4688	-0.2973	16400	0.4000	1,2,0	0.5000	24
21474837234	6143.2427	0.4937	16200	0.4000	2,1,0	0.5000	36
25769804409	11441.8232	0.4219	13400	0.4000	2,0,1	0.5000	33
12884902730	18556.3203	-0.1867	15900	0.4000	1,2,0	0.5000	24
21474837533	16754.3770	-0.0079	14500	0.4000	3,0,2	0.5000	50
12884902843	12581.3613	-0.0790	15700	0.4000	0,1,2	0.5000	6
4294968249	6307.4326	0.2581	15650	0.4000	1,3,1	0.5000	29
4294968288	6743.3828	-0.2626	15600	0.4000	0,1,1	0.5000	5
8589935456	18422.5234	0.0730	15500	0.4000	1,3,1	0.5000	29
8589935165	17796.6367	0.3355	15450	0.4000	0,2,0	0.5000	8
21474837170	11736.1885	0.3131	13500	0.4000	0,1,2	0.5000	6
1091	14017.4043	0.1600	15100	0.4000	2,1,1	0.5000	37
17179869771	12381.0586	0.4508	13300	0.4000	2,1,2	0.5000	38
21474837534	4322.2891	0.1496	13250	0.4000	2,2,2	0.5000	42
68719477384	6888.6484	-0.1189	11550	0.4000	0,3,1	0.5000	13
30064771608	13302.6582	0.3366	13150	0.4000	2,0,1	0.5000	33
8589935842	9733.1504	-0.0693	12000	0.4000	2,1,1	0.5000	37
21474837738	7328.5493	0.4865	10350	0.4000	3,0,1	0.5000	49
17179870522	3442.7119	0.2654	10900	0.4000	0,1,0	0.5000	4
21474837884	4163.9004	-0.2404	9200	0.4000	3,2,2	0.5000	58
51539608806	6993.0752	0.3366	9300	0.4000	3,2,2	0.5000	58
64424510890	1791.7695	-0.0598	7250	0.4000	0,1,3	0.5000	7
17179870595	686.1641	-0.0401	8600	0.4000	1,0,2	0.5000	18
133143987415	4226.6377	-0.2900	5950	0.4000	3,1,2	0.5000	54
12884903467	4693.8545	0.1428	6950	0.4000	0,0,0	0.5000	0
30064772614	1645.0479	0.4335	6050	0.4000	0,3,3	0.5000	15
4294969182	3929.8945	0.0644	4550	0.4000	2,0,3	0.5000	35
1746	1407.3500	0.4134	5150	0.4000	3,1,3	0.5000	55
17179870871	1846.5151	0.3175	5300	0.4000	1,1,2	0.5000	22
73014445970	643.1851	0.0830	2100	0.4000	0,1,2	0.5000	6
30064772753	4845.9355	0.3461	4950	0.4000	2,3,0	0.5000	44
21474838482	119.2535	-0.1966	50	0.4000	2,2,2	0.5000	42
42949674953	229.1904	-0.0520	600	0.4000	2,2,0	0.5000	40
115964118828	41.6300	-0.1706	100	0.4000	0,0,2	0.5000	2

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.2782	17910	17904
4294967787	514	967	-0.2809	17865	17690
8589935095	505	8589935252	-0.4268	17746	17854
4294968004	482	505	-0.0782	17883	17536
12884902462	506	8589935252	-0.0178	17747	17937
8589935244	967	8589935252	-0.4402	17747	17950
775	509	514	0.9900	17981	17995
4294968264	495	509	-0.2618	17924	17733
782	495	505	-0.2883	17980	17945
8589935411	509	8589935252	-0.4456	17749	17899
4294968055	501	506	-0.3022	17931	17853
768	505	514	-0.3091	17983	17973
988	501	967	-0.1284	17946	17630
4294967983	488	494	-0.0108	17977	17989
812	494	505	-0.4431	17975	17983
530	505	509	-0.0513	18000	17939
4294967772	494	967	-0.2741	17939	17899
8589935563	498	8589935219	0.9960	17637	17998
919	501	509	-0.1755	17958	17938
4294967798	495	967	-0.1061	17893	17833
8589935347	8589935219	8589935252	-0.3263	17641	17970
888	482	495	0.0804	17965	17976
970	488	514	-0.3264	17949	17949
4294968282	501	505	-0.4805	17908	17985
12884902597	501	8589935219	-0.2843	17642	17919
4294968136	500	967	-0.0000	17913	87
981	482	967	0.9685	17947	17984
904	482	501	0.9861	17963	17993
543	495	514	-0.3174	17999	17967
934	494	506	-0.4608	17956	17979
822	488	505	-0.4938	17974	17961
702	482	506	-0.3497	17988	17942
914	483	505	-0.0000	17962	38
869	494	514	-0.1595	17968	17444
710	495	501	-0.3994	17988	17820
835	498	509	-0.3624	17973	17951
1017	476	498	-0.0000	17940	60
4294968128	495	498	-0.0440	17937	17996
4294968158	488	506	-0.2447	17961	17842
695	501	514	-0.3213	17989	17944
1030	488	967	-0.3394	17925	17926
705	482	494	-0.1831	17988	17980
672	506	509	-0.5348	17991	17945
4294967795	494	509	-0.1439	17871	17928
734	494	501	-0.2005	17986	17924
581	482	509	-0.2626	17997	17950
1026	505	967	-0.2369	17927	17906
4294968225	482	514	-0.1920	17939	17895
563	488	509	-0.4931	17998	18000
4294967977	506	514	-0.5489	17960	17972
960	498	501	-0.2171	17951	17937
642	488	495	-0.3892	17993	17894
641	494	495	-0.0857	17993	17878
4294968145	488	498	-0.4913	17920	17987
881	482	488	-0.2907	17966	17961
4294967861	505	506	-0.2866	17930	17995
1014	498	967	-0.1381	17941	17943
1013	498	514	-0.2864	17941	17952
4294967803	482	498	-0.2109	17909	17975
8589935285	506	967	-0.3027	17918	17917
885	498	506	-0.2660	17966	17932
4294968238	488	501	-0.3137	17915	17907
4294968294	509	967	0.2322	17921	17954
697	498	505	-0.3507	17989	17852
579	495	506	0.1421	17997	17929
8589935611	494	8589935219	-0.4568	17643	17935
12884902572	482	8589935219	-0.2392	17643	17808
12884902400	509	8589935219	-0.3119	17647	17916
8589935260	501	8589935252	-0.2181	17700	17938
8589935100	514	8589935252	-0.2862	17716	17757
17179870157	495	8589935252	-0.2571	17725	17922
8589935419	482	8589935252	0.8398	17727	17981
12884902369	494	8589935252	-0.1394	17738	17897
17179869842	498	8589935252	-0.1828	17739	17980
12884902895	488	8589935252	-0.1925	17739	17805
8589935457	488	8589935219	-0.1408	17648	17892
8589935124	514	8589935219	0.8708	17649	17998
17179869664	506	8589935219	-0.3222	17621	17963
12884902899	967	8589935219	0.9531	17612	17976
17179870107	495	8589935219	-0.3546	17611	17981
17179869849	495	12884902893	-0.0250	17599	17816
12884902619	494	12884902893	-0.3706	17598	17977
17179869681	8589935252	12884902893	-0.3524	17598	17865
12884902772	514	12884902893	-0.0869	17597	17592
17179870054	509	12884902893	-0.2864	17596	17821
12884902636	506	12884902893	0.5322	17592	17947
12884902447	8589935219	12884902893	-0.3538	17591	17847
12884902595	488	12884902893	-0.2767	17591	17936
17179869774	967	12884902893	-0.5048	17589	17983
12884902706	501	12884902893	0.2918	17583	18000
4294967823	498	12884902893	0.8887	17576	17997
4294968233	505	12884902893	-0.4401	17575	17984
4294968089	482	12884902893	-0.3574	17574	17911
4294968157	514	4294968197	0.3825	17549	17999
4294967893	506	4294968197	-0.3220	17547	17935
4294968062	967	4294968197	-0.3578	17545	17949
4294968179	488	4294968197	-0.2920	17542	17928
