# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	21292.1602	0.1648	20001	0.4000	0,3,3	0.5000	15
967	15842.9238	-0.2489	19950	0.4000	3,3,0	0.5000	60
506	28145.5762	0.0937	20001	0.4000	2,0,0	0.5000	32
505	13115.1855	-0.2410	20001	0.4000	3,3,1	0.5000	61
488	10117.3047	0.3555	20001	0.4000	2,1,0	0.5000	36
495	24804.3516	0.1508	20001	0.4000	1,0,2	0.5000	18
494	11034.4824	0.3728	20001	0.4000	1,1,1	0.5000	21
482	17334.9062	-0.2036	20001	0.4000	0,2,0	0.5000	8
514	20197.9219	0.4555	20001	0.4000	0,1,0	0.5000	4
8589935252	21668.9434	-0.0565	19750	0.4000	3,2,0	0.5000	56
509	13785.6543	0.0039	20001	0.4000	0,1,1	0.5000	5
498	24238.9492	0.4706	20001	0.4000	2,0,0	0.5000	32
8589935219	10299.0928	0.4514	19650	0.4000	0,2,3	0.5000	11
12884902893	21358.6016	0.4137	19600	0.4000	0,2,3	0.5000	11
4294968197	15493.7227	0.2979	19550	0.4000	3,3,2	0.5000	62
4294968009	8998.0879	0.4921	19450	0.4000	1,2,3	0.5000	27
12884902921	26031.5781	0.1270	18750	0.4000	3,0,2	0.5000	50
34359739131	16446.4180	-0.2244	18950	0.4000	0,3,1	0.5000	13
30064771861	14076.1738	0.3763	18800	0.4000	1,3,3	0.5000	31
38654706391	14716.8623	-0.2725	18050	0.4000	0,3,1	0.5000	13
8589935223	20409.4688	-0.2973	18400	0.4000	1,2,0	0.5000	24
21474837234	7629.2427	0.4937	18200	0.4000	2,1,0	0.5000	36
25769804409	12504.8232	0.4219	15400	0.4000	2,0,1	0.5000	33
12884902730	20355.3203	-0.1867	17900	0.4000	1,2,0	0.5000	24
21474837533	17141.3770	-0.0079	16500	0.4000	3,0,2	0.5000	50
12884902843	15456.3613	-0.0790	17700	0.4000	0,1,2	0.5000	6
4294968249	8315.4326	0.2581	17650	0.4000	1,3,1	0.5000	29
4294968288	7822.3828	-0.2626	17600	0.4000	0,1,1	0.5000	5
8589935456	20931.5234	0.0730	17500	0.4000	1,3,1	0.5000	29
8589935165	18865.6367	0.3355	17450	0.4000	0,2,0	0.5000	8
21474837170	14049.1885	0.3131	15500	0.4000	0,1,2	0.5000	6
1091	14756.4043	0.1600	17100	0.4000	2,1,1	0.5000	37
17179869771	14074.0586	0.4508	15300	0.4000	2,1,2	0.5000	38
21474837534	3797.2891	0.1496	15250	0.4000	2,2,2	0.5000	42
68719477384	8095.6484	-0.1189	13550	0.4000	0,3,1	0.5000	13
30064771608	14447.6582	0.3366	15150	0.4000	2,0,1	0.5000	33
8589935842	11582.1504	-0.0693	14000	0.4000	2,1,1	0.5000	37
21474837738	9050.5488	0.4865	12350	0.4000	3,0,1	0.5000	49
17179870522	2602.7119	0.2654	12900	0.4000	0,1,0	0.5000	4
21474837884	4227.9004	-0.2404	11200	0.4000	3,2,2	0.5000	58
51539608806	8121.0752	0.3366	11300	0.4000	3,2,2	0.5000	58
64424510890	3033.7695	-0.0598	9250	0.4000	0,1,3	0.5000	7
154618824445	44.0284	0.0851	500	0.4000	3,1,1	0.5000	53
133143987415	6057.6377	-0.2900	7950	0.4000	3,1,2	0.5000	54
12884903467	6162.8545	0.1428	8950	0.4000	0,0,0	0.5000	0
30064772614	1532.0479	0.4335	8050	0.4000	0,3,3	0.5000	15
4294969182	3821.8945	0.0644	6550	0.4000	2,0,3	0.5000	35
1746	1562.3500	0.4134	7150	0.4000	3,1,3	0.5000	55
17179870871	789.5151	0.3175	7300	0.4000	1,1,2	0.5000	22
73014445970	2322.1851	0.0830	4100	0.4000	0,1,2	0.5000	6
30064772753	6307.9355	0.3461	6950	0.4000	2,3,0	0.5000	44
42949674953	2141.1904	-0.0520	2600	0.4000	2,2,0	0.5000	40
47244642316	15.8602	0.0003	150	0.4000	2,0,2	0.5000	34

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.7482	19910	19999
4294967787	514	967	-0.4886	19865	19902
8589935095	505	8589935252	-0.0922	19746	19810
4294968004	482	505	-0.2109	19883	19938
12884902462	506	8589935252	-0.2235	19747	19944
8589935244	967	8589935252	-0.1836	19747	19779
775	509	514	-0.0745	19981	19891
4294968264	495	509	-0.1553	19924	19876
782	495	505	-0.5345	19980	19959
8589935411	509	8589935252	-0.0738	19749	19890
4294968055	501	506	0.0915	19931	19933
768	505	514	0.5432	19983	20000
988	501	967	-0.1697	19946	19711
4294967983	488	494	-0.3532	19977	19853
812	494	505	-0.2196	19975	19981
530	505	509	-0.3664	20000	19989
4294967772	494	967	-0.4389	19939	19967
8589935563	498	8589935219	0.0796	19637	19932
919	501	509	-0.4322	19958	19904
4294967798	495	967	-0.2486	19893	19910
8589935347	8589935219	8589935252	-0.2417	19641	19915
888	482	495	-0.1221	19965	19576
970	488	514	-0.3128	19949	19649
4294968282	501	505	-0.3099	19908	19950
12884902597	501	8589935219	-0.4342	19642	19991
4294968136	500	967	-0.0000	19913	87
981	482	967	-0.4818	19947	19883
904	482	501	0.6004	19963	19970
543	495	514	-0.0689	19999	19969
934	494	506	-0.3144	19956	19865
822	488	505	-0.3410	19974	19860
702	482	506	-0.0969	19988	19994
914	483	505	-0.0000	19962	38
869	494	514	-0.4310	19968	19951
710	495	501	-0.2134	19988	19820
835	498	509	-0.3236	19973	19970
1017	476	498	-0.0000	19940	60
4294968128	495	498	0.0138	19937	19939
4294968158	488	506	-0.2094	19961	19622
695	501	514	-0.0681	19989	19683
1030	488	967	-0.1718	19925	19945
705	482	494	0.7229	19988	19975
672	506	509	0.9035	19991	19982
4294967795	494	509	-0.3363	19871	19873
734	494	501	-0.1578	19986	19659
581	482	509	-0.0888	19997	19987
1026	505	967	-0.0511	19927	19920
4294968225	482	514	-0.5822	19939	19995
563	488	509	0.9841	19998	19992
4294967977	506	514	-0.3288	19960	19992
960	498	501	0.0212	19951	19812
642	488	495	-0.4695	19993	19994
641	494	495	-0.2643	19993	19776
4294968145	488	498	-0.3656	19920	19998
881	482	488	-0.1420	19966	19654
4294967861	505	506	-0.1090	19930	19596
1014	498	967	0.4903	19941	19980
1013	498	514	-0.3215	19941	19868
4294967803	482	498	-0.4717	19909	19988
8589935285	506	967	-0.2919	19918	19969
885	498	506	-0.4223	19966	19999
4294968238	488	501	-0.2768	19915	19974
4294968294	509	967	0.8190	19921	19954
697	498	505	-0.2392	19989	19992
579	495	506	-0.2092	19997	19897
8589935611	494	8589935219	-0.3094	19643	19867
12884902572	482	8589935219	-0.0514	19643	19379
12884902400	509	8589935219	0.0203	19647	19985
8589935260	501	8589935252	-0.0187	19700	19769
8589935100	514	8589935252	-0.3915	19716	19991
17179870157	495	8589935252	0.0024	19725	19705
8589935419	482	8589935252	0.1428	19727	19968
12884902369	494	8589935252	-0.2246	19738	19976
17179869842	498	8589935252	-0.1338	19739	19901
12884902895	488	8589935252	-0.2342	19739	19967
8589935457	488	8589935219	-0.3540	19648	19962
8589935124	514	8589935219	0.5276	19649	19958
17179869664	506	8589935219	-0.0673	19621	19786
12884902899	967	8589935219	-0.3488	19612	19995
17179870107	495	8589935219	-0.0191	19611	19968
17179869849	495	12884902893	-0.0751	19599	19973
12884902619	494	12884902893	-0.5177	19598	19925
17179869681	8589935252	12884902893	-0.2938	19598	19859
12884902772	514	12884902893	-0.3350	19597	19923
17179870054	509	12884902893	-0.3283	19596	19927
12884902636	506	12884902893	0.8833	19592	19994
12884902447	8589935219	12884902893	-0.2414	19591	19888
12884902595	488	12884902893	-0.3441	19591	19774
17179869774	967	12884902893	-0.4547	19589	19843
12884902706	501	12884902893	-0.2432	19583	19930
4294967823	498	12884902893	-0.2231	19576	19926
4294968233	505	12884902893	-0.3384	19575	19817
4294968089	482	12884902893	-0.1050	19574	19748
4294968157	514	4294968197	0.9704	19549	19985
4294967893	506	4294968197	-0.3075	19547	19759
4294968062	967	4294968197	-0.1713	19545	19826
