# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	22080.1602	0.1648	22001	0.4000	0,3,3	0.5000	15
967	15751.9238	-0.2489	21950	0.4000	3,3,0	0.5000	60
506	29487.5762	0.0937	22001	0.4000	2,0,0	0.5000	32
505	13934.1855	-0.2410	22001	0.4000	3,3,1	0.5000	61
488	10511.3047	0.3555	22001	0.4000	2,1,0	0.5000	36
495	25410.3516	0.1508	22001	0.4000	1,0,2	0.5000	18
494	9786.4824	0.3728	22001	0.4000	1,1,1	0.5000	21
482	17873.9062	-0.2036	22001	0.4000	0,2,0	0.5000	8
514	20429.9219	0.4555	22001	0.4000	0,1,0	0.5000	4
8589935252	23397.9434	-0.0565	21750	0.4000	3,2,0	0.5000	56
509	13841.6543	0.0039	22001	0.4000	0,1,1	0.5000	5
498	24998.9492	0.4706	22001	0.4000	2,0,0	0.5000	32
8589935219	11478.0928	0.4514	21650	0.4000	0,2,3	0.5000	11
12884902893	20990.6016	0.4137	21600	0.4000	0,2,3	0.5000	11
4294968197	16628.7227	0.2979	21550	0.4000	3,3,2	0.5000	62
4294968009	8067.0879	0.4921	21450	0.4000	1,2,3	0.5000	27
12884902921	27085.5781	0.1270	20750	0.4000	3,0,2	0.5000	50
34359739131	17762.4180	-0.2244	20950	0.4000	0,3,1	0.5000	13
30064771861	15726.1738	0.3763	20800	0.4000	1,3,3	0.5000	31
38654706391	13878.8623	-0.2725	20050	0.4000	0,3,1	0.5000	13
8589935223	19865.4688	-0.2973	20400	0.4000	1,2,0	0.5000	24
21474837234	9178.2422	0.4937	20200	0.4000	2,1,0	0.5000	36
25769804409	12867.8232	0.4219	17400	0.4000	2,0,1	0.5000	33
12884902730	21469.3203	-0.1867	19900	0.4000	1,2,0	0.5000	24
21474837533	15607.3770	-0.0079	18500	0.4000	3,0,2	0.5000	50
12884902843	18171.3613	-0.0790	19700	0.4000	0,1,2	0.5000	6
4294968249	10363.4326	0.2581	19650	0.4000	1,3,1	0.5000	29
4294968288	7743.3828	-0.2626	19600	0.4000	0,1,1	0.5000	5
8589935456	23116.5234	0.0730	19500	0.4000	1,3,1	0.5000	29
8589935165	19558.6367	0.3355	19450	0.4000	0,2,0	0.5000	8
21474837170	16036.1885	0.3131	17500	0.4000	0,1,2	0.5000	6
1091	14887.4043	0.1600	19100	0.4000	2,1,1	0.5000	37
17179869771	14562.0586	0.4508	17300	0.4000	2,1,2	0.5000	38
21474837534	4192.2891	0.1496	17250	0.4000	2,2,2	0.5000	42
68719477384	8728.6484	-0.1189	15550	0.4000	0,3,1	0.5000	13
30064771608	12356.6582	0.3366	17150	0.4000	2,0,1	0.5000	33
8589935842	12127.1504	-0.0693	16000	0.4000	2,1,1	0.5000	37
21474837738	9177.5488	0.4865	14350	0.4000	3,0,1	0.5000	49
17179870522	727.7119	0.2654	14900	0.4000	0,1,0	0.5000	4
21474837884	5821.9004	-0.2404	13200	0.4000	3,2,2	0.5000	58
51539608806	9248.0752	0.3366	13300	0.4000	3,2,2	0.5000	58
64424510890	2995.7695	-0.0598	11250	0.4000	0,1,3	0.5000	7
167503726220	66.6735	-0.2281	50	0.4000	2,2,0	0.5000	40
133143987415	9011.6377	-0.2900	9950	0.4000	3,1,2	0.5000	54
12884903467	7795.8545	0.1428	10950	0.4000	0,0,0	0.5000	0
30064772614	1937.0479	0.4335	10050	0.4000	0,3,3	0.5000	15
4294969182	3406.8945	0.0644	8550	0.4000	2,0,3	0.5000	35
1746	2269.3501	0.4134	9150	0.4000	3,1,3	0.5000	55
17179870871	673.5151	0.3175	9300	0.4000	1,1,2	0.5000	22
73014445970	4799.1851	0.0830	6100	0.4000	0,1,2	0.5000	6
30064772753	8535.9355	0.3461	8950	0.4000	2,3,0	0.5000	44
42949674953	4204.1904	-0.0520	4600	0.4000	2,2,0	0.5000	40
64424511608	11.2745	0.2919	750	0.4000	0,3,0	0.5000	12
42949675090	242.3111	-0.0583	100	0.4000	2,0,2	0.5000	34

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.3985	21910	21967
4294967787	514	967	-0.3276	21865	21874
8589935095	505	8589935252	0.0814	21746	21953
4294968004	482	505	-0.1855	21883	21986
12884902462	506	8589935252	-0.4994	21747	21987
8589935244	967	8589935252	-0.4438	21747	21995
775	509	514	-0.0730	21981	21906
4294968264	495	509	0.1864	21924	21960
782	495	505	-0.4593	21980	21918
8589935411	509	8589935252	0.4879	21749	21978
4294968055	501	506	-0.2708	21931	21948
768	505	514	-0.1125	21983	21901
988	501	967	-0.3098	21946	21846
4294967983	488	494	-0.3108	21977	21987
812	494	505	0.0163	21975	21985
530	505	509	-0.1925	22000	21877
4294967772	494	967	-0.3895	21939	21971
8589935563	498	8589935219	-0.6778	21637	21964
919	501	509	-0.1503	21958	21993
4294967798	495	967	0.6213	21893	21994
8589935347	8589935219	8589935252	-0.2390	21641	21825
888	482	495	-0.5083	21965	21946
970	488	514	-0.3960	21949	21997
4294968282	501	505	-0.1350	21908	21985
12884902597	501	8589935219	-0.2480	21642	21995
4294968136	500	967	-0.0000	21913	87
981	482	967	-0.2794	21947	21984
904	482	501	-0.2475	21963	21873
543	495	514	-0.1400	21999	21977
934	494	506	-0.3986	21956	21831
822	488	505	-0.4279	21974	21972
702	482	506	-0.4455	21988	21985
914	483	505	-0.0000	21962	38
869	494	514	-0.1476	21968	21925
710	495	501	-0.4885	21988	21924
835	498	509	-0.1189	21973	21890
1017	476	498	-0.0000	21940	60
4294968128	495	498	-0.0452	21937	21873
4294968158	488	506	-0.2648	21961	21811
695	501	514	-0.1228	21989	21901
1030	488	967	-0.2862	21925	21966
705	482	494	-0.3039	21988	21942
672	506	509	1.0000	21991	22000
4294967795	494	509	-0.2179	21871	21971
734	494	501	-0.4210	21986	21837
581	482	509	-0.3974	21997	21981
1026	505	967	-0.5061	21927	21993
4294968225	482	514	-0.2769	21939	21796
563	488	509	0.6617	21998	21978
4294967977	506	514	-0.3339	21960	21984
960	498	501	-0.1454	21951	21985
642	488	495	-0.2720	21993	21567
641	494	495	-0.2817	21993	21920
4294968145	488	498	-0.4410	21920	21987
881	482	488	-0.0535	21966	21905
4294967861	505	506	0.8993	21930	21947
1014	498	967	0.9980	21941	21999
1013	498	514	-0.3392	21941	21929
4294967803	482	498	-0.2366	21909	21813
8589935285	506	967	-0.0115	21918	21815
885	498	506	-0.2449	21966	21709
4294968238	488	501	-0.2665	21915	21923
4294968294	509	967	0.1013	21921	21942
697	498	505	-0.2573	21989	21989
579	495	506	0.3107	21997	21971
8589935611	494	8589935219	-0.2546	21643	21863
12884902572	482	8589935219	-0.3536	21643	21997
12884902400	509	8589935219	-0.1827	21647	21898
8589935260	501	8589935252	-0.3686	21700	21881
8589935100	514	8589935252	-0.3453	21716	21970
17179870157	495	8589935252	-0.2996	21725	21966
8589935419	482	8589935252	-0.2923	21727	21949
12884902369	494	8589935252	-0.1239	21738	21941
17179869842	498	8589935252	-0.2836	21739	21993
12884902895	488	8589935252	0.3536	21739	21934
8589935457	488	8589935219	-0.3320	21648	21864
8589935124	514	8589935219	0.9782	21649	21989
17179869664	506	8589935219	-0.1847	21621	21993
12884902899	967	8589935219	0.2215	21612	21979
17179870107	495	8589935219	-0.1226	21611	21944
17179869849	495	12884902893	-0.2102	21599	21966
12884902619	494	12884902893	-0.5352	21598	21978
17179869681	8589935252	12884902893	-0.1629	21598	21973
12884902772	514	12884902893	-0.5416	21597	21958
17179870054	509	12884902893	-0.2631	21596	21939
12884902636	506	12884902893	-0.3506	21592	21807
12884902447	8589935219	12884902893	-0.1783	21591	21931
12884902595	488	12884902893	0.5910	21591	21985
17179869774	967	12884902893	-0.3694	21589	21932
12884902706	501	12884902893	-0.2888	21583	21931
4294967823	498	12884902893	-0.3512	21576	21988
4294968233	505	12884902893	-0.2331	21575	21823
4294968089	482	12884902893	-0.3722	21574	21933
4294968157	514	4294968197	0.7587	21549	21978
4294967893	506	4294968197	-0.1513	21547	21495
4294968062	967	4294968197	-0.4973	21545	21923
4294968179	488	4294968197	-0.3855	21542	21947
