# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	22234.1602	0.1648	24001	0.4000	0,3,3	0.5000	15
967	15570.9238	-0.2489	23950	0.4000	3,3,0	0.5000	60
506	30326.5762	0.0937	24001	0.4000	2,0,0	0.5000	32
505	14932.1855	-0.2410	24001	0.4000	3,3,1	0.5000	61
488	10625.3047	0.3555	24001	0.4000	2,1,0	0.5000	36
495	25570.3516	0.1508	24001	0.4000	1,0,2	0.5000	18
494	10025.4824	0.3728	24001	0.4000	1,1,1	0.5000	21
482	18681.9062	-0.2036	24001	0.4000	0,2,0	0.5000	8
514	21556.9219	0.4555	24001	0.4000	0,1,0	0.5000	4
8589935252	26447.9434	-0.0565	23750	0.4000	3,2,0	0.5000	56
509	14158.6543	0.0039	24001	0.4000	0,1,1	0.5000	5
498	25137.9492	0.4706	24001	0.4000	2,0,0	0.5000	32
8589935219	12681.0928	0.4514	23650	0.4000	0,2,3	0.5000	11
12884902893	23492.6016	0.4137	23600	0.4000	0,2,3	0.5000	11
4294968197	18206.7227	0.2979	23550	0.4000	3,3,2	0.5000	62
4294968009	8044.0879	0.4921	23450	0.4000	1,2,3	0.5000	27
12884902921	28256.5781	0.1270	22750	0.4000	3,0,2	0.5000	50
34359739131	19220.4180	-0.2244	22950	0.4000	0,3,1	0.5000	13
30064771861	16844.1738	0.3763	22800	0.4000	1,3,3	0.5000	31
38654706391	14426.8623	-0.2725	22050	0.4000	0,3,1	0.5000	13
8589935223	19271.4688	-0.2973	22400	0.4000	1,2,0	0.5000	24
21474837234	10593.2422	0.4937	22200	0.4000	2,1,0	0.5000	36
25769804409	12229.8232	0.4219	19400	0.4000	2,0,1	0.5000	33
12884902730	22635.3203	-0.1867	21900	0.4000	1,2,0	0.5000	24
21474837533	16045.3770	-0.0079	20500	0.4000	3,0,2	0.5000	50
12884902843	19782.3613	-0.0790	21700	0.4000	0,1,2	0.5000	6
4294968249	10560.4326	0.2581	21650	0.4000	1,3,1	0.5000	29
4294968288	9089.3828	-0.2626	21600	0.4000	0,1,1	0.5000	5
8589935456	25105.5234	0.0730	21500	0.4000	1,3,1	0.5000	29
8589935165	21226.6367	0.3355	21450	0.4000	0,2,0	0.5000	8
21474837170	17654.1875	0.3131	19500	0.4000	0,1,2	0.5000	6
1091	15364.4043	0.1600	21100	0.4000	2,1,1	0.5000	37
17179869771	14981.0586	0.4508	19300	0.4000	2,1,2	0.5000	38
21474837534	6606.2891	0.1496	19250	0.4000	2,2,2	0.5000	42
68719477384	9688.6484	-0.1189	17550	0.4000	0,3,1	0.5000	13
30064771608	11323.6582	0.3366	19150	0.4000	2,0,1	0.5000	33
8589935842	12866.1504	-0.0693	18000	0.4000	2,1,1	0.5000	37
21474837738	8044.5488	0.4865	16350	0.4000	3,0,1	0.5000	49
64424511522	1365.7302	-0.1148	1450	0.4000	1,1,1	0.5000	21
21474837884	7200.9004	-0.2404	15200	0.4000	3,2,2	0.5000	58
51539608806	11381.0752	0.3366	15300	0.4000	3,2,2	0.5000	58
64424510890	2732.7695	-0.0598	13250	0.4000	0,1,3	0.5000	7
163208759089	443.7999	0.2411	1550	0.4000	0,2,2	0.5000	10
133143987415	11032.6377	-0.2900	11950	0.4000	3,1,2	0.5000	54
12884903467	9248.8545	0.1428	12950	0.4000	0,0,0	0.5000	0
30064772614	3183.0479	0.4335	12050	0.4000	0,3,3	0.5000	15
4294969182	4548.8945	0.0644	10550	0.4000	2,0,3	0.5000	35
1746	4594.3501	0.4134	11150	0.4000	3,1,3	0.5000	55
17179870871	1781.5151	0.3175	11300	0.4000	1,1,2	0.5000	22
73014445970	7595.1851	0.0830	8100	0.4000	0,1,2	0.5000	6
30064772753	10549.9355	0.3461	10950	0.4000	2,3,0	0.5000	44
42949674953	6229.1904	-0.0520	6600	0.4000	2,2,0	0.5000	40
85899347295	5.3463	0.4398	150	0.4000	1,0,2	0.5000	18
150323857375	39.7670	0.0575	100	0.4000	1,1,3	0.5000	23
94489281915	140.4596	0.1138	50	0.4000	0,0,0	0.5000	0

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.3727	23910	23967
4294967787	514	967	-0.5159	23865	23943
8589935095	505	8589935252	-0.3084	23746	23817
4294968004	482	505	-0.3122	23883	23853
12884902462	506	8589935252	-0.2629	23747	23796
8589935244	967	8589935252	0.0474	23747	24000
775	509	514	-0.2796	23981	23865
4294968264	495	509	-0.1556	23924	23900
782	495	505	-0.3548	23980	23734
8589935411	509	8589935252	-0.0013	23749	23874
4294968055	501	506	-0.1244	23931	23791
768	505	514	1.0000	23983	24000
988	501	967	-0.4078	23946	23921
4294967983	488	494	-0.6098	23977	23997
812	494	505	-0.1597	23975	23903
530	505	509	-0.1033	24000	23793
4294967772	494	967	-0.2726	23939	23982
8589935563	498	8589935219	-0.0512	23637	23929
919	501	509	-0.3650	23958	23961
4294967798	495	967	-0.1866	23893	23918
8589935347	8589935219	8589935252	-0.3931	23641	23948
888	482	495	0.1911	23965	23859
970	488	514	-0.1846	23949	23384
4294968282	501	505	1.0000	23908	24000
12884902597	501	8589935219	-0.3120	23642	23974
4294968136	500	967	-0.0000	23913	87
981	482	967	-0.3469	23947	23940
904	482	501	-0.2263	23963	23985
543	495	514	0.9210	23999	23997
934	494	506	-0.3387	23956	23853
822	488	505	-0.2843	23974	23854
702	482	506	-0.2567	23988	23840
914	483	505	-0.0000	23962	38
869	494	514	-0.0252	23968	23854
710	495	501	-0.3645	23988	23835
835	498	509	-0.2241	23973	23741
1017	476	498	-0.0000	23940	60
4294968128	495	498	-0.2477	23937	23851
4294968158	488	506	-0.2601	23961	23770
695	501	514	-0.5093	23989	23878
1030	488	967	-0.5342	23925	23967
705	482	494	-0.2318	23988	23984
672	506	509	-0.1856	23991	23842
4294967795	494	509	0.0105	23871	23968
734	494	501	-0.2620	23986	23697
581	482	509	-0.3742	23997	23952
1026	505	967	-0.4052	23927	23940
4294968225	482	514	-0.1166	23939	23852
563	488	509	-0.0288	23998	23768
4294967977	506	514	-0.3984	23960	23966
960	498	501	-0.3501	23951	23835
642	488	495	-0.1894	23993	23926
641	494	495	-0.5136	23993	23846
4294968145	488	498	-0.3642	23920	23881
881	482	488	-0.1302	23966	23905
4294967861	505	506	0.7317	23930	23939
1014	498	967	0.8761	23941	23991
1013	498	514	0.0747	23941	23978
4294967803	482	498	-0.4405	23909	23897
8589935285	506	967	0.1936	23918	23958
885	498	506	-0.2779	23966	23755
4294968238	488	501	-0.1252	23915	23912
4294968294	509	967	0.7775	23921	23969
697	498	505	-0.2071	23989	23936
579	495	506	0.0232	23997	23971
8589935611	494	8589935219	-0.4670	23643	23876
12884902572	482	8589935219	-0.3223	23643	23789
12884902400	509	8589935219	-0.0202	23647	23845
8589935260	501	8589935252	-0.0936	23700	23998
8589935100	514	8589935252	-0.4469	23716	23932
17179870157	495	8589935252	-0.1143	23725	23677
8589935419	482	8589935252	-0.2579	23727	23969
12884902369	494	8589935252	-0.2898	23738	23697
17179869842	498	8589935252	-0.1550	23739	23997
12884902895	488	8589935252	-0.3216	23739	24000
8589935457	488	8589935219	-0.2152	23648	23786
8589935124	514	8589935219	-0.1541	23649	23978
17179869664	506	8589935219	-0.3593	23621	23934
12884902899	967	8589935219	-0.4270	23612	23858
17179870107	495	8589935219	-0.2964	23611	23805
17179869849	495	12884902893	-0.3664	23599	23995
12884902619	494	12884902893	-0.3742	23598	23914
17179869681	8589935252	12884902893	-0.1328	23598	23903
12884902772	514	12884902893	-0.1822	23597	23953
17179870054	509	12884902893	0.2097	23596	23871
12884902636	506	12884902893	-0.0129	23592	23970
12884902447	8589935219	12884902893	-0.2263	23591	23793
12884902595	488	12884902893	0.9627	23591	23981
17179869774	967	12884902893	0.9379	23589	23968
12884902706	501	12884902893	-0.1827	23583	23969
4294967823	498	12884902893	-0.4571	23576	23990
4294968233	505	12884902893	-0.2379	23575	23905
4294968089	482	12884902893	-0.1432	23574	23780
4294968157	514	4294968197	0.7224	23549	23973
4294967893	506	4294968197	0.0445	23547	23945
4294968062	967	4294968197	-0.2227	23545	23962
4294968179	488	4294968197	0.8411	23542	23991
8589935096	4294968197	8589935219	-0.3008	23540	23924
