# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	22166.1602	0.1648	26001	0.4000	0,3,3	0.5000	15
967	14742.9238	-0.2489	25950	0.4000	3,3,0	0.5000	60
506	33170.5781	0.0937	26001	0.4000	2,0,0	0.5000	32
505	17362.1855	-0.2410	26001	0.4000	3,3,1	0.5000	61
488	11226.3047	0.3555	26001	0.4000	2,1,0	0.5000	36
495	26598.3516	0.1508	26001	0.4000	1,0,2	0.5000	18
494	11111.4824	0.3728	26001	0.4000	1,1,1	0.5000	21
482	19169.9062	-0.2036	26001	0.4000	0,2,0	0.5000	8
514	22385.9219	0.4555	26001	0.4000	0,1,0	0.5000	4
8589935252	27249.9434	-0.0565	25750	0.4000	3,2,0	0.5000	56
509	13591.6543	0.0039	26001	0.4000	0,1,1	0.5000	5
498	24806.9492	0.4706	26001	0.4000	2,0,0	0.5000	32
8589935219	12439.0928	0.4514	25650	0.4000	0,2,3	0.5000	11
12884902893	27162.6016	0.4137	25600	0.4000	0,2,3	0.5000	11
4294968197	19917.7227	0.2979	25550	0.4000	3,3,2	0.5000	62
4294968009	9608.0879	0.4921	25450	0.4000	1,2,3	0.5000	27
12884902921	28081.5781	0.1270	24750	0.4000	3,0,2	0.5000	50
34359739131	20452.4180	-0.2244	24950	0.4000	0,3,1	0.5000	13
30064771861	17629.1738	0.3763	24800	0.4000	1,3,3	0.5000	31
38654706391	15286.8623	-0.2725	24050	0.4000	0,3,1	0.5000	13
8589935223	19350.4688	-0.2973	24400	0.4000	1,2,0	0.5000	24
21474837234	11864.2422	0.4937	24200	0.4000	2,1,0	0.5000	36
25769804409	11533.8232	0.4219	21400	0.4000	2,0,1	0.5000	33
12884902730	23144.3203	-0.1867	23900	0.4000	1,2,0	0.5000	24
21474837533	16515.3770	-0.0079	22500	0.4000	3,0,2	0.5000	50
12884902843	21169.3613	-0.0790	23700	0.4000	0,1,2	0.5000	6
4294968249	10530.4326	0.2581	23650	0.4000	1,3,1	0.5000	29
4294968288	12903.3828	-0.2626	23600	0.4000	0,1,1	0.5000	5
8589935456	26741.5234	0.0730	23500	0.4000	1,3,1	0.5000	29
8589935165	22576.6367	0.3355	23450	0.4000	0,2,0	0.5000	8
21474837170	20271.1875	0.3131	21500	0.4000	0,1,2	0.5000	6
1091	15640.4043	0.1600	23100	0.4000	2,1,1	0.5000	37
17179869771	16628.0586	0.4508	21300	0.4000	2,1,2	0.5000	38
21474837534	8462.2891	0.1496	21250	0.4000	2,2,2	0.5000	42
68719477384	10632.6484	-0.1189	19550	0.4000	0,3,1	0.5000	13
30064771608	11438.6582	0.3366	21150	0.4000	2,0,1	0.5000	33
8589935842	15501.1504	-0.0693	20000	0.4000	2,1,1	0.5000	37
21474837738	9423.5488	0.4865	18350	0.4000	3,0,1	0.5000	49
64424511522	2859.7302	-0.1148	3450	0.4000	1,1,1	0.5000	21
21474837884	7131.9004	-0.2404	17200	0.4000	3,2,2	0.5000	58
51539608806	13481.0752	0.3366	17300	0.4000	3,2,2	0.5000	58
64424510890	2359.7695	-0.0598	15250	0.4000	0,1,3	0.5000	7
163208759089	1940.7998	0.2411	3550	0.4000	0,2,2	0.5000	10
133143987415	11454.6377	-0.2900	13950	0.4000	3,1,2	0.5000	54
12884903467	9787.8545	0.1428	14950	0.4000	0,0,0	0.5000	0
30064772614	3452.0479	0.4335	14050	0.4000	0,3,3	0.5000	15
4294969182	5392.8945	0.0644	12550	0.4000	2,0,3	0.5000	35
1746	5978.3501	0.4134	13150	0.4000	3,1,3	0.5000	55
17179870871	2865.5151	0.3175	13300	0.4000	1,1,2	0.5000	22
73014445970	8946.1855	0.0830	10100	0.4000	0,1,2	0.5000	6
30064772753	12064.9355	0.3461	12950	0.4000	2,3,0	0.5000	44
42949674953	8456.1904	-0.0520	8600	0.4000	2,2,0	0.5000	40
51539609311	166.2715	0.2890	1950	0.4000	0,1,1	0.5000	5
176093660909	1483.8307	0.0759	1450	0.4000	1,3,1	0.5000	29
55834576859	934.5410	-0.2509	1500	0.4000	2,2,1	0.5000	41
47244642446	29.9979	0.1469	100	0.4000	0,1,0	0.5000	4
38654707894	42.4834	0.4801	150	0.4000	3,0,0	0.5000	48
107374183611	124.1724	0.2937	50	0.4000	3,0,0	0.5000	48

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.3023	25910	25979
4294967787	514	967	-0.0282	25865	25988
8589935095	505	8589935252	-0.3445	25746	25824
4294968004	482	505	-0.2049	25883	25980
12884902462	506	8589935252	-0.0721	25747	25820
8589935244	967	8589935252	-0.1847	25747	25967
775	509	514	-0.1808	25981	25909
4294968264	495	509	-0.0491	25924	25976
782	495	505	0.8989	25980	25976
8589935411	509	8589935252	-0.4120	25749	25908
4294968055	501	506	0.0326	25931	25996
768	505	514	0.2664	25983	25894
988	501	967	-0.2107	25946	25714
4294967983	488	494	-0.3151	25977	25802
812	494	505	-0.3183	25975	25996
530	505	509	0.7127	26000	25960
4294967772	494	967	-0.2302	25939	25985
8589935563	498	8589935219	-0.2795	25637	25846
919	501	509	-0.1750	25958	25994
4294967798	495	967	-0.2104	25893	25986
8589935347	8589935219	8589935252	-0.0875	25641	25978
888	482	495	-0.1677	25965	25965
970	488	514	-0.1300	25949	25859
4294968282	501	505	0.8514	25908	25999
12884902597	501	8589935219	-0.3173	25642	25983
4294968136	500	967	-0.0000	25913	87
981	482	967	-0.3465	25947	25911
904	482	501	-0.0662	25963	25985
543	495	514	-0.1414	25999	25847
934	494	506	0.1192	25956	25961
822	488	505	-0.3947	25974	25952
702	482	506	-0.3459	25988	25932
914	483	505	-0.0000	25962	38
869	494	514	-0.0539	25968	25691
710	495	501	-0.3017	25988	25921
835	498	509	-0.3522	25973	25851
1017	476	498	-0.0000	25940	60
4294968128	495	498	-0.3393	25937	25823
4294968158	488	506	-0.3245	25961	25999
695	501	514	-0.3627	25989	25998
1030	488	967	-0.5674	25925	25970
705	482	494	-0.0972	25988	25920
672	506	509	-0.2600	25991	25995
4294967795	494	509	-0.3662	25871	25924
734	494	501	-0.3404	25986	25945
581	482	509	0.0783	25997	25962
1026	505	967	-0.2801	25927	25932
4294968225	482	514	-0.5335	25939	25975
563	488	509	0.5822	25998	25973
4294967977	506	514	-0.0361	25960	25826
960	498	501	-0.3690	25951	25989
642	488	495	-0.4098	25993	25919
641	494	495	-0.2345	25993	25734
4294968145	488	498	-0.1484	25920	25703
881	482	488	-0.2837	25966	25974
4294967861	505	506	0.8883	25930	25999
1014	498	967	0.8687	25941	25989
1013	498	514	-0.3518	25941	25811
4294967803	482	498	-0.2271	25909	25762
8589935285	506	967	0.0990	25918	25834
885	498	506	-0.0237	25966	25892
4294968238	488	501	0.0378	25915	25917
4294968294	509	967	-0.1635	25921	25931
697	498	505	0.1231	25989	25985
579	495	506	-0.4989	25997	25926
8589935611	494	8589935219	-0.3021	25643	25638
12884902572	482	8589935219	-0.3862	25643	25989
12884902400	509	8589935219	-0.4082	25647	25995
8589935260	501	8589935252	-0.2079	25700	25797
8589935100	514	8589935252	0.0773	25716	25983
17179870157	495	8589935252	-0.1572	25725	25691
8589935419	482	8589935252	-0.2319	25727	25977
12884902369	494	8589935252	-0.2990	25738	25984
17179869842	498	8589935252	-0.1387	25739	25933
12884902895	488	8589935252	0.2105	25739	25982
8589935457	488	8589935219	-0.1594	25648	25889
8589935124	514	8589935219	-0.1769	25649	25855
17179869664	506	8589935219	-0.0056	25621	25502
12884902899	967	8589935219	-0.0412	25612	25727
17179870107	495	8589935219	-0.2450	25611	25897
17179869849	495	12884902893	-0.1709	25599	25924
12884902619	494	12884902893	0.0978	25598	25992
17179869681	8589935252	12884902893	-0.6007	25598	25997
12884902772	514	12884902893	-0.1588	25597	25577
17179870054	509	12884902893	-0.3925	25596	25953
12884902636	506	12884902893	-0.2123	25592	25826
12884902447	8589935219	12884902893	-0.1949	25591	25955
12884902595	488	12884902893	-0.3059	25591	25977
17179869774	967	12884902893	-0.2990	25589	25834
12884902706	501	12884902893	-0.2673	25583	25996
4294967823	498	12884902893	-0.0492	25576	25890
4294968233	505	12884902893	0.4397	25575	25909
4294968089	482	12884902893	-0.3286	25574	25984
4294968157	514	4294968197	0.9493	25549	25974
4294967893	506	4294968197	-0.3073	25547	25989
4294968062	967	4294968197	-0.1300	25545	25998
4294968179	488	4294968197	0.3241	25542	25994
8589935096	4294968197	8589935219	-0.7087	25540	25983
4294967952	494	4294968197	-0.2273	25539	25793
4294968223	4294968197	12884902893	-0.1544	25538	25647
4294968295	482	4294968197	0.8807	25537	25950
4294968246	498	4294968197	0.1188	25535	25990
4294968221	505	4294968197	-0.3556	25519	25847
