# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	22190.1602	0.1648	28001	0.4000	0,3,3	0.5000	15
967	15082.9238	-0.2489	27950	0.4000	3,3,0	0.5000	60
506	35581.5781	0.0937	28001	0.4000	2,0,0	0.5000	32
505	19488.1855	-0.2410	28001	0.4000	3,3,1	0.5000	61
488	12143.3047	0.3555	28001	0.4000	2,1,0	0.5000	36
495	26850.3516	0.1508	28001	0.4000	1,0,2	0.5000	18
494	11049.4824	0.3728	28001	0.4000	1,1,1	0.5000	21
482	19151.9062	-0.2036	28001	0.4000	0,2,0	0.5000	8
514	21438.9219	0.4555	28001	0.4000	0,1,0	0.5000	4
8589935252	27786.9434	-0.0565	27750	0.4000	3,2,0	0.5000	56
509	14274.6543	0.0039	28001	0.4000	0,1,1	0.5000	5
498	24660.9492	0.4706	28001	0.4000	2,0,0	0.5000	32
8589935219	10749.0928	0.4514	27650	0.4000	0,2,3	0.5000	11
12884902893	29216.6016	0.4137	27600	0.4000	0,2,3	0.5000	11
4294968197	21771.7227	0.2979	27550	0.4000	3,3,2	0.5000	62
4294968009	11115.0879	0.4921	27450	0.4000	1,2,3	0.5000	27
12884902921	29173.5781	0.1270	26750	0.4000	3,0,2	0.5000	50
34359739131	21277.4180	-0.2244	26950	0.4000	0,3,1	0.5000	13
30064771861	17761.1738	0.3763	26800	0.4000	1,3,3	0.5000	31
38654706391	14523.8623	-0.2725	26050	0.4000	0,3,1	0.5000	13
8589935223	21089.4688	-0.2973	26400	0.4000	1,2,0	0.5000	24
21474837234	11870.2422	0.4937	26200	0.4000	2,1,0	0.5000	36
25769804409	11365.8232	0.4219	23400	0.4000	2,0,1	0.5000	33
12884902730	22604.3203	-0.1867	25900	0.4000	1,2,0	0.5000	24
21474837533	16779.3770	-0.0079	24500	0.4000	3,0,2	0.5000	50
12884902843	22024.3613	-0.0790	25700	0.4000	0,1,2	0.5000	6
4294968249	11894.4326	0.2581	25650	0.4000	1,3,1	0.5000	29
4294968288	16309.3828	-0.2626	25600	0.4000	0,1,1	0.5000	5
8589935456	28539.5234	0.0730	25500	0.4000	1,3,1	0.5000	29
8589935165	25072.6367	0.3355	25450	0.4000	0,2,0	0.5000	8
21474837170	21590.1875	0.3131	23500	0.4000	0,1,2	0.5000	6
1091	14995.4043	0.1600	25100	0.4000	2,1,1	0.5000	37
17179869771	18408.0586	0.4508	23300	0.4000	2,1,2	0.5000	38
21474837534	10236.2891	0.1496	23250	0.4000	2,2,2	0.5000	42
68719477384	12316.6484	-0.1189	21550	0.4000	0,3,1	0.5000	13
30064771608	13230.6582	0.3366	23150	0.4000	2,0,1	0.5000	33
8589935842	17264.1504	-0.0693	22000	0.4000	2,1,1	0.5000	37
21474837738	10907.5488	0.4865	20350	0.4000	3,0,1	0.5000	49
64424511522	3885.7302	-0.1148	5450	0.4000	1,1,1	0.5000	21
21474837884	6743.9004	-0.2404	19200	0.4000	3,2,2	0.5000	58
51539608806	13940.0752	0.3366	19300	0.4000	3,2,2	0.5000	58
64424510890	3859.7695	-0.0598	17250	0.4000	0,1,3	0.5000	7
163208759089	3029.7998	0.2411	5550	0.4000	0,2,2	0.5000	10
133143987415	11411.6377	-0.2900	15950	0.4000	3,1,2	0.5000	54
12884903467	9229.8545	0.1428	16950	0.4000	0,0,0	0.5000	0
30064772614	2793.0479	0.4335	16050	0.4000	0,3,3	0.5000	15
4294969182	6184.8945	0.0644	14550	0.4000	2,0,3	0.5000	35
1746	5601.3501	0.4134	15150	0.4000	3,1,3	0.5000	55
17179870871	3756.5151	0.3175	15300	0.4000	1,1,2	0.5000	22
73014445970	10788.1855	0.0830	12100	0.4000	0,1,2	0.5000	6
30064772753	13138.9355	0.3461	14950	0.4000	2,3,0	0.5000	44
42949674953	10211.1904	-0.0520	10600	0.4000	2,2,0	0.5000	40
8589936846	300.3865	0.2234	1850	0.4000	3,2,0	0.5000	56
176093660909	1725.8307	0.0759	3450	0.4000	1,3,1	0.5000	29
55834576859	3815.5410	-0.2509	3500	0.4000	2,2,1	0.5000	41
120259086441	1245.7437	-0.2508	2000	0.4000	1,1,1	0.5000	21
73014446311	30.9428	0.2229	200	0.4000	0,0,2	0.5000	2
51539609765	549.5516	0.4841	850	0.4000	2,3,2	0.5000	46
34359740799	49.2102	0.0816	100	0.4000	0,2,0	0.5000	8
25769806032	35.6411	0.1638	150	0.4000	2,0,1	0.5000	33

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935321	494	498	-0.2062	27910	27907
4294967787	514	967	-0.4313	27865	27994
8589935095	505	8589935252	-0.2357	27746	27873
4294968004	482	505	0.0419	27883	27516
12884902462	506	8589935252	-0.2642	27747	27898
8589935244	967	8589935252	-0.3716	27747	27894
775	509	514	-0.0135	27981	27888
4294968264	495	509	-0.3018	27924	27874
782	495	505	0.4454	27980	27952
8589935411	509	8589935252	0.0843	27749	27930
4294968055	501	506	-0.0813	27931	27541
768	505	514	-0.3506	27983	27968
988	501	967	-0.3190	27946	27874
4294967983	488	494	-0.3840	27977	27944
812	494	505	-0.3231	27975	27820
530	505	509	0.4466	28000	27952
4294967772	494	967	-0.2094	27939	27724
8589935563	498	8589935219	-0.3481	27637	27916
919	501	509	0.1849	27958	27994
4294967798	495	967	-0.2385	27893	27717
8589935347	8589935219	8589935252	0.0503	27641	27943
888	482	495	-0.2935	27965	27983
970	488	514	-0.1146	27949	27711
4294968282	501	505	0.8042	27908	27911
12884902597	501	8589935219	0.1902	27642	27967
4294968136	500	967	-0.0000	27913	87
981	482	967	-0.2190	27947	27587
904	482	501	-0.2331	27963	27927
543	495	514	0.1784	27999	27956
934	494	506	-0.3288	27956	27931
822	488	505	-0.1565	27974	27905
702	482	506	0.3642	27988	27964
914	483	505	-0.0000	27962	38
869	494	514	-0.2958	27968	27984
710	495	501	-0.3441	27988	27879
835	498	509	0.9841	27973	27992
1017	476	498	-0.0000	27940	60
4294968128	495	498	-0.1481	27937	27949
4294968158	488	506	-0.1864	27961	27791
695	501	514	0.8767	27989	27998
1030	488	967	-0.1744	27925	27749
705	482	494	-0.4300	27988	27867
672	506	509	-0.2967	27991	27941
4294967795	494	509	-0.3310	27871	27966
734	494	501	-0.1393	27986	27939
581	482	509	-0.1229	27997	27886
1026	505	967	0.3039	27927	27989
4294968225	482	514	-0.2673	27939	27952
563	488	509	0.9782	27998	27989
4294967977	506	514	-0.2966	27960	27891
960	498	501	-0.2754	27951	27981
642	488	495	-0.1310	27993	27710
641	494	495	-0.1348	27993	27360
4294968145	488	498	0.0533	27920	27985
881	482	488	-0.0734	27966	27873
4294967861	505	506	0.9900	27930	27995
1014	498	967	-0.4469	27941	27999
1013	498	514	-0.2889	27941	27847
4294967803	482	498	0.9900	27909	27995
8589935285	506	967	-0.0864	27918	27900
885	498	506	-0.1270	27966	27709
4294968238	488	501	-0.0337	27915	27988
4294968294	509	967	0.0287	27921	27526
697	498	505	-0.0603	27989	27921
579	495	506	-0.0436	27997	27990
8589935611	494	8589935219	-0.2576	27643	27825
12884902572	482	8589935219	-0.2307	27643	27682
12884902400	509	8589935219	-0.2602	27647	27828
8589935260	501	8589935252	-0.3640	27700	27876
8589935100	514	8589935252	-0.3571	27716	27945
17179870157	495	8589935252	0.0836	27725	27932
8589935419	482	8589935252	0.0930	27727	27808
12884902369	494	8589935252	-0.1760	27738	27565
17179869842	498	8589935252	-0.3665	27739	27986
12884902895	488	8589935252	0.8645	27739	27981
8589935457	488	8589935219	-0.3812	27648	27896
8589935124	514	8589935219	-0.0729	27649	27824
17179869664	506	8589935219	-0.1050	27621	27983
12884902899	967	8589935219	-0.3634	27612	27976
17179870107	495	8589935219	-0.1076	27611	27903
17179869849	495	12884902893	-0.2055	27599	27994
12884902619	494	12884902893	0.0993	27598	27970
17179869681	8589935252	12884902893	-0.3373	27598	27890
12884902772	514	12884902893	0.9455	27597	27972
17179870054	509	12884902893	-0.3038	27596	27934
12884902636	506	12884902893	-0.1957	27592	27704
12884902447	8589935219	12884902893	-0.4277	27591	27875
12884902595	488	12884902893	-0.1114	27591	27965
17179869774	967	12884902893	0.9386	27589	27991
12884902706	501	12884902893	-0.2920	27583	27958
4294967823	498	12884902893	-0.2566	27576	27969
4294968233	505	12884902893	0.0910	27575	27914
4294968089	482	12884902893	-0.2732	27574	27952
4294968157	514	4294968197	-0.3088	27549	27968
4294967893	506	4294968197	0.0210	27547	27937
4294968062	967	4294968197	-0.4991	27545	27824
4294968179	488	4294968197	0.0079	27542	27680
8589935096	4294968197	8589935219	-0.0782	27540	27892
4294967952	494	4294968197	-0.2437	27539	27979
4294968223	4294968197	12884902893	-0.2113	27538	27549
4294968295	482	4294968197	0.1987	27537	27957
4294968246	498	4294968197	-0.0109	27535	27949
4294968221	505	4294968197	-0.4921	27519	27987
4294967817	4294968197	8589935252	0.9569	27508	27978
8589935070	505	8589935219	-0.2728	27498	27892
4294967955	494	4294968009	-0.1847	27426	27885
