# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	4314.1084	0.4974	2001	0.4000	1,0,0	0.5000	16
4294968083	1605.0382	0.0562	1850	0.4000	1,1,1	0.5000	21
500	2165.2690	-0.2080	2001	0.4000	2,3,3	0.5000	47
478	5631.3096	0.4650	2001	0.4000	0,3,3	0.5000	15
479	4897.7998	0.2779	2001	0.4000	3,3,3	0.5000	63
510	4114.7236	0.2767	2001	0.4000	0,1,3	0.5000	7
504	1550.4285	0.3706	2001	0.4000	2,3,3	0.5000	47
482	2622.3242	0.1030	2001	0.4000	2,2,3	0.5000	43
490	1566.6445	0.2571	2001	0.4000	1,2,3	0.5000	27
514	3762.1902	-0.2567	2001	0.4000	3,1,2	0.5000	54
485	2560.7378	0.2703	2001	0.4000	0,0,0	0.5000	0
508	1491.0046	0.4281	2001	0.4000	3,1,1	0.5000	53
8589935175	1821.5920	-0.2574	1750	0.4000	1,3,1	0.5000	29
12884902386	1170.1853	0.3899	1700	0.4000	1,3,3	0.5000	31
8589935286	1008.5013	0.3007	1650	0.4000	2,1,1	0.5000	37
21474837346	1493.8855	0.2930	1100	0.4000	0,0,0	0.5000	0
8589935398	1332.8329	0.4422	900	0.4000	1,0,1	0.5000	17
17179870127	2511.5520	0.2306	1300	0.4000	1,0,3	0.5000	19
30064771991	944.7136	0.3837	650	0.4000	1,3,2	0.5000	30
4294967864	478.7911	0.0777	700	0.4000	2,0,3	0.5000	35
17179869935	469.4526	-0.2420	450	0.4000	0,3,3	0.5000	15
17179869720	325.5769	0.1011	400	0.4000	2,0,3	0.5000	35
12884902384	135.0206	-0.2807	300	0.4000	1,2,3	0.5000	27
4294968022	210.3596	-0.1883	50	0.4000	3,2,0	0.5000	56
8589935310	12.2719	0.0517	150	0.4000	0,3,1	0.5000	13
4294968259	23.4806	0.1770	100	0.4000	1,3,1	0.5000	29

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.4613	1909	1926
909	478	504	0.8086	1960	1995
517	478	482	-0.5496	2000	1902
8589935284	497	514	-0.6158	1934	1936
12884902752	514	4294968083	-0.4605	1831	1856
4294968086	504	510	-0.5853	1922	1961
4294967787	482	4294968083	-0.4295	1833	1971
855	485	500	-0.4159	1971	1836
8589935392	504	4294968083	-0.7121	1836	2000
747	478	508	-0.7076	1983	1964
8589935464	490	497	-0.3962	1926	1947
8589935404	479	508	0.9240	1914	1996
8589935125	510	4294968083	-0.5265	1838	1947
4294968229	490	502	-0.0020	1948	52
653	485	514	-0.5664	1991	1974
690	485	490	0.9802	1988	1990
4294968007	486	500	-0.0022	1909	91
624	500	510	-0.5953	1993	1973
4294968000	482	504	0.9967	1972	1999
899	478	497	-0.3349	1961	1916
930	479	485	-0.6595	1956	1841
4294968202	497	508	0.8914	1938	2000
844	492	514	-0.0019	1974	26
4294968004	478	4294968083	0.9821	1843	1991
850	482	490	-0.5183	1971	1945
8589935256	490	514	-0.4125	1903	1807
4294968103	479	482	-0.6855	1919	1990
4294968118	479	490	0.9782	1920	1989
4294968196	508	514	-0.6222	1923	1995
4294968194	485	508	-0.7040	1901	1917
795	479	497	0.1224	1978	1990
8589935184	490	496	-0.0021	1939	61
4294967881	482	497	-0.3438	1945	1940
17179869773	497	4294968083	0.1626	1844	1966
618	478	485	0.9980	1993	1999
757	497	504	0.9980	1982	1999
721	478	500	0.9861	1985	1993
4294968231	478	490	-0.2430	1926	1988
928	490	508	-0.7120	1957	1918
617	482	514	0.7165	1993	1984
847	500	508	-0.5849	1972	1900
677	485	510	-0.4169	1989	1714
4294967993	479	4294968083	-0.5220	1849	1962
4294967905	479	510	0.6344	1968	1999
848	475	490	-0.0019	1971	29
891	482	500	0.9920	1962	1996
939	500	504	-0.6073	1955	1926
970	482	510	-0.5165	1949	1927
4294967807	478	514	-0.4841	1931	1794
8589935144	490	504	-0.3753	1937	1991
565	485	497	-0.2692	1997	1958
896	490	510	-0.5356	1961	1909
4294968128	497	510	-0.3753	1969	1920
630	504	514	-0.1662	1993	1973
595	482	508	-0.7707	1995	1959
4294967942	479	504	-0.4098	1968	1902
8589935451	478	479	-0.2464	1925	1858
638	504	508	-0.5943	1992	1943
4294968067	485	504	-0.5735	1969	1918
4294967981	510	514	0.9234	1968	1996
837	490	500	-0.2070	1974	1956
793	478	510	0.7860	1979	1998
608	482	485	-0.6205	1994	1994
890	497	500	-0.2374	1962	1894
579	479	514	0.9960	1996	1998
834	500	514	-0.2429	1975	1971
655	479	500	-0.5389	1990	1958
4294967802	500	4294968083	-0.5463	1813	1797
4294968073	490	4294968083	-0.7424	1809	1988
4294967980	485	4294968083	-0.6234	1807	1897
12884902660	504	8589935175	-0.6496	1729	1996
8589935427	497	8589935175	-0.6418	1747	1942
8589935087	4294968083	8589935175	-0.5334	1738	1999
8589935346	508	8589935175	-0.4819	1748	1850
8589935069	510	8589935175	-0.6734	1740	1878
12884902656	478	8589935175	0.2554	1742	1969
8589935191	490	8589935175	-0.5510	1744	1982
8589935497	508	4294968083	-0.4913	1771	1906
8589935373	485	8589935175	-0.3913	1746	1985
8589935097	514	8589935175	0.9960	1746	1998
8589935189	500	8589935175	-0.7212	1716	1940
17179870152	482	8589935175	-0.5332	1713	1928
12884902499	514	12884902386	-0.3857	1699	1703
12884902646	485	12884902386	-0.6274	1697	1950
21474836972	500	12884902386	-0.4910	1695	1987
12884902475	510	12884902386	-0.5225	1694	1993
12884902363	497	12884902386	-0.4694	1693	1837
12884902661	479	12884902386	-0.6452	1692	1888
8589935558	479	8589935175	-0.7720	1690	1925
8589935237	508	12884902386	-0.5615	1689	1807
8589935554	504	12884902386	-0.8052	1689	1998
12884902822	478	12884902386	-0.2813	1688	1954
17179870046	4294968083	12884902386	-0.6622	1687	1839
8589935485	490	12884902386	-0.6330	1678	1976
4294968159	8589935175	12884902386	0.6046	1671	1993
4294968058	482	12884902386	-0.7773	1669	1893
4294968193	500	8589935286	-0.6067	1648	1981
8589935411	8589935175	8589935286	-0.5568	1648	1960
4294967976	4294968083	8589935286	-0.4352	1646	1913
4294967945	504	8589935286	-0.4512	1645	1957
8589935081	514	8589935286	-0.2205	1643	1992
12884902776	478	8589935286	-0.6543	1641	1946
4294967819	510	8589935286	0.8940	1640	2000
8589935517	479	8589935286	-0.4659	1631	1974
8589935085	485	8589935286	-0.6625	1629	1949
4294967958	482	8589935286	-0.6593	1618	1905
4294968169	8589935286	12884902386	-0.4537	1615	1788
4294968145	490	8589935286	-0.5081	1613	1930
8589935342	508	8589935286	-0.4041	1613	1995
17179869806	482	21474837346	-0.1858	1094	1972
4294968111	497	8589935286	-0.4796	1598	1898
17179869739	12884902386	21474837346	1.0000	1094	2000
17179870111	8589935286	21474837346	-0.6987	1096	1990
17179869925	510	21474837346	-0.0568	1097	1982
8589935197	4294967864	30064771991	0.8869	642	1996
21474837225	17179870127	21474837346	0.9960	1098	1998
17179870141	508	21474837346	-0.4567	1099	1982
21474837354	8589935175	21474837346	-0.4164	1099	1874
8589935487	478	8589935398	-0.5237	884	1863
12884902636	478	21474837346	-0.1185	1090	1921
4294968249	12884902386	17179870127	-0.5705	1272	1898
4294968116	8589935175	17179870127	-0.5531	1271	1991
4294968238	504	17179870127	-0.3859	1269	1838
17179869737	485	8589935398	-0.5444	891	1857
34359738849	485	30064771991	-0.3015	644	1947
30064771558	8589935286	8589935398	0.9960	893	1998
8589935418	497	8589935398	-0.4343	894	1978
12884902647	8589935175	8589935398	-0.2247	895	1924
8589935524	514	17179870127	-0.6447	1255	1993
25769804592	479	30064771991	-0.3420	646	1913
25769804687	490	30064771991	0.1246	648	1997
25769804529	514	8589935398	1.0000	837	2000
25769804275	17179870127	30064771991	-0.0429	648	1951
25769804594	514	30064771991	0.2210	649	1995
17179869687	482	8589935398	-0.4371	874	1855
8589935104	508	17179870127	-0.8537	1204	1921
34359739195	510	4294967864	-0.4562	649	1951
30064771732	479	8589935398	-0.3782	812	1866
21474837289	478	17179870127	0.4236	1299	1987
21474836989	8589935286	17179870127	-0.4627	1297	1992
38654706615	4294967864	21474837346	0.9627	691	1981
4294967900	500	17179870127	-0.5464	1257	1964
12884902426	479	17179870127	0.9980	1295	1999
12884902686	510	17179870127	0.9900	1293	1995
4294968031	485	17179870127	-0.3633	1267	1900
12884902447	490	17179870127	-0.5738	1292	1804
17179869705	497	4294967864	0.0108	659	1939
12884902624	4294968083	17179870127	0.8652	1284	1987
17179869664	482	17179870127	-0.0343	1278	1938
12884902509	497	17179870127	0.5588	1277	2000
17179869697	485	21474837346	0.9763	1084	1988
21474837028	4294968083	21474837346	-0.6997	1081	1990
17179869911	504	21474837346	-0.3327	1080	1788
17179870015	490	21474837346	-0.5082	1077	1822
30064771636	514	21474837346	-0.2978	1051	1688
21474837258	500	21474837346	-0.7691	1049	1943
17179870040	497	21474837346	-0.5136	1047	1940
21474837301	479	21474837346	-0.4895	1043	1941
17179869726	490	8589935398	-0.8491	848	1996
12884902542	4294967864	17179870127	0.0291	661	1996
12884902838	504	8589935398	-0.2458	858	1959
17179869667	510	8589935398	-0.1295	860	1865
17179869668	8589935398	21474837346	-0.6979	868	1890
8589935403	500	8589935398	-0.4943	896	1910
12884902811	508	8589935398	0.9841	873	1992
12884902766	8589935398	12884902386	-0.5114	899	1904
12884902634	4294968083	8589935398	-0.2976	876	1830
17179870023	490	4294967864	-0.0231	669	1985
17179870042	4294967864	8589935175	0.4620	680	1983
8589935231	504	4294967864	0.3572	681	1911
8589935510	514	4294967864	-0.2375	682	1966
4294968025	4294967864	8589935286	-0.5126	693	1980
8589935367	500	4294967864	-0.2104	698	1987
8589935212	508	4294967864	-0.4627	684	1986
30064771896	8589935398	17179870127	-0.7640	743	1986
8589935361	482	4294967864	-0.4177	685	1946
8589935304	479	4294967864	0.0667	687	1999
12884902849	4294967864	12884902386	-0.7608	689	1996
12884902654	4294967864	4294968083	-0.5615	691	1997
21474837050	21474837346	30064771991	-0.6167	639	1939
30064771682	4294967864	8589935398	0.7701	637	1987
21474837123	8589935286	30064771991	0.9646	635	1982
12884902705	4294968083	30064771991	-0.4094	635	1964
30064771566	485	4294967864	-0.2972	630	1858
25769804499	478	4294967864	-0.3815	625	1991
8589935529	482	30064771991	0.0355	623	1966
30064772028	478	30064771991	-0.3868	623	1978
25769804342	8589935175	30064771991	-0.2678	621	1911
34359738897	8589935398	30064771991	-0.1396	621	1964
30064771600	504	30064771991	-0.2208	614	1956
21474837260	500	30064771991	-0.3741	611	1830
21474837426	12884902386	30064771991	0.7969	608	1997
8589935377	12884902386	17179869935	-0.4389	409	1900
25769804629	508	30064771991	-0.2597	594	1995
8589935544	497	30064771991	0.5209	590	1998
4294967840	510	30064771991	-0.1810	578	1991
38654706618	510	17179869935	-0.3307	413	1859
12884902828	504	17179869935	-0.6490	414	1955
12884902757	497	17179869935	-0.3643	416	1983
21474837313	479	17179869935	0.8107	420	1997
8589935323	508	17179869935	-0.3284	449	1923
