# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	7065.1084	0.4974	4001	0.4000	1,0,0	0.5000	16
4294968083	1538.0382	0.0562	3850	0.4000	1,1,1	0.5000	21
500	4734.2690	-0.2080	4001	0.4000	2,3,3	0.5000	47
478	8957.3096	0.4650	4001	0.4000	0,3,3	0.5000	15
479	7661.7998	0.2779	4001	0.4000	3,3,3	0.5000	63
510	7262.7236	0.2767	4001	0.4000	0,1,3	0.5000	7
504	4645.4287	0.3706	4001	0.4000	2,3,3	0.5000	47
482	4904.3242	0.1030	4001	0.4000	2,2,3	0.5000	43
490	3271.6445	0.2571	4001	0.4000	1,2,3	0.5000	27
514	7599.1904	-0.2567	4001	0.4000	3,1,2	0.5000	54
485	5142.7378	0.2703	4001	0.4000	0,0,0	0.5000	0
508	2456.0046	0.4281	4001	0.4000	3,1,1	0.5000	53
8589935175	2764.5920	-0.2574	3750	0.4000	1,3,1	0.5000	29
12884902386	2653.1853	0.3899	3700	0.4000	1,3,3	0.5000	31
8589935286	2337.5015	0.3007	3650	0.4000	2,1,1	0.5000	37
21474837346	4736.8857	0.2930	3100	0.4000	0,0,0	0.5000	0
8589935398	3565.8330	0.4422	2900	0.4000	1,0,1	0.5000	17
17179870127	6308.5518	0.2306	3300	0.4000	1,0,3	0.5000	19
30064771991	4599.7139	0.3837	2650	0.4000	1,3,2	0.5000	30
4294967864	2704.7910	0.0777	2700	0.4000	2,0,3	0.5000	35
17179869935	3139.4526	-0.2420	2450	0.4000	0,3,3	0.5000	15
17179869720	2014.5769	0.1011	2400	0.4000	2,0,3	0.5000	35
12884902384	2208.0205	-0.2807	2300	0.4000	1,2,3	0.5000	27
4294968022	1451.3596	-0.1883	2050	0.4000	3,2,0	0.5000	56
8589935205	1573.5532	0.0102	1950	0.4000	3,1,3	0.5000	55
17179870099	3307.5459	0.3229	1850	0.4000	1,1,1	0.5000	21
4294968038	2853.4453	0.1942	1550	0.4000	0,0,0	0.5000	0
4294968136	1039.5758	0.4165	1300	0.4000	2,1,3	0.5000	39
8589935312	705.0530	-0.1105	1600	0.4000	1,0,2	0.5000	18
21474837026	1431.7463	0.2895	1250	0.4000	3,1,3	0.5000	55
1036	1160.0647	0.3047	1050	0.4000	1,2,0	0.5000	24
4294968406	87.5703	0.1024	200	0.4000	1,1,2	0.5000	22
25769804570	1137.6411	-0.2905	950	0.4000	0,2,2	0.5000	10
8589935760	156.6127	0.2116	300	0.4000	1,2,1	0.5000	25
8589935729	90.4755	-0.2767	150	0.4000	0,1,1	0.5000	5
12884903017	32.8302	0.0733	100	0.4000	3,3,3	0.5000	63
4294968417	92.0080	0.2675	50	0.4000	1,0,0	0.5000	16

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.4992	3909	3991
909	478	504	0.9763	3960	3988
517	478	482	0.1537	4000	3905
8589935284	497	514	-0.4628	3934	3906
12884902752	514	4294968083	0.3181	3831	3983
4294968086	504	510	-0.1707	3922	3870
4294967787	482	4294968083	-0.3800	3833	3779
855	485	500	-0.1389	3971	3916
8589935392	504	4294968083	-0.6444	3836	3977
747	478	508	-0.3379	3983	3926
8589935464	490	497	-0.2793	3926	3913
8589935404	479	508	-0.5247	3914	3916
8589935125	510	4294968083	-0.2022	3838	3968
4294968229	490	502	-0.0000	3948	52
653	485	514	-0.3374	3991	3935
690	485	490	0.8572	3988	3989
4294968007	486	500	-0.0000	3909	91
624	500	510	-0.1994	3993	3955
4294968000	482	504	0.5288	3972	3982
899	478	497	-0.2624	3961	3974
930	479	485	-0.3578	3956	3832
4294968202	497	508	0.9960	3938	3998
844	492	514	-0.0000	3974	26
4294968004	478	4294968083	0.2938	3843	3993
850	482	490	-0.4514	3971	3919
8589935256	490	514	-0.4088	3903	3787
4294968103	479	482	-0.4444	3919	3984
4294968118	479	490	-0.0632	3920	3622
4294968196	508	514	-0.4784	3923	3947
4294968194	485	508	-0.3970	3901	3817
795	479	497	-0.5028	3978	3931
8589935184	490	496	-0.0000	3939	61
4294967881	482	497	-0.2692	3945	3820
17179869773	497	4294968083	-0.4224	3844	3984
618	478	485	-0.3220	3993	3938
757	497	504	0.8926	3982	3997
721	478	500	0.7382	3985	3997
4294968231	478	490	-0.2123	3926	3619
928	490	508	0.9436	3957	3971
617	482	514	0.9437	3993	3996
847	500	508	-0.3174	3972	3828
677	485	510	-0.4676	3989	3931
4294967993	479	4294968083	0.0454	3849	3954
4294967905	479	510	-0.4545	3968	3867
848	475	490	-0.0000	3971	29
891	482	500	0.9763	3962	3988
939	500	504	-0.2516	3955	3668
970	482	510	-0.1655	3949	3948
4294967807	478	514	-0.3590	3931	3785
8589935144	490	504	-0.8010	3937	3996
565	485	497	-0.0316	3997	3903
896	490	510	-0.3079	3961	3970
4294968128	497	510	-0.4318	3969	3938
630	504	514	0.0962	3993	3940
595	482	508	-0.4132	3995	3924
4294967942	479	504	-0.1624	3968	3993
8589935451	478	479	-0.5523	3925	3886
638	504	508	-0.4199	3992	3914
4294968067	485	504	-0.6031	3969	3976
4294967981	510	514	0.4275	3968	3963
837	490	500	-0.3423	3974	3963
793	478	510	0.9920	3979	3996
608	482	485	-0.5415	3994	4000
890	497	500	-0.0242	3962	3966
579	479	514	1.0000	3996	4000
834	500	514	-0.0584	3975	3975
655	479	500	-0.3585	3990	3999
4294967802	500	4294968083	-0.4937	3813	3943
4294968073	490	4294968083	-0.1192	3809	3467
4294967980	485	4294968083	-0.5698	3807	3921
12884902660	504	8589935175	-0.3859	3729	3747
