# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	9385.1084	0.4974	6001	0.4000	1,0,0	0.5000	16
4294968083	1979.0381	0.0562	5850	0.4000	1,1,1	0.5000	21
500	7274.2690	-0.2080	6001	0.4000	2,3,3	0.5000	47
478	11118.3096	0.4650	6001	0.4000	0,3,3	0.5000	15
479	10291.7998	0.2779	6001	0.4000	3,3,3	0.5000	63
510	8702.7236	0.2767	6001	0.4000	0,1,3	0.5000	7
504	6361.4287	0.3706	6001	0.4000	2,3,3	0.5000	47
482	8692.3242	0.1030	6001	0.4000	2,2,3	0.5000	43
490	3917.6445	0.2571	6001	0.4000	1,2,3	0.5000	27
514	8690.1904	-0.2567	6001	0.4000	3,1,2	0.5000	54
485	6616.7378	0.2703	6001	0.4000	0,0,0	0.5000	0
508	4389.0049	0.4281	6001	0.4000	3,1,1	0.5000	53
8589935175	4350.5918	-0.2574	5750	0.4000	1,3,1	0.5000	29
12884902386	4728.1855	0.3899	5700	0.4000	1,3,3	0.5000	31
8589935286	3391.5015	0.3007	5650	0.4000	2,1,1	0.5000	37
21474837346	7855.8857	0.2930	5100	0.4000	0,0,0	0.5000	0
8589935398	4876.8330	0.4422	4900	0.4000	1,0,1	0.5000	17
17179870127	9825.5518	0.2306	5300	0.4000	1,0,3	0.5000	19
30064771991	7890.7139	0.3837	4650	0.4000	1,3,2	0.5000	30
4294967864	5614.7910	0.0777	4700	0.4000	2,0,3	0.5000	35
17179869935	5128.4526	-0.2420	4450	0.4000	0,3,3	0.5000	15
17179869720	2138.5769	0.1011	4400	0.4000	2,0,3	0.5000	35
12884902384	5678.0205	-0.2807	4300	0.4000	1,2,3	0.5000	27
4294968022	1329.3596	-0.1883	4050	0.4000	3,2,0	0.5000	56
8589935205	4477.5532	0.0102	3950	0.4000	3,1,3	0.5000	55
17179870099	7186.5459	0.3229	3850	0.4000	1,1,1	0.5000	21
4294968038	8549.4453	0.1942	3550	0.4000	0,0,0	0.5000	0
4294968136	2363.5757	0.4165	3300	0.4000	2,1,3	0.5000	39
8589935312	1060.0530	-0.1105	3600	0.4000	1,0,2	0.5000	18
21474837026	4449.7461	0.2895	3250	0.4000	3,1,3	0.5000	55
1036	4227.0645	0.3047	3050	0.4000	1,2,0	0.5000	24
4294968406	2471.5703	0.1024	2200	0.4000	1,1,2	0.5000	22
25769804570	2665.6411	-0.2905	2950	0.4000	0,2,2	0.5000	10
8589935760	3483.6128	0.2116	2300	0.4000	1,2,1	0.5000	25
60129542923	761.7469	0.1432	950	0.4000	3,0,0	0.5000	48
42949674019	37.1286	0.1940	650	0.4000	2,1,1	0.5000	37
55834575836	158.7628	0.4123	400	0.4000	1,0,2	0.5000	18
38654706688	64.7157	0.4633	500	0.4000	2,3,1	0.5000	45
60129543166	112.9527	0.0095	350	0.4000	0,1,3	0.5000	7
1326	15.3663	-0.2533	150	0.4000	1,3,2	0.5000	30
8589935953	92.2344	0.4696	50	0.4000	3,2,2	0.5000	58

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.3813	5909	5781
909	478	504	0.8701	5960	5997
517	478	482	0.9940	6000	5997
8589935284	497	514	-0.1366	5934	5932
12884902752	514	4294968083	-0.2641	5831	5666
4294968086	504	510	-0.3152	5922	5855
4294967787	482	4294968083	-0.1012	5833	5914
855	485	500	-0.4031	5971	5907
8589935392	504	4294968083	-0.3185	5836	5876
747	478	508	-0.4992	5983	5942
8589935464	490	497	-0.2675	5926	5829
8589935404	479	508	-0.3235	5914	5953
8589935125	510	4294968083	-0.5453	5838	5990
4294968229	490	502	-0.0000	5948	52
653	485	514	-0.3677	5991	5731
690	485	490	0.7057	5988	5972
4294968007	486	500	-0.0000	5909	91
624	500	510	-0.1741	5993	5963
4294968000	482	504	0.7901	5972	5995
899	478	497	-0.0919	5961	5996
930	479	485	-0.4756	5956	6000
4294968202	497	508	0.7419	5938	5999
844	492	514	-0.0000	5974	26
4294968004	478	4294968083	-0.3871	5843	5989
850	482	490	-0.0781	5971	5886
8589935256	490	514	-0.3702	5903	5904
4294968103	479	482	-0.7653	5919	5955
4294968118	479	490	-0.2904	5920	5952
4294968196	508	514	-0.3969	5923	5837
4294968194	485	508	-0.3341	5901	5964
795	479	497	-0.4510	5978	5987
8589935184	490	496	-0.0000	5939	61
4294967881	482	497	-0.3723	5945	5825
17179869773	497	4294968083	-0.1477	5844	5995
618	478	485	-0.3125	5993	5652
757	497	504	0.4610	5982	5949
721	478	500	1.0000	5985	6000
4294968231	478	490	-0.3908	5926	5888
928	490	508	0.3227	5957	6000
617	482	514	0.9861	5993	5993
847	500	508	-0.1909	5972	5909
677	485	510	-0.5585	5989	5998
4294967993	479	4294968083	0.3481	5849	5960
4294967905	479	510	-0.4492	5968	5932
848	475	490	-0.0000	5971	29
891	482	500	0.7588	5962	5937
939	500	504	-0.1130	5955	5980
970	482	510	-0.2097	5949	5813
4294967807	478	514	-0.3898	5931	5633
8589935144	490	504	-0.2246	5937	5966
565	485	497	0.2598	5997	5962
896	490	510	-0.5458	5961	5867
4294968128	497	510	-0.3685	5969	5906
630	504	514	0.6302	5993	5985
595	482	508	-0.4238	5995	5891
4294967942	479	504	-0.0064	5968	5935
8589935451	478	479	-0.3941	5925	5839
638	504	508	-0.2875	5992	5864
4294968067	485	504	-0.3183	5969	5999
4294967981	510	514	0.0383	5968	5820
837	490	500	-0.3887	5974	5820
793	478	510	0.9960	5979	5998
608	482	485	-0.3926	5994	5886
890	497	500	-0.0397	5962	5988
579	479	514	0.8589	5996	5995
834	500	514	-0.2507	5975	5766
655	479	500	-0.4148	5990	5899
4294967802	500	4294968083	-0.3593	5813	5868
4294968073	490	4294968083	-0.4887	5809	5901
4294967980	485	4294968083	0.2781	5807	5993
12884902660	504	8589935175	-0.4728	5729	5981
8589935427	497	8589935175	-0.3510	5747	5993
8589935087	4294968083	8589935175	-0.3263	5738	5890
8589935346	508	8589935175	-0.4479	5748	5975
8589935069	510	8589935175	0.9627	5740	5981
12884902656	478	8589935175	-0.5411	5742	5949
8589935191	490	8589935175	-0.3932	5744	6000
