# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	10433.1084	0.4974	8001	0.4000	1,0,0	0.5000	16
4294968083	2049.0381	0.0562	7850	0.4000	1,1,1	0.5000	21
500	10249.2695	-0.2080	8001	0.4000	2,3,3	0.5000	47
478	13225.3096	0.4650	8001	0.4000	0,3,3	0.5000	15
479	14091.7998	0.2779	8001	0.4000	3,3,3	0.5000	63
510	10286.7236	0.2767	8001	0.4000	0,1,3	0.5000	7
504	6269.4287	0.3706	8001	0.4000	2,3,3	0.5000	47
482	13086.3242	0.1030	8001	0.4000	2,2,3	0.5000	43
490	4087.6445	0.2571	8001	0.4000	1,2,3	0.5000	27
514	7954.1904	-0.2567	8001	0.4000	3,1,2	0.5000	54
485	6934.7378	0.2703	8001	0.4000	0,0,0	0.5000	0
508	4976.0049	0.4281	8001	0.4000	3,1,1	0.5000	53
8589935175	7440.5918	-0.2574	7750	0.4000	1,3,1	0.5000	29
12884902386	7387.1855	0.3899	7700	0.4000	1,3,3	0.5000	31
8589935286	4286.5015	0.3007	7650	0.4000	2,1,1	0.5000	37
21474837346	10324.8857	0.2930	7100	0.4000	0,0,0	0.5000	0
8589935398	7291.8330	0.4422	6900	0.4000	1,0,1	0.5000	17
17179870127	11128.5518	0.2306	7300	0.4000	1,0,3	0.5000	19
30064771991	11108.7139	0.3837	6650	0.4000	1,3,2	0.5000	30
4294967864	7705.7910	0.0777	6700	0.4000	2,0,3	0.5000	35
17179869935	5962.4526	-0.2420	6450	0.4000	0,3,3	0.5000	15
17179869720	1270.5769	0.1011	6400	0.4000	2,0,3	0.5000	35
12884902384	8740.0205	-0.2807	6300	0.4000	1,2,3	0.5000	27
4294968022	448.3596	-0.1883	6050	0.4000	3,2,0	0.5000	56
8589935205	6224.5532	0.0102	5950	0.4000	3,1,3	0.5000	55
17179870099	9994.5459	0.3229	5850	0.4000	1,1,1	0.5000	21
4294968038	11692.4453	0.1942	5550	0.4000	0,0,0	0.5000	0
4294968136	2908.5757	0.4165	5300	0.4000	2,1,3	0.5000	39
8589935312	1999.0530	-0.1105	5600	0.4000	1,0,2	0.5000	18
21474837026	7126.7461	0.2895	5250	0.4000	3,1,3	0.5000	55
1036	7206.0645	0.3047	5050	0.4000	1,2,0	0.5000	24
4294968406	4528.5703	0.1024	4200	0.4000	1,1,2	0.5000	22
25769804570	3433.6411	-0.2905	4950	0.4000	0,2,2	0.5000	10
8589935760	6456.6128	0.2116	4300	0.4000	1,2,1	0.5000	25
60129542923	2888.7468	0.1432	2950	0.4000	3,0,0	0.5000	48
60129543166	2902.9526	0.0095	2350	0.4000	0,1,3	0.5000	7
60129543205	678.2936	-0.2262	1400	0.4000	3,2,3	0.5000	59
55834575986	571.6515	-0.0010	1250	0.4000	3,1,1	0.5000	53
12884903254	211.3050	-0.0379	450	0.4000	0,3,2	0.5000	14
51539608744	17.0222	-0.2358	50	0.4000	1,1,1	0.5000	21

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.5165	7909	7993
909	478	504	0.7792	7960	7994
517	478	482	0.8210	8000	7996
8589935284	497	514	-0.3277	7934	7879
12884902752	514	4294968083	-0.5141	7831	7969
4294968086	504	510	-0.3095	7922	7892
4294967787	482	4294968083	0.2495	7833	7882
855	485	500	-0.2087	7971	7787
8589935392	504	4294968083	-0.5223	7836	7821
747	478	508	-0.4867	7983	7893
8589935464	490	497	0.6732	7926	7992
8589935404	479	508	-0.4259	7914	7857
8589935125	510	4294968083	-0.5563	7838	7989
4294968229	490	502	-0.0000	7948	52
653	485	514	-0.7358	7991	7934
690	485	490	-0.2390	7988	7959
4294968007	486	500	-0.0000	7909	91
624	500	510	-0.5243	7993	7914
4294968000	482	504	0.9608	7972	7980
899	478	497	-0.4659	7961	7932
930	479	485	-0.1769	7956	7913
4294968202	497	508	0.7416	7938	7910
844	492	514	-0.0000	7974	26
4294968004	478	4294968083	-0.7124	7843	7985
850	482	490	-0.1730	7971	7965
8589935256	490	514	-0.3826	7903	7944
4294968103	479	482	-0.3313	7919	7899
4294968118	479	490	-0.1199	7920	7966
4294968196	508	514	-0.3812	7923	7849
4294968194	485	508	-0.4283	7901	7983
795	479	497	-0.0416	7978	7973
8589935184	490	496	-0.0000	7939	61
4294967881	482	497	-0.2150	7945	7770
17179869773	497	4294968083	0.1808	7844	7935
618	478	485	-0.2058	7993	7670
757	497	504	-0.4233	7982	7899
721	478	500	1.0000	7985	8000
4294968231	478	490	-0.3736	7926	7967
928	490	508	-0.7183	7957	7998
617	482	514	0.9743	7993	7987
847	500	508	-0.4607	7972	7947
677	485	510	-0.2998	7989	7901
4294967993	479	4294968083	0.8862	7849	7995
4294967905	479	510	0.0971	7968	7821
848	475	490	-0.0000	7971	29
891	482	500	0.9627	7962	7981
939	500	504	-0.1204	7955	7982
970	482	510	-0.1291	7949	7713
4294967807	478	514	-0.3499	7931	7715
8589935144	490	504	-0.1203	7937	7930
565	485	497	-0.1309	7997	7941
896	490	510	-0.2374	7961	7970
4294968128	497	510	-0.7286	7969	7996
630	504	514	-0.3734	7993	7953
595	482	508	-0.1898	7995	7434
4294967942	479	504	-0.3244	7968	7898
8589935451	478	479	-0.1232	7925	7757
638	504	508	-0.2898	7992	7957
4294968067	485	504	-0.3997	7969	7940
4294967981	510	514	-0.3242	7968	7851
837	490	500	-0.3401	7974	7969
793	478	510	0.9802	7979	7990
608	482	485	-0.2297	7994	7980
890	497	500	-0.3800	7962	7889
579	479	514	-0.5053	7996	7932
834	500	514	-0.6640	7975	7997
655	479	500	-0.1949	7990	7935
4294967802	500	4294968083	-0.3149	7813	7881
4294968073	490	4294968083	-0.3677	7809	7993
4294967980	485	4294968083	-0.4321	7807	7985
12884902660	504	8589935175	-0.2460	7729	7884
8589935427	497	8589935175	-0.4285	7747	7970
8589935087	4294968083	8589935175	-0.3661	7738	7952
8589935346	508	8589935175	-0.2846	7748	7922
8589935069	510	8589935175	0.8964	7740	7998
12884902656	478	8589935175	-0.2890	7742	7796
