# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	13460.1084	0.4974	10001	0.4000	1,0,0	0.5000	16
4294968083	2476.0381	0.0562	9850	0.4000	1,1,1	0.5000	21
500	12962.2695	-0.2080	10001	0.4000	2,3,3	0.5000	47
478	15107.3096	0.4650	10001	0.4000	0,3,3	0.5000	15
479	17559.8008	0.2779	10001	0.4000	3,3,3	0.5000	63
510	11897.7236	0.2767	10001	0.4000	0,1,3	0.5000	7
504	7244.4287	0.3706	10001	0.4000	2,3,3	0.5000	47
482	16678.3242	0.1030	10001	0.4000	2,2,3	0.5000	43
490	3429.6445	0.2571	10001	0.4000	1,2,3	0.5000	27
514	7283.1904	-0.2567	10001	0.4000	3,1,2	0.5000	54
485	7399.7378	0.2703	10001	0.4000	0,0,0	0.5000	0
508	3392.0049	0.4281	10001	0.4000	3,1,1	0.5000	53
8589935175	9988.5918	-0.2574	9750	0.4000	1,3,1	0.5000	29
12884902386	9590.1855	0.3899	9700	0.4000	1,3,3	0.5000	31
8589935286	6386.5015	0.3007	9650	0.4000	2,1,1	0.5000	37
21474837346	11461.8857	0.2930	9100	0.4000	0,0,0	0.5000	0
8589935398	8093.8330	0.4422	8900	0.4000	1,0,1	0.5000	17
17179870127	12929.5518	0.2306	9300	0.4000	1,0,3	0.5000	19
30064771991	13187.7139	0.3837	8650	0.4000	1,3,2	0.5000	30
4294967864	9932.7910	0.0777	8700	0.4000	2,0,3	0.5000	35
17179869935	8042.4526	-0.2420	8450	0.4000	0,3,3	0.5000	15
17179869720	1814.5769	0.1011	8400	0.4000	2,0,3	0.5000	35
12884902384	10794.0205	-0.2807	8300	0.4000	1,2,3	0.5000	27
4294968744	133.3780	0.2095	500	0.4000	0,1,2	0.5000	6
8589935205	7985.5532	0.0102	7950	0.4000	3,1,3	0.5000	55
17179870099	11841.5459	0.3229	7850	0.4000	1,1,1	0.5000	21
4294968038	13660.4453	0.1942	7550	0.4000	0,0,0	0.5000	0
4294968136	2771.5757	0.4165	7300	0.4000	2,1,3	0.5000	39
8589935312	3820.0530	-0.1105	7600	0.4000	1,0,2	0.5000	18
21474837026	9912.7461	0.2895	7250	0.4000	3,1,3	0.5000	55
1036	10028.0645	0.3047	7050	0.4000	1,2,0	0.5000	24
4294968406	6901.5703	0.1024	6200	0.4000	1,1,2	0.5000	22
25769804570	3964.6411	-0.2905	6950	0.4000	0,2,2	0.5000	10
8589935760	8488.6133	0.2116	6300	0.4000	1,2,1	0.5000	25
60129542923	5276.7471	0.1432	4950	0.4000	3,0,0	0.5000	48
60129543166	6503.9526	0.0095	4350	0.4000	0,1,3	0.5000	7
60129543205	2748.2935	-0.2262	3400	0.4000	3,2,3	0.5000	59
55834575986	1799.6515	-0.0010	3250	0.4000	3,1,1	0.5000	53
12884903304	113.6442	-0.1623	100	0.4000	2,1,1	0.5000	37
90194314315	1812.0863	0.4609	1750	0.4000	2,0,0	0.5000	32
73014445169	472.7997	-0.0383	750	0.4000	3,1,3	0.5000	55
21474837933	10.2749	-0.0726	50	0.4000	2,2,0	0.5000	40

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.7199	9909	9991
909	478	504	0.9861	9960	9993
517	478	482	0.6181	10000	10000
8589935284	497	514	-0.2758	9934	9919
12884902752	514	4294968083	-0.3233	9831	9725
4294968086	504	510	-0.2139	9922	9910
4294967787	482	4294968083	-0.4701	9833	9983
855	485	500	-0.4990	9971	9871
8589935392	504	4294968083	-0.4050	9836	9868
747	478	508	-0.0127	9983	9991
8589935464	490	497	-0.4243	9926	9924
8589935404	479	508	-0.4755	9914	9917
8589935125	510	4294968083	-0.2958	9838	9829
4294968229	490	502	-0.0000	9948	52
653	485	514	-0.3680	9991	9970
690	485	490	-0.6474	9988	9946
4294968007	486	500	-0.0000	9909	91
624	500	510	-0.3722	9993	9726
4294968000	482	504	0.8987	9972	9977
899	478	497	-0.4775	9961	9962
930	479	485	-0.2213	9956	9746
4294968202	497	508	-0.3882	9938	9876
844	492	514	-0.0000	9974	26
4294968004	478	4294968083	-0.1961	9843	9632
850	482	490	-0.4601	9971	9850
8589935256	490	514	-0.4496	9903	9892
4294968103	479	482	-0.3850	9919	9769
4294968118	479	490	-0.1902	9920	9664
4294968196	508	514	-0.5524	9923	9825
4294968194	485	508	-0.5208	9901	9886
795	479	497	-0.4330	9978	9894
8589935184	490	496	-0.0000	9939	61
4294967881	482	497	-0.6008	9945	9954
17179869773	497	4294968083	0.8825	9844	9998
618	478	485	-0.0600	9993	9811
757	497	504	-0.2781	9982	9821
721	478	500	0.2059	9985	9998
4294968231	478	490	0.0539	9926	9799
928	490	508	-0.6330	9957	9949
617	482	514	1.0000	9993	10000
847	500	508	-0.3638	9972	9869
677	485	510	-0.3390	9989	9897
4294967993	479	4294968083	0.6214	9849	9994
4294967905	479	510	-0.2671	9968	9873
848	475	490	-0.0000	9971	29
891	482	500	-0.2813	9962	9993
939	500	504	-0.3328	9955	9727
970	482	510	-0.3717	9949	9901
4294967807	478	514	-0.4659	9931	9800
8589935144	490	504	-0.4064	9937	9853
565	485	497	-0.2850	9997	9871
896	490	510	-0.4283	9961	9983
4294968128	497	510	-0.3299	9969	9949
630	504	514	-0.2603	9993	9954
595	482	508	-0.3728	9995	9914
4294967942	479	504	-0.1988	9968	9989
8589935451	478	479	-0.1269	9925	9861
638	504	508	-0.3839	9992	9968
4294968067	485	504	-0.3770	9969	9728
4294967981	510	514	-0.2381	9968	9946
837	490	500	-0.3234	9974	9951
793	478	510	-0.4271	9979	9971
608	482	485	-0.5073	9994	9924
890	497	500	1.0000	9962	10000
579	479	514	-0.1350	9996	9882
834	500	514	-0.5415	9975	9986
655	479	500	0.9980	9990	9999
4294967802	500	4294968083	0.2176	9813	9969
4294968073	490	4294968083	-0.3139	9809	9895
4294967980	485	4294968083	-0.2283	9807	9983
12884902660	504	8589935175	-0.3253	9729	9842
8589935427	497	8589935175	-0.1436	9747	9310
8589935087	4294968083	8589935175	-0.3544	9738	9948
8589935346	508	8589935175	-0.3178	9748	9808
8589935069	510	8589935175	-0.2198	9740	9985
12884902656	478	8589935175	-0.3221	9742	9994
8589935191	490	8589935175	-0.5654	9744	9970
8589935497	508	4294968083	-0.2773	9771	9775
8589935373	485	8589935175	0.9920	9746	9996
