# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	14831.1084	0.4974	12001	0.4000	1,0,0	0.5000	16
4294968083	3081.0381	0.0562	11850	0.4000	1,1,1	0.5000	21
500	14050.2695	-0.2080	12001	0.4000	2,3,3	0.5000	47
478	15451.3096	0.4650	12001	0.4000	0,3,3	0.5000	15
479	19533.8008	0.2779	12001	0.4000	3,3,3	0.5000	63
510	13656.7236	0.2767	12001	0.4000	0,1,3	0.5000	7
504	8188.4287	0.3706	12001	0.4000	2,3,3	0.5000	47
482	18300.3242	0.1030	12001	0.4000	2,2,3	0.5000	43
490	3077.6445	0.2571	12001	0.4000	1,2,3	0.5000	27
514	6000.1904	-0.2567	12001	0.4000	3,1,2	0.5000	54
485	8776.7383	0.2703	12001	0.4000	0,0,0	0.5000	0
508	2444.0049	0.4281	12001	0.4000	3,1,1	0.5000	53
8589935175	11814.5918	-0.2574	11750	0.4000	1,3,1	0.5000	29
12884902386	10058.1855	0.3899	11700	0.4000	1,3,3	0.5000	31
8589935286	8987.5020	0.3007	11650	0.4000	2,1,1	0.5000	37
21474837346	14693.8857	0.2930	11100	0.4000	0,0,0	0.5000	0
8589935398	9904.8330	0.4422	10900	0.4000	1,0,1	0.5000	17
17179870127	14971.5518	0.2306	11300	0.4000	1,0,3	0.5000	19
30064771991	15563.7139	0.3837	10650	0.4000	1,3,2	0.5000	30
4294967864	12422.7910	0.0777	10700	0.4000	2,0,3	0.5000	35
17179869935	10047.4531	-0.2420	10450	0.4000	0,3,3	0.5000	15
17179869720	2519.5769	0.1011	10400	0.4000	2,0,3	0.5000	35
12884902384	13225.0205	-0.2807	10300	0.4000	1,2,3	0.5000	27
4294968744	2629.3779	0.2095	2500	0.4000	0,1,2	0.5000	6
8589935205	10575.5527	0.0102	9950	0.4000	3,1,3	0.5000	55
17179870099	14038.5459	0.3229	9850	0.4000	1,1,1	0.5000	21
4294968038	16040.4453	0.1942	9550	0.4000	0,0,0	0.5000	0
4294968136	2838.5757	0.4165	9300	0.4000	2,1,3	0.5000	39
8589935312	5426.0527	-0.1105	9600	0.4000	1,0,2	0.5000	18
21474837026	13127.7461	0.2895	9250	0.4000	3,1,3	0.5000	55
1036	13611.0645	0.3047	9050	0.4000	1,2,0	0.5000	24
4294968406	8002.5703	0.1024	8200	0.4000	1,1,2	0.5000	22
25769804570	6254.6411	-0.2905	8950	0.4000	0,2,2	0.5000	10
8589935760	10592.6133	0.2116	8300	0.4000	1,2,1	0.5000	25
60129542923	6223.7471	0.1432	6950	0.4000	3,0,0	0.5000	48
60129543166	10552.9531	0.0095	6350	0.4000	0,1,3	0.5000	7
60129543205	5915.2935	-0.2262	5400	0.4000	3,2,3	0.5000	59
55834575986	2641.6514	-0.0010	5250	0.4000	3,1,1	0.5000	53
30064771650	1045.3958	0.3564	1350	0.4000	3,3,3	0.5000	63
90194314315	1780.0864	0.4609	3750	0.4000	2,0,0	0.5000	32
73014445169	2081.7998	-0.0383	2750	0.4000	3,1,3	0.5000	55
60129542676	31.2001	0.2049	50	0.4000	3,1,1	0.5000	53
38654707129	83.7595	0.4254	650	0.4000	2,2,0	0.5000	40
4294968822	49.9806	0.3890	100	0.4000	2,1,2	0.5000	38

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.2406	11909	11971
909	478	504	-0.0565	11960	11966
517	478	482	-0.2941	12000	11904
8589935284	497	514	-0.4152	11934	11734
12884902752	514	4294968083	-0.2848	11831	11910
4294968086	504	510	-0.1675	11922	12000
4294967787	482	4294968083	-0.3264	11833	11812
855	485	500	-0.3094	11971	11787
8589935392	504	4294968083	0.7318	11836	11985
747	478	508	0.2098	11983	11967
8589935464	490	497	-0.1314	11926	11869
8589935404	479	508	-0.4038	11914	11857
8589935125	510	4294968083	-0.4555	11838	11833
4294968229	490	502	-0.0000	11948	52
653	485	514	-0.4441	11991	11997
690	485	490	-0.2930	11988	11865
4294968007	486	500	-0.0000	11909	91
624	500	510	0.0848	11993	11978
4294968000	482	504	0.1238	11972	11879
899	478	497	-0.5065	11961	11898
930	479	485	-0.4095	11956	11913
4294968202	497	508	-0.6145	11938	11961
844	492	514	-0.0000	11974	26
4294968004	478	4294968083	-0.3780	11843	11804
850	482	490	-0.0536	11971	11973
8589935256	490	514	-0.2044	11903	11939
4294968103	479	482	-0.2121	11919	11937
4294968118	479	490	-0.4795	11920	11875
4294968196	508	514	-0.2321	11923	11830
4294968194	485	508	0.3314	11901	11976
795	479	497	-0.4980	11978	11970
8589935184	490	496	-0.0000	11939	61
4294967881	482	497	-0.3815	11945	11999
17179869773	497	4294968083	0.9802	11844	11990
618	478	485	-0.3377	11993	11817
757	497	504	-0.2671	11982	11919
721	478	500	-0.4198	11985	11878
4294968231	478	490	-0.4564	11926	11923
928	490	508	-0.4267	11957	11962
617	482	514	0.9782	11993	11989
847	500	508	-0.3761	11972	11873
677	485	510	-0.4268	11989	11996
4294967993	479	4294968083	-0.2785	11849	11985
4294967905	479	510	-0.6135	11968	11921
848	475	490	-0.0000	11971	29
891	482	500	-0.4761	11962	11907
939	500	504	-0.4465	11955	11928
970	482	510	-0.3682	11949	11949
4294967807	478	514	-0.4699	11931	11813
8589935144	490	504	-0.3982	11937	11935
565	485	497	-0.4295	11997	11916
896	490	510	-0.4983	11961	11966
4294968128	497	510	-0.4329	11969	11967
630	504	514	-0.3715	11993	11872
595	482	508	-0.4029	11995	11863
4294967942	479	504	-0.0485	11968	11996
8589935451	478	479	-0.5055	11925	11984
638	504	508	-0.3589	11992	11932
4294968067	485	504	-0.3017	11969	11963
4294967981	510	514	-0.4399	11968	11868
837	490	500	-0.5222	11974	11995
793	478	510	-0.3453	11979	11884
608	482	485	-0.2492	11994	11981
890	497	500	0.9821	11962	11991
579	479	514	-0.3856	11996	11943
834	500	514	-0.4436	11975	11921
655	479	500	0.6489	11990	11969
4294967802	500	4294968083	-0.3948	11813	11883
4294968073	490	4294968083	-0.7377	11809	11963
4294967980	485	4294968083	-0.4722	11807	11980
12884902660	504	8589935175	-0.2019	11729	11801
8589935427	497	8589935175	-0.5528	11747	11751
8589935087	4294968083	8589935175	0.9241	11738	11964
8589935346	508	8589935175	-0.2855	11748	11766
8589935069	510	8589935175	-0.0494	11740	11976
12884902656	478	8589935175	-0.6030	11742	11999
8589935191	490	8589935175	0.0713	11744	11870
8589935497	508	4294968083	-0.3080	11771	11996
8589935373	485	8589935175	0.3269	11746	11941
8589935097	514	8589935175	-0.3924	11746	11837
8589935189	500	8589935175	-0.3732	11716	11873
17179870152	482	8589935175	-0.4791	11713	11991
12884902499	514	12884902386	-0.2771	11699	11947
12884902646	485	12884902386	0.0803	11697	11976
21474836972	500	12884902386	-0.1807	11695	11818
12884902475	510	12884902386	0.0108	11694	11953
12884902363	497	12884902386	-0.3229	11693	11890
12884902661	479	12884902386	-0.3930	11692	11959
8589935558	479	8589935175	-0.2871	11690	11985
8589935237	508	12884902386	-0.2989	11689	11740
8589935554	504	12884902386	-0.5064	11689	11972
12884902822	478	12884902386	-0.0536	11688	11773
17179870046	4294968083	12884902386	-0.1991	11687	11476
8589935485	490	12884902386	-0.3563	11678	11874
4294968159	8589935175	12884902386	-0.1023	11671	11931
4294968058	482	12884902386	1.0000	11669	12000
4294968193	500	8589935286	-0.7360	11648	11998
8589935411	8589935175	8589935286	-0.0700	11648	11991
4294967976	4294968083	8589935286	0.5882	11646	11960
4294967945	504	8589935286	-0.3097	11645	11970
8589935081	514	8589935286	-0.4197	11643	11925
12884902776	478	8589935286	-0.0677	11641	11967
4294967819	510	8589935286	0.5511	11640	11990
8589935517	479	8589935286	-0.4836	11631	11887
8589935085	485	8589935286	-0.3845	11629	11791
4294967958	482	8589935286	-0.2384	11618	11849
4294968169	8589935286	12884902386	-0.2030	11615	11603
4294968145	490	8589935286	-0.6210	11613	11984
8589935342	508	8589935286	0.2725	11613	11982
17179869806	482	21474837346	-0.2457	11094	11717
4294968111	497	8589935286	-0.4687	11598	11923
17179869739	12884902386	21474837346	-0.5099	11094	11933
17179870111	8589935286	21474837346	-0.6391	11096	11946
17179869925	510	21474837346	-0.1780	11097	11995
8589935197	4294967864	30064771991	-0.0895	10642	11513
21474837225	17179870127	21474837346	-0.2096	11098	11814
17179870141	508	21474837346	-0.3825	11099	11997
21474837354	8589935175	21474837346	-0.2638	11099	11691
8589935487	478	8589935398	-0.4256	10884	11917
12884902636	478	21474837346	-0.1669	11090	11900
4294968249	12884902386	17179870127	-0.2827	11272	11973
4294968116	8589935175	17179870127	-0.3553	11271	11919
4294968238	504	17179870127	0.3740	11269	11993
17179869737	485	8589935398	-0.3075	10891	11974
34359738849	485	30064771991	0.9841	10644	11992
30064771558	8589935286	8589935398	-0.2122	10893	11780
8589935418	497	8589935398	-0.2163	10894	11985
12884902647	8589935175	8589935398	-0.0002	10895	11938
8589935524	514	17179870127	-0.2722	11255	11932
25769804592	479	30064771991	-0.3131	10646	11922
25769804687	490	30064771991	-0.4844	10648	11940
25769804529	514	8589935398	-0.3552	10837	11563
25769804275	17179870127	30064771991	0.4367	10648	11977
25769804594	514	30064771991	-0.4222	10649	11916
17179869687	482	8589935398	-0.4614	10874	11992
8589935104	508	17179870127	-0.4183	11204	11849
34359739195	510	4294967864	-0.3703	10649	11707
30064771732	479	8589935398	-0.2282	10812	11970
21474837289	478	17179870127	-0.4453	11299	11785
21474836989	8589935286	17179870127	-0.4577	11297	11857
38654706615	4294967864	21474837346	0.8568	10691	11991
4294967900	500	17179870127	0.0127	11257	11979
12884902426	479	17179870127	0.6206	11295	11995
12884902686	510	17179870127	0.8979	11293	11994
4294968031	485	17179870127	-0.0818	11267	11942
12884902447	490	17179870127	-0.3074	11292	11813
17179869705	497	4294967864	-0.3481	10659	11962
12884902624	4294968083	17179870127	-0.4676	11284	11979
17179869664	482	17179870127	0.9323	11278	11965
12884902509	497	17179870127	-0.0308	11277	11922
17179869697	485	21474837346	-0.1165	11084	11990
21474837028	4294968083	21474837346	-0.3313	11081	11979
17179869911	504	21474837346	-0.3203	11080	11967
17179870015	490	21474837346	0.3551	11077	12000
30064771636	514	21474837346	-0.2525	11051	11857
21474837258	500	21474837346	-0.2657	11049	11789
17179870040	497	21474837346	-0.0438	11047	11827
21474837301	479	21474837346	-0.3085	11043	11885
17179869726	490	8589935398	-0.6928	10848	11991
12884902542	4294967864	17179870127	0.1273	10661	11975
12884902838	504	8589935398	-0.3033	10858	11954
17179869667	510	8589935398	0.0552	10860	11945
17179869668	8589935398	21474837346	-0.3359	10868	11810
8589935403	500	8589935398	0.4129	10896	11998
12884902811	508	8589935398	-0.3113	10873	11791
12884902766	8589935398	12884902386	-0.2977	10899	11934
12884902634	4294968083	8589935398	-0.3606	10876	11777
17179870023	490	4294967864	-0.4777	10669	11986
17179870042	4294967864	8589935175	-0.1008	10680	11971
8589935231	504	4294967864	-0.3500	10681	11852
8589935510	514	4294967864	-0.6429	10682	11975
4294968025	4294967864	8589935286	-0.4579	10693	11946
8589935367	500	4294967864	-0.3833	10698	11906
8589935212	508	4294967864	-0.2872	10684	11981
30064771896	8589935398	17179870127	0.4651	10743	11978
8589935361	482	4294967864	-0.5546	10685	11962
8589935304	479	4294967864	0.0683	10687	11963
12884902849	4294967864	12884902386	-0.4798	10689	11895
12884902654	4294967864	4294968083	-0.2507	10691	11543
21474837050	21474837346	30064771991	-0.3589	10639	11953
30064771682	4294967864	8589935398	-0.3750	10637	11879
21474837123	8589935286	30064771991	0.9960	10635	11998
12884902705	4294968083	30064771991	-0.1916	10635	11943
30064771566	485	4294967864	0.9743	10630	11987
25769804499	478	4294967864	0.5037	10625	11969
8589935529	482	30064771991	-0.2327	10623	11844
30064772028	478	30064771991	0.0334	10623	11887
25769804342	8589935175	30064771991	0.9920	10621	11996
34359738897	8589935398	30064771991	-0.6590	10621	11978
30064771600	504	30064771991	-0.4419	10614	11974
21474837260	500	30064771991	-0.5430	10611	11985
21474837426	12884902386	30064771991	0.9763	10608	11988
