# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	14129.1084	0.4974	14001	0.4000	1,0,0	0.5000	16
4294968083	5255.0381	0.0562	13850	0.4000	1,1,1	0.5000	21
500	14798.2695	-0.2080	14001	0.4000	2,3,3	0.5000	47
478	15951.3096	0.4650	14001	0.4000	0,3,3	0.5000	15
479	21426.8008	0.2779	14001	0.4000	3,3,3	0.5000	63
510	16087.7236	0.2767	14001	0.4000	0,1,3	0.5000	7
504	10204.4287	0.3706	14001	0.4000	2,3,3	0.5000	47
482	20663.3242	0.1030	14001	0.4000	2,2,3	0.5000	43
490	2330.6445	0.2571	14001	0.4000	1,2,3	0.5000	27
514	3878.1904	-0.2567	14001	0.4000	3,1,2	0.5000	54
485	10813.7383	0.2703	14001	0.4000	0,0,0	0.5000	0
508	4457.0049	0.4281	14001	0.4000	3,1,1	0.5000	53
8589935175	14002.5918	-0.2574	13750	0.4000	1,3,1	0.5000	29
12884902386	10641.1855	0.3899	13700	0.4000	1,3,3	0.5000	31
8589935286	10445.5020	0.3007	13650	0.4000	2,1,1	0.5000	37
21474837346	17584.8867	0.2930	13100	0.4000	0,0,0	0.5000	0
8589935398	12044.8330	0.4422	12900	0.4000	1,0,1	0.5000	17
17179870127	18684.5508	0.2306	13300	0.4000	1,0,3	0.5000	19
30064771991	18092.7148	0.3837	12650	0.4000	1,3,2	0.5000	30
4294967864	14247.7910	0.0777	12700	0.4000	2,0,3	0.5000	35
17179869935	13320.4531	-0.2420	12450	0.4000	0,3,3	0.5000	15
17179869720	2260.5769	0.1011	12400	0.4000	2,0,3	0.5000	35
12884902384	15650.0205	-0.2807	12300	0.4000	1,2,3	0.5000	27
4294968744	4331.3779	0.2095	4500	0.4000	0,1,2	0.5000	6
8589935205	12781.5527	0.0102	11950	0.4000	3,1,3	0.5000	55
17179870099	15733.5459	0.3229	11850	0.4000	1,1,1	0.5000	21
4294968038	18372.4453	0.1942	11550	0.4000	0,0,0	0.5000	0
4294968136	2959.5757	0.4165	11300	0.4000	2,1,3	0.5000	39
8589935312	8325.0527	-0.1105	11600	0.4000	1,0,2	0.5000	18
21474837026	17046.7461	0.2895	11250	0.4000	3,1,3	0.5000	55
1036	18288.0645	0.3047	11050	0.4000	1,2,0	0.5000	24
4294968406	8718.5703	0.1024	10200	0.4000	1,1,2	0.5000	22
25769804570	8816.6406	-0.2905	10950	0.4000	0,2,2	0.5000	10
8589935760	14168.6133	0.2116	10300	0.4000	1,2,1	0.5000	25
60129542923	9984.7471	0.1432	8950	0.4000	3,0,0	0.5000	48
60129543166	13273.9531	0.0095	8350	0.4000	0,1,3	0.5000	7
60129543205	8125.2935	-0.2262	7400	0.4000	3,2,3	0.5000	59
55834575986	3783.6514	-0.0010	7250	0.4000	3,1,1	0.5000	53
30064771650	2416.3958	0.3564	3350	0.4000	3,3,3	0.5000	63
90194314315	2092.0864	0.4609	5750	0.4000	2,0,0	0.5000	32
73014445169	4891.7998	-0.0383	4750	0.4000	3,1,3	0.5000	55
124554052834	1370.1406	-0.1058	1650	0.4000	3,3,0	0.5000	60
21474838038	237.3557	0.1232	400	0.4000	2,2,1	0.5000	41
1625	15.3501	-0.0479	50	0.4000	2,2,2	0.5000	42
1577	27.5117	-0.0181	100	0.4000	0,2,1	0.5000	9

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.0758	13909	13829
909	478	504	-0.3747	13960	13813
517	478	482	-0.2164	14000	13908
8589935284	497	514	-0.3179	13934	13752
12884902752	514	4294968083	-0.4787	13831	13963
4294968086	504	510	-0.1744	13922	13979
4294967787	482	4294968083	-0.4023	13833	13743
855	485	500	-0.0853	13971	13785
8589935392	504	4294968083	0.9900	13836	13995
747	478	508	-0.2283	13983	13852
8589935464	490	497	-0.3271	13926	13878
8589935404	479	508	-0.4428	13914	13981
8589935125	510	4294968083	-0.5519	13838	13976
4294968229	490	502	-0.0000	13948	52
653	485	514	-0.5790	13991	13952
690	485	490	-0.5061	13988	13913
4294968007	486	500	-0.0000	13909	91
624	500	510	0.7215	13993	13999
4294968000	482	504	0.0053	13972	13939
899	478	497	-0.0810	13961	13894
930	479	485	-0.2745	13956	13753
4294968202	497	508	-0.2665	13938	13564
844	492	514	-0.0000	13974	26
4294968004	478	4294968083	-0.2675	13843	13879
850	482	490	-0.5218	13971	13965
8589935256	490	514	-0.4099	13903	13801
4294968103	479	482	-0.3157	13919	13875
4294968118	479	490	-0.4218	13920	13854
4294968196	508	514	-0.1598	13923	13998
4294968194	485	508	0.9588	13901	13979
795	479	497	-0.2821	13978	13995
8589935184	490	496	-0.0000	13939	61
4294967881	482	497	-0.3945	13945	13962
17179869773	497	4294968083	0.9980	13844	13999
618	478	485	-0.1447	13993	13856
757	497	504	-0.3848	13982	13928
721	478	500	-0.1718	13985	13884
4294968231	478	490	-0.4365	13926	13913
928	490	508	-0.0588	13957	13874
617	482	514	0.9665	13993	13983
847	500	508	-0.3499	13972	13892
677	485	510	-0.3219	13989	13981
4294967993	479	4294968083	-0.4290	13849	13867
4294967905	479	510	-0.1131	13968	13986
848	475	490	-0.0000	13971	29
891	482	500	-0.3468	13962	13988
939	500	504	-0.4997	13955	13958
970	482	510	-0.3940	13949	13916
4294967807	478	514	-0.2484	13931	13881
8589935144	490	504	0.0810	13937	13986
565	485	497	-0.2404	13997	13963
896	490	510	-0.3075	13961	13792
4294968128	497	510	-0.2984	13969	13942
630	504	514	0.1563	13993	13941
595	482	508	-0.0754	13995	13926
4294967942	479	504	-0.4194	13968	13964
8589935451	478	479	-0.3735	13925	13874
638	504	508	-0.2168	13992	13689
4294968067	485	504	-0.2574	13969	13845
4294967981	510	514	-0.4556	13968	13888
837	490	500	-0.3454	13974	13956
793	478	510	-0.4463	13979	13952
608	482	485	0.6941	13994	13976
890	497	500	0.8821	13962	13983
579	479	514	-0.4180	13996	13845
834	500	514	-0.4855	13975	13921
655	479	500	0.0829	13990	13976
4294967802	500	4294968083	0.3440	13813	13975
4294968073	490	4294968083	-0.1481	13809	13501
4294967980	485	4294968083	-0.3219	13807	13966
12884902660	504	8589935175	-0.1094	13729	13864
8589935427	497	8589935175	-0.3388	13747	13990
8589935087	4294968083	8589935175	0.9724	13738	13986
8589935346	508	8589935175	-0.2348	13748	13993
8589935069	510	8589935175	-0.3639	13740	13969
12884902656	478	8589935175	-0.4687	13742	13919
8589935191	490	8589935175	-0.3717	13744	13931
8589935497	508	4294968083	-0.3335	13771	13916
8589935373	485	8589935175	-0.1546	13746	13980
8589935097	514	8589935175	-0.4640	13746	13967
8589935189	500	8589935175	-0.2269	13716	13963
17179870152	482	8589935175	-0.2122	13713	14000
12884902499	514	12884902386	-0.5942	13699	13832
