# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	13678.1084	0.4974	16001	0.4000	1,0,0	0.5000	16
4294968083	8030.0381	0.0562	15850	0.4000	1,1,1	0.5000	21
500	15687.2695	-0.2080	16001	0.4000	2,3,3	0.5000	47
478	16667.3086	0.4650	16001	0.4000	0,3,3	0.5000	15
479	21816.8008	0.2779	16001	0.4000	3,3,3	0.5000	63
510	17545.7227	0.2767	16001	0.4000	0,1,3	0.5000	7
504	10152.4287	0.3706	16001	0.4000	2,3,3	0.5000	47
482	21990.3242	0.1030	16001	0.4000	2,2,3	0.5000	43
490	2400.6445	0.2571	16001	0.4000	1,2,3	0.5000	27
514	3115.1904	-0.2567	16001	0.4000	3,1,2	0.5000	54
485	13254.7383	0.2703	16001	0.4000	0,0,0	0.5000	0
508	5838.0049	0.4281	16001	0.4000	3,1,1	0.5000	53
8589935175	17064.5918	-0.2574	15750	0.4000	1,3,1	0.5000	29
12884902386	10788.1855	0.3899	15700	0.4000	1,3,3	0.5000	31
8589935286	10778.5020	0.3007	15650	0.4000	2,1,1	0.5000	37
21474837346	18372.8867	0.2930	15100	0.4000	0,0,0	0.5000	0
8589935398	12018.8330	0.4422	14900	0.4000	1,0,1	0.5000	17
17179870127	20685.5508	0.2306	15300	0.4000	1,0,3	0.5000	19
30064771991	20949.7148	0.3837	14650	0.4000	1,3,2	0.5000	30
4294967864	15951.7910	0.0777	14700	0.4000	2,0,3	0.5000	35
17179869935	14876.4531	-0.2420	14450	0.4000	0,3,3	0.5000	15
17179869720	2666.5769	0.1011	14400	0.4000	2,0,3	0.5000	35
12884902384	17696.0195	-0.2807	14300	0.4000	1,2,3	0.5000	27
4294968744	6246.3779	0.2095	6500	0.4000	0,1,2	0.5000	6
8589935205	13815.5527	0.0102	13950	0.4000	3,1,3	0.5000	55
17179870099	16863.5469	0.3229	13850	0.4000	1,1,1	0.5000	21
4294968038	20588.4453	0.1942	13550	0.4000	0,0,0	0.5000	0
4294968136	3179.5757	0.4165	13300	0.4000	2,1,3	0.5000	39
8589935312	9568.0527	-0.1105	13600	0.4000	1,0,2	0.5000	18
21474837026	19011.7461	0.2895	13250	0.4000	3,1,3	0.5000	55
1036	20053.0645	0.3047	13050	0.4000	1,2,0	0.5000	24
4294968406	10131.5703	0.1024	12200	0.4000	1,1,2	0.5000	22
25769804570	11304.6406	-0.2905	12950	0.4000	0,2,2	0.5000	10
8589935760	17053.6133	0.2116	12300	0.4000	1,2,1	0.5000	25
60129542923	13052.7471	0.1432	10950	0.4000	3,0,0	0.5000	48
60129543166	14679.9531	0.0095	10350	0.4000	0,1,3	0.5000	7
60129543205	9421.2930	-0.2262	9400	0.4000	3,2,3	0.5000	59
55834575986	5059.6514	-0.0010	9250	0.4000	3,1,1	0.5000	53
30064771650	4026.3958	0.3564	5350	0.4000	3,3,3	0.5000	63
90194314315	3125.0864	0.4609	7750	0.4000	2,0,0	0.5000	32
73014445169	6345.7998	-0.0383	6750	0.4000	3,1,3	0.5000	55
124554052834	3855.1406	-0.1058	3650	0.4000	3,3,0	0.5000	60
21474838038	554.3557	0.1232	2400	0.4000	2,2,1	0.5000	41
30064772731	8.7773	-0.1602	150	0.4000	0,0,0	0.5000	0
25769805397	147.3942	0.3724	250	0.4000	2,0,0	0.5000	32
60129543699	38.8693	-0.2425	100	0.4000	3,3,3	0.5000	63
17179870782	27.6773	0.2136	50	0.4000	1,0,0	0.5000	16

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.3956	15909	15933
909	478	504	-0.3437	15960	15957
517	478	482	-0.2934	16000	15795
8589935284	497	514	-0.3146	15934	15859
12884902752	514	4294968083	-0.0074	15831	15991
4294968086	504	510	-0.4289	15922	15931
4294967787	482	4294968083	-0.6622	15833	15964
855	485	500	-0.4919	15971	15911
8589935392	504	4294968083	0.9980	15836	15999
747	478	508	-0.1446	15983	15986
8589935464	490	497	-0.3989	15926	15923
8589935404	479	508	-0.3700	15914	15925
8589935125	510	4294968083	0.1921	15838	15975
4294968229	490	502	-0.0000	15948	52
653	485	514	-0.4602	15991	15842
690	485	490	-0.3640	15988	15817
4294968007	486	500	-0.0000	15909	91
624	500	510	-0.4253	15993	15852
4294968000	482	504	-0.1159	15972	15974
899	478	497	-0.5894	15961	15975
930	479	485	-0.5229	15956	15765
4294968202	497	508	-0.3825	15938	15931
844	492	514	-0.0000	15974	26
4294968004	478	4294968083	-0.2112	15843	15658
850	482	490	-0.4640	15971	15952
8589935256	490	514	-0.2223	15903	15944
4294968103	479	482	-0.6115	15919	15987
4294968118	479	490	-0.0790	15920	15556
4294968196	508	514	-0.4114	15923	15933
4294968194	485	508	0.3663	15901	15980
795	479	497	-0.2479	15978	15752
8589935184	490	496	-0.0000	15939	61
4294967881	482	497	-0.2310	15945	15990
17179869773	497	4294968083	0.7662	15844	16000
618	478	485	-0.2584	15993	15831
757	497	504	-0.4030	15982	15930
721	478	500	-0.0524	15985	15865
4294968231	478	490	-0.1988	15926	15962
928	490	508	-0.4081	15957	15888
617	482	514	-0.5721	15993	15951
847	500	508	-0.3490	15972	15642
677	485	510	-0.4752	15989	15973
4294967993	479	4294968083	-0.2504	15849	15896
4294967905	479	510	-0.3389	15968	15968
848	475	490	-0.0000	15971	29
891	482	500	-0.0681	15962	15740
939	500	504	0.9960	15955	15998
970	482	510	-0.3940	15949	15919
4294967807	478	514	-0.4763	15931	15991
8589935144	490	504	-0.1502	15937	15854
565	485	497	-0.0019	15997	15908
896	490	510	-0.2881	15961	15805
4294968128	497	510	-0.1196	15969	15881
630	504	514	-0.1802	15993	15985
595	482	508	-0.0207	15995	15951
4294967942	479	504	-0.2590	15968	15842
8589935451	478	479	-0.3124	15925	15982
638	504	508	-0.2535	15992	15984
4294968067	485	504	-0.2720	15969	15692
4294967981	510	514	-0.4887	15968	15921
837	490	500	-0.5454	15974	15953
793	478	510	-0.5364	15979	15992
608	482	485	0.9685	15994	15984
890	497	500	0.9463	15962	15983
579	479	514	0.3583	15996	15985
834	500	514	-0.3537	15975	15925
655	479	500	-0.0109	15990	15933
4294967802	500	4294968083	0.5647	15813	15982
4294968073	490	4294968083	-0.3231	15809	15858
4294967980	485	4294968083	-0.0834	15807	15935
12884902660	504	8589935175	-0.2812	15729	15773
8589935427	497	8589935175	-0.0871	15747	15903
8589935087	4294968083	8589935175	0.4434	15738	15975
8589935346	508	8589935175	-0.5653	15748	15886
8589935069	510	8589935175	-0.1153	15740	15448
12884902656	478	8589935175	-0.3391	15742	15769
8589935191	490	8589935175	-0.1013	15744	15925
8589935497	508	4294968083	-0.3687	15771	15991
8589935373	485	8589935175	-0.3346	15746	15962
8589935097	514	8589935175	-0.1446	15746	15913
8589935189	500	8589935175	-0.3881	15716	15989
17179870152	482	8589935175	-0.4478	15713	15913
12884902499	514	12884902386	-0.5494	15699	15969
12884902646	485	12884902386	-0.4400	15697	15886
21474836972	500	12884902386	-0.4392	15695	16000
12884902475	510	12884902386	-0.4833	15694	15946
