# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	12826.1084	0.4974	18001	0.4000	1,0,0	0.5000	16
4294968083	11310.0381	0.0562	17850	0.4000	1,1,1	0.5000	21
500	18142.2695	-0.2080	18001	0.4000	2,3,3	0.5000	47
478	18088.3086	0.4650	18001	0.4000	0,3,3	0.5000	15
479	21297.8008	0.2779	18001	0.4000	3,3,3	0.5000	63
510	18523.7227	0.2767	18001	0.4000	0,1,3	0.5000	7
504	9241.4287	0.3706	18001	0.4000	2,3,3	0.5000	47
482	22889.3242	0.1030	18001	0.4000	2,2,3	0.5000	43
490	2901.6445	0.2571	18001	0.4000	1,2,3	0.5000	27
514	2945.1904	-0.2567	18001	0.4000	3,1,2	0.5000	54
485	14539.7383	0.2703	18001	0.4000	0,0,0	0.5000	0
508	6056.0049	0.4281	18001	0.4000	3,1,1	0.5000	53
8589935175	18745.5918	-0.2574	17750	0.4000	1,3,1	0.5000	29
12884902386	10824.1855	0.3899	17700	0.4000	1,3,3	0.5000	31
8589935286	10802.5020	0.3007	17650	0.4000	2,1,1	0.5000	37
21474837346	18910.8867	0.2930	17100	0.4000	0,0,0	0.5000	0
8589935398	11015.8330	0.4422	16900	0.4000	1,0,1	0.5000	17
17179870127	20765.5508	0.2306	17300	0.4000	1,0,3	0.5000	19
30064771991	23634.7148	0.3837	16650	0.4000	1,3,2	0.5000	30
4294967864	16406.7910	0.0777	16700	0.4000	2,0,3	0.5000	35
17179869935	16524.4531	-0.2420	16450	0.4000	0,3,3	0.5000	15
17179869720	2545.5769	0.1011	16400	0.4000	2,0,3	0.5000	35
12884902384	20198.0195	-0.2807	16300	0.4000	1,2,3	0.5000	27
4294968744	8693.3779	0.2095	8500	0.4000	0,1,2	0.5000	6
8589935205	14379.5527	0.0102	15950	0.4000	3,1,3	0.5000	55
17179870099	18692.5469	0.3229	15850	0.4000	1,1,1	0.5000	21
4294968038	22037.4453	0.1942	15550	0.4000	0,0,0	0.5000	0
4294968136	2880.5757	0.4165	15300	0.4000	2,1,3	0.5000	39
8589935312	9870.0527	-0.1105	15600	0.4000	1,0,2	0.5000	18
21474837026	19833.7461	0.2895	15250	0.4000	3,1,3	0.5000	55
1036	21232.0645	0.3047	15050	0.4000	1,2,0	0.5000	24
4294968406	12261.5703	0.1024	14200	0.4000	1,1,2	0.5000	22
25769804570	15084.6406	-0.2905	14950	0.4000	0,2,2	0.5000	10
8589935760	19056.6133	0.2116	14300	0.4000	1,2,1	0.5000	25
60129542923	14348.7471	0.1432	12950	0.4000	3,0,0	0.5000	48
60129543166	15903.9531	0.0095	12350	0.4000	0,1,3	0.5000	7
60129543205	9965.2930	-0.2262	11400	0.4000	3,2,3	0.5000	59
55834575986	5666.6514	-0.0010	11250	0.4000	3,1,1	0.5000	53
30064771650	6068.3955	0.3564	7350	0.4000	3,3,3	0.5000	63
90194314315	3417.0864	0.4609	9750	0.4000	2,0,0	0.5000	32
73014445169	7052.7998	-0.0383	8750	0.4000	3,1,3	0.5000	55
124554052834	5345.1406	-0.1058	5650	0.4000	3,3,0	0.5000	60
21474838038	326.3557	0.1232	4400	0.4000	2,2,1	0.5000	41
55834576445	2184.6021	0.2685	1900	0.4000	0,2,2	0.5000	10
8589936284	484.8304	-0.0667	1300	0.4000	0,1,0	0.5000	4
60129543699	970.8693	-0.2425	2100	0.4000	3,3,3	0.5000	63
1778	309.8877	0.4079	650	0.4000	0,3,1	0.5000	13
17179870901	43.5914	-0.2585	300	0.4000	0,3,0	0.5000	12
8589936355	249.0392	0.3119	450	0.4000	1,2,3	0.5000	27
17179871029	66.9782	0.0270	50	0.4000	1,2,3	0.5000	27

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.3874	17909	17974
909	478	504	-0.1536	17960	17958
517	478	482	-0.4494	18000	17898
8589935284	497	514	-0.3161	17934	17720
12884902752	514	4294968083	-0.1607	17831	17531
4294968086	504	510	-0.1874	17922	17818
4294967787	482	4294968083	-0.3309	17833	17877
855	485	500	-0.3507	17971	17689
8589935392	504	4294968083	-0.1387	17836	17879
747	478	508	0.0431	17983	17956
8589935464	490	497	-0.2365	17926	17919
8589935404	479	508	-0.2244	17914	17799
8589935125	510	4294968083	0.8797	17838	17936
4294968229	490	502	-0.0000	17948	52
653	485	514	0.3771	17991	17925
690	485	490	-0.4582	17988	17984
4294968007	486	500	-0.0000	17909	91
624	500	510	-0.0973	17993	17938
4294968000	482	504	-0.3379	17972	17920
899	478	497	-0.2903	17961	17895
930	479	485	-0.2234	17956	17978
4294968202	497	508	-0.4675	17938	18000
844	492	514	-0.0000	17974	26
4294968004	478	4294968083	-0.4524	17843	17961
850	482	490	0.1048	17971	17982
8589935256	490	514	-0.0996	17903	17987
4294968103	479	482	-0.3270	17919	17934
4294968118	479	490	-0.4323	17920	17991
4294968196	508	514	-0.3285	17923	17971
4294968194	485	508	0.9980	17901	17999
795	479	497	-0.6060	17978	17990
8589935184	490	496	-0.0000	17939	61
4294967881	482	497	-0.3505	17945	17995
17179869773	497	4294968083	0.1398	17844	17887
618	478	485	-0.4381	17993	17969
757	497	504	0.0476	17982	17984
721	478	500	0.9821	17985	17991
4294968231	478	490	-0.5959	17926	17999
928	490	508	0.1633	17957	17861
617	482	514	-0.4717	17993	17936
847	500	508	-0.3605	17972	17932
677	485	510	-0.2576	17989	17827
4294967993	479	4294968083	-0.2533	17849	17677
4294967905	479	510	0.0438	17968	17961
848	475	490	-0.0000	17971	29
891	482	500	-0.1444	17962	17694
939	500	504	0.8784	17955	17999
970	482	510	0.0451	17949	17945
4294967807	478	514	-0.1777	17931	17856
8589935144	490	504	-0.3455	17937	17975
565	485	497	-0.1391	17997	17876
896	490	510	-0.3885	17961	17980
4294968128	497	510	-0.3198	17969	17979
630	504	514	-0.3241	17993	17981
595	482	508	-0.2381	17995	17902
4294967942	479	504	-0.4071	17968	17917
8589935451	478	479	-0.3704	17925	17694
638	504	508	-0.2947	17992	17934
4294968067	485	504	-0.1351	17969	17956
4294967981	510	514	-0.4019	17968	17873
837	490	500	-0.2816	17974	17948
793	478	510	-0.4410	17979	17981
608	482	485	0.7386	17994	17976
890	497	500	-0.5896	17962	18000
579	479	514	-0.3648	17996	17832
834	500	514	-0.4506	17975	17887
655	479	500	-0.3324	17990	17989
4294967802	500	4294968083	0.9323	17813	17965
4294968073	490	4294968083	-0.4975	17809	17918
4294967980	485	4294968083	-0.3354	17807	17961
12884902660	504	8589935175	-0.4164	17729	17973
8589935427	497	8589935175	-0.3159	17747	17599
8589935087	4294968083	8589935175	0.9704	17738	17985
8589935346	508	8589935175	-0.2095	17748	17933
8589935069	510	8589935175	-0.2296	17740	17824
12884902656	478	8589935175	-0.5731	17742	17948
8589935191	490	8589935175	0.8116	17744	17993
8589935497	508	4294968083	-0.4678	17771	17998
8589935373	485	8589935175	0.4355	17746	17987
8589935097	514	8589935175	-0.2668	17746	17895
8589935189	500	8589935175	-0.3788	17716	17973
17179870152	482	8589935175	-0.3198	17713	17991
12884902499	514	12884902386	-0.3758	17699	17938
12884902646	485	12884902386	-0.4856	17697	17927
21474836972	500	12884902386	0.5818	17695	17996
12884902475	510	12884902386	-0.3060	17694	17946
12884902363	497	12884902386	-0.2940	17693	17798
12884902661	479	12884902386	-0.3924	17692	17962
8589935558	479	8589935175	-0.1672	17690	17523
8589935237	508	12884902386	-0.2325	17689	17944
8589935554	504	12884902386	-0.3089	17689	17885
