# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	11601.1084	0.4974	20001	0.4000	1,0,0	0.5000	16
4294968083	12978.0381	0.0562	19850	0.4000	1,1,1	0.5000	21
500	20147.2695	-0.2080	20001	0.4000	2,3,3	0.5000	47
478	20093.3086	0.4650	20001	0.4000	0,3,3	0.5000	15
479	22377.8008	0.2779	20001	0.4000	3,3,3	0.5000	63
510	19374.7227	0.2767	20001	0.4000	0,1,3	0.5000	7
504	9854.4287	0.3706	20001	0.4000	2,3,3	0.5000	47
482	24377.3242	0.1030	20001	0.4000	2,2,3	0.5000	43
490	3260.6445	0.2571	20001	0.4000	1,2,3	0.5000	27
514	2774.1904	-0.2567	20001	0.4000	3,1,2	0.5000	54
485	15764.7383	0.2703	20001	0.4000	0,0,0	0.5000	0
508	7116.0049	0.4281	20001	0.4000	3,1,1	0.5000	53
8589935175	19775.5918	-0.2574	19750	0.4000	1,3,1	0.5000	29
12884902386	11354.1855	0.3899	19700	0.4000	1,3,3	0.5000	31
8589935286	10926.5020	0.3007	19650	0.4000	2,1,1	0.5000	37
21474837346	20128.8867	0.2930	19100	0.4000	0,0,0	0.5000	0
8589935398	10354.8330	0.4422	18900	0.4000	1,0,1	0.5000	17
17179870127	21740.5508	0.2306	19300	0.4000	1,0,3	0.5000	19
30064771991	24321.7148	0.3837	18650	0.4000	1,3,2	0.5000	30
4294967864	17867.7910	0.0777	18700	0.4000	2,0,3	0.5000	35
17179869935	17978.4531	-0.2420	18450	0.4000	0,3,3	0.5000	15
17179869720	4138.5771	0.1011	18400	0.4000	2,0,3	0.5000	35
12884902384	22191.0195	-0.2807	18300	0.4000	1,2,3	0.5000	27
4294968744	10555.3779	0.2095	10500	0.4000	0,1,2	0.5000	6
8589935205	16427.5527	0.0102	17950	0.4000	3,1,3	0.5000	55
17179870099	20373.5469	0.3229	17850	0.4000	1,1,1	0.5000	21
4294968038	23212.4453	0.1942	17550	0.4000	0,0,0	0.5000	0
4294968136	2945.5757	0.4165	17300	0.4000	2,1,3	0.5000	39
8589935312	9854.0527	-0.1105	17600	0.4000	1,0,2	0.5000	18
21474837026	21580.7461	0.2895	17250	0.4000	3,1,3	0.5000	55
1036	23662.0645	0.3047	17050	0.4000	1,2,0	0.5000	24
4294968406	14507.5703	0.1024	16200	0.4000	1,1,2	0.5000	22
25769804570	17911.6406	-0.2905	16950	0.4000	0,2,2	0.5000	10
8589935760	19873.6133	0.2116	16300	0.4000	1,2,1	0.5000	25
60129542923	15144.7471	0.1432	14950	0.4000	3,0,0	0.5000	48
60129543166	16123.9531	0.0095	14350	0.4000	0,1,3	0.5000	7
60129543205	9734.2930	-0.2262	13400	0.4000	3,2,3	0.5000	59
55834575986	5337.6514	-0.0010	13250	0.4000	3,1,1	0.5000	53
30064771650	6242.3955	0.3564	9350	0.4000	3,3,3	0.5000	63
90194314315	4989.0864	0.4609	11750	0.4000	2,0,0	0.5000	32
73014445169	5490.7998	-0.0383	10750	0.4000	3,1,3	0.5000	55
124554052834	5590.1406	-0.1058	7650	0.4000	3,3,0	0.5000	60
47244641950	1841.3729	-0.0613	1800	0.4000	3,0,0	0.5000	48
55834576445	4254.6021	0.2685	3900	0.4000	0,2,2	0.5000	10
8589936284	1123.8304	-0.0667	3300	0.4000	0,1,0	0.5000	4
60129543699	1418.8693	-0.2425	4100	0.4000	3,3,3	0.5000	63
1778	994.8877	0.4079	2650	0.4000	0,3,1	0.5000	13
4294969229	239.5739	0.3755	650	0.4000	3,1,3	0.5000	55
8589936355	1009.0392	0.3119	2450	0.4000	1,2,3	0.5000	27
94489282142	522.0016	0.2683	1100	0.4000	1,3,2	0.5000	30
34359740223	154.0591	0.1959	200	0.4000	0,1,0	0.5000	4
21474838373	87.5718	0.2679	50	0.4000	3,2,0	0.5000	56

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.3910	19909	19936
909	478	504	-0.2288	19960	19714
517	478	482	-0.2601	20000	19910
8589935284	497	514	-0.2340	19934	19950
12884902752	514	4294968083	0.3323	19831	19995
4294968086	504	510	-0.0592	19922	19904
4294967787	482	4294968083	-0.1690	19833	19774
855	485	500	-0.4641	19971	19992
8589935392	504	4294968083	0.0184	19836	19959
747	478	508	0.2966	19983	19850
8589935464	490	497	-0.4201	19926	19988
8589935404	479	508	0.9861	19914	19993
8589935125	510	4294968083	0.9861	19838	19993
4294968229	490	502	-0.0000	19948	52
653	485	514	-0.6173	19991	19903
690	485	490	-0.3396	19988	19831
4294968007	486	500	-0.0000	19909	91
624	500	510	-0.3256	19993	19770
4294968000	482	504	-0.1597	19972	19961
899	478	497	-0.3055	19961	19971
930	479	485	-0.0899	19956	19900
4294968202	497	508	-0.3439	19938	19866
844	492	514	-0.0000	19974	26
4294968004	478	4294968083	-0.1751	19843	19460
850	482	490	0.0465	19971	19975
8589935256	490	514	-0.4797	19903	19847
4294968103	479	482	-0.3283	19919	19889
4294968118	479	490	-0.1612	19920	19726
4294968196	508	514	-0.3620	19923	19964
4294968194	485	508	0.9960	19901	19998
795	479	497	-0.1593	19978	19945
8589935184	490	496	-0.0000	19939	61
4294967881	482	497	-0.2618	19945	19964
17179869773	497	4294968083	0.2527	19844	19980
618	478	485	-0.2411	19993	19994
757	497	504	-0.3015	19982	19798
721	478	500	-0.1345	19985	19917
4294968231	478	490	-0.0536	19926	19974
928	490	508	0.6201	19957	19998
617	482	514	-0.4141	19993	19941
847	500	508	-0.5359	19972	19912
677	485	510	-0.3650	19989	19955
4294967993	479	4294968083	-0.2961	19849	19959
4294967905	479	510	0.9576	19968	19999
848	475	490	-0.0000	19971	29
891	482	500	-0.3377	19962	19714
939	500	504	0.9821	19955	19991
970	482	510	-0.3809	19949	19922
4294967807	478	514	-0.2283	19931	19990
8589935144	490	504	-0.3302	19937	19867
565	485	497	0.1371	19997	19944
896	490	510	-0.2998	19961	19746
4294968128	497	510	0.2314	19969	19983
630	504	514	-0.3604	19993	19995
595	482	508	-0.4595	19995	19995
4294967942	479	504	-0.2801	19968	19983
8589935451	478	479	0.5251	19925	19995
638	504	508	-0.1039	19992	19897
4294968067	485	504	0.1164	19969	19989
4294967981	510	514	-0.2699	19968	19824
837	490	500	-0.1570	19974	19995
793	478	510	-0.3124	19979	19995
608	482	485	0.9569	19994	19978
890	497	500	-0.3744	19962	19790
579	479	514	-0.3528	19996	19941
834	500	514	-0.0346	19975	19931
655	479	500	-0.2958	19990	19796
4294967802	500	4294968083	0.6151	19813	19984
4294968073	490	4294968083	-0.2410	19809	19861
4294967980	485	4294968083	0.0712	19807	19971
12884902660	504	8589935175	0.3338	19729	19998
8589935427	497	8589935175	-0.2750	19747	19860
8589935087	4294968083	8589935175	0.9743	19738	19987
8589935346	508	8589935175	-0.2574	19748	19960
8589935069	510	8589935175	-0.1984	19740	19854
12884902656	478	8589935175	-0.2703	19742	19911
8589935191	490	8589935175	0.9841	19744	19992
8589935497	508	4294968083	-0.1658	19771	19974
8589935373	485	8589935175	-0.4031	19746	19886
8589935097	514	8589935175	-0.2920	19746	19645
8589935189	500	8589935175	-0.4338	19716	19852
17179870152	482	8589935175	-0.1560	19713	19682
12884902499	514	12884902386	-0.4052	19699	19955
12884902646	485	12884902386	-0.2175	19697	19699
21474836972	500	12884902386	0.9802	19695	19990
12884902475	510	12884902386	-0.3680	19694	19910
12884902363	497	12884902386	-0.1174	19693	19899
12884902661	479	12884902386	-0.1384	19692	19757
8589935558	479	8589935175	-0.3264	19690	19766
8589935237	508	12884902386	-0.2846	19689	19766
8589935554	504	12884902386	-0.4066	19689	19826
12884902822	478	12884902386	-0.0487	19688	19826
17179870046	4294968083	12884902386	-0.4953	19687	20000
8589935485	490	12884902386	-0.3301	19678	19944
