# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
497	10474.1084	0.4974	22001	0.4000	1,0,0	0.5000	16
4294968083	12830.0381	0.0562	21850	0.4000	1,1,1	0.5000	21
500	21495.2695	-0.2080	22001	0.4000	2,3,3	0.5000	47
478	20450.3086	0.4650	22001	0.4000	0,3,3	0.5000	15
479	23147.8008	0.2779	22001	0.4000	3,3,3	0.5000	63
510	19495.7227	0.2767	22001	0.4000	0,1,3	0.5000	7
504	10288.4287	0.3706	22001	0.4000	2,3,3	0.5000	47
482	25716.3242	0.1030	22001	0.4000	2,2,3	0.5000	43
490	4207.6445	0.2571	22001	0.4000	1,2,3	0.5000	27
514	3813.1904	-0.2567	22001	0.4000	3,1,2	0.5000	54
485	16135.7383	0.2703	22001	0.4000	0,0,0	0.5000	0
508	9973.0049	0.4281	22001	0.4000	3,1,1	0.5000	53
8589935175	22457.5918	-0.2574	21750	0.4000	1,3,1	0.5000	29
12884902386	11971.1855	0.3899	21700	0.4000	1,3,3	0.5000	31
8589935286	11577.5020	0.3007	21650	0.4000	2,1,1	0.5000	37
21474837346	20862.8867	0.2930	21100	0.4000	0,0,0	0.5000	0
8589935398	9144.8330	0.4422	20900	0.4000	1,0,1	0.5000	17
17179870127	23818.5508	0.2306	21300	0.4000	1,0,3	0.5000	19
30064771991	25941.7148	0.3837	20650	0.4000	1,3,2	0.5000	30
4294967864	20491.7910	0.0777	20700	0.4000	2,0,3	0.5000	35
17179869935	18628.4531	-0.2420	20450	0.4000	0,3,3	0.5000	15
17179869720	5674.5771	0.1011	20400	0.4000	2,0,3	0.5000	35
12884902384	22658.0195	-0.2807	20300	0.4000	1,2,3	0.5000	27
4294968744	13189.3779	0.2095	12500	0.4000	0,1,2	0.5000	6
8589935205	18432.5527	0.0102	19950	0.4000	3,1,3	0.5000	55
17179870099	22344.5469	0.3229	19850	0.4000	1,1,1	0.5000	21
4294968038	24357.4453	0.1942	19550	0.4000	0,0,0	0.5000	0
4294968136	4247.5757	0.4165	19300	0.4000	2,1,3	0.5000	39
8589935312	9206.0527	-0.1105	19600	0.4000	1,0,2	0.5000	18
21474837026	22748.7461	0.2895	19250	0.4000	3,1,3	0.5000	55
1036	26145.0645	0.3047	19050	0.4000	1,2,0	0.5000	24
4294968406	16538.5703	0.1024	18200	0.4000	1,1,2	0.5000	22
25769804570	20221.6406	-0.2905	18950	0.4000	0,2,2	0.5000	10
8589935760	20831.6133	0.2116	18300	0.4000	1,2,1	0.5000	25
60129542923	17558.7461	0.1432	16950	0.4000	3,0,0	0.5000	48
60129543166	17557.9531	0.0095	16350	0.4000	0,1,3	0.5000	7
60129543205	9687.2930	-0.2262	15400	0.4000	3,2,3	0.5000	59
55834575986	5866.6514	-0.0010	15250	0.4000	3,1,1	0.5000	53
30064771650	7069.3955	0.3564	11350	0.4000	3,3,3	0.5000	63
90194314315	6848.0864	0.4609	13750	0.4000	2,0,0	0.5000	32
73014445169	5553.7998	-0.0383	12750	0.4000	3,1,3	0.5000	55
124554052834	7054.1406	-0.1058	9650	0.4000	3,3,0	0.5000	60
47244641950	4959.3730	-0.0613	3800	0.4000	3,0,0	0.5000	48
55834576445	5569.6021	0.2685	5900	0.4000	0,2,2	0.5000	10
8589936284	2397.8306	-0.0667	5300	0.4000	0,1,0	0.5000	4
60129543699	2241.8691	-0.2425	6100	0.4000	3,3,3	0.5000	63
1778	1384.8877	0.4079	4650	0.4000	0,3,1	0.5000	13
4294969229	2152.5740	0.3755	2650	0.4000	3,1,3	0.5000	55
8589936355	1019.0392	0.3119	4450	0.4000	1,2,3	0.5000	27
94489282142	2240.0015	0.2683	3100	0.4000	1,3,2	0.5000	30
34359740223	658.0591	0.1959	2200	0.4000	0,1,0	0.5000	4
1999	1133.3628	-0.1831	1850	0.4000	0,2,2	0.5000	10
94489282347	119.2730	0.2833	50	0.4000	2,0,1	0.5000	33
47244642212	352.4126	0.3760	400	0.4000	2,2,0	0.5000	40

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294968173	508	510	-0.0472	21909	21873
909	478	504	-0.3568	21960	21963
517	478	482	-0.3319	22000	21862
8589935284	497	514	-0.4007	21934	21966
12884902752	514	4294968083	0.9861	21831	21993
4294968086	504	510	0.9712	21922	21991
4294967787	482	4294968083	-0.1939	21833	21852
855	485	500	-0.2262	21971	21931
8589935392	504	4294968083	-0.4089	21836	21875
747	478	508	0.4804	21983	21995
8589935464	490	497	-0.2233	21926	21747
8589935404	479	508	0.8028	21914	21968
8589935125	510	4294968083	0.0817	21838	21967
4294968229	490	502	-0.0000	21948	52
653	485	514	-0.0353	21991	21964
690	485	490	-0.0539	21988	21857
4294968007	486	500	-0.0000	21909	91
624	500	510	-0.1797	21993	21781
4294968000	482	504	-0.5160	21972	21922
899	478	497	-0.1142	21961	21831
930	479	485	-0.5353	21956	21908
4294968202	497	508	-0.3922	21938	21795
844	492	514	-0.0000	21974	26
4294968004	478	4294968083	-0.4392	21843	21998
850	482	490	0.2359	21971	21790
8589935256	490	514	-0.3084	21903	21990
4294968103	479	482	0.2612	21919	21984
4294968118	479	490	-0.5102	21920	21997
4294968196	508	514	-0.2659	21923	21996
4294968194	485	508	0.1553	21901	21864
795	479	497	-0.3471	21978	21953
8589935184	490	496	-0.0000	21939	61
4294967881	482	497	-0.3031	21945	21591
17179869773	497	4294968083	-0.3684	21844	21998
618	478	485	-0.1252	21993	21495
757	497	504	-0.1095	21982	21921
721	478	500	-0.0125	21985	21923
4294968231	478	490	0.4993	21926	21995
928	490	508	0.9608	21957	21980
617	482	514	-0.1979	21993	21671
847	500	508	-0.2739	21972	21751
677	485	510	-0.2727	21989	21844
4294967993	479	4294968083	-0.0368	21849	21865
4294967905	479	510	0.1191	21968	21901
848	475	490	-0.0000	21971	29
891	482	500	0.0790	21962	21878
939	500	504	0.5772	21955	21910
970	482	510	-0.3976	21949	21930
4294967807	478	514	-0.2959	21931	21760
8589935144	490	504	-0.0080	21937	21941
565	485	497	-0.4798	21997	21913
896	490	510	-0.2009	21961	21644
4294968128	497	510	0.8689	21969	21988
630	504	514	-0.2954	21993	21952
595	482	508	-0.5917	21995	21949
4294967942	479	504	-0.1287	21968	21955
8589935451	478	479	-0.2602	21925	21879
638	504	508	0.3497	21992	21938
4294968067	485	504	-0.3927	21969	21974
4294967981	510	514	-0.2490	21968	21918
837	490	500	-0.4149	21974	21994
793	478	510	-0.2450	21979	21532
608	482	485	0.9920	21994	21996
890	497	500	-0.2642	21962	21525
579	479	514	-0.3538	21996	21933
834	500	514	-0.4404	21975	21962
655	479	500	-0.2028	21990	21829
4294967802	500	4294968083	0.2659	21813	21989
4294968073	490	4294968083	-0.2268	21809	21883
4294967980	485	4294968083	-0.0079	21807	21982
12884902660	504	8589935175	-0.3138	21729	21946
8589935427	497	8589935175	-0.1087	21747	21968
8589935087	4294968083	8589935175	-0.2329	21738	21870
8589935346	508	8589935175	-0.4083	21748	21930
8589935069	510	8589935175	0.1392	21740	21984
12884902656	478	8589935175	-0.0797	21742	21878
8589935191	490	8589935175	0.9066	21744	21951
8589935497	508	4294968083	-0.3515	21771	21938
8589935373	485	8589935175	-0.0318	21746	21954
8589935097	514	8589935175	0.1958	21746	21966
8589935189	500	8589935175	-0.2436	21716	21806
17179870152	482	8589935175	-0.2794	21713	21980
12884902499	514	12884902386	-0.3082	21699	21788
12884902646	485	12884902386	0.0166	21697	21995
21474836972	500	12884902386	-0.2805	21695	21752
12884902475	510	12884902386	-0.2249	21694	21846
12884902363	497	12884902386	-0.2650	21693	21928
12884902661	479	12884902386	-0.3745	21692	21990
8589935558	479	8589935175	0.1241	21690	21960
8589935237	508	12884902386	-0.2042	21689	21936
8589935554	504	12884902386	-0.2664	21689	21694
12884902822	478	12884902386	-0.2177	21688	21879
17179870046	4294968083	12884902386	-0.3706	21687	21830
8589935485	490	12884902386	-0.0426	21678	21911
4294968159	8589935175	12884902386	-0.0810	21671	21969
4294968058	482	12884902386	-0.4536	21669	21942
4294968193	500	8589935286	-0.2795	21648	21885
